pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
David Siegel,7/22/08,7/21/10,"$144,465 ",National Aeronautics and Space Administration,Federal agencies,NNX08AW99G,New Bio-Optical Observations for Future CLIVAR Cruises,We propose to augment our on-going sampling and analysis of the global colored dissolved organic matter (CDOM) distribution on CLIVAR / Repeat Hydrography transects to include 175 underway sampling of surface water inherent optical properties (IOPs) using novel instrumentation that size fractionate the bio-optical signals. The observations this new underway sampling system will be very useful for validating NASA ocean biology and biogeochemistry missions and for developing new satellite data algorithms for carbon species. This work can be performed without additional berths or wire time on the CLIVAR / Repeat Hydrography cruises. We are also requesting for additional technician time for analyzing CDOM samples being taken for us now from CLIVAR / Repeat Hydrography cruise I6S (South Africa to Antarctica).,2008,2010
Norm Nelson Craig Carlson David Siegel,5/29/09,5/28/14,"$773,496 ",National Aeronautics and Space Administration,Federal agencies,NNX09AL09G,Ocean Color Observations on CLIVAR: Inherent Optical Propoerties and Community Structure on Trans-Ocean Sections,"Community structure, the taxonomic and functional composition of pelagic plankton communities, has an important bearing on global rates of net primary production, the export of carbon from the euphotic zone and the biogeochemical cycling of carbon and associated nutrients. Present-day numerical models used to simulate global ocean biogeochemical cycles parameterize both the function and the size of components of the plankton community. However, there is still precious little observational data to validate the results of these model simulations of plankton community structure and their biogeochemical impacts. In recent years, new capabilities have been developed to assess phytoplankton community structure and organic carbon cycling from satellite ocean color observations. However, validation of these novel remote sensing retrieval approaches and their further development is limited by scarcity of field observations over the variety of biogeochemical provinces of the global ocean. Since 2003, we have been studying the distribution and dynamics and implications of colored dissolved organic matter (CDOM) in the global ocean ""piggybacking"" on hydrographic sections of the CO2/CLIVAR Repeat Hydrography Project. With NASA support, we have collected and analyzed radiometric profiles, particle and CDOM absorption spectra, and surface phytoplankton pigment (HPLC and fluorometric chlorophyll a) data. To date we have collected a broad and diverse data set from the North and Equatorial Atlantic, North and South Pacific, and Indian Ocean basins with some lines continuing through the Southern Ocean to the Antarctic. Our major science achievement to date resulted in a new understanding of the relative roles of biogeochemical vs. ventilation on subsurface CDOM distributions. This work also has provided considerable validation data in poorly sampled areas of the ocean. 144 Here, we propose to continue this effort on upcoming CO2/CLIVAR sections in the Arabian Sea, South Atlantic, Southern Ocean, and North Atlantic, and to further enhance the program by adding a newly constructed flow-through system that will also measure surface inherent optical properties (IOPs) such as spectral absorption, backscattering and particle size spectra (and chlorophyll and CDOM fluorescence), in whole water and 0.2 micron filtered water. Our field effort will be closely coupled to our ongoing collaborative efforts in developing new ocean color products useful for assessing global productivity and carbon cycling. The combination of field and satellite data analyses will enable us to understand the controls on plankton community structure allowing an understanding of the processes by which phytoplankton community structure affects open ocean IOPs and how one can best assess community structure characteristics from IOPs.",2009,2014
Jeff Dozier Karl Rittger,10/1/09,3/31/12,"$76,000 ",National Aeronautics and Space Administration,Federal agencies,NNX09AN75H,Improving Runoff Forecasting with Enhanced Estimates of Snow Properties,This proposed investigation implements an interpolation scheme that estimates basin wide volumes of snow water equivalent (SWE) relying on patterns of SWE from an energy balance model remote sensing and in situ measurements. The interpolation scheme has potential for operating in real time for seasonal runoff forecasting to inform decision-making. With 25 years of snow-covered area data the interpolation scheme can be used to examine peak SWE in Sierra Nevada River basins to investigate natural variability and trends. The approach examines patterns from estimates of the spatial distribution of snow from a retrospective energy balance method and thereby incorporates hypsometric and land cover characteristics of snow in the Sierra Nevada. The objective is a better understanding of hydrologic sensitivity and land-atmosphere coupling through space-based remote sensing and distributed basin modeling. The overarching science objective is the development of an interpolation method to integrate satellite and in situ observations to produce real time estimates of spatially distributed SWE that can be used for runoff forecasting. The investigation addresses the NASA Science Mission Directorate (SMD) research objective to improve our capability to predict extreme events such as floods caused by rain on snow. I will use spectral mixing analysis to quantify fractional snow- covered area (fSCA) and an energy balance model to quantify SWE two key variables in the energy and water cycles that represent another SMD research objective. Finally I will address SMD research objectives by developing historical fSCA and SWE datasets that can be used in climate simulations for predictability of water carbon and nitrogen.,2009,2012
Bodo Bookhagen G. Burch Fisher,9/1/09,8/31/12,"$90,000 ",National Aeronautics and Space Administration,Federal agencies,NNX09AO24H,ASTER-Derived River Widths and Spatial Implications for Erosion in the Tectonically Active Himalaya,The work funded by this fellowship incorporates remotely sensed field and numerical analyses to understand how river widths scale as a function of precipitation and tectonic regime within the world‚Äôs largest mountain belt the Himalaya. The role that bedrock-channel incision plays in the evolution of tectonically active mountain belts has become a central topic in tectonic- geomorphology over the last two decades and has lead to the development of the stream power law which directly links erosional efficacy per unit area of the channel bed to discharge slope specific weight of water and channel-width. Previous studies have relied on simple power-law scalings to estimate channel-widths based on discharge while more sophisticated techniques have recently been proposed that are based on regionally limited data and/or contain fundamental underlying assumptions that preclude their ubiquitous application. Our research improves on previous studies of channel width scalings in orogenic systems by calibrating spatially ubiquitous ASTER imagery with higher resolution Google Earth imagery (GeoEye-1 and SPOT) and field surveys to yield reliable sub-pixel mixing models for application to width-extraction algorithms for the Himalaya. These channel widths will then be combined with ASTER GDEM topography (slopes) TRMM precipitation data (discharge) and MODIS imagery (snowcover and evapotranspiration values) into a specific stream power analysis (proxy for erosion) for the Himalaya. This work has implications for both the spatial heterogeneity of erosional foci across the Himalaya as well as the long-term evolution of tectonically active landscapes.,2009,2012
John Melack Laura Hess Sally MacIntyre,1/1/10,12/31/14,"$357,736 ",National Aeronautics and Space Administration,Federal agencies,NNX10AB66G,Analysis and Synthesis of Carbon Dynamics on Amazon Floodplains,Our research on the ecology hydrology and biogeochemistry of Amazon wetlands under the Large-Scale Biosphere-Atmosphere Experiment in Amazonia (LBA-ECO) addressed important aspects of the regional carbon dynamics of the Amazon basin combining remote sensing and field measurements to calculate evasion of methane and carbon dioxide from rivers and wetlands. Our proposed work synthesizes newly available remote sensing datasets and analyses recently completed field measurements and recent modeling advances with past results in order to target important remaining uncertainties regarding carbon dioxide and methane dynamics on Amazonian floodplains. This work will contribute to understanding of tropical riverine and wetland systems in the global context of greenhouse gas emissions and carbon dynamics. Furthermore recent studies have indicated that lakes and wetlands make a significant contribution to the global carbon budget because of the high rates of carbon uptake and metabolism in these systems. Therefore our research in the large and productive Amazon basin is likely to be quantitatively important globally. About 20% of the Amazon basin is seasonally inundated and these wetlands are sites of intense biological activity that can have a strong influence on the regional carbon dynamics. Understanding the effects of these dynamics on air-water exchanges of CO2 and CH4 is of critical importance if we are to estimate the net contribution of Amazon wetlands to greenhouse gas emissions. To quantify this influence it is necessary to improve estimates of the fluxes and balance of carbon incorporating the principal sources of spatial and temporal variability and developing numerical models to simulate and integrate their effects. Hence we propose to study the organic carbon dynamics and its influence on the net emissions of CO2 and CH4 on central Amazon floodplains. We propose to examine three unresolved issues: 1. The role of aquatic herbaceous macrophytes and litterfall from flooded forests as sources of organic carbon fueling the outgassing of carbon dioxide and methane from wetlands and rivers. 2. The regional seasonal and interannual variations in evasion of methane and carbon dioxide. 3. The inundation dynamics of floodplains on multiple scales and their function as a physical template for biogeochemical processes. To resolve these issues and to advance predictive capability and understanding of how the carbon balance of Amazon floodplains will respond to environmental changes requires several coordinated activities. Hydrological and hydrodynamic models will be integrated with biogeochemical analyses and models and with remotely sensed-based estimates of plant growth and phenology.,2010,2014
Stephane Maritorena David Siegel,2/8/11,2/7/15,"$487,545 ",National Aeronautics and Space Administration,Federal agencies,NNX11AE87G,From UV to Fluorescence a Semi-analytical Ocean Color Model for MODIS and Beyond,,2011,2015
Norm Nelson David Siegel,2/8/11,2/7/15,"$732,936 ",National Aeronautics and Space Administration,Federal agencies,NNX11AE99G,Bermuda Bio-Optics Project: Enhancement of Measurements for New Ocean Color Applications,"This project will revitalize ongoing time-series of high quality optical measurements in the field at the Bermuda time-series site. New applications for ocean color (algorithms, etc) will require novel and enhanced existing measurements of radiometric and inherent optical properties. This project will apply and test against field data, prospective algorithms addressing aspects of community structure and carbon flux, taking advantage of our time-series data records and ongoing related research at the site. We intend to introduce and test evolutionary improvements to techniques for measuring radiometric optical properties at the site. In particular the beginning part of the project will include development of an autonomous free-floating profiling optical buoy system (the Near-Surface Profiling Buoy, NSPB). The NSPB is a flexible, easily deployed, and is a cost-effective alternative to long-term, moored optical buoy installations. The NSPB eliminates the need to address biofouling and extrapolation to the sea surface from discrete fixed depths, which complicate data analysis from long-term moored optical buoy data. This approach also avoids modeling of upwelling radiance from the reflected sky radiance, which bedevils above- water approaches. We believe a global network of short-term, autonomous profile systems, patterned after the system proposed here, would change how ocean color satellite vicarious calibration is performed. The NSPB system will also make direct and diffuse incident irradiance determinations which will be useful for assessing aerosol and cloud optical properties and incident spectral irradiance at the sea surface. BBOP will provide a proving ground for this instrumentation which will replace currently-conducted handheld optics profiles.",2011,2015
David Siegel Norm Nelson,4/1/11,3/31/14,"$919,809 ",National Aeronautics and Space Administration,Federal agencies,NNX11AF63G,A Mechanistic Approach Towards the Remote Assessment of Carbon Export by Sinking Particles in the Open Ocean,"Carbon export, the vertical transport of organic carbon from the surface ocean into its interior via sinking particles, is a critical part of the upper ocean carbon budget. However, our ability to remotely assess carbon export rates globally remains primitive at best as carbon export is most commonly estimated as the product of remotely sensed values of net primary production (NPP) multiplied by a very simple export-ratio model. These models may provide a reasonable assessment of present state of mean carbon export, but they will not assess changes in export as these are purely empirical models and none of the critical information about mechanisms driving export are included. To make that next step towards a mechanistic assessment of ocean carbon flux we need knowledge of upper ocean particle source material concentrations and characteristics and knowledge of how physical oceanographic processes alter upper ocean particle fields and package suspended materials into sinking particles that are exported into the ocean interior. Here we propose a coupled field, imagery analysis and modeling program aimed at understanding the mechanisms driving carbon export and developing novel tools for its remote assessment. Specifically, we will conduct two ~3200 km long meridional transects across the North Atlantic (~40 to 20oN) collaborating with the Bermuda Atlantic Time Series (BATS). We will sample carbon export (via 234Th disequilibria) from vertical water samples and surface samples from underway collection (with 10 km spatial resolution). Concentrations of the radioisotope thorium-234 are an excellent index for euphotic zone particle removal as measured by its disequilibrium with its parent (238U) and recent technical advances enable its high spatial resolution sampling from a ship’s underway flow system. Upper ocean particle concentrations and characteristics will be sampled by measuring inherent optical properties, phytoplankton abundances and pigments, size-fractionated inherent optical property and chlorophyll concentrations, particulate organic carbon, transparent exopolymer particle (TEP) concentrations, and the particle size distribution (PSD) spectrum. These observations will be made both underway from the ship’s surface underway system and as vertical profiles. This work will constrain the types and concentrations of particles and processes that are leading to particle export. Satellite ocean color observations of inherent optical properties and the PSD will be integrated into the interpretation of the field observations. A key element of our proposal is the simultaneous observations of particle export and source material characteristics and the physical drivers of particle aggregation. Recent modeling studies have shown that Lagrangian Coherent Structures (LCSs) can be determined from merged satellite altimetry observations. LCSs define the attracting and repelling surfaces in 2-D flow fields and provide an excellent, diagnostic tool for 176 assessing regions where submesoscale particle aggregation will occur as well as vertical motions at fronts. The relationships among LCS locations and intensities will be evaluated using observations from the ship transects and from advance ocean color data products. The proposed combination of high-resolution field observations, remote sensing data analysis and assessment of LCSs is a unique feature of our work.",2011,2014
Zhengming Wan,3/11/11,9/10/13,"$406,523 ",National Aeronautics and Space Administration,Federal agencies,NNX11AG43G,Science Data Analysis Including TIR BRDF Retrieval for Improvements of the MODIS Land-Surface Temperature/Emissivity Products in Long-term Accuracy and Consistancy,"In this Science Data Analysis proposal, science data analysis with various approaches including TIR BRDF retrieval will be made to refine the existing algorithms and PGE code for the standard MODIS Land-Surface Temperature/Emissivity (LST/E) products in order to improve their long- term accuracy and consistency. Major refinements include 1) using yearly or seasonal averaged surface emissivities from C6 MODIS LST products as initial values in the day/night algorithm; 2) using multi-day Terra and Aqua MODIS data in a BRDF scheme for retrieving stable BRDF parameters in bands 20, 22 and 23 so that the angular variation in surface emissivities in all bands may be well modeled; 3) refining the MODIS cloudmask product collaboratively with the 228 cloudmask group to fix the discontinuity problem in LSTs along latitude of ±60o. The long-term quality and consistency of the MODIS LST/E products will be verified by science data analysis of the LST/E correlations with independent data sets of MODIS NDVI, surface observation data of precipitation and soil moisture. Combined with surface emissivity spectra measured by a high- quality TIR Fourier-transfer spectroradiometer with a sun-shadow method in the field and by a TIR spectroradiometer and integrating sphere system in laboratory from terrestrial samples, atmospheric temperature and water vapor profiles from conventional radiosonde and NCEP will be used in a radiance-based approach to validate the LST products over 40 sites on the global land. Error and uncertainty analysis will be made to quantify errors and uncertainties associated with input data and algorithms.",2011,2013
David Siegel,3/1/11,2/29/12,"$50,000 ",National Aeronautics and Space Administration,Federal agencies,NNX11AG80G,Proposal for an ACE Ocean Productivity and Carbon Cycle (OPCC) Workshop,"The Aerosol-Cloud-Ecosystem (ACE) mission is one of the future NASA Earth science missions recommended in the NRC's 2007 Decadal Survey. Obviously ACE has many goals and masters; the relevant one here is the determination of ocean ecosystem productivity and carbon cycling processes on local to global scales. This is a tall order and a science working group led by Chuck McClain (NASA/GSFC) has been focused on setting mission requirements. One area where the ocean science working group has been having difficulties is for Ocean Productivity and Carbon Cycle (OPCC) parameters beyond NPP. Relevant OPCC parameters include carbon export, net community production, air-sea CO2 exchange, N2 fixation, etc. Clearly this requires a discussion among observational biogeochemists, ocean modelers and remote sensing scientists. We would like to initiate this conversation by holding a two and one-half day workshop at UCSB to address these issues June 6-8 of this year. The goals of the ACE OPCC workshop are to: 1) Prioritize the essential OPCC parameters required for answering the ACE science questions; 2) Review existing field and remote sensing methodologies for the assessment of essential OPCC parameters (on fluxes, not stocks); 3) Create product assessments for the essential OPCC parameters; 4) Address what can be achieved from satellite orbit today and identify the path forward to resolving the full suite of OPCC parameters using both models and satellite observations; 5) Propose an appropriate cal/val plan for developing & validating the essential OPCC parameters and the creation of new satellite algorithms; 6) Write a high level vision document describing our approach for assessing essential OPCC parameters from satellite observables.",2011,2012
Stephane Maritorena David Siegel,4/19/11,4/18/12,"$48,615 ",National Aeronautics and Space Administration,Federal agencies,NNX11AH74G,Bio-optical algorithm studies for ACE: Benefits of UV bands to discriminate between CDM and phytoplankton light absorption in oceanic waters and other sensitivity analyses,"We propose to conduct two complementary studies relevant to bio-optical algorithms and the wavebands set selected for the ACE ocean ecology program. The first and main study would look into the potential benefits of the UV bands to better discriminate between CDOM and phytoplankton light absorption. Currently, ocean color products are derived from bio-optical algorithms and models that use reflectance data from wavebands in the visible. Sub-surface chlorophyll- concentration (CHL) and the combined absorption of colored dissolved organic matter and detritic matter (CDM) are two typical products derived from ocean color data but it is often difficult to separate and accurately quantify them as both are strong absorbers at short visible wavelengths (typically 412 and 443 nm in ocean color sensors). The UV domain may offer the possibility to better discriminate between CHL and CDM as differences in their light absorption characteristics may be more pronounced in the UV. While CDM absorption in the UV is relatively well documented, there are much more uncertainties and variability in phytoplankton UV absorption. We thus propose to analyze in situ CDM and CHL absorption measurements that include UV bands from the largest and most diverse possible data set we will assemble from our own field campaigns (e.g. CLIVAR, BBOP, Plumes & Blooms), the NOMAD data set and the SeaBASS archive. We will then determine the optimal parameterization for the CHL and CDM absorption terms in the UV in our semi- analytical ocean color model (GSM) and conduct tests to assess the benefits and usefulness of these bands to accurately retrieve the CDM and CHL components during the inversion of spectral reflectance data similar to what the ACE ocean radiometer will provide.",2011,2012
Jeff Dozier James Frew,6/24/11,6/23/15,"$1,425,210 ",National Aeronautics and Space Administration,Federal agencies,NNX11AK35A,Error Analysis of MODIS Fractional Snow-Covered Area and Snow Albedo in Mountain Regions,With the significant maturation of Earth science products in the EOS era we are on the verge of true quantitative integration of these high-resolution spatially explicit data records into water resource management and research. Snowmelt runoff forecasting in mountainous areas such as the western United States has developed as empirical models forced by sparse in situ measurements of snow water equivalent that lie primarily in subalpine regions. Not only do the seasonal forecast models already have large errors in some years they rely on a data record that assumes stationarity and therefore are theoretically ill suited for water manage- ment in a changing climate. Moreover they are unable to accurately address water resources during extreme events such as persisting spring snow or new snowfall in the alpine zone above almost all measurement sites. In response to this need for better assessment of the snow resource in mountain areas new Earth System Data Records that use MODIS data have become available. However they have not been rigorously validated and uncertainties and the possible presence of systematic error are not known. In this investigation we propose to undertake this necessary validation through four years because the products will evolve. The specific Earth System Data Records are: Daily MODIS fractional snow cover. MODIS fractional snow cover based on the normalized difference snow index originally developed for Landsat [Dozier 1989; Hall et al. 2006] available from Terra (product MOD10A1) since 2000 and from Aqua (product MYD10A1) since 2002 [Salomonson and Appel 2004 2006]. MODIS fractional snow cover based on spectral mixing [Painter et al. 2009] available for the Sierra Nevada since 2000 but produced on demand for any MODIS scene. The al- gorithm will be used for the NOAA/NOHRSC National Snow Model starting in water year 2010-11 and has been adopted for the GOES-R Advanced Baseline Imager (ABI) sched- uled for launch in the 2015 timeframe. Snow albedo of the fractional snow cover based on choosing the snow endmember from spectral mixing that minimizes the residual error [Painter et al. 2009]. A snow albedo prod- uct is also available for the normal ‚Äúbinary‚Äù (snow vs no-snow) snow-covered area product [Klein and Stroeve 2002] but it is usually applied to continuous snow cover. MODIS fractional snow cover and albedo smoothed and interpolated across time and space to compensate for cloud cover off-nadir viewing and data dropouts [Dozier et al. 2008]. The analyses are available as monthly data cubes during the snow seasons for the Sierra Nevada since 2000. The coupling presented here of fractional snow cover and the albedo of that snow provides water managers with spatially and temporally dense data records that populate modeling in- puts for forecasting and research. Their use in snowmelt models and reservoir operations would be advanced by our proposed investigation which would validate the products analyze the structure of errors and advise users of caveats and likely accuracy. Of greatest interest is their potential combination with surface data and energy balance models to help estimate the -1-spatial distribution of snow water equivalent (SWE). SWE can be interpolated in near real time from snow pillow and snow course measurements constraining the surface measurements by satellite snow-cover estimates [Fassnacht et al. 2003]. In addition SWE can be reconstructed from satellite snow-cover estimates and snow-depletion models [Martinec and Rango 1981; Cline et al. 1998; Molotch 2009].,2011,2015
Bodo Bookhagen Maiana Hanshaw Ivan Potapenko,10/1/11,9/30/13,"$60,000 ",National Aeronautics and Space Administration,Federal agencies,NNX11AL4GH,Volumetric Glacial Changes in the Central Andes During the Past Four Decades: Climate Change Debris Coverage or ENSO Variability,Melting glaciers in polar regions receive high visibility but tropical glaciers (such as those found in the central Andes of South America) are also melting. These highly seasonal glacial meltwaters have immediate consequences for the water food and power supplies of densely populated regions in adjacent countries including Peru and Bolivia. In the central Andes glacial mass- balance studies are extremely rare and both spatially and temporally limited. While glacial inventories exist in this region they are incomplete and the databases do not contain crucial parameters such as debris coverage a parameter increasingly gaining attention in predicting and understanding glacial mass balance changes. As a result quantifying the extent of the disequilibrium of these central Andean tropical glaciers remains a challenge and observation and understanding of these terrestrial water stores and fluxes remains poorly constrained despite their importance for downstream populations. Glacial dynamics are not uniform throughout the central Andes. However the degree to which varying parameters affect glacial volumetric changes has not been systematically investigated for the tropical glaciers of Peru and Bolivia. For example large-scale atmospheric circulation patterns (e.g. ENSO) are known to be a dominant forcing factor determining glacial advance and retreat in this region yet this impact has not been consistently quantified. This study will use Digital Elevation Models produced from Corona (~1970s) and ASTER (2000-2010) stereo pairs and the SRTM (2000) to quantify volumetric changes. Additionally areal changes and debris coverage will be analyzed with Landsat TM/ETM+ and ASTER imagery in combination with glacial surface velocities derived from image cross-correlation techniques. This four-decade long timeseries will be used to investigate the spatial variability of central Andean glacial dynamics in relation to glacial debris cover topographic (e.g. elevation relief channel slope) and climatic (seasonality and impact of ENSO) factors. Data and results derived from these remote-sensing based measurements and novel techniques will contribute to an improved inventory and understanding of varying parameters on glacial change in the Andes.,2011,2013
David Siegel,7/7/11,7/6/15,"$825,000 ",National Aeronautics and Space Administration,Federal agencies,NNX11AL94G,Evaluating NPP Ocean Color Data Products in a Complex Coastal Environment: The Plumes and Blooms Program,"This effort will continue the Plumes and Blooms (PnB) satellite ocean color observational and analysis program and will use theses observations to understand the quality of NPP data products in the complex coastal environments. The scientific aim of the PnB program is the understanding of the dynamics of sediment plumes and phytoplankton blooms in a complex coastal ocean using satellite, ship and bio-optical glider observations. This aim is well suited for evaluating and creating new NPP ocean color data products. Specifically, we propose to: ¥ Continue the PnB monthly field sampling program of optical, biological, biogeochemical & hydrographic parameters in the Santa Barbara Channel, 177 ¥ Use PnB data to evaluate NPP ocean color data products & algorithms, ¥ Supplement the PnB observational program with bimonthly, month-long oceanographic glider deployments of physical and bio-optical parameters, ¥ Understand how phytoplankton functional type (PFT) regulates ocean color and inherent optical property (IOP) variability, ¥ Investigate the relationships among the particle size distribution (PSD) and IOP’s and develop methods for the robust assessment of PSD using NPP-VIIRS ocean color imagery, ¥ Use the coupled PnB ship, glider and satellite observations to investigate the dynamics of phytoplankton blooms and sediment plumes in a complex coastal ocean.",2011,2015
David Siegel Fernanda Henderikx-Freitta,9/1/11,8/31/14,"$90,000 ",National Aeronautics and Space Administration,Federal agencies,NNX11AQ26H,Bio-optical Variability of Plumes Blooms and Relaxations in the Santa Barbara Channel: How Biased are our Current Assessments?,"Coastal waters are dynamic systems influenced by numerous atmospheric, marine and terrestrial processes that control the distribution of water column constituents in different temporal and spatial scales. Wind relaxation events, plumes and blooms are some of the mechanisms responsible for the mixing and transport of organic and inorganic materials such as larvae, nutrients, pollutants and sediments along the continental shelf. In the Santa Barbara Channel (SBC), California, these mechanisms cause dramatic changes in the color of the ocean on time scales of days to weeks. The variability of ocean color on short timescales has not been well characterized or accounted for by satellite remote sensing due to revisit time and sampling issues, which makes such observations impossible. Moreover, many ocean processes tend to develop under overcast conditions, when no imagery or in situ data is being collected, biasing the assessment of those systems to clear sky conditions. Underestimation of ocean productivity is also expected because phytoplankton pigmentation adapts to changes in light availability, and we might be biasing satellite observations of phytoplankton biomass to high light, clear sky conditions. My research objective is to characterize the variability of bio-optical properties on time scales of days to weeks in the Santa Barbara Channel and account for the observations that have been missed by satellite systems due to unfavorable meteorological conditions. An electric glider will be used to make repeated bio-optical and physical measurements of the water column during plumes, blooms and relaxation events at excellent temporal and spatial resolutions, nearly independent of weather conditions. An extensive set of in situ data will be synthesized and used to complement NASA satellite ocean color data. The characterization of ocean color variability in the SBC in finer time scale will provide new insights about how the ocean responds to physical disturbances, what are the ecological implications of rapid changes in bio-optical properties of the water, and how the current under sampling influences how much we know about coastal marine ecosystems and primary productivity. This research will help answer questions related to bias and aliasing of remote sensing data, providing a new perspective about ocean dynamics in the SBC.",2011,2014
Laura Hess,1/6/12,1/5/15,"$1,039,723 ",National Aeronautics and Space Administration,Federal agencies,NNX12AD27G,Land and Resource Use on the Amazon Floodplain Under Evolving Management Systems and Environmental Change: Fish Forests Cattle and Settlements,We propose to carry out integrated remote sensing field and modeling studies in order to quantify key drivers of land cover and land use change on the lower Amazon floodplain. We will use existing and new satellite (ALOS PALSAR Landsat TM) aerial (historic aerial photography and videography) and socioeconomic data sets to address the following questions: 1) What have been the main trends in land cover change in the Lower Amazon region over the last fifty years? 2) What are the economic strategies of the three main groups of resource users: ranchers smallholders and commercial fishers? 3) What has been the impact of the settlement and co-management policies now being implemented on land and resource use and floodplain vegetation cover? 4) How might climate induced changes in the Amazon flood regime impact floodplain land and resource use and consequently vegetation cover? The study area for the proposed work encompasses the Amazon floodplain from the western border of the state of Para Brazil downstream to the mouth of the Xingu River.,2012,2015
Jeff Dozier,4/1/12,9/30/16,"$427,125 ",National Aeronautics and Space Administration,Federal agencies,NNX12AJ87G,Assessing Water Resources in Remote Sparsely Gauged Snow-Dominated Mountain Basins,Our objective is to estimate seasonal snow volumes relative to historical trends and extremes in snow-dominated mountains that have austere infrastructure sparse gauging challenges of accessibility and emerging or enduring insecurity related to water resources. To judge feasibility the proposed effort looks at two regions a validation case and a case representing the characteristics outlined above. For the validation case we propose to use the Sierra Nevada of California a mountain range of extensive historical study emerging scientific innovation and conflicting priorities in managing water for agriculture urban areas hydropower recreation habitat and flood control. For the austere regional focus we will examine southwest and south Asia where some of the most persistent drought in the world causes food insecurity and combines with political instability and occasional flooding to affect US national security. Our approach will use a mix of satellite data and a spare modeling approach to present information essential for planning and decision making ranging from optimization of proposed infrastructure projects to assessment of water resources stored as snow for seasonal forecasts. We will combine optical imagery (MODIS on Terra/Aqua VIIRS on NPP) passive microwave data (SSM/I AMSR-E) retrospective reconstruction with energy balance calculations and gridded feed-forward uncoupled land surface modeling to establish retrospective context. Specifically we will use the period spanning the decade-long record from Terra and Aqua to bracket the historical record. In the California Sierra Nevada surface measurements have sufficient spatial and temporal resolution for us to validate our approach which we will extend to the Hindu Kush of High Asia where surface data are sparse and where access presents significant difficulties. The world's mountains accumulate substantial snow and in some areas produce the bulk of the runoff. In ranges like Afghanistan's Hindu Kush availability of water resources affects US policy martial and humanitarian operations and national security. The rugged terrain makes surface measurements difficult and also affects the analysis of remotely sensed data. The analysis would leverage several techniques developed from NASA-sponsored research and use NASA instruments. While using data from the Sierra Nevada for validation the activity would also improve water resource assessment in that region where statistically based forecasts occasionally produce significantly errors. Partner organizations include the US Army Corps of Engineers and the NOAA Office of Hydrology organizations that work together in the NOAA-led IWRSS (Integrated Water Resources Science and Services).,2012,2016
David Siegel Thomas Bell,9/1/12,8/31/15,"$90,000 ",National Aeronautics and Space Administration,Federal agencies,NNX12AO05H,Hyperspectral Remote Sensing of Kelp Condition in the Santa Barbara Channel,Giant kelp ecosystems are highly productive and provide habitat structure for a diverse assemblage of biological and economically important species. Recent studies using Landsat multispectral imagery have successfully assessed changes in kelp biomass at temporal and spatial scales once deemed infeasible. This proposed study would extend this work and use hyperspectral images (AVIRIS) of giant kelp forests in the Santa Barbara Channel to determine the age structure and condition of kelp fronds and relate changes in frond demographics to physical and environmental variables already measured by the Santa Barbara Coastal Long Term Ecological Research (SBC LTER) project at UCSB. Measurable differences in the in vivo reflectance spectra of giant kelp fronds at different life stages have been confirmed by earlier studies. Giant kelp blades of known age will be collected once per month and photosynthetic characteristics will be measured in the laboratory through the use of oxygen evolution and fluorescence spectroscopy. The proposed project will help assess how the impacts of a changing environment impact nearshore nutrient cycling and biodiversity. AVIRIS images of SBC LTER kelp forests from 1997 to present are available for our use. We are in possession of all equipment to be used for analysis of giant kelp in vivo reflectance spectra and photosynthetic characteristics and are in a position to immediately begin work. The proposed project supports the NASA 2010 Science Plan objective of “Advance(ing) Earth System Science to meet the challenges of climate and environmental change” for a keystone ecosystem species with important economic value.,2012,2015
David Siegel,10/1/12,11/12/14,"$102,158 ",National Aeronautics and Space Administration,Federal agencies,NNX13AC35G,Controls on Open Ocean Productivity and Export eXperiment - COOPEX,"The determination of rates of net community production (NCP) and export production (EP) is important for many global ocean problems including understanding the role of the biological pump on atmospheric CO2 levels and thereby climate as well as the predicting the impacts of fossil fuel CO2 emissions on ocean ecosystems and biogeochemical cycles. The determination of EP and NCP on regional to global space scales and seasonal to interannual time scales is central for the rationale for NASA’s up-coming Pre-Aerosol-Cloud-Ecosystems (PACE) mission. However, our ability to assess these important carbon cycle parameters from satellite data remains quite limited and new approaches and data sets are desperately needed. We propose the development of a major field campaign focused on a process level description of NCP and EP to provide progress toward the prediction of important carbon cycle parameters on local to global scales. This field campaign we have coined (for now) as: “Controls on Open Ocean Productivity and EXport – COOPEX”. The overarching question for COOPEX is How 179 do upper ocean processes control net community production and carbon export in the open ocean and the sequestration of exported carbon to depth? A major field campaign focused on controls of carbon cycling parameters is needed to elucidate the underlying mechanisms controlling NCP and EP in the open ocean and provide the necessary data and models to assess changes in these parameters that can be measured by satellite observations. There are many recent technical advances in remote sensing science, ocean biogeochemistry, bio-optics, autonomous sampling platforms and coupled physical-ecological-biogeochemical numerical modeling that make this vision a possibility – and one that needs to be accomplished now. Here, we request support from the NASA Ocean Biology and Biogeochemistry program to develop an implementation plan for COOPEX. Funds are requested for a small scoping workshop of domain experts (~25) to be held at UC Santa Barbara to scope and formulate the COOPEX implementation plan. The scoping workshop and the implementation plan writing will be led by Dave Siegel (UCSB) and Ken Buesseler (WHOI). Assisting them is a team of domain experts that will help steer the project forward and will assist in the writing of the implementation plan.",2012,2014
