pis,start,end,amount,agency,relationship,id,title,funded,start-year,end-year
Jean Carlson Ralph Archuleta,2/1/12,1/31/17,"$76,000 ",University of Southern California,Institutes of higher education,Y86552-J,SCEC4 Participation Project J: Compactivity Comminution Heating and Disorder - The Physics of Granular Fault Gouge,y,2012,2017
Duane DeVecchio Dylan Rood Ralph Archuleta,2/1/12,1/31/17,"$6,500 ",University of Southern California,Institutes of higher education,Y86552-K,SCEC4 Participation Project K: Precise Fault Slip Rates on the Oak Ridge Fault: New age constraints on the Saugus Formation using 36Cl/10Be isochron burial dating,y,2012,2017
Chen Ji Ralph Archuleta,2/1/13,1/31/17,"$25,000 ",University of Southern California,Institutes of higher education,Y86552-I,SCEC4 Participation Project I: Developing and testing Realtime finite fault inversion and ground motion prediction algorithms using ShakeOut synthetic datasets,y,2013,2017
Chen Ji Ralph Archuleta,2/1/12,1/31/17,"$30,000 ",University of Southern California,Institutes of higher education,Y86552-R,SCEC4 Participation Project R: Characterization of induced micro-seismicity associated with one hydraulic fracturing experiment near the San Andreas Fault Central California,y,2012,2017
Chen Ji Ralph Archuleta,2/1/12,1/31/17,"$11,000 ",University of Southern California,Institutes of higher education,Y86552-S,SCEC4 Participation Project S: M 7.x SIV-Benchmark Simulations for greater L.A. Region,y,2012,2017
Robin Matoza Toshiro Tanimoto,12/31/99,00/00/00,$0 ,University of Southern California,Institutes of higher education,,SCEC5 Participation Project H: Shallow Elastic Structure from Co-located Seismic and Pressure Sensors,y,1999,#VALUE!
Dylan Rood Toshiro Tanimoto,5/1/17,9/30/18,"$22,000 ",University of Southern California,Institutes of higher education,4315363-C,SCEC5 Participation Project: Testing fault geometry and interaction models using high-precision slip rates on the San Cayetano and Ventura-Pitas Point Faults,y,2017,2018
Alexander Simms Ralph Archuleta,2/1/12,1/31/17,"$56,700 ",University of Southern California,Institutes of higher education,Y86552-L,SCEC4 Participation Project L: Collaborative Research: Documentation of Tsunami Deposits in the Carpinteria and Goleta Slough Estuaries: A signal of Great Earthquakes on the Pitas Point Thrust,y,2012,2017
Alexander Simms Ralph Archuleta,2/1/12,1/31/17,"$12,000 ",University of Southern California,Institutes of higher education,Y86552-T,SCEC4 Participation Project T: Testing Model Predictions of Large Tsunamis Associated with Great Earthquakes on the Pitas Point Thrust using Ground-Penetrating Radar,y,2012,2017
Christopher Sorlien Ralph Archuleta,2/1/15,1/31/16,"$21,000 ",University of Southern California,Institutes of higher education,15098,SCEC4 Participation Project N: Offshore South-Central California for the Community Fault Model,y,2015,2016
Jamison Steidl Ralph Archuleta,2/1/15,1/31/20,"$30,000 ",University of Southern California,Institutes of higher education,10358789-A,SCEC4 Participation Project P: SCEC Borehole Instrumentation Program,y,2015,2020
Jamison Steidl Ralph Archuleta,2/1/15,1/31/18,"$18,000 ",University of Southern California,Institutes of higher education,10358789-B,SCEC4 Participation Project Q: The SCEC Portable Broadband Instrument Center,y,2015,2018
Jamison Steidl,7/1/16,6/30/19,"$200,000 ",University of Southern California,Institutes of higher education,10456511,Central California Special Project: Temporary Seismic Deployment,y,2016,2019
Jamison Steidl Toshiro Tanimoto,2/1/19,1/31/20,"$9,000 ",University of Southern California,Institutes of higher education,118063069-I,SCEC5 Participation Project I: Verification and Validation of 3D Nonlinear Physics-based Ground Motion Simulations: Phase I,y,2019,2020
Jamison Steidl Toshiro Tanimoto,2/1/19,1/31/20,"$35,000 ",University of Southern California,Institutes of higher education,118063069-J,SCEC5 Participation Project J: Borehole Instrumentation Program,y,2019,2020
Jamison Steidl Toshiro Tanimoto,2/1/19,1/31/20,"$23,000 ",University of Southern California,Institutes of higher education,118063069-K,SCEC5 Participation Project K: Portable Broadband Instrument Center,y,2019,2020
Jamison Steidl Toshiro Tanimoto,5/1/17,9/30/18,"$30,000 ",University of Southern California,Institutes of higher education,17246,SCEC5 Participation Project A: SCEC Borehole Instrumentation Program,y,2017,2018
Jamison Steidl Ralph Archuleta, 2/1/12,1/31/17,"$116,000 ",University of Southern California,Institutes of higher education,Y86552-A,SCEC4 Participation Project A: SCEC Borehole Instrumentation Center,y,#VALUE!,2017
Jamison Steidl Ralph Archuleta,2/1/12,1/31/17,"$89,000 ",University of Southern California,Institutes of higher education,Y86552-B,SCEC4 Participation Project B: The SCEC Portable Broadband Instrument Center,y,2012,2017
Toshiro Tanimoto Jamison Steidl,2/1/18,1/31/20,"$35,000 ",University of Southern California,Institutes of higher education,104714023-E,SCEC5 Participation Project E: SCEC Borehole Instrumentation Program,y,2018,2020
Toshiro Tanimoto Jamison Steidl,2/1/18,1/31/20,"$35,000 ",University of Southern California,Institutes of higher education, 104714023-E,SCEC5 Participation Project F: SCEC Portable Broadband Instrument Center (PBIC),y,2018,2020
Toshiro Tanimoto Ralph Archuleta,2/1/13,10/30/16,"$25,000 ",University of Southern California,Institutes of higher education,39073248,SCEC4 Participation Project G: Modeling high-frequency seismic waves in Southern California,y,2013,2016
Toshiro Tanimoto,2/1/17,1/31/22,$0 ,University of Southern California,Institutes of higher education,G17AC00047,SCEC5 Master,y,2017,2022
Qinghua Ding,7/1/16,4/30/20,"$113,422 ",University of Washington,Institutes of higher education,UWSC10548,Collaborative Research: A high-sensitivity 10Be and extraterrestrial 3He record from an ice core at South Pole,y,2016,2020
Qinghua Ding,8/1/16,7/31/19,"$161,045 ",University of Washington,Institutes of higher education,UWSC9314,CVP: Seasonal to interannual variability and predictability of Arctic summertime sea ice associated with tropically forced planetary wave patterns,y,2016,2019
Robert Heilmayr,4/1/18,3/31/19,"$51,220 ",University of Wisconsin,Institutes of higher education,811K204,Deforestation impacts of the Amazon Soy Moratorium,y,2018,2019
Samuel Sweet Christopher Evelyn,8/15/16,12/31/17,"$46,778 ",US Department of Agriculture,Federal agencies,2016-CS-11052007-086,Conservation Status of California Amphibians and Reptiles,y,2016,2017
Ryan Niemeyer Christina Tague,6/1/18,5/31/20,"$164,977 ",US Department of Agriculture,Federal agencies,2018-67012-28046,Forest thinning in dry forests: improving the resilience of forest health and streamflow in the Pacific Northwest,y,2018,2020
Michael Singer Kelly Caylor Dar Roberts,9/19/18,9/19/22,"$569,285 ",US Department of Defense Strategic Environmental Research Devel,Federal agencies,W912HQ18C0068,Understanding and Assessing Riparian Habitat Vulnerability to Drought-Prone Climate Regimes on Department of Defense Bases in the Southerwestern USA,y,2018,2022
Jim Boles,2/1/10,6/30/15,"$287,219 ",US Department of Energy,Federal agencies,DE-SC0003676,Fault-Related CO2 Degassing Geothermics & Fluid FLow in Southern California Basins---Physiochemical Evidence & Modeling,y,2010,2015
David Siegel Nicholas Nidzieko Daniel Reed Norm Nelson Robert Miller Thomas Bell,5/1/18,4/30/21,"$2,003,894 ",US Department of Energy,Federal agencies,DE-AR0000922,Scalable Aquaculture Monitoring System - SAMS,y,2018,2021
Samuel Sweet,6/10/09,6/9/19,"$29,914 ",US Department of the Air Force,Federal agencies,FA4610-09-P-0102,California Tiger Salamander Survey,y,2009,2019
Lisa Stratton,10/1/12,9/30/17,"$59,800 ",US Fish and Wildlife Service,Federal agencies,F12AC00683,Recovery Activities for Nipomo Lupine,y,2012,2017
Samuel Sweet,6/1/12,6/1/17,"$12,013 ",US Fish and Wildlife Service,Federal agencies,F12AC01020,Research and Restoration at Casmalia Landfill: Ecosystem Evaluation and Restoration for Species Recovery,y,2012,2017
John Cottle,2/28/12,7/31/14,"$67,095 ",US Geological Survey,Federal agencies,G12AP20049,Evaluating Mechanisms for Rare Earth Phosphate Mineralization in the Proterozoic Pinto Gneiss Music Valley Eastern Mojave California,y,2012,2014
Phil Gans,4/1/14,5/31/15,"$25,677 ",US Geological Survey,Federal agencies,G14AC00080,Geological Mapping of the Southwestern Whipple Mountains and Eastern Mopah Range Southeastern California: Unraveling the Eruptive and Structural History of a Synextensional Miocene Volcanic Center,y,2014,2015
Phil Gans,6/1/16,8/31/17,"$42,715 ",US Geological Survey,Federal agencies,G16AC00157,Geologic Mapping of the Snake Range Metamorphic Core Complex Eastern Nevada: Unraveling the Creatceous-Paleocene History of Burial and Partial Exhumation of Footwall Rocks,y,2016,2017
Dylan Rood,6/1/14,5/31/15,"$27,406 ",US Geological Survey,Federal agencies,G14AP00055TDD,Differential Uplift and Incision of the Yakima River Terraces: Collaborative Research with WWU UVM & State Agricultural College and UCSB,y,2014,2015
Alexander Simms,8/1/14,7/31/15,"$19,508 ",US Geological Survey,Federal agencies,G14AC00277,Geologic Controls on Karst in western Oklahoma,y,2014,2015
Christopher Sorlien,1/1/14,6/30/15,"$55,713 ",US Geological Survey,Federal agencies,G14AP00012,Post-1 Ma Deformation History of the Pitas Point-North Channel-Red Mountain Fault System and Associated Folds in Santa Barbara Channel California,y,2014,2015
Christina Tague,5/15/10,6/30/15,"$365,554 ",US Geological Survey,Federal agencies,G10AC00309,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems,y,2010,2015
Christina Tague,8/1/15,7/31/16,"$70,000 ",US Geological Survey,Federal agencies,G15AC00359,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems,y,2015,2016
Roland Knapp,9/22/15,7/31/20,"$46,464 ",USDI Fish and Wildlife Services,Federal agencies,F15AC00500,Treatment and prevention of infection by Bd in two species of mountain yellow-legged frogs,y,2015,2020
Joshua Schimel Joseph Blankinship,3/1/16,2/28/17,"$50,000 ",USGS Powell Center,Federal agencies,G16AC000053,What lies below? Improving quantification and prediction of soil carbon storage stability and susceptibility to disturbance,y,2016,2017
Laura Hess John Melack Thiago Silva,1/14/14,1/13/19,"$529,966 ",Virginia Polytechnic Institute and State University,Institutes of higher education,426670-19B03,Impacts of floods and droughts on aquatic macrophytes forests and fisheries of central Amazonian river floodplains,y,2014,2019
Christina Tague,4/1/11,3/31/17,"$410,984 ",Washington State University (Pullman WA),Institutes of higher education,115320 G002931,Collaborative Research: Type 2: Understanding Biogeochemical Cycling in the Context of Climate Variability Using a Regional Earth System Modeling Framework,y,2011,2017
Jordan Clark,10/1/10,12/31/14,"$110,875 ",WateReuse Association (Foundation),"Private agencies, foundations",WRF-09-11,Development of New Tracers for Determining Travel Time Near MAR Operations,y,2010,2014
Thorsch,9/1/17,6/30/18,"$74,369 ",America Honda Foundation (Japan-Subsidiary),"Private agencies, foundations",20180084,Kids in Nature University of California Santa Barbara (KIN2),n,2017,2018
MacDonald,9/1/20,8/31/22,"$110,000 ",American Chemical Society,"Private agencies, foundations",20191146,Middle Miocene volcanism and climate change in the Monterey Formation,n,2020,2022
Raven,9/1/19,8/31/21,"$110,000 ",American Chemical Society,"Private agencies, foundations",20190461,"Exploring early sedimentary sources for sulfur-rich native bitumens with an integrated chemical, isotopic, and molecular approach",n,2019,2021
Raven,9/1/20,8/31/22,"$110,000 ",American Chemical Society,"Private agencies, foundations",20191154,A molecular approach for characterizing sulfur-rich native bitumens,n,2020,2022
Ohlmann,11/1/18,7/31/20,"$172,037 ",Arete Associates,"Private agencies, foundations",20181086,Ocean of Things Data Analytics,n,2018,2020
Maritorena,10/1/19,9/30/22,"$215,811 ",Bermuda Institute of Ocean Sciences (BIOS) Inc.,"Private agencies, foundations",20191190,Algorithm Development for Retrieval of Coral Reef Bottom Reflectance,n,2019,2022
Simms,7/1/15,6/30/17,"$199,244 ",Bureau of Safety and Environmental Enforcement,Federal agencies,20151106,Submarine Flow Hazards Along the Northern Santa Barbara Channel,n,2015,2017
Thorsch,7/1/17,5/31/18,"$49,985 ",California Coastal Commission,California state and municipal agencies,20170516,Kids in Nature Explore North Campus Open Space,n,2017,2018
"Michaelsen, Stratton",6/1/18,5/31/21,"$1,387,140 ",California Department of Fish and Wildlife,California state and municipal agencies,20171539,North Campus Open Space Coastal Wetland Buffer Restoration,n,2018,2021
Knapp,5/1/19,4/30/22,"$126,719 ",California Department of Fish and Wildlife,California state and municipal agencies,20191324,"Translocation and monitoring of mountain yellow-legged frog northern DPS, Rana muscosa, in Mulkey Meadows and Rocky Basin Lakes, Tulare County",n,2019,2022
"Blankinship, Schimel",10/1/15,6/30/18,"$293,839 ",California Department of Food and Agriculture,California state and municipal agencies,20150631,Developing a Soil-Based Solution for Adapting California Specialty Crops to Drought,n,2015,2018
"Myers, Seltmann",5/15/19,5/14/20,"$50,000 ",California EPA Office of the Secretary,California state and municipal agencies,20191207,Kids in Nature: Increasing Climate Change Literacy in Underserved Public Schools,n,2019,2020
"Michaelsen, Stratton",1/1/17,6/30/20,"$1,094,513 ",California EPA Water Control Board,California state and municipal agencies,20161142,"North Campus Open Space Stormwater Retention, Wetland Restoration and LID Demonstration Project",n,2017,2020
Florsheim,8/1/16,2/28/18,"$134,534 ",California Landscape Conservation Cooperative,"Private agencies, foundations",20161076,"Synthesizing data for climate variation and change effects on feebacks between wildfire, sediment dynamics, and vegetation recovery",n,2016,2018
Stratton,5/1/20,4/30/22,"$887,805 ",California Natural Resources Agency,California state and municipal agencies,20191458,UC Santa Barbara North Campus Open Space Green Infrastructure Access Project,n,2020,2022
"Dozier, Dunne",12/1/19,12/31/22,"$120,238 ",California State University - Northridge,Institutes of higher education,20190548,Developing a numerical river energy balance model for stream temperature management downstream of dams,n,2019,2022
Suh,5/1/15,4/30/18,"$72,411 ",City University of New York (CUNY),Institutes of higher education,20151114,WSC - Category 3: A National Energy-Water System Assessment Framework (NEWS): Stage 1 Development,n,2015,2018
"Seltmann, Myers",9/1/18,8/31/19,"$47,910 ",Clarence E. Heller Charitable Foundation,"Private agencies, foundations",20190142,Kids in Nature Explore Environmental Science,n,2018,2019
Caylor,1/1/18,12/31/20,"$109,403 ",Clark University,Institutes of higher education,20171348,Land use dynamics along a topographical frontier: Drivers and impacts of accelerating agricultural expansion in upland Southeast Asia,n,2018,2020
Florsheim,9/1/16,8/31/17,"$65,998 ",CSU San Diego State University,Institutes of higher education,20160502,Developing resilient landscapes after wildfires under,n,2016,2017
Florsheim,8/1/16,6/30/17,"$12,894 ",CSU San Diego State University,Institutes of higher education,20170169,Post-fire Recovery in the Beryyessa Snow Mountain National Monument,n,2016,2017
"Porter, Riedman",5/1/19,12/31/20,"$3,000 ",Evolving Earth Foundation,"Private agencies, foundations",20191118,Small carbonaceous fossils from Tasmania as a window onto later Cambrian animals,n,2019,2020
Simons,12/1/18,11/30/21,"$69,170 ",Florida State University,Institutes of higher education,20190167,Quantifying how ocean temperatures and dynamic circulation shape larval urchin recruitment in the face of climate change and El Niño,n,2018,2021
Larsen,10/1/18,9/30/21,$0 ,Foundation for Food and Agriculture Research,"Private agencies, foundations",20180986,Pathways to sustainable pesticide use: combining ecology and economics to identify and reduce extreme pesticide use.,n,2018,2021
Larsen,10/1/18,9/30/21,"$256,698 ",Foundation for Food and Agriculture Research,"Private agencies, foundations",20181165,Pathways to sustainable pesticide use,n,2018,2021
"Michaelsen, Stratton",2/1/16,12/31/16,"$25,000 ",Goleta West Sanitary District,California state and municipal agencies,20160696,North Campus Open Space (NCOS) Public Access Design Project,n,2016,2016
Awramik,1/24/16,1/23/19,"$322,647 ",Jet Propulsion Laboratory,Federal agencies,20160079,Paleoclimate and taphonomy of Mars-analog Archean lake systems,n,2016,2019
Maritorena,3/1/17,2/28/22,"$97,908 ",Jet Propulsion Laboratory,Federal agencies,20170234,"Unified Aerosol-Water Retrievals for the Metop-SG Multi-viewing, Multi-channel, Multi-polarization Imaging (3MI) MIssion",n,2017,2022
"Dozier, Bair",8/1/17,1/31/19,"$57,432 ",Jet Propulsion Laboratory,Federal agencies,20170801,"Spatial Dynamics of Grain Size, Radiative Forcing by Impurities, and Spectral Albedo from AVIRIS-NG Data in the Indian Himalaya",n,2017,2019
Maritorena,1/1/19,12/31/23,"$157,841 ",Jet Propulsion Laboratory,Federal agencies,20181559,"Unified Aerosol-Water Retrievals for the Metop-SG Multi-viewing, Multi-channel, Multi-polarization Imaging (3MI) Mission",n,2019,2023
Keller,7/1/18,1/1/20,"$80,000 ",Louisiana State University,Institutes of higher education,20171504,Zein-based Nanoparticles for Agricultural Applications,n,2018,2020
Stratton,12/1/17,12/1/19,"$4,196 ","Marine Accoustics, Inc.","Private agencies, foundations",20180225,Assessing the effects of restoration on bats at the UCSB North Campus Open Space,n,2017,2019
Seltmann,1/1/17,12/31/17,"$17,856 ",Mazda Foundation,"Private agencies, foundations",20161425,Kids in Nature - Spring into Summer,n,2017,2017
Heilmayr,7/1/19,3/31/20,"$74,957 ",Meridian Institute,"Private agencies, foundations",20191506,Corporate environmental governance of oil palm supply chains in Sounteast Asia,n,2019,2020
"Bair, Dozier",1/1/16,12/31/18,"$617,614 ",National Aeronautics and Space Administration,Federal agencies,20151417,Reconciling spatially distributed estimates of snow on the ground to Global Precipitation Measurements,n,2016,2018
"Dozier, Brandt",9/1/15,8/31/16,"$30,000 ",National Aeronautics and Space Administration,Federal agencies,20150855,Hydrologic and ecological forecasting in California's Sierra Nevada,n,2015,2016
"Dozier, Stillinger",9/1/15,8/31/16,"$30,000 ",National Aeronautics and Space Administration,Federal agencies,20150858,Discrimination between Clouds and Snow Based on Grain Size and Viewing Geometry,n,2015,2016
"McFadden, Wetherley",9/1/15,8/31/16,"$30,000 ",National Aeronautics and Space Administration,Federal agencies,20150818,Using HyspIRI-like data to characterize urban surface types and evapotranspiration for improved climate modeling,n,2015,2016
"Carvalho, Jones, Norris, Bookhagen",8/1/16,7/31/19,"$1,097,175 ",National Aeronautics and Space Administration,Federal agencies,20161155,Using Satellite Products to Improve High Resolution Regional Modeling and Forecasts in High Mountain Asia,n,2016,2019
DeVries,7/1/16,6/30/18,"$231,228 ",National Aeronautics and Space Administration,Federal agencies,20160955,Quantifying uncertainties in the ocean's biological carbon pump with existing remotely-sensed and in-situ observations: Guidance for the EXPORTS field campaign,n,2016,2018
"DeVries, Bagnell",9/1/16,8/31/17,"$30,000 ",National Aeronautics and Space Administration,Federal agencies,20160819,Constraining Inter-Annual Variability in Ocean Circulation with Multiple Tracers in a Global Data Assimilation Model,n,2016,2017
"Dozier, Bair, Rittger",8/1/16,7/31/19,"$1,298,147 ",National Aeronautics and Space Administration,Federal agencies,20161158,"Retrospective Assessment and Seasonal Forecasts of Snowmelt Runoff, and their Contributions to Glacier Mass Balance",n,2016,2019
"Dozier, Costello",8/1/16,7/31/21,"$1,039,902 ",National Aeronautics and Space Administration,Federal agencies,20161052,Value of Information from Earth Observations of Mountain Snowpack Properties for Water Resources Management,n,2016,2021
"Dozier, Stillinger",9/1/16,8/31/17,"$30,000 ",National Aeronautics and Space Administration,Federal agencies,20160794,"Discrimination of Clouds from Snow Based on Radiative Transfer, Topography, Viewing Geometry, and Fuzzy Logic",n,2016,2017
Maritorena,7/1/16,6/30/19,"$461,277 ",National Aeronautics and Space Administration,Federal agencies,20160956,Regional oceanic biogeochemistry and the bio-ecology of the Moorea (French Polynesia) coral reef,n,2016,2019
"Nelson, Siegel",7/1/16,6/30/19,"$975,380 ",National Aeronautics and Space Administration,Federal agencies,20160822,Ocean Color on CLIVAR: Decadal-scale repeat sections,n,2016,2019
Porter,4/3/17,4/2/19,"$308,272 ",National Aeronautics and Space Administration,Federal agencies,20161273,"Predation, oxygen, and the Neoproterozoic rise of eukaryotes",n,2017,2019
Tague,1/1/17,12/31/19,"$746,772 ",National Aeronautics and Space Administration,Federal agencies,20161333,"Assessing the sensitivity of carbon net ecosystem exchange to changes in climate, land use, and disturbance in two large river basins in the northeastern U.S. over multi-decadal time scales:a hydro-ecological investigation.",n,2017,2019
"Tague, Frew",2/1/16,1/31/18,"$450,029 ",National Aeronautics and Space Administration,Federal agencies,20160049,Better Ecohydrological Modeling in California's Sierra Nevada,n,2016,2018
Tanimoto,1/1/17,12/31/18,"$295,971 ",National Aeronautics and Space Administration,Federal agencies,20161346,Elucidating mechanical coupling processes in the Earth system,n,2017,2018
Bair,1/1/17,12/31/19,"$326,124 ",National Aeronautics and Space Administration,Federal agencies,20170015,Parallel energy balance modeling of snowmelt relying on remotely-sensed measurements,n,2017,2019
Bair,9/1/17,8/31/20,"$357,504 ",National Aeronautics and Space Administration,Federal agencies,20171007,"Operational implementation of the ParBal model to predict snow and ice melt across the Sierra Nevada, USA",n,2017,2020
DeVries,1/1/18,12/31/20,$0 ,National Aeronautics and Space Administration,Federal agencies,20170975,Using EXPORTS data to constrain the export and fate of upper ocean net primary production in a global biogeochemical model,n,2018,2020
DeVries,8/15/17,8/14/20,"$336,281 ",National Aeronautics and Space Administration,Federal agencies,20170975,A global observationally-driven model for quantifying the export and fate of upper-ocean NPP,n,2017,2020
Ding,10/1/17,9/30/20,"$337,216 ",National Aeronautics and Space Administration,Federal agencies,20171453,Sources and impacts of atmospheric forcing on recent changes of Antarctic sea ice and the Southern Ocean,n,2017,2020
Heilmayr,1/1/18,12/31/20,"$748,276 ",National Aeronautics and Space Administration,Federal agencies,20170641,"Assessing the impacts of non-state, market driven governance on land cover and ecosystems in Southeast Asia",n,2018,2020
"Maritorena, Siegel",12/1/17,11/30/22,"$1,802,901 ",National Aeronautics and Space Administration,Federal agencies,20171315,Earth Science Data Records for Oceanic and Coastal Biogeochemistry Research,n,2017,2022
Nidzieko,1/1/17,12/31/19,"$835,132 ",National Aeronautics and Space Administration,Federal agencies,20170372,Submesoscale dynamics of in-situ Net Community  Production and satellite Net Primary Production,n,2017,2019
Nidzieko,1/1/18,12/31/19,"$382,284 ",National Aeronautics and Space Administration,Federal agencies,20171510,Assessing the turbulent kinetic energy budget in coastal fronts with satellites and in situ measurements,n,2018,2019
"Nidzieko, Haskell",8/15/17,8/14/20,"$863,039 ",National Aeronautics and Space Administration,Federal agencies,20170982,Submesoscale dynamics and in situ Net Community Production in the deep euphotic zone,n,2017,2020
Ohlmann,7/15/17,7/14/21,$0 ,National Aeronautics and Space Administration,Federal agencies,20170959,Linking Ocean Biogeochemistry Observations with the Highly Localized Submesoscale Circulation,n,2017,2021
"Siegel, DeVries",3/1/17,2/29/20,"$672,497 ",National Aeronautics and Space Administration,Federal agencies,20170364,Modeling Global Ocean Zooplankton Distributions using Satellite Observations,n,2017,2020
"Siegel, Kramer",9/1/17,8/31/18,"$45,000 ",National Aeronautics and Space Administration,Federal agencies,20170863,"Global Ocean Plankton: Genomics, Optics, Pigments.",n,2017,2018
"DeVries, Maritorena, Siegel",12/1/17,11/30/20,"$734,933 ",National Aeronautics and Space Administration,Federal agencies,20180208,A biogeochemically-consistent model of ocean productivity and carbon export from satellite observations,n,2017,2020
"Maritorena, Siegel",12/1/17,11/30/20,"$716,102 ",National Aeronautics and Space Administration,Federal agencies,20180207,"Data quality, inter-sensor consistency and multi-sensor ocean color data sets for environmental change studies",n,2017,2020
"Nelson, Siegel",12/15/17,12/14/20,"$953,748 ",National Aeronautics and Space Administration,Federal agencies,20180209,Controls on open ocean phytoplankton community structure as revealed by ocean color and in situ measurements,n,2017,2020
"Rittger, Bair",1/1/18,12/31/20,"$427,332 ",National Aeronautics and Space Administration,Federal agencies,20180144,"Improving the understanding of the water cycle across the Western United States through data assimilation of remotely sensed snow cover, snow albedo, and snow water equivalent in the National Water Model",n,2018,2020
Tanimoto,6/1/18,5/31/22,"$405,365 ",National Aeronautics and Space Administration,Federal agencies,20180963,The interior structure of Mars from the co-located seismic and barometric sensors,n,2018,2022
Siegel,9/1/19,8/31/22,"$135,000 ",National Aeronautics and Space Administration,Federal agencies,20190902,Assessing Sinking Particle Export Pathways in the Ocean’s Biological Carbon Pump,n,2019,2022
DeVries,7/1/16,6/30/19,"$86,468 ",National Aeronautics and Space Administration,Federal agencies,20171417,Quantifying the ocean's biological carbon pump with remotely sensed and in-situ observations,n,2016,2019
MacIntyre,7/1/17,6/30/20,$0 ,National Aeronautics and Space Administration,Federal agencies,20170834,Preliminary Proposal: Using Hydrodynamics to Scale Aquatic Metabolism and Fluxes of Greenhouse Gases in Lakes at Norhtern Latitudes,n,2017,2020
"Baxter, Ding",9/1/19,8/31/22,"$135,000 ",National Aeronautics and Space Administration,Federal agencies,20190906,"Understanding circulation-driven Arctic cloud radiative effects in an integrated analysis: satellite observations, reanalysis, and modeling experiments",n,2019,2022
"Castillo, Wilbanks",9/1/19,8/31/22,"$135,000 ",National Aeronautics and Space Administration,Federal agencies,20190869,Decoding cryptic biogeochemical cycling of sinking marine particles: microbial contributions to aerobic and anaerobic respiration,n,2019,2022
Dozier,10/1/19,9/30/22,"$566,498 ",National Aeronautics and Space Administration,Federal agencies,20191584,Radiation Balance of Glaciers and Seasonal and Ephemeral Snow in High Mountain Asia,n,2019,2022
"Farrant, Larsen",9/1/19,8/31/22,"$135,000 ",National Aeronautics and Space Administration,Federal agencies,20190900,Using high resolution remote sensing data to evaluate fruit and vegetable yield gaps and forecast land abandonment,n,2019,2022
"Maritorena, Siegel",1/1/20,12/31/22,"$478,836 ",National Aeronautics and Space Administration,Federal agencies,20191662,Reflectance inversion algorithm with optimized spectral weighting for the retrieval of spectral IOPs from PACE OCI-like data,n,2020,2022
Moeller,1/1/20,12/31/22,"$586,368 ",National Aeronautics and Space Administration,Federal agencies,20191537,Acquired metabolism as a evolutionary driver of niche expansion and eukaryotic cellular complexity,n,2020,2022
Morell,9/1/19,8/31/22,"$135,000 ",National Aeronautics and Space Administration,Federal agencies,20191160,"Internally-driven, transient incision from river capture: Sutlej River, western Himalaya",n,2019,2022
Nidzieko,1/1/20,12/31/22,"$699,073 ",National Aeronautics and Space Administration,Federal agencies,20191621,A Data-driven approach to predicting Oceanic Scalar Exchange from Remote-Sensing Imagery,n,2020,2022
"Romero, Maritorena",00/00/00,00/00/00,"$435,986 ",National Aeronautics and Space Administration,Federal agencies,20191238,Towards a physics-based improved correction for whitecaps in ocean color remote sensing,n,#VALUE!,#VALUE!
"Siegel, Maritorena",1/1/20,12/31/22,"$687,740 ",National Aeronautics and Space Administration,Federal agencies,20191622,Development of Robust Spectral Derivative Algorithms for Phytoplankton Pigment Concentrations on Local to Global Scales,n,2020,2022
Oono,9/1/19,8/31/21,"$253,984 ",National Fish and Wildlife Foundation,"Private agencies, foundations",20191194,Restoration of conifer forests within the Zaca Fire scar using beneficial microbial inoculums,n,2019,2021
Oono,10/1/19,9/30/21,"$366,804 ",National Fish and Wildlife Foundation,"Private agencies, foundations",20191199,Development of Biological Control for Fire-Promoting Invasive Grass,n,2019,2021
Caylor,6/1/18,5/31/19,"$40,140 ",National Geographic Society,"Private agencies, foundations",20180429,Wild robots: Innovating microcontroller use to explore wildlife loss’s impacts on the carbon cycle,n,2018,2019
"Michaelsen, Stratton",1/1/16,12/31/18,"$549,264 ",National Oceanic and Atmospheric Administration,Federal agencies,20151425,North Campus Open Space Coastal Lagoon Resilience,n,2016,2018
Tanimoto,9/1/15,8/31/16,"$76,799 ",National Oceanic and Atmospheric Administration,Federal agencies,20150608,Monitoring the intensity of hurricanes by seismic and barometric networks,n,2015,2016
"Kappel, Gaines, Hofmann, Siegel, Tague, Valentine",9/1/16,8/31/21,"$15,499,997 ",National Oceanic and Atmospheric Administration,Federal agencies,20161049,"NOAA's Pacific Coastal Science Center at UCSB: Strengthening the NOAA pipeline through collaborative, interdisciplinary research and training",n,2016,2021
"Keller, Dugan",9/1/16,8/31/19,"$844,984 ",National Oceanic and Atmospheric Administration,Federal agencies,20160703,EESLR 2016: The Beach and Seacliff Ecosystem (BASE) Project: Advancing Predictive Capabilities of Overlooked Ecosystems for Adaptive Management Solutions to Sea Level Rise,n,2016,2019
Stevenson,9/1/18,8/31/20,"$200,204 ",National Oceanic and Atmospheric Administration,Federal agencies,20181351,Collaborative Proposal: Evaluating the Impact of Observations on the Estimated State of the Tropical Pacific,n,2018,2020
"Ding, Jones, DeVries",9/1/19,8/31/22,"$612,158 ",National Oceanic and Atmospheric Administration,Federal agencies,20190623,CVP: Decadal variability and predictability of the tropical-bipolar teleconnection and its impacts on the high latitudes ,n,2019,2022
