,"""About the data: Exported on Nov 02, 2019. Criteria: Researcher is Kelly Krispin Caylor. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
56,100,pub.1024902033,10.5194/hess-17-3969-2013,,,Virtual water trade and development in Africa,Hydrology and Earth System Sciences,,,2013-10-15,2013,17,10,3969-3982,All OA; Gold,Article,"Konar, M.; Caylor, K. K.",,"Konar, M. (University of Illinois at Urbana Champaign); Caylor, K. K. (Princeton University)",27,11,,5.32,https://doi.org/10.5194/hess-17-3969-2013,https://app.dimensions.ai/details/publication/pub.1024902033,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
57,100,pub.1023585606,10.1098/rspa.2013.0003,,,Analytical expressions of variability in ecosystem structure and function obtained from three-dimensional stochastic vegetation modelling,Proceedings of the Royal Society A,,,2013-07-08,2013,469,2155,20130003,All OA; Gold,Article,"Good, Stephen P.; Rodriguez-Iturbe, I.; Caylor, K. K.",,"Good, Stephen P. (Princeton University); Rodriguez-Iturbe, I. (Princeton University); Caylor, K. K. (Princeton University)",2,0,,0.9,http://rspa.royalsocietypublishing.org/content/469/2155/20130003.full.pdf,https://app.dimensions.ai/details/publication/pub.1023585606,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
58,100,pub.1050113324,10.3390/w5020819,,,On the Vulnerability of Water Limited Ecosystems to Climate Change,Water,,,2013-06-21,2013,5,2,819-833,All OA; Gold,Article,"Manfreda, Salvatore; Caylor, Kelly K.",,"Manfreda, Salvatore (University of Basilicata); Caylor, Kelly K. ()",11,3,,1.6,http://www.mdpi.com/2073-4441/5/2/819/pdf,https://app.dimensions.ai/details/publication/pub.1050113324,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0602 Ecology; 06 Biological Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0602 Ecology,06 Biological Sciences,
59,100,pub.1039974816,10.5194/hessd-10-7963-2013,,,Estimating Sahelian and East African soil moisture using the Normalized Difference Vegetation Index,Hydrology and Earth System Sciences Discussions,,,2013-06-21,2013,10,6,7963-7997,All OA; Gold,Article,"McNally, A.; Funk, C.; Husak, G. J.; Michaelsen, J.; Cappelaere, B.; Demarty, J.; Pellarin, T.; Young, T. P.; Caylor, K. K.; Riginos, C.; Veblen, K. E.",,"McNally, A. (University of California, Santa Barbara); Funk, C. (University of California, Santa Barbara); Husak, G. J. (University of California, Santa Barbara); Michaelsen, J. (University of California, Santa Barbara); Cappelaere, B. (Institute of Research for Development); Demarty, J. (Institute of Research for Development); Pellarin, T. (Grenoble Alpes University); Young, T. P. (University of California, Davis); Caylor, K. K. (Princeton University); Riginos, C. (Smithsonian Conservation Biology Institute); Veblen, K. E. (Utah State University)",4,2,,0.67,https://doi.org/10.5194/hessd-10-7963-2013,https://app.dimensions.ai/details/publication/pub.1039974816,09 Engineering; 0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0907 Environmental Engineering,09 Engineering,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences
60,100,pub.1039332802,10.5194/hessd-10-7291-2013,,,Virtual water trade and development in Africa,Hydrology and Earth System Sciences Discussions,,,2013-06-06,2013,10,6,7291-7324,All OA; Gold,Article,"Konar, M.; Caylor, K.",,"Konar, M. (University of Illinois at Urbana Champaign); Caylor, K. (Princeton University)",0,0,,0,https://doi.org/10.5194/hessd-10-7291-2013,https://app.dimensions.ai/details/publication/pub.1039332802,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
61,100,pub.1028429367,10.1016/j.gca.2012.12.047,,,The effect of warming on grassland evapotranspiration partitioning using laser-based isotope monitoring techniques,Geochimica et Cosmochimica Acta,,,2013-06,2013,111,,28-38,"All OA; Green, Accepted & Submitted",Article,"Wang, Lixin; Niu, Shuli; Good, Stephen P.; Soderberg, Keir; McCabe, Matthew F.; Sherry, Rebecca A.; Luo, Yiqi; Zhou, Xuhui; Xia, Jianyang; Caylor, Kelly K.","Wang, Lixin","Wang, Lixin (Indiana University – Purdue University Indianapolis; UNSW Sydney); Niu, Shuli (University of Oklahoma; Institute of Geographic Sciences and Natural Resources Research); Good, Stephen P. (Princeton University); Soderberg, Keir (Princeton University); McCabe, Matthew F. (UNSW Sydney; King Abdullah University of Science and Technology); Sherry, Rebecca A. (University of Oklahoma); Luo, Yiqi (University of Oklahoma); Zhou, Xuhui (Fudan University); Xia, Jianyang (University of Oklahoma); Caylor, Kelly K. (Princeton University)",40,10,,5.79,https://scholarworks.iupui.edu/bitstream/1805/5922/1/Wang_2013_effect.pdf,https://app.dimensions.ai/details/publication/pub.1028429367,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
62,100,pub.1051413196,10.1007/s10980-012-9776-6,,,Ecosystem-scale spatial heterogeneity of stable isotopes of soil nitrogen in African savannas,Landscape Ecology,,,2013-04,2013,28,4,685-698,"All OA; Green, Accepted & Submitted",Article,"Wang, Lixin; Okin, Gregory S.; D’Odorico, Paolo; Caylor, Kelly K.; Macko, Stephen A.","Wang, Lixin","Wang, Lixin (Indiana University – Purdue University Indianapolis; UNSW Sydney); Okin, Gregory S. (University of California Los Angeles); D’Odorico, Paolo (University of Virginia); Caylor, Kelly K. (Princeton University); Macko, Stephen A. (University of Virginia)",15,4,,2.68,https://scholarworks.iupui.edu/bitstream/1805/5921/1/Wang_2013_ecosystem.pdf,https://app.dimensions.ai/details/publication/pub.1051413196,0602 Ecology; 0503 Soil Sciences; 0607 Plant Biology; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0503 Soil Sciences,0607 Plant Biology,06 Biological Sciences,05 Environmental Sciences
63,100,pub.1014527831,10.1890/es12-00160.1,,,Using atmospheric trajectories to model the isotopic composition of rainfall in central Kenya,Ecosphere,,,2013-03,2013,4,3,1-18,All OA; Gold,Article,"Soderberg, Keir; Good, Stephen P.; O'Connor, Molly; Wang, Lixin; Ryan, Kathleen; Caylor, Kelly K.",,"Soderberg, Keir (Princeton University); Good, Stephen P. (Princeton University); O'Connor, Molly (Princeton University); Wang, Lixin (Indiana University – Purdue University Indianapolis; UNSW Sydney); Ryan, Kathleen (Princeton University); Caylor, Kelly K. (Princeton University)",36,17,,6.97,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES12-00160.1,https://app.dimensions.ai/details/publication/pub.1014527831,0602 Ecology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences,0608 Zoology
64,100,pub.1001526564,10.1890/es12-00232.1,,,Seasonal coupling of canopy structure and function in African tropical forests and its environmental controls,Ecosphere,,,2013-03,2013,4,3,1-21,All OA; Gold,Article,"Guan, Kaiyu; Wolf, Adam; Medvigy, David; Caylor, Kelly K.; Pan, Ming; Wood, Eric F.",,"Guan, Kaiyu (Princeton University); Wolf, Adam (Princeton University); Medvigy, David (Princeton University); Caylor, Kelly K. (Princeton University); Pan, Ming (Princeton University); Wood, Eric F. (Princeton University)",25,6,,3.53,https://doi.org/10.1890/es12-00232.1,https://app.dimensions.ai/details/publication/pub.1001526564,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,05 Environmental Sciences,06 Biological Sciences
65,200,pub.1069054441,10.2136/vzj2011.0165er,,,Stable Isotopes of Water Vapor in the Vadose Zone: A Review of Measurement and Modeling Techniques,Vadose Zone Journal,,,2013,2013,12,1,0,"All OA; Green, Accepted & Submitted",Article,"Soderberg, Keir; Good, Stephen P.; Wang, Lixin; Caylor, Kelly",,"Soderberg, Keir (); Good, Stephen P. (); Wang, Lixin (); Caylor, Kelly ()",0,0,,0,https://scholarworks.iupui.edu/bitstream/1805/5945/1/Soderberg_2012_stable.pdf,https://app.dimensions.ai/details/publication/pub.1069054441,0703 Crop and Pasture Production; 0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences
66,100,pub.1027078074,10.1016/j.proenv.2013.06.019,,,Modelling Vegetation Patterns in Semiarid Environments,Procedia Environmental Sciences,,,2013,2013,19,,168-177,All OA; Gold,Article,"Manfreda, Salvatore; Pizzolla, Teresa; Caylor, Kelly K.","Manfreda, Salvatore","Manfreda, Salvatore (University of Basilicata); Pizzolla, Teresa (University of Basilicata); Caylor, Kelly K. (Princeton University)",3,0,,0.44,https://doi.org/10.1016/j.proenv.2013.06.019,https://app.dimensions.ai/details/publication/pub.1027078074,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
67,100,pub.1029157781,10.5194/hess-16-4023-2012,,,Reframing hydrology education to solve coupled human and environmental problems,Hydrology and Earth System Sciences,,,2012-11-06,2012,16,11,4023-4031,All OA; Gold,Article,"King, E. G.; O'Donnell, F. C.; Caylor, K. K.",,"King, E. G. (University of Georgia); O'Donnell, F. C. (Princeton University); Caylor, K. K. (University of Georgia)",3,2,,0.63,https://www.hydrol-earth-syst-sci.net/16/4023/2012/hess-16-4023-2012.pdf,https://app.dimensions.ai/details/publication/pub.1029157781,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
68,100,pub.1044928935,10.1002/eco.260,,,"Ecohydrological interactions in a degraded two‐phase mosaic dryland: implications for regime shifts, resilience, and restoration",Ecohydrology,,,2012-11,2012,5,6,733-745,All OA; Gold,Article,"King, Elizabeth G.; Franz, Trenton E.; Caylor, Kelly K.",,"King, Elizabeth G. (Princeton University); Franz, Trenton E. (University of Arizona); Caylor, Kelly K. (Princeton University)",16,5,,2.57,http://dx.doi.org/10.1002/eco.260,https://app.dimensions.ai/details/publication/pub.1044928935,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
69,100,pub.1029886861,10.1016/j.rse.2012.06.005,,,Multi-sensor derivation of regional vegetation fractional cover in Africa,Remote Sensing of Environment,,,2012-09,2012,124,New Phytologist 187 2010,653-665,Closed,Article,"Guan, K.; Wood, E.F.; Caylor, K.K.","Guan, K.","Guan, K. (Princeton University); Wood, E.F. (Princeton University); Caylor, K.K. (Princeton University)",36,8,,7.4,,https://app.dimensions.ai/details/publication/pub.1029886861,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
70,100,pub.1032753861,10.1029/2011jd017168,,,Uncertainties in the assessment of the isotopic composition of surface fluxes: A direct comparison of techniques using laser‐based water vapor isotope analyzers,Journal of Geophysical Research,,,2012-08-16,2012,117,D15,n/a-n/a,"All OA; Green, Accepted & Submitted",Article,"Good, Stephen P.; Soderberg, Keir; Wang, Lixin; Caylor, Kelly K.",,"Good, Stephen P. (Princeton University); Soderberg, Keir (Princeton University); Wang, Lixin (Indiana University – Purdue University Indianapolis; UNSW Sydney); Caylor, Kelly K. (Princeton University)",43,11,,18.5,https://scholarworks.iupui.edu/bitstream/1805/5939/1/Good_2012_uncertainties.pdf,https://app.dimensions.ai/details/publication/pub.1032753861,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
71,100,pub.1029087954,10.5194/hess-16-2585-2012,,,Dryland ecohydrology and climate change: critical issues and technical advances,Hydrology and Earth System Sciences,,,2012-08-09,2012,16,8,2585-2603,All OA; Gold,Article,"Wang, L.; D'Odorico, P.; Evans, J. P.; Eldridge, D. J.; McCabe, M. F.; Caylor, K. K.; King, E. G.",,"Wang, L. (UNSW Sydney; Indiana University – Purdue University Indianapolis); D'Odorico, P. (University of Virginia); Evans, J. P. (UNSW Sydney); Eldridge, D. J. (UNSW Sydney); McCabe, M. F. (UNSW Sydney); Caylor, K. K. (Princeton University); King, E. G. (University of Georgia)",123,42,,25.63,https://www.hydrol-earth-syst-sci.net/16/2585/2012/hess-16-2585-2012.pdf,https://app.dimensions.ai/details/publication/pub.1029087954,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
72,100,pub.1047700145,10.5194/hessd-9-7739-2012,,,Reframing hydrology education to solve coupled human and environmental problems,Hydrology and Earth System Sciences Discussions,,,2012-06-19,2012,9,6,7739-7759,All OA; Gold,Article,"King, E. G.; O'Donnell, F. C.; Caylor, K. K.",,"King, E. G. (University of Georgia); O'Donnell, F. C. (Princeton University); Caylor, K. K. (Princeton University)",1,0,,0.41,https://doi.org/10.5194/hessd-9-7739-2012,https://app.dimensions.ai/details/publication/pub.1047700145,1303 Specialist Studies In Education; 13 Education,1303 Specialist Studies In Education,13 Education,,,
73,100,pub.1002759266,10.1029/2011jg001899,,,A model‐based evaluation of woody plant encroachment effects on coupled carbon and water cycles,Journal of Geophysical Research,,,2012-06,2012,117,G2,n/a-n/a,All OA; Gold,Article,"O'Donnell, F. C.; Caylor, K. K.",,"O'Donnell, F. C. (Princeton University); Caylor, K. K. (Princeton University)",9,4,,1.22,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JG001899,https://app.dimensions.ai/details/publication/pub.1002759266,0602 Ecology; 0699 Other Biological Sciences; 0503 Soil Sciences; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0503 Soil Sciences,06 Biological Sciences,05 Environmental Sciences
74,100,pub.1032160178,10.5194/hessd-9-4777-2012,,,Dryland ecohydrology and climate change: critical issues and technical advances,Hydrology and Earth System Sciences Discussions,,,2012-04-16,2012,9,4,4777-4825,All OA; Gold,Article,"Wang, L.; D'Odorico, P.; Evans, J. P.; Eldridge, D.; McCabe, M. F.; Caylor, K. K.; King, E. G.",,"Wang, L. (UNSW Sydney); D'Odorico, P. (University of Virginia); Evans, J. P. (UNSW Sydney); Eldridge, D. (UNSW Sydney); McCabe, M. F. (UNSW Sydney); Caylor, K. K. (Princeton University); King, E. G. (University of Georgia)",7,1,,1.2,https://scholarworks.iupui.edu/bitstream/1805/5919/1/Wang_2012_dryland.pdf,https://app.dimensions.ai/details/publication/pub.1032160178,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
75,400,pub.1004124823,10.1371/journal.pone.0033996,22470506,PMC3314695,Evaluating Ecohydrological Theories of Woody Root Distribution in the Kalahari,PLoS ONE,,"Biomass; Botswana; Carbon; Ecosystem; Models, Theoretical; Plant Development; Plant Roots; Rain",2012-03-28,2012,7,3,e33996,All OA; Gold,Article,"Bhattachan, Abinash; Tatlhego, Mokganedi; Dintwe, Kebonye; O'Donnell, Frances; Caylor, Kelly K.; Okin, Gregory S.; Perrot, Danielle O.; Ringrose, Susan; D'Odorico, Paolo",,"Bhattachan, Abinash (University of Virginia); Tatlhego, Mokganedi (University of Botswana); Dintwe, Kebonye (University of California Los Angeles); O'Donnell, Frances (Princeton University); Caylor, Kelly K. (Princeton University); Okin, Gregory S. (University of California Los Angeles); Perrot, Danielle O. (University of Colorado Boulder); Ringrose, Susan (University of Botswana); D'Odorico, Paolo (University of Virginia; Swiss Federal Institute of Technology in Lausanne)",24,5,0.43,4.49,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0033996&type=printable,https://app.dimensions.ai/details/publication/pub.1004124823,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
76,100,pub.1023397563,10.1016/j.agrformet.2011.10.018,,,Direct quantification of leaf transpiration isotopic composition,Agricultural and Forest Meteorology,,,2012-03,2012,154,,127-135,Closed,Article,"Wang, Lixin; Good, Stephen P.; Caylor, Kelly K.; Cernusak, Lucas A.","Wang, Lixin","Wang, Lixin (Princeton University; UNSW Sydney); Good, Stephen P. (Princeton University); Caylor, Kelly K. (Princeton University); Cernusak, Lucas A. (Australian National University)",55,16,,10.3,,https://app.dimensions.ai/details/publication/pub.1023397563,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
77,100,pub.1008599482,10.1002/eco.187,,,Characterizing ecohydrological and biogeochemical connectivity across multiple scales: a new conceptual framework,Ecohydrology,,,2012-03,2012,5,2,221-233,All OA; Gold,Article,"Wang, Lixin; Zou, Chris; O'Donnell, Frances; Good, Stephen; Franz, Trenton; Miller, Gretchen R.; Caylor, Kelly K.; Cable, Jessica M.; Bond, Barbara",,"Wang, Lixin (Princeton University); Zou, Chris (Oklahoma State University); O'Donnell, Frances (Princeton University); Good, Stephen (Princeton University); Franz, Trenton (Princeton University); Miller, Gretchen R. (Texas A&M University); Caylor, Kelly K. (Princeton University); Cable, Jessica M. (University of Alaska System); Bond, Barbara (Oregon State University)",15,3,,,http://dx.doi.org/10.1002/eco.187,https://app.dimensions.ai/details/publication/pub.1008599482,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
78,100,pub.1003957529,10.1002/eco.265,,,Understanding the role of ecohydrological feedbacks in ecosystem state change in drylands,Ecohydrology,,,2012-03,2012,5,2,174-183,All OA; Gold,Article,"Turnbull, L.; Wilcox, B. P.; Belnap, J.; Ravi, S.; D'Odorico, P.; Childers, D.; Gwenzi, W.; Okin, G.; Wainwright, J.; Caylor, K. K.; Sankey, T.",,"Turnbull, L. (Arizona State University); Wilcox, B. P. (Texas A&M University); Belnap, J. (United States Geological Survey); Ravi, S. (University of Arizona); D'Odorico, P. (University of Virginia); Childers, D. (Arizona State University); Gwenzi, W. (University of Western Australia); Okin, G. (University of California Los Angeles); Wainwright, J. (University of Sheffield); Caylor, K. K. (Princeton University); Sankey, T. (Idaho State University)",67,18,,8.02,http://dx.doi.org/10.1002/eco.265,https://app.dimensions.ai/details/publication/pub.1003957529,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
79,100,pub.1003036990,10.1029/2011wr010524,,,An ecohydrological approach to predicting hillslope‐scale vegetation patterns in dryland ecosystems,Water Resources Research,,,2012-01,2012,48,1,,All OA; Gold,Article,"Franz, Trenton E.; Caylor, Kelly K.; King, Elizabeth G.; Nordbotten, Jan M.; Celia, Michael A.; Rodríguez‐Iturbe, Ignacio",,"Franz, Trenton E. (University of Arizona); Caylor, Kelly K. (Princeton University); King, Elizabeth G. (Princeton University); Nordbotten, Jan M. (Princeton University; University of Bergen); Celia, Michael A. (Princeton University); Rodríguez‐Iturbe, Ignacio (Princeton University)",21,5,,6.32,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011WR010524,https://app.dimensions.ai/details/publication/pub.1003036990,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
80,200,pub.1069054440,10.2136/vzj2011.0165,,,Stable Isotopes of Water Vapor in the Vadose Zone: A Review of Measurement and Modeling Techniques,Vadose Zone Journal,,,2012,2012,11,3,0,"All OA; Green, Accepted & Submitted",Article,"Soderberg, Keir; Good, Stephen P.; Wang, Lixin; Caylor, Kelly",,"Soderberg, Keir (); Good, Stephen P. (); Wang, Lixin (); Caylor, Kelly ()",47,17,,8.1,https://scholarworks.iupui.edu/bitstream/1805/5945/1/Soderberg_2012_stable.pdf,https://app.dimensions.ai/details/publication/pub.1069054440,0703 Crop and Pasture Production; 0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences
81,400,pub.1052447990,10.1073/pnas.1107561108,21670259,PMC3141979,Metabolic principles of river basin organization,Proceedings of the National Academy of Sciences,,"Ecology; Ecosystem; Geography; Metabolism; Models, Theoretical; New Mexico; Plant Transpiration; Rivers; Water Movements",2011-07-19,2011,108,29,11751-11755,All OA; Gold,Article,"Rodriguez-Iturbe, Ignacio; Caylor, Kelly K.; Rinaldo, Andrea",,"Rodriguez-Iturbe, Ignacio (Princeton University); Caylor, Kelly K. (Princeton University); Rinaldo, Andrea (Swiss Federal Institute of Technology in Lausanne; University of Padua)",16,3,0.15,2.06,https://www.pnas.org/content/pnas/108/29/11751.full.pdf,https://app.dimensions.ai/details/publication/pub.1052447990,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
82,100,pub.1033560266,10.1002/eco.248,,,"Ecohydrology in practice: strengths, conveniences, and opportunities",Ecohydrology,,,2011-07,2011,4,4,608-612,All OA; Gold,Article,"King, Elizabeth G.; Caylor, Kelly K.",,"King, Elizabeth G. (Princeton University); Caylor, Kelly K. (Princeton University)",21,1,,3.5,http://dx.doi.org/10.1002/eco.248,https://app.dimensions.ai/details/publication/pub.1033560266,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
83,100,pub.1008165927,10.1029/2010wr010127,,,Coupling vegetation organization patterns to soil resource heterogeneity in a central Kenyan dryland using geophysical imagery,Water Resources Research,,,2011-07,2011,47,7,,All OA; Gold,Article,"Franz, Trenton E.; King, Elizabeth G.; Caylor, Kelly K.; Robinson, David A.",,"Franz, Trenton E. (Princeton University); King, Elizabeth G. (Princeton University); Caylor, Kelly K. (Princeton University); Robinson, David A. ()",25,7,,7.27,http://onlinelibrary.wiley.com/doi/10.1029/2010WR010127/pdf,https://app.dimensions.ai/details/publication/pub.1008165927,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
84,400,pub.1048875471,10.1073/pnas.1013100108,21383125,PMC3064349,Climatological determinants of woody cover in Africa,Proceedings of the National Academy of Sciences,,"Africa; Climate Change; Ecosystem; Models, Theoretical; Rain; Trees",2011-03-22,2011,108,12,4902-4907,All OA; Gold,Article,"Good, Stephen P.; Caylor, Kelly K.",,"Good, Stephen P. (Princeton University); Caylor, Kelly K. (Princeton University)",102,30,1,11.66,http://www.pnas.org/content/108/12/4902.full.pdf,https://app.dimensions.ai/details/publication/pub.1048875471,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
85,200,pub.1069054246,10.2136/vzj2010.0031,,,Quantifying Transient Soil Moisture Dynamics Using Multipoint Direct-Current Resistivity in Homogeneous Sand,Vadose Zone Journal,,,2011,2011,10,1,286,Closed,Article,"Franz, Trenton E.; Nolan, Jay; Nordbotten, Jan M.; Caylor, Kelly K.; Slater, Lee D.",,"Franz, Trenton E. (); Nolan, Jay (); Nordbotten, Jan M. (); Caylor, Kelly K. (); Slater, Lee D. ()",4,0,,0.6,,https://app.dimensions.ai/details/publication/pub.1069054246,0703 Crop and Pasture Production; 0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences
86,200,pub.1010474919,10.1111/j.1469-8137.2010.03286.x,20624232,,Herbivores and mutualistic ants interact to modify tree photosynthesis,New Phytologist,,"Animals; Ants; Feeding Behavior; Models, Biological; Photosynthesis; Plant Leaves; Plant Transpiration; Quantitative Trait, Heritable; Symbiosis; Trees",2010-07,2010,187,1,17-21,All OA; Gold,Article,"King, Elizabeth G.; Caylor, Kelly K.",,"King, Elizabeth G. (Princeton University); Caylor, Kelly K. (Princeton University)",9,3,0.14,,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2010.03286.x,https://app.dimensions.ai/details/publication/pub.1010474919,06 Biological Sciences; 07 Agricultural and Veterinary Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,,
87,100,pub.1037508396,10.1029/2010gl043228,,,Partitioning evapotranspiration across gradients of woody plant cover: Assessment of a stable isotope technique,Geophysical Research Letters,,,2010-05,2010,37,9,n/a-n/a,All OA; Gold,Article,"Wang, Lixin; Caylor, Kelly K.; Villegas, Juan Camilo; Barron‐Gafford, Greg A.; Breshears, David D.; Huxman, Travis E.",,"Wang, Lixin (Princeton University); Caylor, Kelly K. (Princeton University); Villegas, Juan Camilo (University of Antioquia; University of Arizona); Barron‐Gafford, Greg A. (University of Arizona); Breshears, David D. (University of Arizona); Huxman, Travis E. (University of Arizona)",122,41,,18.76,http://onlinelibrary.wiley.com/doi/10.1029/2010GL043228/pdf,https://app.dimensions.ai/details/publication/pub.1037508396,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
88,100,pub.1052962285,10.1007/s11104-009-0085-z,,,Combined effects of soil moisture and nitrogen availability variations on grass productivity in African savannas,Plant and Soil,,,2010-03,2010,328,1-2,95-108,Closed,Article,"Wang, Lixin; D’Odorico, Paolo; O’Halloran, Lydia Ries; Caylor, Kelly; Macko, Stephen","Wang, Lixin","Wang, Lixin (University of Virginia; Princeton University); D’Odorico, Paolo (University of Virginia); O’Halloran, Lydia Ries (Oregon State University); Caylor, Kelly (Princeton University); Macko, Stephen (University of Virginia; National Science Foundation)",26,6,,2.64,,https://app.dimensions.ai/details/publication/pub.1052962285,0602 Ecology; 0699 Other Biological Sciences; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0699 Other Biological Sciences,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
