,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Uta Desy Elisabeth Passow. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
60,100,pub.1009713573,10.5194/bgd-6-7789-2009,,,The role of polysaccharides and diatom exudates in the redox cycling of Fe and the photoproduction of hydrogen peroxide in coastal seawaters,Biogeosciences Discussions,,,2009-07-30,2009,6,4,7789-7819,All OA; Gold,Article,"Steigenberger, S.; Statham, P. J.; Völker, C.; Passow, U.",,"Steigenberger, S. (Alfred Wegener Institute for Polar and Marine Research); Statham, P. J. (National Oceanography Centre); Völker, C. (Alfred Wegener Institute for Polar and Marine Research); Passow, U. (Alfred Wegener Institute for Polar and Marine Research)",3,1,,0.24,https://epic.awi.de/id/eprint/18469/1/Ste2008c.pdf,https://app.dimensions.ai/details/publication/pub.1009713573,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
61,100,pub.1024059056,10.5194/bgd-6-7599-2009,,,Effects of ultraviolet B radiation on (not so) transparent exopolymer particles,Biogeosciences Discussions,,,2009-07-28,2009,6,4,7599-7625,All OA; Gold,Article,"Ortega-Retuerta, E.; Passow, U.; Duarte, C. M.; Reche, I.",,"Ortega-Retuerta, E. (University of Granada); Passow, U. (University of California, Santa Barbara; Alfred Wegener Institute for Polar and Marine Research); Duarte, C. M. (Mediterranean Institute for Advanced Studies); Reche, I. (University of Granada)",4,0,,0.33,http://digibug.ugr.es/bitstream/10481/32275/1/OrtegaRetuerta_UltravioletB.pdf,https://app.dimensions.ai/details/publication/pub.1024059056,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
62,100,pub.1031537697,10.5194/bgd-6-5789-2009,,,Distribution of calcifying and silicifying phytoplankton in relation to environmental and biogeochemical parameters during the late stages of the 2005 North East Atlantic Spring Bloom,Biogeosciences Discussions,,,2009-06-19,2009,6,3,5789-5847,All OA; Gold,Article,"Leblanc, K.; Hare, C. E.; Feng, Y.; Berg, G. M.; DiTullio, G. R.; Neeley, A.; Benner, I.; Sprengel, C.; Beck, A.; Sanudo-Wilhelmy, S. A.; Passow, U.; Klinck, K.; Rowe, J. M.; Wilhelm, S. W.; Brown, C. W.; Hutchins, D. A.",,"Leblanc, K. (); Hare, C. E. (); Feng, Y. (Institute of Oceanology); Berg, G. M. (Stanford University); DiTullio, G. R. (); Neeley, A. (); Benner, I. (Alfred Wegener Institute for Polar and Marine Research; San Francisco State University); Sprengel, C. (Alfred Wegener Institute for Polar and Marine Research); Beck, A. (Max Planck Institute for Marine Microbiology); Sanudo-Wilhelmy, S. A. (University of Southern California); Passow, U. (Alfred Wegener Institute for Polar and Marine Research; University of California, Santa Barbara); Klinck, K. (Alfred Wegener Institute for Polar and Marine Research); Rowe, J. M. (University of Nebraska–Lincoln); Wilhelm, S. W. (University of Tennessee at Knoxville); Brown, C. W. (Center for Satellite Applications and Research); Hutchins, D. A. (University of Southern California)",0,0,,0,http://oceanrep.geomar.de/39818/1/bg-6-2155-2009.pdf,https://app.dimensions.ai/details/publication/pub.1031537697,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
63,100,pub.1014858513,10.5004/dwt.2009.444,,,Transparent exopolymer particles: Potential agents for organic fouling and biofilm formation in desalination and water treatment plants,Desalination and Water Treatment,,,2009-03,2009,3,1-3,136-142,"All OA; Green, Published",Article,"Bar-Zeev, Edo; Berman-Frank, Ilana; Liberman, Boris; Rahav, Eyal; Passow, Uta; Berman, Tom",,"Bar-Zeev, Edo (Bar-Ilan University); Berman-Frank, Ilana (Bar-Ilan University); Liberman, Boris (); Rahav, Eyal (Bar-Ilan University); Passow, Uta (University of California, Santa Barbara); Berman, Tom ()",65,7,,8.23,https://epic.awi.de/id/eprint/22127/1/Bar2009f.pdf,https://app.dimensions.ai/details/publication/pub.1014858513,09 Engineering; 0904 Chemical Engineering,09 Engineering,0904 Chemical Engineering,,,
64,100,pub.1040936046,10.1029/2007gb003156,,,"Interactions between diatom aggregates, minerals, particulate organic carbon, and dissolved organic matter: Further implications for the ballast hypothesis",Global Biogeochemical Cycles,,,2008-12,2008,22,4,n/a-n/a,All OA; Gold,Article,"De La Rocha, Christina L.; Nowald, Nicolas; Passow, Uta",,"De La Rocha, Christina L. (Alfred Wegener Institute for Polar and Marine Research; University of Western Brittany); Nowald, Nicolas (University of Bremen); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research; University of California, Santa Barbara)",50,8,,4.6,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007GB003156,https://app.dimensions.ai/details/publication/pub.1040936046,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
65,100,pub.1007400530,10.1016/j.marchem.2007.11.008,,,Neutral aldoses as source indicators for marine snow,Marine Chemistry,,,2008-01,2008,108,3-4,195-206,"All OA; Green, Published",Article,"Skoog, Annelie; Alldredge, Alice; Passow, Uta; Dunne, John; Murray, James","Skoog, Annelie","Skoog, Annelie (University of Connecticut); Alldredge, Alice (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara); Dunne, John (University of Washington); Murray, James (University of Washington)",23,2,,2.58,https://epic.awi.de/id/eprint/17996/1/Sko2007a.pdf,https://app.dimensions.ai/details/publication/pub.1007400530,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
66,200,pub.1071156567,10.3354/ame01140,,,Microbial dynamics in autotrophic and heterotrophic seawater mesocosms. III. Organic matter fluxes,Aquatic Microbial Ecology,,,2007-11-15,2007,49,,143-156,All OA; Gold,Article,"Grossart, H; Engel, A; Arnosti, C; De La Rocha, CL; Murray, AE; Passow, U",,"Grossart, H (); Engel, A (); Arnosti, C (); De La Rocha, CL (); Murray, AE (); Passow, U ()",18,3,,1.49,https://www.int-res.com/articles/ame2007/49/a049p143.pdf,https://app.dimensions.ai/details/publication/pub.1071156567,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
67,200,pub.1071156566,10.3354/ame01139,,,Microbial dynamics in autotrophic and heterotrophic seawater mesocosms. II. Bacterioplankton community structure and hydrolytic enzyme activities,Aquatic Microbial Ecology,,,2007-11-15,2007,49,,123-141,All OA; Gold,Article,"Murray, AE; Arnosti, C; De La Rocha, CL; Grossart, HP; Passow, U",,"Murray, AE (); Arnosti, C (); De La Rocha, CL (); Grossart, HP (); Passow, U ()",30,2,,2.49,https://www.int-res.com/articles/ame2007/49/a049p123.pdf,https://app.dimensions.ai/details/publication/pub.1071156566,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
68,200,pub.1071156565,10.3354/ame01138,,,Microbial dynamics in autotrophic and heterotrophic seawater mesocosms. I. Effect of phytoplankton on the microbial loop,Aquatic Microbial Ecology,,,2007-11-15,2007,49,,109-121,All OA; Gold,Article,"Passow, U; De La Rocha, CL; Arnosti, C; Grossart, H; Murray, AE; Engel, A",,"Passow, U (); De La Rocha, CL (); Arnosti, C (); Grossart, H (); Murray, AE (); Engel, A ()",7,2,,0.58,https://www.int-res.com/articles/ame2007/49/a049p109.pdf,https://app.dimensions.ai/details/publication/pub.1071156565,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
69,200,pub.1053627373,10.1038/npre.2007.1182.1,,,Transparent Exopolymer Particles (TEP): an overlooked factor in the process of biofilm formation in aquatic environments,Nature Precedings,,,2007-09-28,2007,,,,"All OA; Green, Published",Preprint,"Berman, Tom; Passow, Uta",,"Berman, Tom (); Passow, Uta ()",19,2,,,http://precedings.nature.com/documents/1182/version/1/files/npre20071182-1.pdf,https://app.dimensions.ai/details/publication/pub.1053627373,,,,,,
70,100,pub.1030293399,10.1016/j.dsr2.2007.01.004,,,Factors influencing the sinking of POC and the efficiency of the biological carbon pump,Deep Sea Research Part II Topical Studies in Oceanography,,,2007-03,2007,54,5-7,639-658,"All OA; Green, Published",Article,"De La Rocha, Christina L.; Passow, Uta","De La Rocha, Christina L.","De La Rocha, Christina L. (Alfred Wegener Institute for Polar and Marine Research); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research)",178,38,,14.6,https://epic.awi.de/id/eprint/14896/1/DeL2006a.pdf,https://app.dimensions.ai/details/publication/pub.1030293399,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
71,100,pub.1015919524,10.4319/lo.2007.52.1.0001,,,Direct measurement of diffusivity within diatom aggregates containing transparent exopolymer particles,Limnology and Oceanography,,,2007-01,2007,52,1,1-6,All OA; Gold,Article,"Ploug, Helle; Passow, Uta",,"Ploug, Helle (); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research)",25,3,,,http://onlinelibrary.wiley.com/doi/10.4319/lo.2007.52.1.0001/pdf,https://app.dimensions.ai/details/publication/pub.1015919524,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
72,100,pub.1025284673,10.1029/2006gl028080,,,Surface active substances in the upper water column during a Southern Ocean Iron Fertilization Experiment (EIFEX),Geophysical Research Letters,,,2007,2007,34,3,,"All OA; Green, Published",Article,"Croot, P. L.; Passow, U.; Assmy, P.; Jansen, S.; Strass, V. H.",,"Croot, P. L. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Passow, U. (Alfred Wegener Institute for Polar and Marine Research); Assmy, P. (Alfred Wegener Institute for Polar and Marine Research); Jansen, S. (Alfred Wegener Institute for Polar and Marine Research); Strass, V. H. (Alfred Wegener Institute for Polar and Marine Research)",20,1,,1.64,https://epic.awi.de/id/eprint/16059/1/Cro2007a.pdf,https://app.dimensions.ai/details/publication/pub.1025284673,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
73,100,pub.1036009195,10.1016/j.marchem.2005.10.024,,,Thorium speciation in seawater,Marine Chemistry,,,2006-08,2006,100,3-4,250-268,"All OA; Green, Accepted & Submitted",Article,"Santschi, P.H.; Murray, J.W.; Baskaran, M.; Benitez-Nelson, C.R.; Guo, L.D.; Hung, C.-C.; Lamborg, C.; Moran, S.B.; Passow, U.; Roy-Barman, M.","Santschi, P.H.","Santschi, P.H. (Texas A&M University); Murray, J.W. (); Baskaran, M. (Wayne State University); Benitez-Nelson, C.R. (University of South Carolina); Guo, L.D. (University of Alaska Fairbanks); Hung, C.-C. (Texas A&M University); Lamborg, C. (Woods Hole Oceanographic Institution); Moran, S.B. (University of Rhode Island); Passow, U. (Alfred Wegener Institute for Polar and Marine Research); Roy-Barman, M. ()",104,15,,10.29,http://darchive.mblwhoilibrary.org/bitstream/1912/1043/1/MARCHE2301.pdf,https://app.dimensions.ai/details/publication/pub.1036009195,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
74,100,pub.1027851204,10.1016/j.marchem.2005.10.013,,,An assessment of particulate organic carbon to thorium-234 ratios in the ocean and their impact on the application of 234Th as a POC flux proxy,Marine Chemistry,,,2006-08,2006,100,3-4,213-233,"All OA; Green, Published",Article,"Buesseler, K.O.; Benitez-Nelson, C.R.; Moran, S.B.; Burd, A.; Charette, M.; Cochran, J.K.; Coppola, L.; Fisher, N.S.; Fowler, S.W.; Gardner, W.D.; Guo, L.D.; Gustafsson, Ö.; Lamborg, C.; Masque, P.; Miquel, J.C.; Passow, U.; Santschi, P.H.; Savoye, N.; Stewart, G.; Trull, T.","Buesseler, K.O.","Buesseler, K.O. (Woods Hole Oceanographic Institution); Benitez-Nelson, C.R. (University of South Carolina); Moran, S.B. (University of Rhode Island); Burd, A. (University of Georgia); Charette, M. (Woods Hole Oceanographic Institution); Cochran, J.K. (Stony Brook University); Coppola, L. (Swedish Museum of Natural History); Fisher, N.S. (Stony Brook University); Fowler, S.W. (); Gardner, W.D. (Texas A&M University); Guo, L.D. (University of Alaska Fairbanks); Gustafsson, Ö. (Stockholm University); Lamborg, C. (Woods Hole Oceanographic Institution); Masque, P. (); Miquel, J.C. (); Passow, U. (Alfred Wegener Institute for Polar and Marine Research); Santschi, P.H. (Texas A&M University); Savoye, N. (); Stewart, G. (Stony Brook University); Trull, T. (Antarctic Climate and Ecosystems Cooperative Research Centre)",176,24,,13.21,https://epic.awi.de/id/eprint/13040/1/Bue2006a.pdf,https://app.dimensions.ai/details/publication/pub.1027851204,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
75,100,pub.1000252812,10.1016/j.marchem.2005.10.020,,,Organic carbon to 234Th ratios of marine organic matter,Marine Chemistry,,,2006-08,2006,100,3-4,323-336,"All OA; Green, Published",Article,"Passow, U.; Dunne, J.; Murray, J.W.; Balistrieri, L.; Alldredge, A.L.","Passow, U.","Passow, U. (Alfred Wegener Institute for Polar and Marine Research); Dunne, J. (Princeton University); Murray, J.W. (); Balistrieri, L. (); Alldredge, A.L. (University of California, Santa Barbara)",41,5,,4.21,https://epic.awi.de/id/eprint/13038/1/Pas2006c.pdf,https://app.dimensions.ai/details/publication/pub.1000252812,0405 Oceanography; 0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences
76,100,pub.1024449826,10.1029/2005gb002579,,,Accumulation of mineral ballast on organic aggregates,Global Biogeochemical Cycles,,,2006-03,2006,20,1,n/a-n/a,All OA; Gold,Article,"Passow, Uta; De La Rocha, Christina L.",,"Passow, Uta (Alfred Wegener Institute for Polar and Marine Research); De La Rocha, Christina L. (Alfred Wegener Institute for Polar and Marine Research)",149,26,,14,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GB002579,https://app.dimensions.ai/details/publication/pub.1024449826,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,
77,100,pub.1031073308,10.4319/lo.2006.51.1.0001,,,Testing the effect of CO2 concentration on the dynamics of marine heterotrophic bacterioplankton,Limnology and Oceanography,,,2006-01,2006,51,1,1-11,All OA; Gold,Article,"Grossart, Hans-Peter; Allgaier, Martin; Passow, Uta; Riebesell, Ulf",,"Grossart, Hans-Peter (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Allgaier, Martin (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research); Riebesell, Ulf (GEOMAR Helmholtz Centre for Ocean Research Kiel)",119,20,,12.58,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2006.51.1.0001,https://app.dimensions.ai/details/publication/pub.1031073308,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
78,100,pub.1030669903,10.1016/j.marchem.2004.06.017,,,The oceanic gel phase: a bridge in the DOM–POM continuum,Marine Chemistry,,,2004-12,2004,92,1-4,67-85,"All OA; Green, Accepted & Submitted",Article,"Verdugo, Pedro; Alldredge, Alice L.; Azam, Farooq; Kirchman, David L.; Passow, Uta; Santschi, Peter H.","Verdugo, Pedro","Verdugo, Pedro (University of Washington); Alldredge, Alice L. (University of California, Santa Barbara); Azam, Farooq (Scripps Institution of Oceanography); Kirchman, David L. (University of Delaware); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research); Santschi, Peter H. (Texas A&M University)",407,62,,32.5,https://epic.awi.de/id/eprint/11950/1/Ver2004a.pdf,https://app.dimensions.ai/details/publication/pub.1030669903,03 Chemical Sciences; 04 Earth Sciences; 0405 Oceanography; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,04 Earth Sciences,0405 Oceanography,0303 Macromolecular and Materials Chemistry,
79,100,pub.1050841364,10.4319/lo.2004.49.3.0741,,,Ascending marine particles: Significance of transparent exopolymer particles (TEP) in the upper ocean,Limnology and Oceanography,,,2004-05,2004,49,3,741-748,"All OA; Green, Accepted & Submitted",Article,"Azetsu-Scott, Kumiko; Passow, Uta",,"Azetsu-Scott, Kumiko (Bedford Institute of Oceanography); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research)",154,40,,,https://epic.awi.de/id/eprint/10032/1/Aze2004a.pdf,https://app.dimensions.ai/details/publication/pub.1050841364,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
80,100,pub.1028405150,10.1029/2003gc000670,,,Switching perspectives: Do mineral fluxes determine particulate organic carbon fluxes or vice versa?,Geochemistry Geophysics Geosystems,,,2004-04,2004,5,4,n/a-n/a,"All OA; Green, Published",Article,"Passow, Uta",,"Passow, Uta (Alfred Wegener Institute for Polar and Marine Research)",100,11,,8.42,https://epic.awi.de/id/eprint/10460/1/Pas2004a.pdf,https://app.dimensions.ai/details/publication/pub.1028405150,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
81,100,pub.1001563015,10.4319/lo.2004.49.1.0245,,,Recovery of Thalassiosira weissflogii from nitrogen and silicon starvation,Limnology and Oceanography,,,2004-01,2004,49,1,245-255,"All OA; Green, Accepted & Submitted",Article,"De La Rocha, Christina L.; Passow, Uta",,"De La Rocha, Christina L. (University of Cambridge); Passow, Uta (Alfred Wegener Institute for Polar and Marine Research)",15,2,,1.07,http://www.aslo.org/lo/toc/vol_49/issue_1/0245.pdf,https://app.dimensions.ai/details/publication/pub.1001563015,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
82,400,pub.1031352686,10.1016/s0168-6496(03)00199-5,19719556,,The role of aggregation for the dissolution of diatom frustules,FEMS Microbiology Ecology,,,2003-12,2003,46,3,247-255,All OA; Gold,Article,"Passow, Uta; Engel, Anja; Ploug, Helle",,"Passow, Uta (Alfred Wegener Institute for Polar and Marine Research); Engel, Anja (Alfred Wegener Institute for Polar and Marine Research); Ploug, Helle (Max Planck Institute for Marine Microbiology)",28,6,0.02,1.68,https://academic.oup.com/femsec/article-pdf/46/3/247/18091780/46-3-247.pdf,https://app.dimensions.ai/details/publication/pub.1031352686,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
83,100,pub.1004668226,10.1016/s0079-6611(02)00138-6,,,Transparent exopolymer particles (TEP) in aquatic environments,Progress In Oceanography,,,2002-11,2002,55,3-4,287-333,"All OA; Green, Published",Article,"Passow, U.","Passow, U.","Passow, U. (Alfred Wegener Institute for Polar and Marine Research)",578,111,,44.86,https://epic.awi.de/id/eprint/6307/1/Pas2002b.pdf,https://app.dimensions.ai/details/publication/pub.1004668226,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
84,100,pub.1041481808,10.1016/s0079-6611(02)00045-9,,,Effects of the 1997–98 El Niño on seasonal variations in suspended and sinking particles in the Santa Barbara basin,Progress In Oceanography,,,2002-07,2002,54,1-4,105-127,"All OA; Green, Accepted & Submitted",Article,"Shipe, R.F; Passow, U; Brzezinski, M.A; Graham, W.M; Pak, D.K; Siegel, D.A; Alldredge, A.L","Shipe, R.F","Shipe, R.F (University of California, Santa Barbara); Passow, U (University of California, Santa Barbara); Brzezinski, M.A (University of California, Santa Barbara); Graham, W.M (); Pak, D.K (University of California, Santa Barbara); Siegel, D.A (University of California, Santa Barbara); Alldredge, A.L (University of California, Santa Barbara)",27,5,,2.1,https://epic.awi.de/id/eprint/6314/1/Shi2002a.pdf,https://app.dimensions.ai/details/publication/pub.1041481808,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
85,100,pub.1018716396,10.4319/lo.2002.47.3.0753,,,Temporal decoupling of carbon and nitrogen dynamics in a mesocosm diatom bloom,Limnology and Oceanography,,,2002-05,2002,47,3,753-761,All OA; Gold,Article,"Engel, Anja; Goldthwait, Sarah; Passow, Uta; Alldredge, Alice",,"Engel, Anja (University of California, Santa Barbara); Goldthwait, Sarah (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara); Alldredge, Alice (University of California, Santa Barbara)",96,13,,11.43,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2002.47.3.0753,https://app.dimensions.ai/details/publication/pub.1018716396,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
86,100,pub.1023466889,10.1016/s0278-4343(00)00101-1,,,The origin of transparent exopolymer particles (TEP) and their role in the sedimentation of particulate matter,Continental Shelf Research,,,2001-03,2001,21,4,327-346,"All OA; Green, Published",Article,"Passow, U; Shipe, R.F; Murray, A; Pak, D.K; Brzezinski, M.A; Alldredge, A.L","Passow, U","Passow, U (University of California, Santa Barbara); Shipe, R.F (University of California, Santa Barbara); Murray, A (University of California, Santa Barbara); Pak, D.K (University of California, Santa Barbara); Brzezinski, M.A (University of California, Santa Barbara); Alldredge, A.L (University of California, Santa Barbara)",190,29,,15.27,https://epic.awi.de/id/eprint/6316/1/Pas2001c.pdf,https://app.dimensions.ai/details/publication/pub.1023466889,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
87,100,pub.1016241834,10.1093/plankt/21.11.2203,,,Do transparent exopolymer particles (TEP) inhibit grazing by the euphausiid Euphausia pacifica?,Journal of Plankton Research,,,1999-11-01,1999,21,11,2203-2217,All OA; Gold,Article,"Passow, Uta; Alldredge, Alice L.",,"Passow, Uta (); Alldredge, Alice L. ()",50,7,,,https://academic.oup.com/plankt/article-pdf/21/11/2203/9913068/212203.pdf,https://app.dimensions.ai/details/publication/pub.1016241834,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
88,200,pub.1071157495,10.3354/ame020129,,,A time series assessment of planktonic archaeal variability in the Santa Barbara Channel,Aquatic Microbial Ecology,,,1999,1999,20,,129-145,"All OA; Green, Accepted & Submitted",Article,"Murray, AE; Blakis, A; Massana, R; Strawzewski, S; Passow, U; Alldredge, A; DeLong, EF",,"Murray, AE (); Blakis, A (); Massana, R (); Strawzewski, S (); Passow, U (); Alldredge, A (); DeLong, EF ()",68,10,,,https://epic.awi.de/id/eprint/6331/1/Mur1999a.pdf,https://app.dimensions.ai/details/publication/pub.1071157495,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
89,100,pub.1023310361,10.4319/lo.1998.43.8.1860,,,The role of surface‐active carbohydrates in the formation of transparent exopolymer particles by bubble adsorption of seawater,Limnology and Oceanography,,,1998-12,1998,43,8,1860-1871,All OA; Gold,Article,"Zhou, Jian; Mopper, Kenneth; Passow, Uta",,"Zhou, Jian (Washington State University); Mopper, Kenneth (Washington State University); Passow, Uta (University of California, Santa Barbara)",180,23,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1998.43.8.1860,https://app.dimensions.ai/details/publication/pub.1023310361,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
90,100,pub.1039704350,10.1016/s0967-0637(97)00058-7,,,Fractal dimensions of small (15–200 μm) particles in Eastern Pacific coastal waters,Deep Sea Research Part I Oceanographic Research Papers,,,1998-01,1998,45,1,115-131,Closed,Article,"Li, Xiaoyan; Passow, Uta; Logan, Bruce E","Logan, Bruce E","Li, Xiaoyan (University of Hong Kong); Passow, Uta (University of California, Santa Barbara); Logan, Bruce E (Pennsylvania State University)",21,0,,,,https://app.dimensions.ai/details/publication/pub.1039704350,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
91,100,pub.1000810127,10.1093/plankt/20.3.393,,,The characteristics and transparent exopolymer particle (TEP) content of marine snow formed from thecate dinoflagellates,Journal of Plankton Research,,,1998,1998,20,3,393-406,All OA; Gold,Article,"Alldredge, Alice L.; Passow, Uta; Haddock, H.D.",,"Alldredge, Alice L. (); Passow, Uta (); Haddock, H.D. ()",53,11,,,https://academic.oup.com/plankt/article-pdf/20/3/393/7294527/20-3-393.pdf,https://app.dimensions.ai/details/publication/pub.1000810127,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
92,100,pub.1009106534,10.1357/0022240963213754,,,Sedimentation of phytoplankton during a diatom bloom: Rates and mechanisms,Journal of Marine Research,,,1996-11-01,1996,54,6,1123-1148,"All OA; Green, Accepted & Submitted",Article,"Kiørboe, Thomas; Hansen, Jørgen L. S.; Alldredge, Alice L.; Jackson, George A.; Passow, Uta; Dam, Hans G.; Drapeau, David T.; Waite, Anya; Garcia, Carlos M.",,"Kiørboe, Thomas (); Hansen, Jørgen L. S. (); Alldredge, Alice L. (); Jackson, George A. (); Passow, Uta (); Dam, Hans G. (); Drapeau, David T. (); Waite, Anya (); Garcia, Carlos M. ()",58,3,,,http://orbit.dtu.dk/en/publications/sedimentation-of-phytoplankton-during-a-diatom-bloom--rates-and-mechanisms(ae757acd-907e-4f63-9337-c9b90bda6adb).html,https://app.dimensions.ai/details/publication/pub.1009106534,04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,04 Earth Sciences,0404 Geophysics,0405 Oceanography,,
93,100,pub.1025471648,10.1111/j.0022-3646.1995.00925.x,,,SUGAR‐CONTAINING COMPOUNDS ON THE CELL SURFACES OF MARINE DIATOMS MEASURED USING CONCANAVALIN A AND FLOW CYTOMETRY,Journal of Phycology,,,1995-12,1995,31,6,925-933,Closed,Article,"Waite, Anya M.; Olson, Robert J.; Dam, Hans G.; Passow, Uta",,"Waite, Anya M. (Woods Hole Oceanographic Institution); Olson, Robert J. (Woods Hole Oceanographic Institution); Dam, Hans G. (University of Connecticut); Passow, Uta (University of California, Santa Barbara)",44,2,,,,https://app.dimensions.ai/details/publication/pub.1025471648,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
94,100,pub.1048138458,10.4319/lo.1995.40.7.1326,,,A dye‐binding assay for the spectrophotometric measurement of transparent exopolymer particles (TEP),Limnology and Oceanography,,,1995-11,1995,40,7,1326-1335,All OA; Gold,Article,"Passow, U.; Alldredge, A. L.",,"Passow, U. (University of California, Santa Barbara); Alldredge, A. L. (University of California, Santa Barbara)",356,64,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1995.40.7.1326,https://app.dimensions.ai/details/publication/pub.1048138458,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
