,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Gary D Libecap. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
92,200,pub.1050330643,10.1017/s0022050700027765,,,"A Theory of Property Rights with Application to the California Gold Rush. By John R. Umbeck. Ames: Iowa State University Press, 1981. Pp. 158. $13.95.",The Journal of Economic History,,,1982-06,1982,42,2,470-472,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1050330643,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
93,100,pub.1006506141,10.1016/0014-4983(82)90017-1,,,"Agricultural productivity, partible inheritance, and the demographic response to rural poverty: An examination of the Spanish southwest",Explorations in Economic History,,,1982-04,1982,19,2,184-200,Closed,Article,"Libecap, Gary D; Alter, George",,"Libecap, Gary D (Texas A&M University); Alter, George (Indiana University)",4,1,,,,https://app.dimensions.ai/details/publication/pub.1006506141,1403 Econometrics; 14 Economics,1403 Econometrics,14 Economics,,,
94,200,pub.1051896996,10.1017/s0022050700045241,,,"Indians, Bureaucrats, and The Land: The Dawes Act and The Decline of Indian Farming. By Leonard J. Carison. Contributions in Ecnomics and Economic History, No. 36 . Westport, Connecticut: Greenwood Press, 1981. Pp. 219. $29.95.",The Journal of Economic History,,,1981-12,1981,41,4,939-940,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1051896996,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
95,200,pub.1037000671,10.1017/s0022050700043400,,,"Business and Government in the Oil Industry: A Case Study of Sun Oil, 1876–1945. By August W. Giebelhaus. Greenwich, Connecticut: JAI Press, 1980. Pp. 332. $29.50. - Innovations in Energy: The Story of Kerr-McGee. By John Samuel Ezell. Norman: University of Oklahoma Press, 1979. Pp. 542.",The Journal of Economic History,,,1981-03,1981,41,1,244-245,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1037000671,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
96,100,pub.1018657810,10.1017/s0022050700042911,,,Bureaucratic Opposition to the Assignment of Property Rights: Overgrazing on the Western Range,The Journal of Economic History,,,1981-03,1981,41,1,151-158,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University)",14,2,,,,https://app.dimensions.ai/details/publication/pub.1018657810,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
97,200,pub.1012337836,10.1017/s0022050700108782,,,"Money Mountain: The Story of Cripple Creek Gold. By Marshall Sprague. Lincoln: University of Nebraska Press, 1979. Pp 342. $14.50 cloth, $5.50 paper.",The Journal of Economic History,,,1980-06,1980,40,2,434-435,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1012337836,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
98,100,pub.1016615608,10.1111/j.1465-7295.1980.tb00560.x,,,LEGISLATING COMMONS: THE NAVAJO TRIBAL COUNCIL AND THE NAVAJO RANGE,Economic Inquiry,,,1980-01,1980,18,1,69-86,Closed,Article,"LIBECAP, GARY D.; JOHNSON, RONALD N.",,"LIBECAP, GARY D. (); JOHNSON, RONALD N. ()",14,0,,,,https://app.dimensions.ai/details/publication/pub.1016615608,14 Economics,14 Economics,,,,
99,200,pub.1010785230,10.1017/s0022050700099216,,,"Hard Rock Epic: Western Miners and the Industrial Revolution, 1860–1910. By Mark Wyman. Berkeley: University of California Press, 1979. Pp. 341. $15.95.",The Journal of Economic History,,,1979-12,1979,39,4,1072-1073,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1010785230,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
100,200,pub.1044474351,10.1017/s002205070009358x,,,"Copper Mining and Management. By Thomas R. Navin. Tucson: University of Arizona Press, 1978. Pp. 341. $16.50 cloth, $9.75 paper.",The Journal of Economic History,,,1979-09,1979,39,3,819-820,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1044474351,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
101,100,pub.1021882982,10.2307/3114091,,,Government Support of Private Claims to Public Minerals: Western Mineral Rights,The Business History Review,,,1979,1979,53,3,364-385,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (Texas A&M University)",8,1,,,,https://app.dimensions.ai/details/publication/pub.1021882982,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
102,200,pub.1033085190,10.1017/s0022050700087222,,,"Le Conte's Report on East Florida. Edited by Richard Adicks. Orlando: University Presses of Florida, 1978. Pp. x, 80. $5.00.",The Journal of Economic History,,,1978-12,1978,38,4,968-968,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of New Mexico)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1033085190,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
103,200,pub.1000469849,10.1017/s0022050700087350,,,"The Lands of Hawaii: Their Use and Misuse. By Thomas H. Creighton. Honolulu: University of Hawaii Press, 1978. Pp. xii, 417. $15.00.",The Journal of Economic History,,,1978-12,1978,38,4,982-983,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of New Mexico)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1000469849,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
104,100,pub.1045643983,10.1017/s0022050700105121,,,Economic Variables and the Development of the Law: The Case of Western Mineral Rights,The Journal of Economic History,,,1978-06,1978,38,2,338-362,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of New Mexico)",72,10,,,,https://app.dimensions.ai/details/publication/pub.1045643983,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
