,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Benjamin S Halpern. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
97,100,pub.1052853871,10.1038/nature11975,,,Halpern et al. reply,Nature,,,2013-03,2013,495,7442,e7-e7,Closed,Article,"Halpern, Benjamin S.; Gaines, Steven D.; Kleisner, Kristin; Longo, Catherine; Pauly, Daniel; Rosenberg, Andrew A.; Samhouri, Jameal F.; Zeller, Dirk","Halpern, Benjamin S.","Halpern, Benjamin S. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Kleisner, Kristin (University of British Columbia); Longo, Catherine (University of California, Santa Barbara); Pauly, Daniel (University of British Columbia); Rosenberg, Andrew A. (); Samhouri, Jameal F. (Northwest Fisheries Science Center); Zeller, Dirk (University of British Columbia)",3,1,,0.65,,https://app.dimensions.ai/details/publication/pub.1052853871,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
98,100,pub.1042516916,10.1016/j.marpol.2012.06.015,,,Moving beyond the fished or farmed dichotomy,Marine Policy,,,2013-03,2013,38,,369-374,Closed,Article,"Klinger, Dane H.; Turnipseed, Mary; Anderson, James L.; Asche, Frank; Crowder, Larry B.; Guttormsen, Atle G.; Halpern, Benjamin S.; O'Connor, Mary I.; Sagarin, Raphael; Selkoe, Kimberly A.; Shester, Geoffrey G.; Smith, Martin D.; Tyedmers, Peter","Klinger, Dane H.","Klinger, Dane H. (Stanford University); Turnipseed, Mary (University of California, Santa Barbara); Anderson, James L. (University of Rhode Island); Asche, Frank (Stavanger University Hospital); Crowder, Larry B. (); Guttormsen, Atle G. (Norwegian University of Life Sciences); Halpern, Benjamin S. (University of California, Santa Barbara); O'Connor, Mary I. (University of British Columbia); Sagarin, Raphael (University of Arizona); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Shester, Geoffrey G. (); Smith, Martin D. (Duke University); Tyedmers, Peter (Dalhousie University)",26,8,,13.1,,https://app.dimensions.ai/details/publication/pub.1042516916,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
99,100,pub.1021616328,10.1007/s00338-012-0981-1,,,Marine protected areas and resilience to sedimentation in the Solomon Islands,Coral Reefs,,,2013-03,2013,32,1,61-69,"All OA; Green, Accepted & Submitted",Article,"Halpern, B. S.; Selkoe, K. A.; White, C.; Albert, S.; Aswani, S.; Lauer, M.","Halpern, B. S.","Halpern, B. S. (University of California, Santa Barbara); Selkoe, K. A. (University of California, Santa Barbara); White, C. (University of California, Santa Barbara); Albert, S. (University of Queensland); Aswani, S. (University of California, Santa Barbara); Lauer, M. (San Diego State University)",28,7,,4.58,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1435&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1021616328,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
100,100,pub.1019137348,10.1016/j.marpol.2012.05.022,,,Evaluating tradeoffs among ecosystem services to inform marine spatial planning,Marine Policy,,,2013-03,2013,38,,80-89,"All OA; Green, Accepted & Submitted",Article,"Lester, Sarah E.; Costello, Christopher; Halpern, Benjamin S.; Gaines, Steven D.; White, Crow; Barth, John A.","Lester, Sarah E.","Lester, Sarah E. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); White, Crow (University of California, Santa Barbara); Barth, John A. (Oregon State University)",142,54,,26.56,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1436&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1019137348,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
101,300,pub.1035022330,10.1038/494169a,23407523,,Classify plastic waste as hazardous,Nature,,Animals; Environmental Monitoring; Environmental Policy; Hazardous Waste; Humans; Plastics; Recycling; Refuse Disposal,2013-02,2013,494,7436,169-171,Closed,Article,"Rochman, Chelsea M.; Browne, Mark Anthony; Halpern, Benjamin S.; Hentschel, Brian T.; Hoh, Eunha; Karapanagioti, Hrissi K.; Rios-Mendoza, Lorena M.; Takada, Hideshige; Teh, Swee; Thompson, Richard C.","Rochman, Chelsea M.","Rochman, Chelsea M. (University of California, Davis); Browne, Mark Anthony (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Hentschel, Brian T. (San Diego State University); Hoh, Eunha (San Diego State University); Karapanagioti, Hrissi K. (University of Patras); Rios-Mendoza, Lorena M. (University of Wisconsin–Superior); Takada, Hideshige (Tokyo University of Agriculture and Technology); Teh, Swee (University of California, Davis); Thompson, Richard C. (Plymouth University)",323,148,11.54,,,https://app.dimensions.ai/details/publication/pub.1035022330,,,,,,
102,100,pub.1047903689,10.1016/j.gloenvcha.2012.10.011,,,"Globalization, Pacific Islands, and the paradox of resilience",Global Environmental Change,,,2013-02,2013,23,1,40-50,Closed,Article,"Lauer, Matthew; Albert, Simon; Aswani, Shankar; Halpern, Benjamin S.; Campanella, Luke; La Rose, Douglas","Lauer, Matthew","Lauer, Matthew (San Diego State University); Albert, Simon (University of Queensland); Aswani, Shankar (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Campanella, Luke (San Diego State University); La Rose, Douglas (San Diego State University)",44,13,,11,,https://app.dimensions.ai/details/publication/pub.1047903689,1608 Sociology; 16 Studies in Human Society; 0602 Ecology; 06 Biological Sciences,1608 Sociology,16 Studies in Human Society,0602 Ecology,06 Biological Sciences,
103,400,pub.1018605417,10.1073/pnas.1213841110,23248308,PMC3538252,Joint analysis of stressors and ecosystem services to enhance restoration effectiveness,Proceedings of the National Academy of Sciences,,"Ecosystem; Environmental Monitoring; Environmental Restoration and Remediation; Geographic Mapping; Geography; Great Lakes Region; Human Activities; Humans; Lakes; Models, Theoretical; Stress, Physiological",2013-01-02,2013,110,1,372-377,All OA; Gold,Article,"Allan, J. David; McIntyre, Peter B.; Smith, Sigrid D. P.; Halpern, Benjamin S.; Boyer, Gregory L.; Buchsbaum, Andy; Burton, G. A.; Campbell, Linda M.; Chadderton, W. Lindsay; Ciborowski, Jan J. H.; Doran, Patrick J.; Eder, Tim; Infante, Dana M.; Johnson, Lucinda B.; Joseph, Christine A.; Marino, Adrienne L.; Prusevich, Alexander; Read, Jennifer G.; Rose, Joan B.; Rutherford, Edward S.; Sowa, Scott P.; Steinman, Alan D.",,"Allan, J. David (); McIntyre, Peter B. (University of Wisconsin–Madison); Smith, Sigrid D. P. (); Halpern, Benjamin S. (University of California, Santa Barbara); Boyer, Gregory L. (); Buchsbaum, Andy (National Wildlife Federation); Burton, G. A. (University of Michigan); Campbell, Linda M. (Saint Mary's University); Chadderton, W. Lindsay (); Ciborowski, Jan J. H. (University of Windsor); Doran, Patrick J. (); Eder, Tim (Great Lakes Commission); Infante, Dana M. (Michigan State University); Johnson, Lucinda B. (University of Minnesota); Joseph, Christine A. (); Marino, Adrienne L. (); Prusevich, Alexander (University of New Hampshire); Read, Jennifer G. (Great Lakes Observing System); Rose, Joan B. (Michigan State University); Rutherford, Edward S. (Great Lakes Environmental Research Laboratory); Sowa, Scott P. (); Steinman, Alan D. (Grand Valley State University)",172,60,2.56,28.12,http://www.pnas.org/content/110/1/372.full.pdf,https://app.dimensions.ai/details/publication/pub.1018605417,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
104,100,pub.1024075203,10.1111/conl.12005,,,"Tradeoffs in marine reserve design: habitat condition, representation, and socioeconomic costs",Conservation Letters,,,2013-01,2013,6,5,324-332,All OA; Gold,Article,"Klein, Carissa J.; Tulloch, Vivitskaia J.; Halpern, Benjamin S.; Selkoe, Kimberly A.; Watts, Matthew E.; Steinback, Charles; Scholz, Astrid; Possingham, Hugh P.",,"Klein, Carissa J. (Department of the Environment and Energy); Tulloch, Vivitskaia J. (Department of the Environment and Energy); Halpern, Benjamin S. (University of California, Santa Barbara); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Watts, Matthew E. (Department of the Environment and Energy); Steinback, Charles (Ecotrust); Scholz, Astrid (Ecotrust); Possingham, Hugh P. (Department of the Environment and Energy)",44,10,,7.19,http://onlinelibrary.wiley.com/doi/10.1111/conl.12005/pdf,https://app.dimensions.ai/details/publication/pub.1024075203,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
105,400,pub.1018641274,10.1098/rsbl.2012.0530,22791706,PMC3497116,Climate change and marine life,Biology Letters,,"Climate Change; Data Collection; Data Interpretation, Statistical; Ecosystem; Geography; Marine Biology; Oceanography; Oceans and Seas; Time Factors",2012-12-23,2012,8,6,907-909,All OA; Gold,Article,"Richardson, Anthony J.; Brown, Christopher J.; Brander, Keith; Bruno, John F.; Buckley, Lauren; Burrows, Michael T.; Duarte, Carlos M.; Halpern, Benjamin S.; Hoegh-Guldberg, Ove; Holding, Johnna; Kappel, Carrie V.; Kiessling, Wolfgang; Moore, Pippa J.; O'Connor, Mary I.; Pandolfi, John M.; Parmesan, Camille; Schoeman, David S.; Schwing, Frank; Sydeman, William J.; Poloczanska, Elvira S.",,"Richardson, Anthony J. (University of Queensland); Brown, Christopher J. (University of Queensland); Brander, Keith (Technical University of Denmark); Bruno, John F. (University of North Carolina at Chapel Hill); Buckley, Lauren (University of North Carolina at Chapel Hill); Burrows, Michael T. (Scottish Association For Marine Science); Duarte, Carlos M. (Mediterranean Institute for Advanced Studies; University of Western Australia); Halpern, Benjamin S. (University of California, Santa Barbara); Hoegh-Guldberg, Ove (University of Queensland); Holding, Johnna (Mediterranean Institute for Advanced Studies); Kappel, Carrie V. (University of California, Santa Barbara); Kiessling, Wolfgang (Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science); Moore, Pippa J. (Aberystwyth University); O'Connor, Mary I. (University of British Columbia); Pandolfi, John M. (University of Queensland); Parmesan, Camille (The University of Texas at Austin; Plymouth University); Schoeman, David S. (University of the Sunshine Coast; Nelson Mandela University); Schwing, Frank (Southwest Fisheries Science Center); Sydeman, William J. (Farallon Institute); Poloczanska, Elvira S. ()",48,10,0.84,5.75,http://rsbl.royalsocietypublishing.org/content/8/6/907.full.pdf,https://app.dimensions.ai/details/publication/pub.1018641274,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
106,400,pub.1039454056,10.1371/journal.pone.0047598,23144824,PMC3492388,Catching the Right Wave: Evaluating Wave Energy Resources and Potential Compatibility with Existing Marine and Coastal Uses,PLoS ONE,,Algorithms; British Columbia; Conservation of Natural Resources; Decision Support Techniques; Electricity; Environment; Fisheries; Humans; Oceans and Seas; Renewable Energy; Software; Water Movements,2012-11-07,2012,7,11,e47598,All OA; Gold,Article,"Kim, Choong-Ki; Toft, Jodie E.; Papenfus, Michael; Verutes, Gregory; Guerry, Anne D.; Ruckelshaus, Marry H.; Arkema, Katie K.; Guannel, Gregory; Wood, Spencer A.; Bernhardt, Joanna R.; Tallis, Heather; Plummer, Mark L.; Halpern, Benjamin S.; Pinsky, Malin L.; Beck, Michael W.; Chan, Francis; Chan, Kai M. A.; Levin, Phil S.; Polasky, Stephen",,"Kim, Choong-Ki (Stanford University; Inha University); Toft, Jodie E. (Stanford University); Papenfus, Michael (Stanford University; Environmental Protection Agency); Verutes, Gregory (Stanford University); Guerry, Anne D. (Stanford University); Ruckelshaus, Marry H. (Stanford University); Arkema, Katie K. (Stanford University); Guannel, Gregory (Stanford University); Wood, Spencer A. (Stanford University); Bernhardt, Joanna R. (Stanford University; University of British Columbia); Tallis, Heather (Stanford University); Plummer, Mark L. (Northwest Fisheries Science Center); Halpern, Benjamin S. (University of California, Santa Barbara); Pinsky, Malin L. (Princeton University); Beck, Michael W. (The Nature Conservancy); Chan, Francis (Oregon State University); Chan, Kai M. A. (University of British Columbia); Levin, Phil S. (Northwest Fisheries Science Center); Polasky, Stephen (University of Minnesota)",27,3,0,5.53,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0047598&type=printable,https://app.dimensions.ai/details/publication/pub.1039454056,0911 Maritime Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0911 Maritime Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
107,400,pub.1004292413,10.1038/nature11397,22895186,,An index to assess the health and benefits of the global ocean,Nature,,Animals; Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Environmental Policy; Fisheries; Geography; Human Activities; Internationality; Marine Biology; Oceanography; Oceans and Seas; Recreation; Seawater; Water Pollution,2012-08,2012,488,7413,615-620,Closed,Article,"Halpern, Benjamin S.; Longo, Catherine; Hardy, Darren; McLeod, Karen L.; Samhouri, Jameal F.; Katona, Steven K.; Kleisner, Kristin; Lester, Sarah E.; O’Leary, Jennifer; Ranelletti, Marla; Rosenberg, Andrew A.; Scarborough, Courtney; Selig, Elizabeth R.; Best, Benjamin D.; Brumbaugh, Daniel R.; Chapin, F. Stuart; Crowder, Larry B.; Daly, Kendra L.; Doney, Scott C.; Elfes, Cristiane; Fogarty, Michael J.; Gaines, Steven D.; Jacobsen, Kelsey I.; Karrer, Leah Bunce; Leslie, Heather M.; Neeley, Elizabeth; Pauly, Daniel; Polasky, Stephen; Ris, Bud; St Martin, Kevin; Stone, Gregory S.; Sumaila, U. Rashid; Zeller, Dirk","Halpern, Benjamin S.","Halpern, Benjamin S. (University of California, Santa Barbara); Longo, Catherine (University of California, Santa Barbara); Hardy, Darren (University of California, Santa Barbara); McLeod, Karen L. (Oregon State University); Samhouri, Jameal F. (Northwest Fisheries Science Center); Katona, Steven K. (Conservation International); Kleisner, Kristin (University of British Columbia); Lester, Sarah E. (University of California, Santa Barbara); O’Leary, Jennifer (University of California, Santa Barbara); Ranelletti, Marla (University of California, Santa Barbara); Rosenberg, Andrew A. (Conservation International); Scarborough, Courtney (University of California, Santa Barbara); Selig, Elizabeth R. (Conservation International); Best, Benjamin D. (Duke University); Brumbaugh, Daniel R. (American Museum of Natural History); Chapin, F. Stuart (University of Alaska System); Crowder, Larry B. (Stanford University); Daly, Kendra L. (University of South Florida); Doney, Scott C. (Woods Hole Oceanographic Institution); Elfes, Cristiane (University of California, Santa Barbara); Fogarty, Michael J. (Northeast Fisheries Science Center); Gaines, Steven D. (University of California, Santa Barbara); Jacobsen, Kelsey I. (University of California, Santa Barbara); Karrer, Leah Bunce (Conservation International); Leslie, Heather M. (); Neeley, Elizabeth (University of Washington); Pauly, Daniel (University of British Columbia); Polasky, Stephen (University of Minnesota); Ris, Bud (); St Martin, Kevin (Rutgers, The State University of New Jersey); Stone, Gregory S. (Conservation International); Sumaila, U. Rashid (University of British Columbia); Zeller, Dirk (University of British Columbia)",390,93,5.12,44.35,,https://app.dimensions.ai/details/publication/pub.1004292413,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
108,100,pub.1009425473,10.1525/bio.2012.62.8.7,,,Where are Cultural and Social in Ecosystem Services? A Framework for Constructive Engagement,BioScience,,,2012-08,2012,62,8,744-756,All OA; Gold,Article,"Chan, Kai M. A.; Guerry, Anne D.; Balvanera, Patricia; Klain, Sarah; Satterfield, Terre; Basurto, Xavier; Bostrom, Ann; Chuenpagdee, Ratana; Gould, Rachelle; Halpern, Benjamin S.; Hannahs, Neil; Levine, Jordan; Norton, Bryan; Ruckelshaus, Mary; Russell, Roly; Tam, Jordan; Woodside, Ulalia",,"Chan, Kai M. A. (); Guerry, Anne D. (); Balvanera, Patricia (); Klain, Sarah (); Satterfield, Terre (); Basurto, Xavier (); Bostrom, Ann (); Chuenpagdee, Ratana (); Gould, Rachelle (); Halpern, Benjamin S. (); Hannahs, Neil (); Levine, Jordan (); Norton, Bryan (); Ruckelshaus, Mary (); Russell, Roly (); Tam, Jordan (); Woodside, Ulalia ()",370,130,,,https://academic.oup.com/bioscience/article-pdf/62/8/744/19405953/62-8-744.pdf,https://app.dimensions.ai/details/publication/pub.1009425473,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
109,400,pub.1037054575,10.1890/11-1718.1,22827132,,Forest conservation delivers highly variable coral reef conservation outcomes,Ecological Applications,,"Animals; Conservation of Natural Resources; Coral Reefs; Cost-Benefit Analysis; Fiji; Fisheries; Fishes; Human Activities; Trees; Water Pollutants, Chemical",2012-06,2012,22,4,1246-1256,"All OA; Green, Accepted & Submitted",Article,"Klein, Carissa J.; Jupiter, Stacy D.; Selig, Elizabeth R.; Watts, Matthew E.; Halpern, Benjamin S.; Kamal, Muhammad; Roelfsema, Chris; Possingham, Hugh P.",,"Klein, Carissa J. (University of Queensland); Jupiter, Stacy D. (); Selig, Elizabeth R. (Conservation International); Watts, Matthew E. (University of Queensland); Halpern, Benjamin S. (University of California, Santa Barbara); Kamal, Muhammad (University of Queensland); Roelfsema, Chris (University of Queensland); Possingham, Hugh P. (University of Queensland)",47,12,0.79,7.57,http://espace.library.uq.edu.au/view/UQ:278287/UQ278287_OA.pdf,https://app.dimensions.ai/details/publication/pub.1037054575,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
110,100,pub.1018464654,10.1890/es11-00366.1,,,Sea sick? Setting targets to assess ocean health and ecosystem services,Ecosphere,,,2012-05,2012,3,5,1-18,All OA; Gold,Article,"Samhouri, Jameal F.; Lester, Sarah E.; Selig, Elizabeth R.; Halpern, Benjamin S.; Fogarty, Michael J.; Longo, Catherine; McLeod, Karen L.",,"Samhouri, Jameal F. (Northwest Fisheries Science Center); Lester, Sarah E. (University of California, Santa Barbara); Selig, Elizabeth R. (Conservation International); Halpern, Benjamin S. (University of California, Santa Barbara); Fogarty, Michael J. (); Longo, Catherine (University of California, Santa Barbara); McLeod, Karen L. (Oregon State University)",58,15,,8.29,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES11-00366.1,https://app.dimensions.ai/details/publication/pub.1018464654,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
111,400,pub.1045252640,10.1073/pnas.1114215109,22392996,PMC3311352,Ecosystem service tradeoff analysis reveals the value of marine spatial planning for multiple ocean uses,Proceedings of the National Academy of Sciences,,"Animals; Catalysis; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Marine Biology; Massachusetts; Models, Biological; Models, Economic; Nephropidae; Oceans and Seas; Whales",2012-03-20,2012,109,12,4696-4701,All OA; Gold,Article,"White, Crow; Halpern, Benjamin S.; Kappel, Carrie V.",,"White, Crow (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara)",214,64,1.65,36.58,http://www.pnas.org/content/109/12/4696.full.pdf,https://app.dimensions.ai/details/publication/pub.1045252640,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
112,400,pub.1001160892,10.1371/journal.pone.0032742,22393445,PMC3290621,"The Structure of Mediterranean Rocky Reef Ecosystems across Environmental and Human Gradients, and Conservation Implications",PLoS ONE,,Algorithms; Animals; Biomass; Conservation of Natural Resources; Coral Reefs; Ecosystem; Environment; Fishes; Geography; Humans; Invertebrates; Mediterranean Sea; Population Dynamics,2012-02-29,2012,7,2,e32742,All OA; Gold,Article,"Sala, Enric; Ballesteros, Enric; Dendrinos, Panagiotis; Di Franco, Antonio; Ferretti, Francesco; Foley, David; Fraschetti, Simonetta; Friedlander, Alan; Garrabou, Joaquim; Güçlüsoy, Harun; Guidetti, Paolo; Halpern, Benjamin S.; Hereu, Bernat; Karamanlidis, Alexandros A.; Kizilkaya, Zafer; Macpherson, Enrique; Mangialajo, Luisa; Mariani, Simone; Micheli, Fiorenza; Pais, Antonio; Riser, Kristin; Rosenberg, Andrew A.; Sales, Marta; Selkoe, Kimberly A.; Starr, Rick; Tomas, Fiona; Zabala, Mikel",,"Sala, Enric (National Geographic Society; Centro de Estudios Avanzados de Blane); Ballesteros, Enric (Centro de Estudios Avanzados de Blane); Dendrinos, Panagiotis (); Di Franco, Antonio (University of Salento); Ferretti, Francesco (Stanford University); Foley, David (Southwest Fisheries Science Center; University of Hawaii at Manoa); Fraschetti, Simonetta (University of Salento); Friedlander, Alan (University of Hawaii at Manoa); Garrabou, Joaquim (Institute of Marine Sciences); Güçlüsoy, Harun (Dokuz Eylül University); Guidetti, Paolo (University of Salento); Halpern, Benjamin S. (University of California, Santa Barbara); Hereu, Bernat (University of Barcelona); Karamanlidis, Alexandros A. (); Kizilkaya, Zafer (); Macpherson, Enrique (Centro de Estudios Avanzados de Blane); Mangialajo, Luisa (Nice Sophia Antipolis University); Mariani, Simone (Centro de Estudios Avanzados de Blane); Micheli, Fiorenza (Stanford University); Pais, Antonio (University of Sassari); Riser, Kristin (Scripps Institution of Oceanography); Rosenberg, Andrew A. (Conservation International); Sales, Marta (); Selkoe, Kimberly A. (University of California, Santa Barbara); Starr, Rick (Scripps Institution of Oceanography; California State University Los Angeles); Tomas, Fiona (Centro de Estudios Avanzados de Blane); Zabala, Mikel (University of Barcelona)",160,48,3.35,25.77,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0032742&type=printable,https://app.dimensions.ai/details/publication/pub.1001160892,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
113,200,pub.1062608740,10.1126/science.335.6068.538-a,,,Invasive Species Unchecked by Climate—Response,Science,,,2012-02-03,2012,335,6068,538-539,"All OA; Green, Accepted & Submitted",Article,"Burrows, Michael T.; Schoeman, David S.; Duarte, Carlos M.; O'Connor, Mary I.; Buckley, Lauren B.; Kappel, Carrie V.; Parmesan, Camille; Halpern, Benjamin S.; Brown, Chris; Brander, Keith M.; Bruno, John F.; Pandolfi, John M.; Sydeman, William J.; Moore, Pippa; Kiessling, Wolfgang; Richardson, Anthony J.; Poloczanska, Elvira S.",,"Burrows, Michael T. (Scottish Association For Marine Science); Schoeman, David S. (University of Ulster; Nelson Mandela University); Duarte, Carlos M. (University of Western Australia; Mediterranean Institute for Advanced Studies); O'Connor, Mary I. (University of British Columbia); Buckley, Lauren B. (University of North Carolina at Chapel Hill); Kappel, Carrie V. (University of California, Santa Barbara); Parmesan, Camille (The University of Texas at Austin); Halpern, Benjamin S. (University of California, Santa Barbara); Brown, Chris (University of Queensland); Brander, Keith M. (Technical University of Denmark); Bruno, John F. (University of North Carolina at Chapel Hill); Pandolfi, John M. (University of Queensland); Sydeman, William J. (Farallon Institute); Moore, Pippa (Aberystwyth University; Edith Cowan University); Kiessling, Wolfgang (Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science); Richardson, Anthony J. (University of Queensland); Poloczanska, Elvira S. ()",3,0,,,https://digital.csic.es/bitstream/10261/89753/1/accesoRestringido.pdf,https://app.dimensions.ai/details/publication/pub.1062608740,,,,,,
114,100,pub.1013944838,10.1016/j.marpol.2011.05.004,,,"Near-term priorities for the science, policy and practice of Coastal and Marine Spatial Planning (CMSP)",Marine Policy,,,2012-01,2012,36,1,198-205,Closed,Article,"Halpern, Benjamin S.; Diamond, Jordan; Gaines, Steve; Gelcich, Stefan; Gleason, Mary; Jennings, Simon; Lester, Sarah; Mace, Amber; McCook, Laurence; McLeod, Karen; Napoli, Nicholas; Rawson, Kit; Rice, Jake; Rosenberg, Andrew; Ruckelshaus, Mary; Saier, Bettina; Sandifer, Paul; Scholz, Astrid; Zivian, Anna","Halpern, Benjamin S.","Halpern, Benjamin S. (University of California, Santa Barbara); Diamond, Jordan (Environmental Law Institute); Gaines, Steve (University of California, Santa Barbara); Gelcich, Stefan (Pontifical Catholic University of Chile); Gleason, Mary (The Nature Conservancy); Jennings, Simon (Centre for Environment, Fisheries and Aquaculture Science; University of East Anglia); Lester, Sarah (University of California, Santa Barbara); Mace, Amber (); McCook, Laurence (Great Barrier Reef Marine Park Authority); McLeod, Karen (Oregon State University); Napoli, Nicholas (); Rawson, Kit (); Rice, Jake (); Rosenberg, Andrew (Conservation International); Ruckelshaus, Mary (Stanford University); Saier, Bettina (); Sandifer, Paul (Hollings Marine Laboratory); Scholz, Astrid (Ecotrust); Zivian, Anna (Ocean Conservancy)",84,21,,14.36,,https://app.dimensions.ai/details/publication/pub.1013944838,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
115,100,pub.1087459590,10.5822/978-1-61091-182-5_16,,,Extinction Risk in a Changing Ocean,,Saving a Million Species,,2012,2012,,,285-307,Closed,Chapter,"Halpern, Benjamin S.; Kappel, Carrie V.","Halpern, Benjamin S.","Halpern, Benjamin S. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara)",5,1,,0.66,,https://app.dimensions.ai/details/publication/pub.1087459590,0602 Ecology; 0405 Oceanography; 0502 Environmental Science and Management; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0502 Environmental Science and Management,04 Earth Sciences,05 Environmental Sciences
116,100,pub.1041619139,10.1007/978-1-4614-1034-8_13,,,Eliciting Expert Knowledge of Ecosystem Vulnerability to Human Stressors to Support Comprehensive Ocean Management,,Expert Knowledge and Its Application in Landscape Ecology,,2012,2012,,,253-277,Closed,Chapter,"Kappel, Carrie V.; Halpern, Benjamin S.; Selkoe, Kimberly A.; Cooke, Roger M.","Kappel, Carrie V.","Kappel, Carrie V. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Selkoe, Kimberly A. (University of California, Santa Barbara); Cooke, Roger M. (Resources For The Future)",9,1,,1.19,,https://app.dimensions.ai/details/publication/pub.1041619139,0602 Ecology; 0405 Oceanography; 0502 Environmental Science and Management; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0502 Environmental Science and Management,04 Earth Sciences,05 Environmental Sciences
