,Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year,Scholar_Identifier,Scholar_Url,Scholar_Keywords
184,Rioux,Matthew Rioux, UCSB,Matthew Rioux UCSB,"ERI, LSOE Earth Science",Radiogenic Isotope Geochemistry,,,,n4zOvXkAAAAJ,https://scholar.google.com/citations?user=n4zOvXkAAAAJ&view_op=list_works&sortby=pubdate,['Geology']
185,Rittger,Karl Rittger, UCSB,Karl Rittger CU Boulder,,Terrestrial Hydrosphere focused on the processes controlling hydrologic fluxes in cold regions and within the greater Earth system,,,,A_Xh-x8AAAAJ,https://scholar.google.com/citations?user=A_Xh-x8AAAAJ&view_op=list_works&sortby=pubdate,['Snow hydrology']
186,Romero,Leonel Romero, UCSB,Leonel Romero UCSB,ERI,"Upper ocean dynamics, coastal processes, surface wave dynamics, air-sea interaction, wave-current interaction, ocean mixing",,,,NZtZHmEgTw4C,https://scholar.google.com/citations?user=NZtZHmEgTw4C&view_op=list_works&sortby=pubdate,"['upper ocean processes', 'ocean waves', 'air-sea interaction', 'coastal processes']"
187,Rood,Dylan Rood, UCSB,Dylan Rood Imperial College London,ERI,"Terrestrial climate records, earthquake fault slip rates, erosion rates and landscape evolution, and seismic hazards ",,,,vjpTSA8AAAAJ,https://scholar.google.com/citations?user=vjpTSA8AAAAJ&view_op=list_works&sortby=pubdate,"['Cosmogenic Isotopes & Accelerator Mass …', 'Tectonic Geomorphology', 'Climate Change', 'Earthquake Hazards']"
188,Seale,Sandra Seale, UCSB,Sandra Seale UCSB,ERI,"Strong-motion seismology, earthquake site effects",,,,none,none,none
189,Seltmann,Katja Seltmann, UCSB,Katja Seltmann UCSB,CCBER and ERI,"Biodiversity informatics, entomology, natural history collections",,,,gsh_xxoAAAAJ,https://scholar.google.com/citations?user=gsh_xxoAAAAJ&view_op=list_works&sortby=pubdate,"['biodiversity informatics', 'entomology', 'natural history collections']"
190,Shi,Jiancheng Shi, UCSB,"Jiancheng Shi Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences",ERI,"Modeling of the microwave signature of snow and soil, image processing and analysis, and inversion model developments for retrieving physical parameters from remote sensing data",,,,LMhQkYAAAAAJ,https://scholar.google.com/citations?user=LMhQkYAAAAAJ&view_op=list_works&sortby=pubdate,"['water cycle', 'hydrology', 'water resources', 'remote sensing']"
191,Silva,Thiago Silva, UCSB,Thiago Sanna Freire Silva University of Stirling,ERI and Brazilian National Institute for Space Research (INPE),"Biology, Ecology, Limnology- ecosystem processes on floodplains of the Amazon basin",,,,hpPTEmcAAAAJ,https://scholar.google.com/citations?user=hpPTEmcAAAAJ&view_op=list_works&sortby=pubdate,"['ecosystems ecology', 'plant ecology', 'macroecology', 'climate change', 'remote sensing']"
192,Simons,Rachel Simons, UCSB,Rachel Simons UCSB,ERI,Hydrodynamic and transport modeling,,,,gAHeXcUAAAAJ,https://scholar.google.com/citations?user=gAHeXcUAAAAJ&view_op=list_works&sortby=pubdate,['Coastal Oceanography']
193,Singer,Michael Singer, UCSB,Michael Singer UCSB,ERI,"Flood-based erosion and sedimentation, stochastic processes, downstream fining, geochemical tracers, channel and floodplain morphology in large rivers",,,,LT_zsYAAAAAJ,https://scholar.google.com/citations?user=LT_zsYAAAAAJ&view_op=list_works&sortby=pubdate,"['geomorphology', 'hydrology', 'ecohydrology', 'sediment transport', 'flood risk']"
194,Smith,Tom Smith, UCSB,Tom Smith UCSB,ERI,Community ecology studying high elevation lake communities in California's Sierra Nevada,,,,kO0L21oAAAAJ,https://scholar.google.com/citations?user=kO0L21oAAAAJ&view_op=list_works&sortby=pubdate,"['community ecology', 'aquatic ecology', 'disease ecology']"
195,Srlien,Christopher Sorlien, UCSB,Christopher Sorlien UCSB,ERI,Faulting and folding; seismic reflection data; paleoclimate,,,,fOMtKyAAAAAJ,https://scholar.google.com/citations?user=fOMtKyAAAAAJ&view_op=list_works&sortby=pubdate,"['""seismic reflection""', '""faulting and folding""', 'past climates']"
196,Steidl,Jamison Steidl, UCSB,Jamison Steidl UCSB,ERI,"Site Response, Strong Ground Motion, Engineering Seismology, Borehole Seismology, Earthquake Source Mechanics and Dynamics",,,,Rop09V8AAAAJ,https://scholar.google.com/citations?user=Rop09V8AAAAJ&view_op=list_works&sortby=pubdate,"['Seismology', 'Earthquake Engineering', 'Site Response', 'Strong Ground Motion', 'Earthquake Physics']"
197,Stith,Andrea Stith, UCSB,Andrea Stith UCSB,Office of Research,Research Development,,,,none,none,none
198,Stratton,Lisa Stratton, UCSB,Lisa Stratton UCSB,CCBER,Ecosystem Management,,,,none,none,none
199,Thorsch,Jennifer Thorsch, UCSB,Jennifer Thorsch UCSB,CCBER,"Plant science, collection management, K-12 education",,,,none,none,none
200,Tyler,Claudia Tyler, UCSB,Claudia Tyler UCSB,GGSE,Community dynamics in oak woodlands,,,,-H7Y-VUAAAAJ,https://scholar.google.com/citations?user=-H7Y-VUAAAAJ&view_op=list_works&sortby=pubdate,"['community ecology', 'plant ecology', 'shrublands', 'oak woodlands']"
201,Wahlert,Greg Wahlert, UCSB,Greg Wahlert UCSB,CCBER,"Plant systematics, collections management.",,,,r5i187AAAAAJ,https://scholar.google.com/citations?user=r5i187AAAAAJ&view_op=list_works&sortby=pubdate,"['Plant Systematics', 'Natural History Collections', 'floras of California and Madagascar']"
202,Witmann,Marion Wittmann, UCSB,Marion Wittmann UCSB,NRS,"Wildlife Conservation, Ecosystem Ecology, Conservation Biology, Invasive Species, Climate Change, Biodiversity, Water Quality, Natural Resource Management",,,,DcjUuRUAAAAJ,https://scholar.google.com/citations?user=DcjUuRUAAAAJ&view_op=list_works&sortby=pubdate,"['Aquatic ecology', 'invasive species', 'environmental policy']"
