,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Noah P Molotch. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
56,100,pub.1007863123,10.1002/2013wr014753,,,Snowpack regimes of the Western United States,Water Resources Research,,,2014-07,2014,50,7,5611-5623,All OA; Gold,Article,"Trujillo, Ernesto; Molotch, Noah P.",,"Trujillo, Ernesto (Institute of Arctic and Alpine Research); Molotch, Noah P. (Institute of Arctic and Alpine Research; University of Colorado Boulder; Jet Propulsion Lab)",57,32,,18.84,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013WR014753,https://app.dimensions.ai/details/publication/pub.1007863123,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
57,100,pub.1018260436,10.5194/hessd-11-5327-2014,,,"LiDAR measurement of seasonal snow accumulation along an elevation gradient in the southern Sierra Nevada, California",Hydrology and Earth System Sciences Discussions,,,2014-05-21,2014,11,5,5327-5365,All OA; Gold,Article,"Kirchner, P. B.; Bales, R. C.; Molotch, N. P.; Flanagan, J.; Guo, Q.",,"Kirchner, P. B. (University of California, Merced; University of California Los Angeles); Bales, R. C. (University of California, Merced); Molotch, N. P. (University of Colorado Boulder; Jet Propulsion Lab); Flanagan, J. (University of California, Merced); Guo, Q. (University of California, Merced)",7,1,,0.89,https://doi.org/10.5194/hessd-11-5327-2014,https://app.dimensions.ai/details/publication/pub.1018260436,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
58,100,pub.1040794199,10.1002/eco.1329,,,Modelling the effects of the mountain pine beetle on snowmelt in a subalpine forest,Ecohydrology,,,2014-04,2014,7,2,226-241,All OA; Gold,Article,"Perrot, Danielle; Molotch, Noah P.; Musselman, Keith N.; Pugh, Evan T.",,"Perrot, Danielle (Institute of Arctic and Alpine Research); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Musselman, Keith N. (University of California Los Angeles); Pugh, Evan T. (University of Colorado Boulder)",14,2,,2.89,http://dx.doi.org/10.1002/eco.1329,https://app.dimensions.ai/details/publication/pub.1040794199,0602 Ecology; 0705 Forestry Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0705 Forestry Sciences,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
59,100,pub.1013894785,10.1111/j.1936-704x.2014.03176.x,,,A Vision for Future Observations for Western U.S. Extreme Precipitation and Flooding,Journal of Contemporary Water Research & Education,,,2014-04,2014,153,1,16-32,All OA; Gold,Article,"Ralph, F.M.; Dettinger, M.; White, A.; Reynolds, D.; Cayan, D.; Schneider, T.; Cifelli, R.; Redmond, K.; Anderson, M.; Gherke, F.; Jones, J.; Mahoney, K.; Johnson, L.; Gutman, S.; Chandrasekar, V.; Lundquist, J.; Molotch, N.; Brekke, L.; Pulwarty, R.; Horel, J.; Schick, L.; Edman, A.; Mote, P.; Abatzoglou, J.; Pierce, R.; Wick, G.",,"Ralph, F.M. (); Dettinger, M. (Scripps Institution of Oceanography); White, A. (Earth System Research Laboratory); Reynolds, D. (Cooperative Institute for Research in Environmental Sciences); Cayan, D. (Scripps Institution of Oceanography); Schneider, T. (); Cifelli, R. (Earth System Research Laboratory); Redmond, K. (); Anderson, M. (California Natural Resources Agency); Gherke, F. (California Natural Resources Agency); Jones, J. (California Natural Resources Agency); Mahoney, K. (Cooperative Institute for Research in Environmental Sciences); Johnson, L. (); Gutman, S. (); Chandrasekar, V. (Colorado State University); Lundquist, J. (University of Washington); Molotch, N. (University of Colorado Boulder); Brekke, L. (United States Bureau of Reclamation); Pulwarty, R. (); Horel, J. (University of Utah); Schick, L. (); Edman, A. (); Mote, P. (Oregon State University); Abatzoglou, J. (University of Idaho); Pierce, R. (); Wick, G. (Earth System Research Laboratory)",18,7,,5.8,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1936-704X.2014.03176.x,https://app.dimensions.ai/details/publication/pub.1013894785,1303 Specialist Studies In Education; 13 Education; 0599 Other Environmental Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,1303 Specialist Studies In Education,13 Education,0599 Other Environmental Sciences,05 Environmental Sciences,0502 Environmental Science and Management
60,100,pub.1023757495,10.1002/2013wr013935,,,LiDAR‐derived snowpack data sets from mixed conifer forests across the Western United States,Water Resources Research,,,2014-03,2014,50,3,2749-2755,"All OA; Green, Published",Article,"Harpold, A. A.; Guo, Q.; Molotch, N.; Brooks, P. D.; Bales, R.; Fernandez‐Diaz, J. C.; Musselman, K. N.; Swetnam, T. L.; Kirchner, P.; Meadows, M. W.; Flanagan, J.; Lucas, R.",,"Harpold, A. A. (Institute of Arctic and Alpine Research); Guo, Q. (University of California, Merced); Molotch, N. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Brooks, P. D. (University of Arizona); Bales, R. (University of California, Merced); Fernandez‐Diaz, J. C. (); Musselman, K. N. (University of California Los Angeles; University of Saskatchewan); Swetnam, T. L. (University of Arizona); Kirchner, P. (University of California, Merced; University of California Los Angeles); Meadows, M. W. (University of California, Merced); Flanagan, J. (University of California, Merced); Lucas, R. (University of California, Merced)",39,15,,12.89,https://escholarship.org/content/qt6vd756kd/qt6vd756kd.pdf?t=o3pwho,https://app.dimensions.ai/details/publication/pub.1023757495,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
61,100,pub.1025022156,10.1175/jhm-d-13-026.1,,,Snow Temperature Changes within a Seasonal Snowpack and Their Relationship to Turbulent Fluxes of Sensible and Latent Heat,Journal of Hydrometeorology,,,2014-02,2014,15,1,117-142,"All OA; Green, Accepted & Submitted",Article,"Burns, Sean P.; Molotch, Noah P.; Williams, Mark W.; Knowles, John F.; Seok, Brian; Monson, Russell K.; Turnipseed, Andrew A.; Blanken, Peter D.",,"Burns, Sean P. (); Molotch, Noah P. (); Williams, Mark W. (); Knowles, John F. (); Seok, Brian (); Monson, Russell K. (); Turnipseed, Andrew A. (); Blanken, Peter D. ()",27,5,,3.44,http://snobear.colorado.edu/Markw/Research/14_burns.pdf,https://app.dimensions.ai/details/publication/pub.1025022156,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
62,100,pub.1030456204,10.1002/wrcr.20537,,,The 2010/2011 snow season in California's Sierra Nevada: Role of atmospheric rivers and modes of large‐scale variability,Water Resources Research,,,2013-10,2013,49,10,6731-6743,All OA; Gold,Article,"Guan, Bin; Molotch, Noah P.; Waliser, Duane E.; Fetzer, Eric J.; Neiman, Paul J.",,"Guan, Bin (Jet Propulsion Lab; University of California Los Angeles); Molotch, Noah P. (Jet Propulsion Lab; University of Colorado Boulder); Waliser, Duane E. (Jet Propulsion Lab); Fetzer, Eric J. (Jet Propulsion Lab); Neiman, Paul J. (Earth System Research Laboratory)",66,27,,20.29,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/wrcr.20537,https://app.dimensions.ai/details/publication/pub.1030456204,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
63,100,pub.1027455067,10.1016/j.rse.2013.05.021,,,Estimation of solar direct beam transmittance of conifer canopies from airborne LiDAR,Remote Sensing of Environment,,,2013-09,2013,136,,402-415,Closed,Article,"Musselman, Keith N.; Margulis, Steven A.; Molotch, Noah P.","Musselman, Keith N.","Musselman, Keith N. (Institute of Arctic and Alpine Research); Margulis, Steven A. (); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab)",42,12,,7.24,,https://app.dimensions.ai/details/publication/pub.1027455067,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
64,100,pub.1016755782,10.1016/j.rse.2013.05.002,,,The effect of spatial variability on the sensitivity of passive microwave measurements to snow water equivalent,Remote Sensing of Environment,,,2013-09,2013,136,,163-179,Closed,Article,"Jagt, Benjamin J. Vander; Durand, Michael T.; Margulis, Steven A.; Kim, Edward J.; Molotch, Noah P.","Jagt, Benjamin J. Vander","Jagt, Benjamin J. Vander (The Ohio State University); Durand, Michael T. (The Ohio State University); Margulis, Steven A. (University of California Los Angeles); Kim, Edward J. (Goddard Space Flight Center); Molotch, Noah P. (University of Colorado Boulder)",30,11,,7.14,,https://app.dimensions.ai/details/publication/pub.1016755782,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
65,100,pub.1004758286,10.1002/hyp.9355,,,Subgrid variability of snow water equivalent at operational snow stations in the western USA,Hydrological Processes,,,2013-08-15,2013,27,17,2383-2400,Closed,Article,"Meromy, Leah; Molotch, Noah P.; Link, Timothy E.; Fassnacht, Steven R.; Rice, Robert",,"Meromy, Leah (Institute of Arctic and Alpine Research); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Link, Timothy E. (University of Idaho); Fassnacht, Steven R. (Colorado State University); Rice, Robert (University of California, Merced)",65,20,,15.47,,https://app.dimensions.ai/details/publication/pub.1004758286,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
66,100,pub.1035201787,10.1002/wrcr.20387,,,Snow water equivalent in the Sierra Nevada: Blending snow sensor observations with snowmelt model simulations,Water Resources Research,,,2013-08,2013,49,8,5029-5046,All OA; Gold,Article,"Guan, Bin; Molotch, Noah P.; Waliser, Duane E.; Jepsen, Steven M.; Painter, Thomas H.; Dozier, Jeff",,"Guan, Bin (Jet Propulsion Lab; University of California Los Angeles); Molotch, Noah P. (Jet Propulsion Lab; University of Colorado Boulder); Waliser, Duane E. (Jet Propulsion Lab); Jepsen, Steven M. (University of California, Merced); Painter, Thomas H. (Jet Propulsion Lab); Dozier, Jeff (University of California, Santa Barbara)",61,20,,18.75,http://onlinelibrary.wiley.com/doi/10.1002/wrcr.20387/pdf,https://app.dimensions.ai/details/publication/pub.1035201787,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
67,100,pub.1042851608,10.1002/wrcr.20073,,,Testing above‐ and below‐canopy representations of turbulent fluxes in an energy balance snowmelt model,Water Resources Research,,,2013-02,2013,49,2,1107-1122,"All OA; Green, Published",Article,"Mahat, Vinod; Tarboton, David G.; Molotch, Noah P.",,"Mahat, Vinod (Utah State University); Tarboton, David G. (Utah State University); Molotch, Noah P. (University of Colorado Boulder)",33,11,,9.13,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/wrcr.20073,https://app.dimensions.ai/details/publication/pub.1042851608,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
68,100,pub.1034836899,10.1016/j.coldregions.2012.09.007,,,Portable spectral profiler probe for rapid snow grain size stratigraphy,Cold Regions Science and Technology,,,2013-01,2013,85,,183-190,Closed,Article,"Berisford, Daniel F.; Molotch, Noah P.; Durand, Michael T.; Painter, Thomas H.","Berisford, Daniel F.","Berisford, Daniel F. (California Institute of Technology); Molotch, Noah P. (California Institute of Technology; Institute of Arctic and Alpine Research); Durand, Michael T. (The Ohio State University); Painter, Thomas H. (California Institute of Technology)",7,1,,1.67,,https://app.dimensions.ai/details/publication/pub.1034836899,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
69,100,pub.1048012536,10.1038/ngeo1571,,,Elevation-dependent influence of snow accumulation on forest greening,Nature Geoscience,,,2012-10,2012,5,10,705-709,"All OA; Green, Accepted & Submitted",Article,"Trujillo, Ernesto; Molotch, Noah P.; Goulden, Michael L.; Kelly, Anne E.; Bales, Roger C.","Trujillo, Ernesto","Trujillo, Ernesto (Institute of Arctic and Alpine Research; Swiss Federal Institute of Technology in Lausanne); Molotch, Noah P. (Institute of Arctic and Alpine Research; University of Colorado Boulder; Jet Propulsion Lab); Goulden, Michael L. (University of California, Irvine); Kelly, Anne E. (University of California, Irvine); Bales, Roger C. (University of California, Merced)",114,39,,17.83,https://escholarship.org/content/qt9d05x271/qt9d05x271.pdf?t=nurr92,https://app.dimensions.ai/details/publication/pub.1048012536,0501 Ecological Applications; 05 Environmental Sciences; 0602 Ecology; 06 Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,0602 Ecology,06 Biological Sciences,
70,100,pub.1010400763,10.1029/2012wr012285,,,Improved snowmelt simulations with a canopy model forced with photo‐derived direct beam canopy transmissivity,Water Resources Research,,,2012-10,2012,48,10,,All OA; Gold,Article,"Musselman, Keith N.; Molotch, Noah P.; Margulis, Steven A.; Lehning, Michael; Gustafsson, David",,"Musselman, Keith N. (University of California Los Angeles; University of Colorado Boulder); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab); Margulis, Steven A. (University of California Los Angeles); Lehning, Michael (Swiss Federal Institute for Forest, Snow and Landscape Research; Swiss Federal Institute of Technology in Lausanne); Gustafsson, David (Royal Institute of Technology; Swedish Meteorological and Hydrological Institute)",26,4,,4.38,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012WR012285,https://app.dimensions.ai/details/publication/pub.1010400763,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
71,100,pub.1038952063,10.1016/j.agrformet.2012.03.011,,,Influence of canopy structure and direct beam solar irradiance on snowmelt rates in a mixed conifer forest,Agricultural and Forest Meteorology,,,2012-08,2012,161,,46-56,Closed,Article,"Musselman, Keith N.; Molotch, Noah P.; Margulis, Steven A.; Kirchner, Peter B.; Bales, Roger C.","Musselman, Keith N.","Musselman, Keith N. (); Molotch, Noah P. (Jet Propulsion Lab); Margulis, Steven A. (); Kirchner, Peter B. (University of California, Merced); Bales, Roger C. (University of California, Merced)",50,11,,,,https://app.dimensions.ai/details/publication/pub.1038952063,04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
72,200,pub.1017540946,10.1029/2012wr012168,,,"Correction to “Interannual variability of snowmelt in the Sierra Nevada and Rocky Mountains, United States: Examples from two alpine watersheds”",Water Resources Research,,,2012-05,2012,48,5,,All OA; Gold,Article,"Jepsen, Steven M.; Molotch, Noah P.; Williams, Mark W.; Rittger, Karl E.; Sickman, James O.",,"Jepsen, Steven M. (); Molotch, Noah P. (); Williams, Mark W. (); Rittger, Karl E. (); Sickman, James O. ()",0,0,,0,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012WR012168,https://app.dimensions.ai/details/publication/pub.1017540946,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
73,100,pub.1022920798,10.1029/2011wr011006,,,"Interannual variability of snowmelt in the Sierra Nevada and Rocky Mountains, United States: Examples from two alpine watersheds",Water Resources Research,,,2012-02,2012,48,2,,All OA; Gold,Article,"Jepsen, Steven M.; Molotch, Noah P.; Williams, Mark W.; Rittger, Karl E.; Sickman, James O.",,"Jepsen, Steven M. (United States Geological Survey); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab); Williams, Mark W. (University of Colorado Boulder); Rittger, Karl E. (University of California, Santa Barbara); Sickman, James O. (University of California, Riverside)",51,13,,15.35,http://onlinelibrary.wiley.com/doi/10.1029/2011WR011006/pdf,https://app.dimensions.ai/details/publication/pub.1022920798,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
74,100,pub.1014283774,10.1175/mwr-d-11-00087.1,,,Does the Madden–Julian Oscillation Influence Wintertime Atmospheric Rivers and Snowpack in the Sierra Nevada?,Monthly Weather Review,,,2012-02,2012,140,2,325-342,Closed,Article,"Guan, Bin; Waliser, Duane E.; Molotch, Noah P.; Fetzer, Eric J.; Neiman, Paul J.",,"Guan, Bin (); Waliser, Duane E. (); Molotch, Noah P. (); Fetzer, Eric J. (); Neiman, Paul J. ()",68,21,,6.99,,https://app.dimensions.ai/details/publication/pub.1014283774,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
75,100,pub.1061359209,10.1109/lgrs.2011.2105243,,,A First-Order Characterization of Errors from Neglecting Stratigraphy in Forward and Inverse Passive Microwave Modeling of Snow,IEEE Geoscience and Remote Sensing Letters,,,2011-07,2011,8,4,730-734,Closed,Article,"Durand, Michael; Kim, Edward J.; Margulis, Steven A.; Molotch, Noah P.",,"Durand, Michael (The Ohio State University); Kim, Edward J. (Goddard Space Flight Center); Margulis, Steven A. (University of California Los Angeles); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab)",30,7,,8.56,,https://app.dimensions.ai/details/publication/pub.1061359209,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0906 Electrical and Electronic Engineering; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0906 Electrical and Electronic Engineering,0801 Artificial Intelligence and Image Processing
76,100,pub.1001682568,10.1007/978-94-007-1363-5_27,,,Snow: Hydrological and Ecological Feedbacks in Forests,Ecological Studies,Forest Hydrology and Biogeochemistry,,2011,2011,216,,541-555,Closed,Chapter,"Molotch, Noah P.; Blanken, Peter D.; Link, Timothy E.","Molotch, Noah P.","Molotch, Noah P. (University of Colorado Boulder); Blanken, Peter D. (University of Colorado Boulder); Link, Timothy E. (University of Idaho)",13,2,,1.37,,https://app.dimensions.ai/details/publication/pub.1001682568,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
77,100,pub.1008445095,10.1029/2009wr009060,,,Estimating snow sublimation using natural chemical and isotopic tracers across a gradient of solar radiation,Water Resources Research,,,2010-12,2010,46,12,,All OA; Gold,Article,"Gustafson, Joseph R.; Brooks, P. D.; Molotch, N. P.; Veatch, W. C.",,"Gustafson, Joseph R. (University of Arizona); Brooks, P. D. (University of Arizona); Molotch, N. P. (University of Colorado Boulder); Veatch, W. C. (University of Arizona)",54,12,,13.04,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009WR009060,https://app.dimensions.ai/details/publication/pub.1008445095,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
78,100,pub.1034302023,10.1029/2010gl044696,,,Extreme snowfall events linked to atmospheric rivers and surface air temperature via satellite measurements,Geophysical Research Letters,,,2010-10,2010,37,20,n/a-n/a,All OA; Gold,Article,"Guan, Bin; Molotch, Noah P.; Waliser, Duane E.; Fetzer, Eric J.; Neiman, Paul J.",,"Guan, Bin (Jet Propulsion Lab); Molotch, Noah P. (Jet Propulsion Lab; University of Colorado Boulder); Waliser, Duane E. (Jet Propulsion Lab); Fetzer, Eric J. (Jet Propulsion Lab); Neiman, Paul J. (Earth System Research Laboratory)",133,53,,12.36,http://onlinelibrary.wiley.com/doi/10.1029/2010GL044696/pdf,https://app.dimensions.ai/details/publication/pub.1034302023,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
79,100,pub.1013910590,10.1109/jstars.2010.2042748,,,Microwave Remote Sensing for Land Hydrology Research and Applications: Introduction to the Special Issue,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2010-03,2010,3,1,3-5,Closed,Article,"Njoku, Eni G.; Moghaddam, Mahta; Moller, Delwyn; Molotch, Noah",,"Njoku, Eni G. (Jet Propulsion Lab; University of Cambridge); Moghaddam, Mahta (University of Michigan; University of Kansas); Moller, Delwyn (University of Auckland); Molotch, Noah (University of Colorado Boulder; Jet Propulsion Lab; University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1013910590,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
80,200,pub.1033855147,10.1016/j.advwatres.2009.11.008,,,"Response to comment by A.G. Slater, M.P. Clark, and A.P. Barrett on ‘Estimating the distribution of snow water equivalent using remotely sensed snow cover data and a spatially distributed snowmelt model: A multi-resolution, multi-sensor comparison’ [[Adv. Water Resour. 31 (2008) 1503–1514]. Adv Water Resour 2009;32(11):1680–4]",Advances in Water Resources,,,2010-02,2010,33,2,231-239,Closed,Article,"Molotch, Noah P.; Margulis, Steven A.; Jepsen, Steven M.",,"Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Margulis, Steven A. (University of California Los Angeles); Jepsen, Steven M. (Jet Propulsion Lab)",9,1,,1.91,,https://app.dimensions.ai/details/publication/pub.1033855147,09 Engineering; 0102 Applied Mathematics; 0905 Civil Engineering; 01 Mathematical Sciences; 0907 Environmental Engineering,09 Engineering,0102 Applied Mathematics,0905 Civil Engineering,01 Mathematical Sciences,0907 Environmental Engineering
81,100,pub.1035475075,10.1002/eco.48,,,Ecohydrological controls on snowmelt partitioning in mixed‐conifer sub‐alpine forests,Ecohydrology,,,2009-06,2009,2,2,129-142,All OA; Gold,Article,"Molotch, Noah P.; Brooks, Paul D.; Burns, Sean P.; Litvak, Marcy; Monson, Russell K.; McConnell, Joseph R.; Musselman, Keith",,"Molotch, Noah P. (Jet Propulsion Lab; University of California Los Angeles; California Institute of Technology); Brooks, Paul D. (University of Arizona); Burns, Sean P. (National Center for Atmospheric Research; University of Colorado Boulder); Litvak, Marcy (University of New Mexico); Monson, Russell K. (University of Colorado Boulder); McConnell, Joseph R. (Desert Research Institute); Musselman, Keith (Jet Propulsion Lab; University of California Los Angeles)",97,20,,,http://dx.doi.org/10.1002/eco.48,https://app.dimensions.ai/details/publication/pub.1035475075,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
82,100,pub.1001265118,10.1002/eco.45,,,"‘Quantifying the effects of forest canopy cover on net snow accumulation at a continental, mid‐latitude site’",Ecohydrology,,,2009-06,2009,2,2,115-128,All OA; Gold,Article,"Veatch, W.; Brooks, P. D.; Gustafson, J. R.; Molotch, N. P.",,"Veatch, W. (University of Arizona); Brooks, P. D. (University of Arizona); Gustafson, J. R. (University of Arizona); Molotch, N. P. (University of California Los Angeles)",71,14,,10.02,http://dx.doi.org/10.1002/eco.45,https://app.dimensions.ai/details/publication/pub.1001265118,0705 Forestry Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,05 Environmental Sciences,0502 Environmental Science and Management,07 Agricultural and Veterinary Sciences,
83,100,pub.1049088477,10.1002/hyp.7206,,,Reconstructing snow water equivalent in the Rio Grande headwaters using remotely sensed snow cover data and a spatially distributed snowmelt model,Hydrological Processes,,,2009-03-30,2009,23,7,1076-1089,Closed,Article,"Molotch, Noah P.",,"Molotch, Noah P. (University of California Los Angeles; California Institute of Technology)",67,8,,9.06,,https://app.dimensions.ai/details/publication/pub.1049088477,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
84,100,pub.1017463866,10.1016/s1474-8177(08)00208-8,,,Chapter 8 Methods for Measuring Atmospheric Nitrogen Deposition Inputs in Arid and Montane Ecosystems of Western North America,Developments in Environmental Science,Air Quality and Ecological Impacts: Relating Sources to Effects,,2009,2009,9,,179-228,Closed,Chapter,"Fenn, M.E.; Sickman, J.O.; Bytnerowicz, A.; Clow, D.W.; Molotch, N.P.; Pleim, J.E.; Tonnesen, G.S.; Weathers, K.C.; Padgett, P.E.; Campbell, D.H.","Fenn, M.E.","Fenn, M.E. (); Sickman, J.O. (); Bytnerowicz, A. (); Clow, D.W. (); Molotch, N.P. (); Pleim, J.E. (); Tonnesen, G.S. (); Weathers, K.C. (); Padgett, P.E. (); Campbell, D.H. ()",22,2,,4.53,,https://app.dimensions.ai/details/publication/pub.1017463866,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
85,100,pub.1047166057,10.1016/j.advwatres.2008.07.017,,,"Estimating the distribution of snow water equivalent using remotely sensed snow cover data and a spatially distributed snowmelt model: A multi-resolution, multi-sensor comparison",Advances in Water Resources,,,2008-11,2008,31,11,1503-1514,Closed,Article,"Molotch, Noah P.; Margulis, Steven A.","Molotch, Noah P.","Molotch, Noah P. (University of California Los Angeles; California Institute of Technology); Margulis, Steven A. (University of California Los Angeles)",98,13,,15.93,,https://app.dimensions.ai/details/publication/pub.1047166057,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
86,100,pub.1036249188,10.1029/2007wr006587,,,"Estimating stream chemistry during the snowmelt pulse using a spatially distributed, coupled snowmelt and hydrochemical modeling approach",Water Resources Research,,,2008-11,2008,44,11,,All OA; Gold,Article,"Molotch, Noah P.; Meixner, Thomas; Williams, Mark W.",,"Molotch, Noah P. (University of California Los Angeles; California Institute of Technology); Meixner, Thomas (University of Arizona); Williams, Mark W. (University of Colorado Boulder)",13,2,,2.59,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007WR006587,https://app.dimensions.ai/details/publication/pub.1036249188,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
87,100,pub.1042010123,10.1002/hyp.7050,,,Effects of vegetation on snow accumulation and ablation in a mid‐latitude sub‐alpine forest,Hydrological Processes,,,2008-07-15,2008,22,15,2767-2776,Closed,Article,"Musselman, K. N.; Molotch, N. P.; Brooks, P. D.",,"Musselman, K. N. (University of California Los Angeles); Molotch, N. P. (University of California Los Angeles); Brooks, P. D. (University of Arizona)",88,16,,11.4,,https://app.dimensions.ai/details/publication/pub.1042010123,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
