,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David W Lea. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
68,100,pub.1017065043,10.1038/45533,,,Larval retention and recruitment in an island population of a coral-reef fish,Nature,,,1999-12,1999,402,6763,799-802,Closed,Article,"Swearer, Stephen E.; Caselle, Jennifer E.; Lea, David W.; Warner, Robert R.","Swearer, Stephen E.","Swearer, Stephen E. (); Caselle, Jennifer E. (); Lea, David W. (University of California, Santa Barbara); Warner, Robert R. ()",489,26,,,,https://app.dimensions.ai/details/publication/pub.1017065043,0602 Ecology; 0405 Oceanography; 0704 Fisheries Sciences; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0704 Fisheries Sciences,06 Biological Sciences,04 Earth Sciences
69,100,pub.1008885411,10.4319/lo.1999.44.8.1968,,,The fate of nitrogen in the Orbulina universa foraminifera‐symbiont system determined by nitrogen isotope analyses of shell‐bound organic matter,Limnology and Oceanography,,,1999-12,1999,44,8,1968-1977,All OA; Gold,Article,"Uhle, Maria E.; Macko, Stephen A.; Spero, Howard J.; Lea, David W.; Ruddiman, William F.; Engel, Michael H.",,"Uhle, Maria E. (University of Virginia); Macko, Stephen A. (University of Virginia); Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara); Ruddiman, William F. (University of Virginia); Engel, Michael H. (University of Oklahoma)",11,4,,,http://onlinelibrary.wiley.com/doi/10.4319/lo.1999.44.8.1968/pdf,https://app.dimensions.ai/details/publication/pub.1008885411,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
70,100,pub.1053339875,10.1016/s0016-7037(99)00197-0,,,Controls on magnesium and strontium uptake in planktonic foraminifera determined by live culturing,Geochimica et Cosmochimica Acta,,,1999-08,1999,63,16,2369-2379,Closed,Article,"Lea, David W.; Mashiotta, Tracy A.; Spero, Howard J.",,"Lea, David W. (University of California, Santa Barbara); Mashiotta, Tracy A. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis)",514,57,,,,https://app.dimensions.ai/details/publication/pub.1053339875,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
71,100,pub.1031311238,10.1016/s0012-821x(99)00116-8,,,Glacial–interglacial changes in Subantarctic sea surface temperature and δ18O-water using foraminiferal Mg,Earth and Planetary Science Letters,,,1999-07,1999,170,4,417-432,Closed,Article,"Mashiotta, Tracy A.; Lea, David W.; Spero, Howard J.","Lea, David W.","Mashiotta, Tracy A. (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis)",272,21,,,,https://app.dimensions.ai/details/publication/pub.1031311238,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
72,100,pub.1041900124,10.1007/978-1-4615-4197-4_19,,,Deconvolving Glacial Ocean Carbonate Chemistry from the Planktonic Foraminifera Carbon Isotope Record,,Reconstructing Ocean History,,1999,1999,,,329-342,"All OA; Green, Accepted & Submitted",Chapter,"Spero, Howard J.; Bijma, Jelle; Lea, David W.; Russell, Ann D.",,"Spero, Howard J. (University of California, Davis); Bijma, Jelle (University of Bremen); Lea, David W. (University of California, Santa Barbara); Russell, Ann D. (University of California, Davis)",19,0,,,https://epic.awi.de/id/eprint/6102/1/Spe1999a.pdf,https://app.dimensions.ai/details/publication/pub.1041900124,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
73,100,pub.1041167143,10.1007/978-1-4615-4197-4_18,,,Innovations in Monitoring Ocean History,,Reconstructing Ocean History,,1999,1999,,,321-327,Closed,Chapter,"Lea, David W.",,"Lea, David W. (University of California, Santa Barbara)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1041167143,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
74,100,pub.1036696759,10.1007/978-3-642-58646-0_20,,,Reassessing Foraminiferal Stable Isotope Geochemistry: Impact of the Oceanic Carbonate System (Experimental Results),,Use of Proxies in Paleoceanography,,1999,1999,,,489-512,"All OA; Green, Accepted & Submitted",Chapter,"Bijma, J.; Spero, H. J.; Lea, D. W.","Bijma, J.","Bijma, J. (University of Bremen); Spero, H. J. (University of California, Davis); Lea, D. W. (University of California, Santa Barbara)",222,15,,,https://epic.awi.de/id/eprint/341/1/Bij1999a.pdf,https://app.dimensions.ai/details/publication/pub.1036696759,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
75,100,pub.1032921147,10.1007/978-3-642-58646-0_21,,,Implications of a Carbonate Ion Effect on Shell Carbon and Oxygen Isotopes for Glacial Ocean Conditions,,Use of Proxies in Paleoceanography,,1999,1999,,,513-522,"All OA; Green, Accepted & Submitted",Chapter,"Lea, D. W.; Bijma, J.; Spero, H. J.; Archer, D.","Lea, D. W.","Lea, D. W. (University of California, Santa Barbara); Bijma, J. (University of Bremen); Spero, H. J. (University of California, Davis); Archer, D. ()",44,7,,,https://epic.awi.de/id/eprint/1921/1/Lea1999a.pdf,https://app.dimensions.ai/details/publication/pub.1032921147,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,0402 Geochemistry,
76,100,pub.1046970775,10.1029/98pa00070,,,Reevaluation of the oxygen isotopic composition of planktonic foraminifera: Experimental results and revised paleotemperature equations,Paleoceanography and Paleoclimatology,,,1998-04,1998,13,2,150-160,All OA; Gold,Article,"Bemis, Bryan E.; Spero, Howard J.; Bijma, Jelle; Lea, David W.",,"Bemis, Bryan E. (); Spero, Howard J. (); Bijma, Jelle (); Lea, David W. ()",692,90,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/98PA00070,https://app.dimensions.ai/details/publication/pub.1046970775,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
77,100,pub.1008880304,10.1038/37333,,,Effect of seawater carbonate concentration on foraminiferal carbon and oxygen isotopes,Nature,,,1997-12,1997,390,6659,497-500,Closed,Article,"Spero, Howard J.; Bijma, Jelle; Lea, David W.; Bemis, Bryan E.","Spero, Howard J.","Spero, Howard J. (University of California, Davis); Bijma, Jelle (Alfred Wegener Institute for Polar and Marine Research); Lea, David W. (University of California, Santa Barbara); Bemis, Bryan E. (University of California, Davis)",671,59,,,,https://app.dimensions.ai/details/publication/pub.1008880304,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,0402 Geochemistry,
78,100,pub.1027253608,10.1016/s0016-7037(97)00206-8,,,Experimental determination of cadmium uptake in shells of the planktonic foraminifera Orbulina universa and Globigerina bulloides: Implications for surface water paleoreconstructions,Geochimica et Cosmochimica Acta,,,1997-10,1997,61,19,4053-4065,Closed,Article,"Mashiotta, Tracy A.; Lea, David W.; Spero, Howard J.",,"Mashiotta, Tracy A. (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis)",48,1,,,,https://app.dimensions.ai/details/publication/pub.1027253608,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
79,100,pub.1036456733,10.1016/s0146-6380(97)00075-2,,,Sources of carbon and nitrogen in modern planktonic foraminifera: the role of algal symbionts as determined by bulk and compound specific stable isotopic analyses,Organic Geochemistry,,,1997-09,1997,27,3-4,103-113,Closed,Article,"Uhle, M.E.; Macko, S.A.; Spero, H.J.; Engel, M.H.; Lea, D.W.","Uhle, M.E.","Uhle, M.E. (University of Virginia); Macko, S.A. (University of Virginia); Spero, H.J. (University of California, Davis); Engel, M.H. (University of Oklahoma); Lea, D.W. (University of California, Santa Barbara)",41,9,,,,https://app.dimensions.ai/details/publication/pub.1036456733,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
80,100,pub.1023962488,10.1029/96pa01858,,,Oceanic pH control on the boron isotopic composition of foraminifera: Evidence from culture experiments,Paleoceanography and Paleoclimatology,,,1996-10,1996,11,5,513-517,Closed,Article,"Sanyal, A.; Hemming, N. G.; Broecker, W. S.; Lea, David W.; Spero, Howard J.; Hanson, Gilbert N.",,"Sanyal, A. (); Hemming, N. G. (); Broecker, W. S. (); Lea, David W. (); Spero, Howard J. (); Hanson, Gilbert N. ()",175,18,,,,https://app.dimensions.ai/details/publication/pub.1023962488,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
81,100,pub.1033752488,10.1016/0377-8398(96)00003-5,,,Experimental determination of stable isotope variability in Globigerina bulloides: implications for paleoceanographic reconstructions,Marine Micropaleontology,,,1996-09,1996,28,3-4,231-246,Closed,Article,"Spero, Howard J.; Lea, David W.","Spero, Howard J.","Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara)",228,19,,,,https://app.dimensions.ai/details/publication/pub.1033752488,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
82,200,pub.1070359224,10.2307/3515245,,,Monsoon Climate and Arabian Sea Coastal Upwelling Recorded in Massive Corals from Southern Oman,Palaios,,,1996-08,1996,11,4,347,Closed,Article,"Tudhope, Alexander W.; Lea, David W.; Shimmield, Graham B.; Chilcott, Colin P.; Head, Stephen",,"Tudhope, Alexander W. (); Lea, David W. (); Shimmield, Graham B. (); Chilcott, Colin P. (); Head, Stephen ()",72,5,,,,https://app.dimensions.ai/details/publication/pub.1070359224,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
83,100,pub.1027808496,10.1016/0016-7037(96)00184-6,,,"A rapid mass spectrometric method for the simultaneous analysis of barium, cadmium, and strontium in foraminifera shells",Geochimica et Cosmochimica Acta,,,1996-08,1996,60,16,3143-3149,Closed,Article,"Lea, David W.; Martin, Pamela A.",,"Lea, David W. (University of California, Santa Barbara); Martin, Pamela A. (University of California, Santa Barbara)",71,2,,,,https://app.dimensions.ai/details/publication/pub.1027808496,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
84,200,pub.1034224971,10.2113/gsjfr.25.1.14,,,Calcium uptake and calcification rate in the planktonic foraminifer Orbulina universa,The Journal of Foraminiferal Research,,,1995-01-01,1995,25,1,14-23,Closed,Article,"Lea, David W.; Martin, Pamela A.; Chan, David A.; Spero, Howard J.",,"Lea, David W. (University of California, Santa Barbara); Martin, Pamela A. (); Chan, David A. (); Spero, Howard J. ()",66,3,,,,https://app.dimensions.ai/details/publication/pub.1034224971,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
85,100,pub.1048575742,10.1029/94pa00151,,,Assessing the reliability of paleochemical tracers: Barium uptake in the shells of planktonic foraminifera,Paleoceanography and Paleoclimatology,,,1994-06,1994,9,3,445-452,Closed,Article,"Lea, David W.; Spero, Howard J.",,"Lea, David W. (); Spero, Howard J. ()",73,8,,,,https://app.dimensions.ai/details/publication/pub.1048575742,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
86,100,pub.1009020006,10.1016/0016-7037(94)90497-9,,,Uranium in foraminiferal calcite as a recorder of seawater uranium concentrations,Geochimica et Cosmochimica Acta,,,1994-01,1994,58,2,671-681,Closed,Article,"Russell, Ann D; Emerson, Steven; Nelson, Bruce K; Erez, Jonathan; Lea, David W",,"Russell, Ann D (University of Washington); Emerson, Steven (University of Washington); Nelson, Bruce K (University of Washington); Erez, Jonathan (Hebrew University of Jerusalem); Lea, David W (University of California, Santa Barbara)",135,16,,,,https://app.dimensions.ai/details/publication/pub.1009020006,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
87,100,pub.1003693584,10.1016/0377-8398(93)90045-y,,,Intraspecific stable isotope variability in the planktic foraminiferaGlobigerinoides sacculifer: Results from laboratory experiments,Marine Micropaleontology,,,1993-10,1993,22,3,221-234,Closed,Article,"Spero, Howard J.; Lea, David W.",,"Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara)",190,26,,,,https://app.dimensions.ai/details/publication/pub.1003693584,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
88,200,pub.1007810202,10.1016/0016-7037(93)90446-4,,,Reply to the Comment by N. E. Pingitore Jr. on “Barium in planktonic foraminifera”,Geochimica et Cosmochimica Acta,,,1993-01,1993,57,2,471-473,Closed,Article,"Lea, David W; Boyle, Edward A",,"Lea, David W (University of California, Santa Barbara); Boyle, Edward A (Massachusetts Institute of Technology)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1007810202,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
89,100,pub.1027040515,10.1016/0009-2541(93)90292-q,,,Determination of carbonate-bound barium in foraminifera and corals by isotope dilution plasma-mass spectrometry,Chemical Geology,,,1993-01,1993,103,1-4,73-84,Closed,Article,"Lea, David W.; Boyle, Edward A.","Lea, David W.","Lea, David W. (University of California, Santa Barbara); Boyle, Edward A. (Massachusetts Institute of Technology)",62,3,,,,https://app.dimensions.ai/details/publication/pub.1027040515,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
90,100,pub.1048953420,10.1016/0016-7037(92)90352-j,,,Experimental determination of barium uptake in shells of the planktonic foraminifera Orbulina universa at 22°C,Geochimica et Cosmochimica Acta,,,1992-07,1992,56,7,2673-2680,Closed,Article,"Lea, David W; Spero, Howard J",,"Lea, David W (University of California, Santa Barbara); Spero, Howard J (University of California, Davis)",71,5,,,,https://app.dimensions.ai/details/publication/pub.1048953420,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
91,100,pub.1029254831,10.1016/0016-7037(91)90491-m,,,Barium in planktonic foraminifera,Geochimica et Cosmochimica Acta,,,1991-11,1991,55,11,3321-3331,Closed,Article,"Lea, David W; Boyle, Edward A","Lea, David W","Lea, David W (Massachusetts Institute of Technology); Boyle, Edward A (Massachusetts Institute of Technology)",91,12,,,,https://app.dimensions.ai/details/publication/pub.1029254831,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
