,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Douglas J Mccauley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
52,100,pub.1007460544,10.1017/s175526721400116x,,,"First records of the sicklefin lemon shark, Negaprion acutidens, at Palmyra Atoll, central Pacific: a recent colonization event?",Marine Biodiversity Records,,,2014,2014,7,,,"All OA; Green, Accepted & Submitted",Article,"Papastamatiou, Yannis P.; Wood, Chelsea L.; Bradley, Darcy; McCauley, Douglas J.; Pollock, Amanda L.; Caselle, Jennifer E.",,"Papastamatiou, Yannis P. (University of St Andrews); Wood, Chelsea L. (); Bradley, Darcy (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Amanda L. (United States Fish and Wildlife Service); Caselle, Jennifer E. (University of California, Santa Barbara)",3,1,,0.49,https://research-repository.st-andrews.ac.uk/bitstream/10023/7646/1/Lemon_sharks_at_Palmyra.pdf,https://app.dimensions.ai/details/publication/pub.1007460544,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
53,100,pub.1004122787,10.1016/j.biocon.2013.05.026,,,Conservation at the edges of the world,Biological Conservation,,,2013-09,2013,165,Conserv. Soc. 7 2009,139-145,"All OA; Green, Published",Article,"McCauley, Douglas J.; Power, Eleanor A.; Bird, Douglas W.; McInturff, Alex; Dunbar, Robert B.; Durham, William H.; Micheli, Fiorenza; Young, Hillary S.","McCauley, Douglas J.","McCauley, Douglas J. (Stanford University); Power, Eleanor A. (Stanford University); Bird, Douglas W. (Stanford University); McInturff, Alex (Stanford University); Dunbar, Robert B. (Stanford University); Durham, William H. (Stanford University); Micheli, Fiorenza (Stanford University); Young, Hillary S. (Stanford University; Harvard University; Smithsonian Institution)",17,3,,2.78,https://escholarship.org/content/qt97p46983/qt97p46983.pdf?t=ozrz0e,https://app.dimensions.ai/details/publication/pub.1004122787,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
54,400,pub.1051799047,10.1111/1365-2745.12096,24014216,PMC3758959,Effects of mammalian herbivore declines on plant communities: observations and experiments in an African savanna,Journal of Ecology,,,2013-07,2013,101,4,1030-1041,"All OA; Green, Published",Article,"Young, Hillary S.; McCauley, Douglas J.; Helgen, Kristofer M.; Goheen, Jacob R.; Otárola‐Castillo, Erik; Palmer, Todd M.; Pringle, Robert M.; Young, Truman P.; Dirzo, Rodolfo",,"Young, Hillary S. (Smithsonian Institution; Stanford University; Mpala Research Center and Wildlife Foundation; Harvard University); McCauley, Douglas J. (Mpala Research Center and Wildlife Foundation; University of California, Berkeley); Helgen, Kristofer M. (Smithsonian Institution); Goheen, Jacob R. (Mpala Research Center and Wildlife Foundation; University of Wyoming); Otárola‐Castillo, Erik (Harvard University; Iowa State University); Palmer, Todd M. (Mpala Research Center and Wildlife Foundation; University of Florida); Pringle, Robert M. (Mpala Research Center and Wildlife Foundation; Princeton University); Young, Truman P. (Mpala Research Center and Wildlife Foundation; University of California, Davis); Dirzo, Rodolfo (Stanford University)",55,19,1.63,8.99,http://europepmc.org/articles/pmc3758959?pdf=render,https://app.dimensions.ai/details/publication/pub.1051799047,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
55,400,pub.1030829909,10.1007/s00442-012-2542-2,23229391,,Consumer preference for seeds and seedlings of rare species impacts tree diversity at multiple scales,Oecologia,,Animals; Biodiversity; Crustacea; Herbivory; Seeds; Trees,2013-07,2013,172,3,857-867,Closed,Article,"Young, Hillary S.; McCauley, Douglas J.; Guevara, Roger; Dirzo, Rodolfo","Young, Hillary S.","Young, Hillary S. (Stanford University; Smithsonian Institution; Harvard University); McCauley, Douglas J. (Stanford University); Guevara, Roger (Instituto de Ecología); Dirzo, Rodolfo (Stanford University)",9,2,0.4,1.54,,https://app.dimensions.ai/details/publication/pub.1030829909,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
56,400,pub.1027624682,10.1890/12-0729.1,23687895,,The roles of productivity and ecosystem size in determining food chain length in tropical terrestrial ecosystems,Ecology,,"Animals; Demography; Diet; Food Chain; Models, Biological; Predatory Behavior; Tropical Climate",2013-03,2013,94,3,692-701,Closed,Article,"Young, Hillary S.; McCauley, Douglas J.; Dunbar, Robert B.; Hutson, Michael S.; Ter-Kuile, Ana Miller; Dirzo, Rodolfo",,"Young, Hillary S. (Stanford University; Smithsonian Institution; Harvard University); McCauley, Douglas J. (Stanford University; University of California, Berkeley); Dunbar, Robert B. (Stanford University); Hutson, Michael S. (Stanford University); Ter-Kuile, Ana Miller (Stanford University); Dirzo, Rodolfo (Stanford University)",20,10,0.46,3.27,,https://app.dimensions.ai/details/publication/pub.1027624682,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
57,400,pub.1006249693,10.1038/srep00409,22624091,PMC3354671,From wing to wing: the persistence of long ecological interaction chains in less-disturbed ecosystems,Scientific Reports,,"Animals; Birds; Ecosystem; Food Chain; Geography; Human Activities; Humans; Models, Biological; Pacific Ocean; Phytoplankton; Salinity; Soil; Temperature; Trees; Wings, Animal; Zooplankton",2012-12,2012,2,1,409,All OA; Gold,Article,"McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Dunbar, Robert B.; Dirzo, Rodolfo; Mills, Matthew M.; Micheli, Fiorenza",,"McCauley, Douglas J. (Stanford University; University of California, Berkeley); DeSalles, Paul A. (Stanford University); Young, Hillary S. (Harvard University; Stanford University); Dunbar, Robert B. (Stanford University); Dirzo, Rodolfo (Stanford University); Mills, Matthew M. (Stanford University); Micheli, Fiorenza (Stanford University)",53,22,1.05,6.35,https://www.nature.com/articles/srep00409.pdf,https://app.dimensions.ai/details/publication/pub.1006249693,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
58,400,pub.1036772904,10.1890/11-1653.1,23092009,,Assessing the effects of large mobile predators on ecosystem connectivity,Ecological Applications,,Animals; Body Size; Ecosystem; Fishes; Pacific Ocean; Predatory Behavior,2012-09,2012,22,6,1711-1717,All OA; Gold,Article,"McCauley, Douglas J.; Young, Hillary S.; Dunbar, Robert B.; Estes, James A.; Semmens, Brice X.; Micheli, Fiorenza",,"McCauley, Douglas J. (Stanford University); Young, Hillary S. (Stanford University); Dunbar, Robert B. (Stanford University); Estes, James A. (University of California, Santa Cruz); Semmens, Brice X. (University of California, San Diego); Micheli, Fiorenza (Stanford University)",111,44,2.44,17.88,http://onlinelibrary.wiley.com/doi/10.1890/11-1653.1/pdf,https://app.dimensions.ai/details/publication/pub.1036772904,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
59,400,pub.1002210924,10.1371/journal.pone.0041364,22899995,PMC3416811,Effects of Spatial Subsidies and Habitat Structure on the Foraging Ecology and Size of Geckos,PLoS ONE,,Animals; Body Size; Ecosystem; Female; Food Chain; Lizards; Male; Population Dynamics; Soil; Trees,2012-08-10,2012,7,8,e41364,All OA; Gold,Article,"Briggs, Amy A.; Young, Hillary S.; McCauley, Douglas J.; Hathaway, Stacie A.; Dirzo, Rodolfo; Fisher, Robert N.",,"Briggs, Amy A. (Stanford University); Young, Hillary S. (Stanford University); McCauley, Douglas J. (Stanford University); Hathaway, Stacie A. (); Dirzo, Rodolfo (Stanford University); Fisher, Robert N. ()",14,5,0.32,2,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0041364&type=printable,https://app.dimensions.ai/details/publication/pub.1002210924,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
60,400,pub.1051315433,10.1371/journal.pone.0038871,22719970,PMC3374761,Night Shift: Expansion of Temporal Niche Use Following Reductions in Predator Density,PLoS ONE,,Animals; Darkness; Fishes; Predatory Behavior,2012-06-13,2012,7,6,e38871,All OA; Gold,Article,"McCauley, Douglas J.; Hoffmann, Eva; Young, Hillary S.; Micheli, Fiorenza",,"McCauley, Douglas J. (Stanford University); Hoffmann, Eva (Stanford University); Young, Hillary S. (Harvard University); Micheli, Fiorenza (Stanford University)",16,6,0.34,2.29,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0038871&type=printable,https://app.dimensions.ai/details/publication/pub.1051315433,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
61,200,pub.1071170233,10.3354/meps09721,,,Area-restricted searching by manta rays and their response to spatial scale in lagoon habitats,Marine Ecology Progress Series,,,2012-06-07,2012,456,,233-244,All OA; Gold,Article,"Papastamatiou, YP; DeSalles, PA; McCauley, DJ",,"Papastamatiou, YP (); DeSalles, PA (); McCauley, DJ ()",29,12,,4.14,https://www.int-res.com/articles/meps2012/456/m456p233.pdf,https://app.dimensions.ai/details/publication/pub.1071170233,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
62,400,pub.1017287542,10.1890/11-1059.1,22611841,,Evaluating the performance of methods for estimating the abundance of rapidly declining coastal shark populations,Ecological Applications,,"Animals; Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Models, Biological; Population Density; Sharks",2012-03,2012,22,2,385-392,All OA; Gold,Article,"McCauley, Douglas J.; McLean, Kevin A.; Bauer, John; Young, Hillary S.; Micheli, Fiorenza",,"McCauley, Douglas J. (Stanford University); McLean, Kevin A. (Yale University); Bauer, John (Stanford University); Young, Hillary S. (Stanford University); Micheli, Fiorenza (Stanford University)",33,8,0.86,3.96,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/11-1059.1,https://app.dimensions.ai/details/publication/pub.1017287542,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
63,400,pub.1004480387,10.3732/ajb.1000159,21613110,,Differential responses to guano fertilization among tropical tree species with varying functional traits,American Journal of Botany,,Animals; Birds; Boraginaceae; Cocos; Fertilizers; Geography; Magnoliopsida; Manure; Nyctaginaceae; Species Specificity; Trees; Tropical Climate,2011-02,2011,98,2,207-214,All OA; Gold,Article,"Young, Hillary S.; McCauley, Douglas J.; Dirzo, Rodolfo",,"Young, Hillary S. (Stanford University); McCauley, Douglas J. (Stanford University); Dirzo, Rodolfo (Stanford University)",7,0,0.24,0.92,http://www.amjbot.org/content/98/2/207.full.pdf,https://app.dimensions.ai/details/publication/pub.1004480387,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
64,200,pub.1072905777,10.5479/si.00810282.632.43,,,Ecological Importance of Large Herbivores in the Ewaso Ecosystem,Smithsonian Contributions to Zoology,,,2011,2011,,632,43-53,"All OA; Green, Accepted & Submitted",Article,"Pringle, Robert M.; Palmer, Todd M.; Goheen, Jacob R.; McCauley, Douglas J.; Keesing, Felicia",,"Pringle, Robert M. (); Palmer, Todd M. (); Goheen, Jacob R. (); McCauley, Douglas J. (); Keesing, Felicia ()",17,8,,,http://tpyoung.ucdavis.edu/publications/2011PringleSmithsonian.pdf,https://app.dimensions.ai/details/publication/pub.1072905777,,,,,,
65,400,pub.1000192453,10.1007/s00227-010-1533-2,24391253,PMC3873048,Acute effects of removing large fish from a near-pristine coral reef,Marine Biology,,,2010-12,2010,157,12,2739-2750,All OA; Gold,Article,"McCauley, Douglas J.; Micheli, Fiorenza; Young, Hillary S.; Tittensor, Derek P.; Brumbaugh, Daniel R.; Madin, Elizabeth M. P.; Holmes, Katherine E.; Smith, Jennifer E.; Lotze, Heike K.; DeSalles, Paul A.; Arnold, Suzanne N.; Worm, Boris","McCauley, Douglas J.","McCauley, Douglas J. (Stanford University); Micheli, Fiorenza (Stanford University); Young, Hillary S. (Stanford University); Tittensor, Derek P. (Dalhousie University); Brumbaugh, Daniel R. (American Museum of Natural History; University of California, Santa Cruz); Madin, Elizabeth M. P. (University of California, Santa Barbara); Holmes, Katherine E. (American Museum of Natural History); Smith, Jennifer E. (Scripps Institution of Oceanography); Lotze, Heike K. (Dalhousie University); DeSalles, Paul A. (Stanford University); Arnold, Suzanne N. (University of Maine); Worm, Boris (Dalhousie University)",34,8,0.32,3.84,https://link.springer.com/content/pdf/10.1007%2Fs00227-010-1533-2.pdf,https://app.dimensions.ai/details/publication/pub.1000192453,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
66,100,pub.1041907282,10.1111/j.1654-1103.2010.01219.x,,,"The coconut palm, Cocos nucifera, impacts forest composition and soil characteristics at Palmyra Atoll, Central Pacific",Journal of Vegetation Science,,,2010-12,2010,21,6,1058-1068,Closed,Article,"Young, Hillary S.; Raab, Ted K.; McCauley, Douglas J.; Briggs, Amy A.; Dirzo, Rodolfo",,"Young, Hillary S. (Stanford University); Raab, Ted K. (Stanford University); McCauley, Douglas J. (Stanford University); Briggs, Amy A. (Stanford University); Dirzo, Rodolfo (Stanford University)",12,2,,1.12,,https://app.dimensions.ai/details/publication/pub.1041907282,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
67,200,pub.1071168951,10.3354/meps08756,,,Niche partitioning among and within sympatric tropical seabirds revealed by stable isotope analysis,Marine Ecology Progress Series,,,2010-10-14,2010,416,,285-294,All OA; Gold,Article,"Young, HS; McCauley, DJ; Dirzo, R; Dunbar, RB; Shaffer, SA",,"Young, HS (); McCauley, DJ (); Dirzo, R (); Dunbar, RB (); Shaffer, SA ()",39,11,,4.54,https://www.int-res.com/articles/meps2010/416/m416p285.pdf,https://app.dimensions.ai/details/publication/pub.1071168951,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
68,100,pub.1019584387,10.2984/64.2.349,,,"An Observation of Mating in Free-Ranging Blacktip Reef Sharks, Carcbarbinus melanopterus1",Pacific Science,,,2010-04,2010,64,2,349-352,Closed,Article,"McCauley, Douglas J.; Papastamatiou, Yannis P.; Young, Hillary S.",,"McCauley, Douglas J. (Stanford University); Papastamatiou, Yannis P. (); Young, Hillary S. (Stanford University)",9,2,,0.84,,https://app.dimensions.ai/details/publication/pub.1019584387,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
69,200,pub.1071168574,10.3354/meps08478,,,Resource partitioning by species but not sex in sympatric boobies in the central Pacific Ocean,Marine Ecology Progress Series,,,2010-03-22,2010,403,,291-301,All OA; Gold,Article,"Young, HS; Shaffer, SA; McCauley, DJ; Foley, DG; Dirzo, R; Block, BA",,"Young, HS (); Shaffer, SA (); McCauley, DJ (); Foley, DG (); Dirzo, R (); Block, BA ()",38,6,,4.42,https://www.int-res.com/articles/meps2010/403/m403p291.pdf,https://app.dimensions.ai/details/publication/pub.1071168574,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
70,400,pub.1044403426,10.1073/pnas.0914169107,20133852,PMC2836700,Plants cause ecosystem nutrient depletion via the interruption of bird-derived spatial subsidies,Proceedings of the National Academy of Sciences,,Animals; Biomass; Birds; Cocos; Diet; Ecosystem; Food Chain; Marine Biology; Pacific Islands; Plants; Soil; Trees; Tropical Climate,2010-02-02,2010,107,5,2072-2077,All OA; Gold,Article,"Young, Hillary S.; McCauley, Douglas J.; Dunbar, Robert B.; Dirzo, Rodolfo",,"Young, Hillary S. (); McCauley, Douglas J. (); Dunbar, Robert B. (Stanford University); Dirzo, Rodolfo ()",46,10,0.73,5.91,http://www.pnas.org/content/107/5/2072.full.pdf,https://app.dimensions.ai/details/publication/pub.1044403426,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
71,400,pub.1039177110,10.3376/1081-1710-33.2.263,19263845,,Effects of the removal of large herbivores on fleas of small mammals,Journal of Vector Ecology,,Animals; Ecosystem; Feeding Behavior; Host-Parasite Interactions; Kenya; Mammals; Plants; Population Dynamics; Siphonaptera,2008-12,2008,33,2,263-268,Closed,Article,"McCauley, Douglas J.; Keesing, Felicia; Young, Truman; Dittmar, Katharina",,"McCauley, Douglas J. (Stanford University); Keesing, Felicia (); Young, Truman (University of California, Davis); Dittmar, Katharina (University at Buffalo, State University of New York)",23,6,0.58,1.98,,https://app.dimensions.ai/details/publication/pub.1039177110,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
72,400,pub.1043580181,10.1073/pnas.0609840104,17190823,PMC1765433,Herbivore-initiated interaction cascades and their modulation by productivity in an African savanna,Proceedings of the National Academy of Sciences,,Animals; Arthropods; Ecosystem; Feeding Behavior; Food Chain; Lizards; Population Density; Predatory Behavior; Ruminants; Trees,2007-01-02,2007,104,1,193-197,All OA; Gold,Article,"Pringle, Robert M.; Young, Truman P.; Rubenstein, Daniel I.; McCauley, Douglas J.",,"Pringle, Robert M. (University of Oxford; Mpala Research Center and Wildlife Foundation); Young, Truman P. (Mpala Research Center and Wildlife Foundation; University of California, Davis); Rubenstein, Daniel I. (Mpala Research Center and Wildlife Foundation; Princeton University); McCauley, Douglas J. (Mpala Research Center and Wildlife Foundation)",133,21,1.99,14.43,https://www.pnas.org/content/pnas/104/1/193.full.pdf,https://app.dimensions.ai/details/publication/pub.1043580181,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
73,400,pub.1034086613,10.1890/0012-9658(2006)87[2657:ieolho]2.0.co;2,17089673,,INDIRECT EFFECTS OF LARGE HERBIVORES ON SNAKES IN AN AFRICAN SAVANNA,Ecology,,Animals; Ecosystem; Feeding Behavior; Kenya; Mammals; Plants; Predatory Behavior; Raptors; Snakes,2006-10,2006,87,10,2657-2663,Closed,Article,"McCauley, Douglas J.; Keesing, Felicia; Young, Truman P.; Allan, Brian F.; Pringle, Robert M.",,"McCauley, Douglas J. (Stanford University; Mpala Research Center and Wildlife Foundation); Keesing, Felicia (Bard College); Young, Truman P. (University of California, Davis; Mpala Research Center and Wildlife Foundation); Allan, Brian F. (Washington University in St. Louis); Pringle, Robert M. (Stanford University; Mpala Research Center and Wildlife Foundation)",53,10,0.49,5.11,,https://app.dimensions.ai/details/publication/pub.1034086613,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
74,300,pub.1051015380,10.1038/443027a,16957711,,Selling out on nature,Nature,,Africa; Animals; Biodiversity; Conservation of Natural Resources; Costa Rica; Ecology; Ecosystem; Humans; United States,2006-09,2006,443,7107,27-28,Closed,Article,"McCauley, Douglas J.",,"McCauley, Douglas J. (Stanford University)",379,82,1.64,126.34,,https://app.dimensions.ai/details/publication/pub.1051015380,"15 Commerce, Management, Tourism and Services; 1502 Banking, Finance and Investment","15 Commerce, Management, Tourism and Services","1502 Banking, Finance and Investment",,,
