,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jennifer E Caselle. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,200,pub.1071170843,10.3354/meps10204,,,"‘Reserve effect’ within a temperate marine protected area in the north-eastern Atlantic (Arrábida Marine Park, Portugal)",Marine Ecology Progress Series,,,5/7/13,2013,481,,24-Nov,Closed,Article,"Horta e Costa, B; Erzini, K; Caselle, JE; Folhas, H; Gonçalves, EJ",,"Horta e Costa, B (); Erzini, K (); Caselle, JE (); Folhas, H (); Gonçalves, EJ ()",22,3,,3.51,,https://app.dimensions.ai/details/publication/pub.1071170843,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
54,100,pub.1028584722,10.1016/j.marpol.2012.02.021,,,"The science of European marine reserves: Status, efficacy, and future needs",Marine Policy,,,2012-09,2012,36,5,1012-1021,"All OA; Green, Published",Article,"Fenberg, Phillip B.; Caselle, Jennifer E.; Claudet, Joachim; Clemence, Michaela; Gaines, Steven D.; García-Charton, Jose Antonio; Gonçalves, Emanuel J.; Grorud-Colvert, Kirsten; Guidetti, Paolo; Jenkins, Stuart R.; Jones, Peter J.S.; Lester, Sarah E.; McAllen, Rob; Moland, Even; Planes, Serge; Sørensen, Thomas K.","Fenberg, Phillip B.","Fenberg, Phillip B. (Oregon State University); Caselle, Jennifer E. (University of California, Santa Barbara); Claudet, Joachim (French National Centre for Scientific Research; Labex Corail); Clemence, Michaela (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); García-Charton, Jose Antonio (University of Murcia); Gonçalves, Emanuel J. (Instituto Universitário de Ciências Psicológicas, Sociais e da Vida); Grorud-Colvert, Kirsten (Oregon State University); Guidetti, Paolo (University of Salento); Jenkins, Stuart R. (Bangor University); Jones, Peter J.S. (University College London); Lester, Sarah E. (University of California, Santa Barbara); McAllen, Rob (University College Cork); Moland, Even (Norwegian Institute of Marine Research); Planes, Serge (French National Centre for Scientific Research; Labex Corail); Sørensen, Thomas K. (Technical University of Denmark)",99,28,,16.71,https://repositorio.ispa.pt/bitstream/10400.12/1807/1/Marine%20Policy%202012%2036%201012%e2%80%931021.pdf,https://app.dimensions.ai/details/publication/pub.1028584722,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
55,400,pub.1049787160,10.1007/s10661-011-2185-5,21739280,,"Comparing volunteer and professionally collected monitoring data from the rocky subtidal reefs of Southern California, USA",Environmental Monitoring and Assessment,,Animals; Biodiversity; California; Ecosystem; Environmental Monitoring; Humans; Observer Variation; Volunteers,2012-05,2012,184,5,3239-3257,Closed,Article,"Gillett, David J.; Pondella, Daniel J.; Freiwald, Jan; Schiff, Kenneth C.; Caselle, Jennifer E.; Shuman, Craig; Weisberg, Stephen B.","Gillett, David J.","Gillett, David J. (); Pondella, Daniel J. (); Freiwald, Jan (); Schiff, Kenneth C. (); Caselle, Jennifer E. (University of California, Santa Barbara); Shuman, Craig (); Weisberg, Stephen B. ()",31,12,0.42,4.37,,https://app.dimensions.ai/details/publication/pub.1049787160,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
56,100,pub.1050908643,10.4319/lo.2012.57.2.0582,,,Coastal fronts set recruitment and connectivity patterns across multiple taxa,Limnology and Oceanography,,,2012-03,2012,57,2,582-596,All OA; Gold,Article,"Woodson, C. B.; McManus, M. A.; Tyburczy, J. A.; Barth, J. A.; Washburn, L.; Caselle, J. E.; Carr, M. H.; Malone, D. P.; Raimondi, P. T.; Menge, B. A.; Palumbi, S. R.",,"Woodson, C. B. (Stanford University); McManus, M. A. (University of Hawaii at Manoa); Tyburczy, J. A. (Oregon State University); Barth, J. A. (Oregon State University); Washburn, L. (University of California, Santa Barbara); Caselle, J. E. (University of California, Santa Barbara); Carr, M. H. (University of California, Santa Cruz); Malone, D. P. (University of California, Santa Cruz); Raimondi, P. T. (University of California, Santa Cruz); Menge, B. A. (Oregon State University); Palumbi, S. R. (Stanford University)",51,17,,6.66,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2012.57.2.0582,https://app.dimensions.ai/details/publication/pub.1050908643,0602 Ecology; 0405 Oceanography; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences
57,400,pub.1008834932,10.1080/19425120.2012.707167,25878765,PMC4394745,Reassesment of the Fecundity of California Sheephead,Marine and Coastal Fisheries,,,2012-01,2012,4,1,599-604,All OA; Gold,Article,"Loke-Smith, Kerri A; Floyd, Alyssa J; Lowe, Christopher G; Hamilton, Scott L; Caselle, Jennifer E; Young, Kelly A",,"Loke-Smith, Kerri A (California State University, Long Beach); Floyd, Alyssa J (California State University, Long Beach); Lowe, Christopher G (California State University, Long Beach); Hamilton, Scott L (University of California, Santa Barbara); Caselle, Jennifer E (University of California, Santa Barbara); Young, Kelly A (California State University, Long Beach)",2,0,0.11,,https://afspubs.onlinelibrary.wiley.com/doi/pdf/10.1080/19425120.2012.707167,https://app.dimensions.ai/details/publication/pub.1008834932,09 Engineering,09 Engineering,,,,
58,200,pub.1025912679,10.1201/b11453-16,,,Integration of Remote Sensing and In Situ Ecology for the Design and Evaluation of Marine-Protected Areas,Remote Sensing Applications Series,Remote Sensing of Protected Lands,,11/21/11,2011,20114962,,245-280,Closed,Chapter,"Wang, Yeqiao; Friedlander, Alan; Wedding, Lisa; Caselle, Jennifer; Costa, Bryan",,"Wang, Yeqiao (); Friedlander, Alan (); Wedding, Lisa (); Caselle, Jennifer (); Costa, Bryan ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1025912679,,,,,,
59,400,pub.1032226128,10.1371/journal.pone.0024580,21915353,PMC3167858,Utilizing Spatial Demographic and Life History Variation to Optimize Sustainable Yield of a Temperate Sex-Changing Fish,PLoS ONE,,Animals; Female; Fisheries; Fishes; Male; Sex Determination Processes,9/6/11,2011,6,9,e24580,All OA; Gold,Article,"Hamilton, Scott L.; Wilson, Jono R.; Ben-Horin, Tal; Caselle, Jennifer E.",,"Hamilton, Scott L. (University of California, Santa Barbara; California State University Los Angeles); Wilson, Jono R. (University of California, Santa Barbara); Ben-Horin, Tal (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",24,6,0.5,3.31,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0024580&type=printable,https://app.dimensions.ai/details/publication/pub.1032226128,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
60,400,pub.1033260505,10.1890/10-1436.1,21797147,,Currents connecting communities: nearshore community similarity and ocean circulation,Ecology,,"Animals; Aquatic Organisms; Biota; California; Larva; Models, Statistical; Pacific Ocean; Population Dynamics; Temperature; Water Movements",2011-06,2011,92,6,1193-1200,All OA; Gold,Article,"Watson, J. R.; Hays, C. G.; Raimondi, P. T.; Mitarai, S.; Dong, C.; McWilliams, J. C.; Blanchette, C. A.; Caselle, J. E.; Siegel, D. A.",,"Watson, J. R. (University of California, Santa Barbara); Hays, C. G. (University of California, Merced); Raimondi, P. T. (University of California, Santa Cruz); Mitarai, S. (Okinawa Institute of Science and Technology); Dong, C. (University of California Los Angeles); McWilliams, J. C. (University of California Los Angeles); Blanchette, C. A. (University of California, Santa Barbara); Caselle, J. E. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara)",47,13,0.77,6.14,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/10-1436.1,https://app.dimensions.ai/details/publication/pub.1033260505,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
61,400,pub.1071169368,10.3354/meps09086,26246648,PMC4523307,Extensive geographic and ontogenetic variation characterizes the trophic ecology of a temperate reef fish on southern California (USA) rocky reefs.,Marine Ecology Progress Series,,,5/16/11,2011,429,,227-244,All OA; Gold,Article,"Hamilton, Scott L; Caselle, Jennifer E; Lantz, Coulson A; Egloff, Tiana L; Kondo, Emi; Newsome, Seth D; Loke-Smith, Kerri; Pondella, Daniel J; Young, Kelly A; Lowe, Christopher G",,"Hamilton, Scott L (); Caselle, Jennifer E (University of California, Santa Barbara); Lantz, Coulson A (University of California, Santa Barbara); Egloff, Tiana L (University of California, Santa Barbara); Kondo, Emi (University of California, Santa Barbara); Newsome, Seth D (University of Wyoming); Loke-Smith, Kerri (California State University, Long Beach); Pondella, Daniel J (Occidental College); Young, Kelly A (California State University, Long Beach); Lowe, Christopher G (California State University, Long Beach)",24,6,0.58,2.5,https://www.int-res.com/articles/meps2011/429/m429p227.pdf,https://app.dimensions.ai/details/publication/pub.1071169368,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
62,100,pub.1045891579,10.1139/f10-140,,,"Geographic variation in density, demography, and life history traits of a harvested, sex-changing, temperate reef fish",Canadian Journal of Fisheries and Aquatic Sciences,,,2011-02,2011,68,2,288-303,Closed,Article,"Caselle, Jennifer E.; Hamilton, Scott L.; Schroeder, Donna M.; Love, Milton S.; Standish, Julie D.; Rosales-Casin, Jorge A.; Sosa-Nishizaki, Oscar",,"Caselle, Jennifer E. (University of California, Santa Barbara); Hamilton, Scott L. (University of California, Santa Barbara); Schroeder, Donna M. (); Love, Milton S. (University of California, Santa Barbara); Standish, Julie D. (University of California, Santa Barbara); Rosales-Casin, Jorge A. (Center for Scientific Research and Higher Education at Ensenada); Sosa-Nishizaki, Oscar (Center for Scientific Research and Higher Education at Ensenada)",35,9,,3.64,,https://app.dimensions.ai/details/publication/pub.1045891579,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
63,100,pub.1047451724,10.1016/j.seares.2010.05.001,,,"Larval growth, size, stage duration and recruitment success of a temperate reef fish",Journal of Sea Research,,,2011-01,2011,65,1,7-Jan,Closed,Article,"Fontes, Jorge; Santos, Ricardo S.; Afonso, Pedro; Caselle, Jennifer E.","Fontes, Jorge","Fontes, Jorge (University of the Azores); Santos, Ricardo S. (University of the Azores); Afonso, Pedro (University of the Azores); Caselle, Jennifer E. (University of California, Santa Barbara)",17,3,,1.81,,https://app.dimensions.ai/details/publication/pub.1047451724,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
64,100,pub.1003371088,10.1017/cbo9781139049382.016,,,NETWORKS – The assessment of marine reserve networks: guidelines for ecological evaluation,,Marine Protected Areas,,2011,2011,,,293-321,Closed,Chapter,"Grorud-Colvert, Kirsten; Claudet, Joachim; Carr, Mark; Caselle, Jennifer; Day, Jon; Friedlander, Alan; Lester, Sarah E.; de Loma, Thierry Lison; Tissot, Brian; Malone, Dan",,"Grorud-Colvert, Kirsten (); Claudet, Joachim (); Carr, Mark (); Caselle, Jennifer (); Day, Jon (); Friedlander, Alan (); Lester, Sarah E. (); de Loma, Thierry Lison (); Tissot, Brian (); Malone, Dan ()",6,0,,0.78,,https://app.dimensions.ai/details/publication/pub.1003371088,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
65,400,pub.1011997584,10.1073/pnas.0908091107,20176956,PMC2973008,Incorporating biogeography into evaluations of the Channel Islands marine reserve network,Proceedings of the National Academy of Sciences,,"Animals; Biomass; California; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Geography; Marine Biology; Models, Biological; Pacific Ocean; Population Dynamics",10/26/10,2010,107,43,18272-18277,All OA; Gold,Article,"Hamilton, Scott L.; Caselle, Jennifer E.; Malone, Dan P.; Carr, Mark H.",,"Hamilton, Scott L. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara); Malone, Dan P. (University of California, Santa Cruz); Carr, Mark H. (University of California, Santa Cruz)",93,23,0.95,10.39,http://www.pnas.org/content/107/43/18272.full.pdf,https://app.dimensions.ai/details/publication/pub.1011997584,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
66,200,pub.1071807809,10.3989/scimar.2010.74n4721,,,"Temporal variability of larval growth, size, stage duration and recruitment of a wrasse, <i>Coris julis</i> (Pisces: Labridae), from the Azores",Scientia Marina,,,7/1/10,2010,74,4,721-729,All OA; Gold,Article,"Fontes, Jorge; Afonso, Pedro; Santos, Ricardo S.; Caselle, Jennifer E.",,"Fontes, Jorge (); Afonso, Pedro (); Santos, Ricardo S. (); Caselle, Jennifer E. ()",8,1,,,http://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/download/1199/1260,https://app.dimensions.ai/details/publication/pub.1071807809,04 Earth Sciences; 05 Environmental Sciences; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,05 Environmental Sciences,07 Agricultural and Veterinary Sciences,,
67,400,pub.1026790531,10.1371/journal.pone.0010950,20539746,PMC2880600,"The Lagoon at Caroline/Millennium Atoll, Republic of Kiribati: Natural History of a Nearly Pristine Ecosystem",PLoS ONE,,Animals; Biodiversity; Ecosystem; Pacific Islands,6/3/10,2010,5,6,e10950,All OA; Gold,Article,"Barott, Katie L.; Caselle, Jennifer E.; Dinsdale, Elizabeth A.; Friedlander, Alan M.; Maragos, James E.; Obura, David; Rohwer, Forest L.; Sandin, Stuart A.; Smith, Jennifer E.; Zgliczynski, Brian",,"Barott, Katie L. (San Diego State University); Caselle, Jennifer E. (University of California, Santa Barbara); Dinsdale, Elizabeth A. (San Diego State University); Friedlander, Alan M. (University of Hawaii at Manoa); Maragos, James E. (United States Fish and Wildlife Service); Obura, David (Coastal Oceans Research and Development in the Indian Ocean); Rohwer, Forest L. (San Diego State University); Sandin, Stuart A. (Scripps Institution of Oceanography); Smith, Jennifer E. (Scripps Institution of Oceanography); Zgliczynski, Brian (Scripps Institution of Oceanography)",18,4,0.26,2.01,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0010950&type=printable,https://app.dimensions.ai/details/publication/pub.1026790531,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
68,100,pub.1050978277,10.1016/j.jembe.2010.02.009,,,Long-term movement patterns and trophic ecology of blacktip reef sharks (Carcharhinus melanopterus) at Palmyra Atoll,Journal of Experimental Marine Biology and Ecology,,,2010-04,2010,386,2-Jan,94-102,Closed,Article,"Papastamatiou, Yannis P.; Friedlander, Alan M.; Caselle, Jennifer E.; Lowe, Christopher G.","Papastamatiou, Yannis P.","Papastamatiou, Yannis P. (University of Hawaii at Manoa); Friedlander, Alan M. (University of Hawaii at Manoa); Caselle, Jennifer E. (University of California, Santa Barbara); Lowe, Christopher G. (California State University, Long Beach)",98,24,,11.39,,https://app.dimensions.ai/details/publication/pub.1050978277,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
69,200,pub.1071168444,10.3354/meps08376,,,Realized and potential larval connectivity in the Southern California Bight,Marine Ecology Progress Series,,,2/22/10,2010,401,,31-48,All OA; Gold,Article,"Watson, JR; Mitarai, S; Siegel, DA; Caselle, JE; Dong, C; McWilliams, JC",,"Watson, JR (); Mitarai, S (); Siegel, DA (); Caselle, JE (); Dong, C (); McWilliams, JC ()",101,15,,11.62,https://www.int-res.com/articles/meps_oa/m401p031.pdf,https://app.dimensions.ai/details/publication/pub.1071168444,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
70,400,pub.1001220851,10.1111/j.1095-8649.2009.02363.x,20738614,,Multi‐scale recruitment patterns and effects on local population size of a temperate reef fish,Journal of Fish Biology,,Animals; Atlantic Ocean; Azores; Coral Reefs; Perciformes; Population Density; Population Dynamics,2009-10,2009,75,6,1271-1286,Closed,Article,"Fontes, J.; Caselle, J. E.; Afonso, P.; Santos, R. S.",,"Fontes, J. (University of the Azores); Caselle, J. E. (University of California, Santa Barbara); Afonso, P. (University of the Azores); Santos, R. S. (University of the Azores)",9,0,0.02,0.79,,https://app.dimensions.ai/details/publication/pub.1001220851,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
71,400,pub.1053450896,10.1111/j.1095-8649.2009.02329.x,20738562,,"Distribution, size frequency, and sex ratios of blacktip reef sharks Carcharhinus melanopterus at Palmyra Atoll: a predator‐dominated ecosystem",Journal of Fish Biology,,Animals; Body Size; Ecosystem; Female; Male; Pacific Ocean; Predatory Behavior; Sex Ratio; Sharks,2009-08,2009,75,3,647-654,Closed,Article,"Papastamatiou, Y.P.; Caselle, J.E.; Friedlander, A.M.; Lowe, C.G.",,"Papastamatiou, Y.P. (University of Hawaii at Manoa); Caselle, J.E. (University of California, Santa Barbara); Friedlander, A.M. (Hawaii Pacific University); Lowe, C.G. (California State University, Long Beach)",31,5,0.6,2.72,,https://app.dimensions.ai/details/publication/pub.1053450896,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
72,200,pub.1071168113,10.3354/meps08116,,,Natal signatures of juvenile Coris julis in the Azores: investigating connectivity scenarios in an oceanic archipelago,Marine Ecology Progress Series,,,7/28/09,2009,387,,51-59,All OA; Gold,Article,"Fontes, J; Caselle, JE; Sheehy, MS; Santos, RS; Warner, RR",,"Fontes, J (); Caselle, JE (); Sheehy, MS (); Santos, RS (); Warner, RR ()",12,0,,1.32,https://www.int-res.com/articles/meps2009/387/m387p051.pdf,https://app.dimensions.ai/details/publication/pub.1071168113,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
73,400,pub.1001752466,10.1890/08-0491.1,19449694,,Scale‐dependent effects of habitat on movements and path structure of reef sharks at a predator‐dominated atoll,Ecology,,"Animals; Behavior, Animal; Ecosystem; Motor Activity; Sharks; Time Factors",2009-04,2009,90,4,996-1008,Closed,Article,"Papastamatiou, Yannis P.; Lowe, Christopher G.; Caselle, Jennifer E.; Friedlander, Alan M.",,"Papastamatiou, Yannis P. (University of Hawaii at Manoa); Lowe, Christopher G. (California State University, Long Beach); Caselle, Jennifer E. (University of California, Santa Barbara); Friedlander, Alan M. ()",112,17,1.86,12.1,,https://app.dimensions.ai/details/publication/pub.1001752466,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
74,200,pub.1071167834,10.3354/meps07903,,,Geographic variation in natal and early larval trace-elemental signatures in the statoliths of the market squid Doryteuthis (formerly Loligo) opalescens,Marine Ecology Progress Series,,,3/30/09,2009,379,,109-121,All OA; Gold,Article,"Warner, RR; Hamilton, SL; Sheehy, MS; Zeidberg, LD; Brady, BC; Caselle, JE",,"Warner, RR (); Hamilton, SL (); Sheehy, MS (); Zeidberg, LD (); Brady, BC (); Caselle, JE ()",26,7,,2.87,https://www.int-res.com/articles/meps_oa/m379p109.pdf,https://app.dimensions.ai/details/publication/pub.1071167834,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
75,100,pub.1016539347,10.1016/j.ecss.2008.05.001,,,Recruitment of coastal fishes and oceanographic variability in central California,Estuarine Coastal and Shelf Science,,,2008-09,2008,79,3,483-490,"All OA; Green, Accepted & Submitted",Article,"Wilson, J.R.; Broitman, B.R.; Caselle, J.E.; Wendt, D.E.","Wilson, J.R.","Wilson, J.R. (California Polytechnic State University); Broitman, B.R. (University of California, Santa Barbara; Catholic University of the North; Pontifical Catholic University of Chile); Caselle, J.E. (University of California, Santa Barbara); Wendt, D.E. (California Polytechnic State University)",34,5,,2.64,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1244&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1016539347,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
76,100,pub.1014158198,10.1016/j.fishres.2007.12.011,,,"Fine-scale movement patterns, site fidelity, and habitat selection of ocean whitefish (Caulolatilus princeps)",Fisheries Research,,,2008-06,2008,91,3-Feb,325-335,Closed,Article,"Bellquist, Lyall F.; Lowe, Christopher G.; Caselle, Jennifer E.","Bellquist, Lyall F.","Bellquist, Lyall F. (California State University, Long Beach); Lowe, Christopher G. (California State University, Long Beach); Caselle, Jennifer E. (University of California, Santa Barbara)",33,3,,3.52,,https://app.dimensions.ai/details/publication/pub.1014158198,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
77,400,pub.1017673022,10.1890/07-0840.1,18543625,,SCALE‐DEPENDENT CHANGES IN THE IMPORTANCE OF LARVAL SUPPLY AND HABITAT TO ABUNDANCE OF A REEF FISH,Ecology,,Analysis of Variance; Animals; Bass; Ecosystem; Larva; Population Dynamics; Reproduction,2008-05,2008,89,5,1323-1333,Closed,Article,"White, J. Wilson; Caselle, Jennifer E.",,"White, J. Wilson (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",28,4,0.4,2.39,,https://app.dimensions.ai/details/publication/pub.1017673022,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
78,400,pub.1017045840,10.1890/06-1930.1,18213967,,SIZE‐SELECTIVE HARVESTING ALTERS LIFE HISTORIES OF A TEMPERATE SEX‐CHANGING FISH,Ecological Applications,,Animals; Body Size; California; Conservation of Natural Resources; Female; Fisheries; Fishes; Male; Population Dynamics,2007-12,2007,17,8,2268-2280,Closed,Article,"Hamilton, Scott L.; Caselle, Jennifer E.; Standish, Julie D.; Schroeder, Donna M.; Love, Milton S.; Rosales-Casian, Jorge A.; Sosa-Nishizaki, Oscar",,"Hamilton, Scott L. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara); Standish, Julie D. (University of California, Santa Barbara); Schroeder, Donna M. (); Love, Milton S. (University of California, Santa Barbara); Rosales-Casian, Jorge A. (Center for Scientific Research and Higher Education at Ensenada); Sosa-Nishizaki, Oscar (Center for Scientific Research and Higher Education at Ensenada)",81,14,1.09,6.7,,https://app.dimensions.ai/details/publication/pub.1017045840,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
79,200,pub.1001889307,10.1201/9781420004250.ch2,,,Biology and Ecology of the Recreational Bonefish Fishery at Palmyra Atoll National Wildlife Refuge with Comparisons to Other Pacific Islands,Marine Biology,Biology and Management of the World Tarpon and Bonefish Fisheries,,2007-10,2007,20074112,,27-56,Closed,Chapter,"Ogawa, Tom; Calitri, Todd; Anderson, Bruce; Lange, Matt; Kelley, Kevin; Friedlander, Alan; Beets, Jim; Bowen, Brian; Caselle, Jennifer; Lowe, Christopher",,"Ogawa, Tom (); Calitri, Todd (); Anderson, Bruce (); Lange, Matt (); Kelley, Kevin (); Friedlander, Alan (); Beets, Jim (); Bowen, Brian (); Caselle, Jennifer (); Lowe, Christopher ()",9,2,,,,https://app.dimensions.ai/details/publication/pub.1001889307,,,,,,
80,400,pub.1009080562,10.1890/0012-9658(2006)87[3082:csakae]2.0.co;2,17249233,,CURRENT SHIFTS AND KIN AGGREGATION EXPLAIN GENETIC PATCHINESS IN FISH RECRUITS,Ecology,,"Animals; Bass; California; Genetic Markers; Genetic Variation; Genetics, Population; Larva; Oceanography; Pacific Ocean; Selection, Genetic",2006-12,2006,87,12,3082-3094,Closed,Article,"Selkoe, Kimberly A.; Gaines, Steven D.; Caselle, Jennifer E.; Warner, Robert R.",,"Selkoe, Kimberly A. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",150,20,2.77,10.81,,https://app.dimensions.ai/details/publication/pub.1009080562,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
81,200,pub.1071178782,10.3354/meps326257,,,Site fidelity and seasonal movement patterns of adult California sheephead Semicossyphus pulcher (Labridae): an acoustic monitoring study,Marine Ecology Progress Series,,,11/17/06,2006,326,,257-267,All OA; Gold,Article,"Topping, DT; Lowe, CG; Caselle, JE",,"Topping, DT (); Lowe, CG (); Caselle, JE ()",56,8,,5.21,https://www.int-res.com/articles/meps2006/326/m326p257.pdf,https://app.dimensions.ai/details/publication/pub.1071178782,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
82,200,pub.1071178265,10.3354/meps306247,,,Consistent long-term spatial gradients in replenishment for an island population of a coral reef fish,Marine Ecology Progress Series,,,1/11/06,2006,306,,247-256,All OA; Gold,Article,"Hamilton, SL; White, JW; Caselle, JE; Swearer, SE; Warner, RR",,"Hamilton, SL (); White, JW (); Caselle, JE (); Swearer, SE (); Warner, RR ()",22,0,,2.05,https://www.int-res.com/articles/meps2006/306/m306p247.pdf,https://app.dimensions.ai/details/publication/pub.1071178265,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
83,200,pub.1006988555,10.4319/lo.2006.51.1.0349,,,Natal trace*#x2010;elemental signatures in the otoliths of an open‐coast fish,Limnology and Oceanography,,,2006-01,2006,51,1,349-349,All OA; Gold,Article,"Warner, Robert R.; Swearer, Stephen E.; Caselle, Jennifer E.; Sheehy, Michael; Paradis, Georges",,"Warner, Robert R. (); Swearer, Stephen E. (); Caselle, Jennifer E. (); Sheehy, Michael (); Paradis, Georges ()",1,0,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2006.51.1.0349,https://app.dimensions.ai/details/publication/pub.1006988555,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
