,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Christopher J Still. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,100,pub.1005295507,10.1029/2010jg001576,,,Influences of the hydrological cycle on observed interannual variations in atmospheric CO18O,Journal of Geophysical Research,,,2011,2011,116,G4,,All OA; Gold,Article,"Buenning, Nikolaus H.; Noone, David C.; Riley, William J.; Still, Christopher J.; White, James W. C.",,"Buenning, Nikolaus H. (University of Colorado Boulder; Cooperative Institute for Research in Environmental Sciences; University of Southern California); Noone, David C. (University of Colorado Boulder; Cooperative Institute for Research in Environmental Sciences); Riley, William J. (Lawrence Berkeley National Laboratory); Still, Christopher J. (University of California, Santa Barbara); White, James W. C. (University of Colorado Boulder; Institute of Arctic and Alpine Research)",6,1,,0.62,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JG001576,https://app.dimensions.ai/details/publication/pub.1005295507,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
63,400,pub.1049546949,10.1073/pnas.0914211107,21149715,PMC3003095,Forest responses to increasing aridity and warmth in the southwestern United States,Proceedings of the National Academy of Sciences,,"Animals; Climate; Climate Change; Computer Simulation; Droughts; Ecosystem; Fires; Insecta; Models, Theoretical; Southwestern United States; Temperature; Trees",12/14/10,2010,107,50,21289-21294,All OA; Gold,Article,"Williams, A. Park; Allen, Craig D.; Millar, Constance I.; Swetnam, Thomas W.; Michaelsen, Joel; Still, Christopher J.; Leavitt, Steven W.",,"Williams, A. Park (University of California, Santa Barbara); Allen, Craig D. (); Millar, Constance I. (Pacific Southwest Research Station); Swetnam, Thomas W. (University of Arizona); Michaelsen, Joel (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara); Leavitt, Steven W. (University of Arizona)",245,53,2.4,29.2,http://www.pnas.org/content/107/50/21289.full.pdf,https://app.dimensions.ai/details/publication/pub.1049546949,0705 Forestry Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
64,100,pub.1061332454,10.1109/jstars.2010.2048419,,,"Multi-Scale Sensor Fusion with an Online Application: Integrating GOES, MODIS, and Webcam Imagery for Environmental Monitoring",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2010-12,2010,3,4,497-506,Closed,Article,"Bradley, Eliza S.; Toomey, Michael P.; Still, Christopher J.; Roberts, Dar A.",,"Bradley, Eliza S. (University of California, Santa Barbara); Toomey, Michael P. (Colorado College; University of California, Santa Barbara); Still, Christopher J. (Stanford University; University of California, Santa Barbara); Roberts, Dar A. (Stanford University; University of California, Santa Barbara)",8,1,,2.19,,https://app.dimensions.ai/details/publication/pub.1061332454,08 Information and Computing Sciences; 09 Engineering; 0801 Artificial Intelligence and Image Processing; 0909 Geomatic Engineering,08 Information and Computing Sciences,09 Engineering,0801 Artificial Intelligence and Image Processing,0909 Geomatic Engineering,
65,100,pub.1019346370,10.1175/2010ei362.1,,,Using Tree Rings to Predict the Response of Tree Growth to Climate Change in the Continental United States during the Twenty-First Century,Earth Interactions,,,2010-12,2010,14,19,20-Jan,"All OA; Green, Published",Article,"Williams, A. Park; Michaelsen, Joel; Leavitt, Steven W.; Still, Christopher J.",,"Williams, A. Park (); Michaelsen, Joel (); Leavitt, Steven W. (); Still, Christopher J. ()",22,11,,2.47,https://academiccommons.columbia.edu/doi/10.7916/D88P69QT/download,https://app.dimensions.ai/details/publication/pub.1019346370,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
66,100,pub.1050025087,10.5408/1.3559887,,,Linking Physical Geography Education and Research Through the Development of an Environmental Sensing Network and Project-Based Learning,Journal of Geoscience Education,,,2010-11,2010,58,5,262-274,Closed,Article,"Roberts, Dar; Bradley, Eliza; Roth, Keely; Eckmann, Ted; Still, Christopher",,"Roberts, Dar (University of California, Santa Barbara); Bradley, Eliza (University of California, Santa Barbara); Roth, Keely (University of California, Santa Barbara); Eckmann, Ted (Bowling Green State University); Still, Christopher (University of California, Santa Barbara)",10,2,,3.7,,https://app.dimensions.ai/details/publication/pub.1050025087,1302 Curriculum and Pedagogy; 13 Education,1302 Curriculum and Pedagogy,13 Education,,,
67,100,pub.1028904234,10.1175/2010ei328.1,,,Variations in Subpixel Fire Properties with Season and Land Cover in Southern Africa,Earth Interactions,,,2010-06,2010,14,6,29-Jan,Closed,Article,"Eckmann, Ted C.; Still, Christopher J.; Roberts, Dar A.; Michaelsen, Joel C.",,"Eckmann, Ted C. (); Still, Christopher J. (); Roberts, Dar A. (); Michaelsen, Joel C. ()",15,2,,1.79,,https://app.dimensions.ai/details/publication/pub.1028904234,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
68,400,pub.1048859465,10.1126/science.1177216,20431008,,The Origins of C<sub>4</sub> Grasslands: Integrating Evolutionary and Ecosystem Science,Science,,Biological Evolution; Carbon Dioxide; Climate; Ecosystem; Fossils; Genetic Speciation; Geography; Photosynthesis; Phylogeny; Poaceae; Temperature; Trees,4/30/10,2010,328,5978,587-591,"All OA; Green, Accepted & Submitted",Article,"Edwards, Erika J; Osborne, Colin P; Strömberg, Caroline A E; Smith, Stephen A; Bond, William J; Christin, Pascal-Antoine; Cousins, Asaph B; Duvall, Melvin R; Fox, David L; Freckleton, Robert P; Ghannoum, Oula; Hartwell, James; Huang, Yongsong; Janis, Christine M; Keeley, Jon E; Kellogg, Elizabeth A; Knapp, Alan K; Leakey, Andrew D B; Nelson, David M; Saarela, Jeffery M; Sage, Rowan F; Sala, Osvaldo E; Salamin, Nicolas; Still, Christopher J; Tipple, Brett",,"Edwards, Erika J (Brown University); Osborne, Colin P (); Strömberg, Caroline A E (); Smith, Stephen A (); Bond, William J (); Christin, Pascal-Antoine (); Cousins, Asaph B (); Duvall, Melvin R (); Fox, David L (); Freckleton, Robert P (); Ghannoum, Oula (); Hartwell, James (); Huang, Yongsong (); Janis, Christine M (); Keeley, Jon E (); Kellogg, Elizabeth A (); Knapp, Alan K (); Leakey, Andrew D B (); Nelson, David M (); Saarela, Jeffery M (); Sage, Rowan F (); Sala, Osvaldo E (); Salamin, Nicolas (); Still, Christopher J (); Tipple, Brett ()",523,151,8.71,57.85,http://science.sciencemag.org/content/sci/328/5978/587.full.pdf,https://app.dimensions.ai/details/publication/pub.1048859465,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
69,100,pub.1022778919,10.1016/j.envsoft.2009.07.006,,,Design of an image analysis website for phenological and meteorological monitoring,Environmental Modelling & Software,,,2010-01,2010,25,1,107-116,Closed,Article,"Bradley, E.; Roberts, D.; Still, C.","Bradley, E.","Bradley, E. (University of California, Santa Barbara); Roberts, D. (University of California, Santa Barbara); Still, C. (University of California, Santa Barbara)",20,3,,7.46,,https://app.dimensions.ai/details/publication/pub.1022778919,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
70,100,pub.1044746611,10.1007/978-90-481-3354-3_9,,,Continental-Scale Distributions of Vegetation Stable Carbon Isotope Ratios,,Isoscapes,,2010,2010,,,179-193,Closed,Chapter,"Still, Christopher J.; Powell, Rebecca L.","Still, Christopher J.","Still, Christopher J. (University of California, Santa Barbara); Powell, Rebecca L. (University of Denver)",56,13,,6.62,,https://app.dimensions.ai/details/publication/pub.1044746611,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
71,100,pub.1040775335,10.1007/978-90-481-3354-3_1,,,Global Network Measurements of Atmospheric Trace Gas Isotopes,,Isoscapes,,2010,2010,,,31-Mar,Closed,Chapter,"Vaughn, Bruce H.; Evans, Candice U.; White, James W. C.; Still, Christopher J.; Masarie, Kenneth A.; Turnbull, Jocelyn","Vaughn, Bruce H.","Vaughn, Bruce H. (University of Colorado Boulder); Evans, Candice U. (University of Colorado Boulder); White, James W. C. (University of Colorado Boulder); Still, Christopher J. (University of California, Santa Barbara); Masarie, Kenneth A. (National Oceanic and Atmospheric Administration); Turnbull, Jocelyn (National Oceanic and Atmospheric Administration)",12,1,,1.42,,https://app.dimensions.ai/details/publication/pub.1040775335,0405 Oceanography; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0405 Oceanography,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
72,100,pub.1026859457,10.1080/01431160902748531,,,Estimating subpixel fire sizes and temperatures from ASTER using multiple endmember spectral mixture analysis,International Journal of Remote Sensing,,,10/21/09,2009,30,22,5851-5864,Closed,Article,"Eckmann, T. C.; Roberts, D. A.; Still, C. J.",,"Eckmann, T. C. (University of California, Santa Barbara); Roberts, D. A. (University of California, Santa Barbara); Still, C. J. (University of California, Santa Barbara)",23,3,,3.1,,https://app.dimensions.ai/details/publication/pub.1026859457,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
73,100,pub.1026115434,10.1111/j.1365-2699.2008.02025.x,,,Significance of summer fog and overcast for drought stress and ecological functioning of coastal California endemic plant species,Journal of Biogeography,,,2009-04,2009,36,4,783-799,Closed,Article,"Fischer, Douglas T.; Still, Christopher J.; Williams, A. Park",,"Fischer, Douglas T. (California State University, Northridge); Still, Christopher J. (University of California, Santa Barbara); Williams, A. Park ()",92,25,,9.94,,https://app.dimensions.ai/details/publication/pub.1026115434,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
74,100,pub.1038762167,10.1029/2009eo130001,,,Isoscapes to Address Large‐Scale Earth Science Challenges,Eos,,,3/31/09,2009,90,13,109-110,All OA; Gold,Article,"Bowen, Gabriel J.; West, Jason B.; Vaughn, Bruce H.; Dawson, Todd E.; Ehleringer, James R.; Fogel, Marilyn L.; Hobson, Keith; Hoogewerff, Jurian; Kendall, Carol; Lai, Chun‐Ta; Miller, C. C.; Noone, David; Schwarcz, Henry; Still, Christopher J.",,"Bowen, Gabriel J. (Purdue University West Lafayette); West, Jason B. (Texas A&M University); Vaughn, Bruce H. (Institute of Arctic and Alpine Research); Dawson, Todd E. (University of California, Berkeley); Ehleringer, James R. (University of Utah); Fogel, Marilyn L. (Geophysical Laboratory); Hobson, Keith (Environment Canada); Hoogewerff, Jurian (University of East Anglia); Kendall, Carol (United States Geological Survey); Lai, Chun‐Ta (San Diego State University); Miller, C. C. (); Noone, David (University of Colorado Boulder); Schwarcz, Henry (McMaster University); Still, Christopher J. (University of California, Santa Barbara)",32,11,,3.26,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009EO130001,https://app.dimensions.ai/details/publication/pub.1038762167,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
75,100,pub.1034095377,10.1007/978-1-4020-9237-4_20,,,Photosynthesis in Global-Scale Models,Advances in Photosynthesis and Respiration,Photosynthesis in silico,,2009,2009,29,,465-497,Closed,Chapter,"Friend, Andrew D.; Geider, Richard J.; Behrenfeld, Michael J.; Still, Christopher J.",,"Friend, Andrew D. (University of Cambridge); Geider, Richard J. (University of Essex); Behrenfeld, Michael J. (Oregon State University); Still, Christopher J. (University of California, Santa Barbara)",20,2,,2.15,,https://app.dimensions.ai/details/publication/pub.1034095377,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
76,100,pub.1024478023,10.1029/2007jg000675,,,Influence of clouds and diffuse radiation on ecosystem‐atmosphere CO2 and CO18O exchanges,Journal of Geophysical Research,,,2009,2009,114,G1,,All OA; Gold,Article,"Still, C. J.; Riley, W. J.; Biraud, S. C.; Noone, D. C.; Buenning, N. H.; Randerson, J. T.; Torn, M. S.; Welker, J.; White, J. W. C.; Vachon, R.; Farquhar, G. D.; Berry, J. A.",,"Still, C. J. (University of California, Santa Barbara); Riley, W. J. (Lawrence Berkeley National Laboratory); Biraud, S. C. (Lawrence Berkeley National Laboratory); Noone, D. C. (University of Colorado Boulder); Buenning, N. H. (University of Colorado Boulder); Randerson, J. T. (University of California, Irvine); Torn, M. S. (Lawrence Berkeley National Laboratory); Welker, J. (University of Alaska Anchorage); White, J. W. C. (Cooperative Institute for Research in Environmental Sciences); Vachon, R. (Cooperative Institute for Research in Environmental Sciences); Farquhar, G. D. (Australian National University); Berry, J. A. (Department of Plant Biology)",60,10,,6.44,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007JG000675,https://app.dimensions.ai/details/publication/pub.1024478023,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
77,100,pub.1053141914,10.1016/j.rse.2008.05.008,,,Using multiple endmember spectral mixture analysis to retrieve subpixel fire properties from MODIS,Remote Sensing of Environment,,,10/15/08,2008,112,10,3773-3783,Closed,Article,"Eckmann, Ted C.; Roberts, Dar A.; Still, Christopher J.","Eckmann, Ted C.","Eckmann, Ted C. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara)",45,5,,5.79,,https://app.dimensions.ai/details/publication/pub.1053141914,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
78,400,pub.1013560453,10.1007/s00442-008-1025-y,18368424,,The influence of summertime fog and overcast clouds on the growth of a coastal Californian pine: a tree-ring study,Oecologia,,California; Pinus; Seasons; Weather,2008-06,2008,156,3,601-611,Closed,Article,"Williams, A. Park; Still, Christopher J.; Fischer, Douglas T.; Leavitt, Steven W.","Williams, A. Park","Williams, A. Park (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara); Fischer, Douglas T. (); Leavitt, Steven W. (University of Arizona)",42,11,0.5,3.59,,https://app.dimensions.ai/details/publication/pub.1013560453,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
79,400,pub.1018378906,10.1111/j.1461-0248.2007.01144.x,18201200,,"Climate, phylogeny and the ecological distribution of C4 grasses",Ecology Letters,,"Altitude; Climate; Demography; Genes, Plant; Hawaii; Photosynthesis; Phylogeny; Poaceae; Rain; Statistics as Topic; Temperature",2008-03,2008,11,3,266-276,Closed,Article,"Edwards, Erika J.; Still, Christopher J.",,"Edwards, Erika J. (); Still, Christopher J. (University of California, Santa Barbara)",109,20,1.91,16.17,,https://app.dimensions.ai/details/publication/pub.1018378906,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
80,400,pub.1009925287,10.1016/j.tree.2007.02.002,17296242,,The relevance of phylogeny to studies of global change,Trends in Ecology & Evolution,,Carbon; Carbon Dioxide; Carbonic Anhydrases; Echinochloa; Ecosystem; Geography; Greenhouse Effect; Photosynthesis; Phylogeny; Plants; Poaceae,2007-05,2007,22,5,243-249,"All OA; Green, Accepted & Submitted",Article,"Edwards, Erika J.; Still, Christopher J.; Donoghue, Michael J.",,"Edwards, Erika J. (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara); Donoghue, Michael J. (Yale University)",74,5,1.41,7.14,http://eas8803.eas.gatech.edu/Reading_Materials/Edwardsetal-2007.pdf,https://app.dimensions.ai/details/publication/pub.1009925287,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
81,100,pub.1046953874,10.1038/nature05942,,,Global warming and amphibian losses; The proximate cause of frog declines? (Reply),Nature,,,2007-05,2007,447,7144,e5-e6,Closed,Article,"Pounds, J. Alan; Bustamante, Martín R.; Coloma, Luis A.; Consuegra, Jamie A.; Fogden, Michael P. L.; Foster, Pru N.; La Marca, Enrique; Masters, Karen L.; Merino-Viteri, Andrés; Puschendorf, Robert; Ron, Santiago R.; Sánchez-Azofeifa, G. Arturo; Still, Christopher J.; Young, Bruce E.",,"Pounds, J. Alan (); Bustamante, Martín R. (Pontifical Catholic University of Ecuador); Coloma, Luis A. (Pontifical Catholic University of Ecuador); Consuegra, Jamie A. (Columbia University); Fogden, Michael P. L. (); Foster, Pru N. (University of Bristol); La Marca, Enrique (University of the Andes); Masters, Karen L. (); Merino-Viteri, Andrés (Pontifical Catholic University of Ecuador); Puschendorf, Robert (James Cook University); Ron, Santiago R. (Pontifical Catholic University of Ecuador; The University of Texas at Austin); Sánchez-Azofeifa, G. Arturo (University of Alberta); Still, Christopher J. (University of California, Santa Barbara); Young, Bruce E. ()",15,0,,1.69,,https://app.dimensions.ai/details/publication/pub.1046953874,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
82,100,pub.1031352699,10.1029/2006wr005124,,,Evaluating patterns of fog water deposition and isotopic composition on the California Channel Islands,Water Resources Research,,,2007-04,2007,43,4,,All OA; Gold,Article,"Fischer, Douglas T.; Still, Christopher J.",,"Fischer, Douglas T. (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara)",45,11,,8.34,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006WR005124,https://app.dimensions.ai/details/publication/pub.1031352699,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
83,100,pub.1031600590,10.1111/j.1365-2486.2006.01099.x,,,Is carbon within the global terrestrial biosphere becoming more oxidized? Implications for trends in atmospheric O2,Global Change Biology,,,2006-02,2006,12,2,260-271,"All OA; Green, Accepted & Submitted",Article,"RANDERSON, J. T.; MASIELLO, C. A.; STILL, C. J.; RAHN, T.; POORTER, H.; FIELD, C. B.",,"RANDERSON, J. T. (University of California, Irvine); MASIELLO, C. A. (Rice University); STILL, C. J. (University of California, Santa Barbara); RAHN, T. (Los Alamos National Laboratory); POORTER, H. (Utrecht University); FIELD, C. B. (Department of Plant Biology)",32,5,,3.12,https://escholarship.org/content/qt1vx8f29f/qt1vx8f29f.pdf?t=nuq030,https://app.dimensions.ai/details/publication/pub.1031600590,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
84,400,pub.1026816497,10.1038/nature04246,16407945,,Widespread amphibian extinctions from epidemic disease driven by global warming,Nature,,"Altitude; Amphibians; Animals; Biodiversity; Bufonidae; Costa Rica; Greenhouse Effect; Humidity; Models, Biological; Population Dynamics; Risk; Temperature; Trees",2006-01,2006,439,7073,161-167,Closed,Article,"Alan Pounds, J.; Bustamante, Martín R.; Coloma, Luis A.; Consuegra, Jamie A.; Fogden, Michael P. L.; Foster, Pru N.; La Marca, Enrique; Masters, Karen L.; Merino-Viteri, Andrés; Puschendorf, Robert; Ron, Santiago R.; Sánchez-Azofeifa, G. Arturo; Still, Christopher J.; Young, Bruce E.","Alan Pounds, J.","Alan Pounds, J. (); Bustamante, Martín R. (Pontifical Catholic University of Ecuador); Coloma, Luis A. (Pontifical Catholic University of Ecuador); Consuegra, Jamie A. (Columbia University); Fogden, Michael P. L. (); Foster, Pru N. (University of Tokyo; University of Bristol); La Marca, Enrique (University of the Andes); Masters, Karen L. (); Merino-Viteri, Andrés (Pontifical Catholic University of Ecuador); Puschendorf, Robert (University of Costa Rica); Ron, Santiago R. (Pontifical Catholic University of Ecuador; The University of Texas at Austin); Sánchez-Azofeifa, G. Arturo (University of Alberta); Still, Christopher J. (University of California, Santa Barbara); Young, Bruce E. ()",989,142,14.66,110.46,,https://app.dimensions.ai/details/publication/pub.1026816497,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
85,100,pub.1050185180,10.1029/2004gb002366,,,Fire emissions from C3 and C4 vegetation and their influence on interannual variability of atmospheric CO2 and δ13CO2,Global Biogeochemical Cycles,,,2005-06,2005,19,2,n/a-n/a,All OA; Gold,Article,"Randerson, J. T.; van der Werf, G. R.; Collatz, G. J.; Giglio, L.; Still, C. J.; Kasibhatla, P.; Miller, J. B.; White, J. W. C.; DeFries, R. S.; Kasischke, E. S.",,"Randerson, J. T. (University of California, Irvine); van der Werf, G. R. (Goddard Space Flight Center; VU University Amsterdam); Collatz, G. J. (Goddard Space Flight Center); Giglio, L. (Science Systems and Applications (United States)); Still, C. J. (University of California, Santa Barbara); Kasibhatla, P. (Duke University); Miller, J. B. (University of Colorado Boulder); White, J. W. C. (Institute of Arctic and Alpine Research); DeFries, R. S. (University of Maryland, College Park); Kasischke, E. S. (University of Maryland, College Park)",95,10,,7.44,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004GB002366,https://app.dimensions.ai/details/publication/pub.1050185180,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,
86,100,pub.1044714452,10.1029/2003gb002141,,,Simulation of carbon isotope discrimination of the terrestrial biosphere,Global Biogeochemical Cycles,,,2005-03,2005,19,1,,All OA; Gold,Article,"Suits, N. S.; Denning, A. S.; Berry, J. A.; Still, C. J.; Kaduk, J.; Miller, J. B.; Baker, I. T.",,"Suits, N. S. (Colorado State University); Denning, A. S. (Colorado State University); Berry, J. A. (Stanford University); Still, C. J. (University of California, Santa Barbara); Kaduk, J. (University of Leicester); Miller, J. B. (University of Colorado Boulder); Baker, I. T. (Colorado State University)",102,17,,7.99,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2003GB002141,https://app.dimensions.ai/details/publication/pub.1044714452,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,
87,100,pub.1051500335,10.1029/2004gl021011,,,Triple oxygen isotope composition of tropospheric carbon dioxide as a tracer of terrestrial gross carbon fluxes,Geophysical Research Letters,,,2005,2005,32,2,,All OA; Gold,Article,"Hoag, K. J.; Still, C. J.; Fung, I. Y.; Boering, K. A.",,"Hoag, K. J. (University of California, Berkeley); Still, C. J. (University of California, Santa Barbara); Fung, I. Y. (University of California, Berkeley); Boering, K. A. (University of California, Berkeley)",42,6,,3.96,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004GL021011,https://app.dimensions.ai/details/publication/pub.1051500335,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
88,100,pub.1036622643,10.1016/b978-012088447-6/50009-x,,,9 Simulation of Ecosystem C18OO Isotope Fluxes in A Tallgrass Prairie Biological and Physical Controls,,Stable Isotopes and Biosphere Atmosphere Interactions,,2005,2005,,Geoderma821998,154-170,Closed,Chapter,"Still, Christopher; Riley, William J.; Helliker, Brent R.; Berry, Joseph A.",,"Still, Christopher (University of California, Santa Barbara); Riley, William J. (); Helliker, Brent R. (Department of Plant Biology); Berry, Joseph A. (Department of Plant Biology)",5,0,,0.48,,https://app.dimensions.ai/details/publication/pub.1036622643,0699 Other Biological Sciences; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0699 Other Biological Sciences,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
89,100,pub.1011164735,10.1111/j.1365-2486.2004.00802.x,,,Large‐scale plant light‐use efficiency inferred from the seasonal cycle of atmospheric CO2,Global Change Biology,,,2004-08,2004,10,8,1240-1252,"All OA; Green, Accepted & Submitted",Article,"Still, Christopher J.; Randerson, James T.; Fung, Inez Y.",,"Still, Christopher J. (University of California, Berkeley); Randerson, James T. (University of California, Irvine); Fung, Inez Y. (University of California, Berkeley)",28,6,,2.65,https://escholarship.org/content/qt6rx3p8cm/qt6rx3p8cm.pdf?t=lnr7g2,https://app.dimensions.ai/details/publication/pub.1011164735,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
90,100,pub.1008319177,10.1111/j.1469-8137.2004.01002.x,,,"In situ photosynthetic freezing tolerance for plants exposed to a global warming manipulation in the Rocky Mountains, Colorado, USA",New Phytologist,,,2004-05,2004,162,2,331-341,All OA; Gold,Article,"Loik, Michael E.; Still, Christopher J.; Huxman, Travis E.; Harte, John",,"Loik, Michael E. (University of California, Santa Cruz); Still, Christopher J. (University of California, Santa Barbara); Huxman, Travis E. (University of Arizona); Harte, John (University of California, Berkeley)",48,8,,5.56,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2004.01002.x/pdf,https://app.dimensions.ai/details/publication/pub.1008319177,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
91,100,pub.1045152835,10.1046/j.1365-2486.2003.00680.x,,,18O composition of CO2 and H2O ecosystem pools and fluxes in a tallgrass prairie: Simulations and comparisons to measurements,Global Change Biology,,,2003-11,2003,9,11,1567-1581,Closed,Article,"Riley, William J.; Still, Christopher J.; Helliker, Brent R.; Ribas‐Carbo, Miguel; Berry, Joseph A.",,"Riley, William J. (Lawrence Berkeley National Laboratory); Still, Christopher J. (University of California, Santa Barbara); Helliker, Brent R. (Department of Plant Biology); Ribas‐Carbo, Miguel (University of the Balearic Islands); Berry, Joseph A. (Department of Plant Biology)",49,4,,4.62,,https://app.dimensions.ai/details/publication/pub.1045152835,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
92,400,pub.1042460081,10.1007/s00442-003-1274-8,12827485,,The contribution of C3 and C4 plants to the carbon cycle of a tallgrass prairie: an isotopic approach,Oecologia,,Carbon Isotopes; Ecosystem; Environmental Monitoring; Photosynthesis; Poaceae,2003-08,2003,136,3,347-359,Closed,Article,"Still, Christopher J.; Berry, Joseph A.; Ribas-Carbo, Miquel; Helliker, Brent R.","Still, Christopher J.","Still, Christopher J. (Department of Plant Biology; University of California, Santa Barbara); Berry, Joseph A. (Department of Plant Biology); Ribas-Carbo, Miquel (Department of Plant Biology; University of the Balearic Islands); Helliker, Brent R. (University of Utah; Department of Plant Biology)",62,5,0.43,6.66,,https://app.dimensions.ai/details/publication/pub.1042460081,0607 Plant Biology; 0699 Other Biological Sciences; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,06 Biological Sciences,,
