,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Lars Bildsten. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,100,pub.1031671824,10.1088/0067-0049/192/1/3,,,MODULES FOR EXPERIMENTS IN STELLAR ASTROPHYSICS (MESA),The Astrophysical Journal Supplement Series,,,1/1/11,2011,192,1,3,All OA; Gold,Article,"Paxton, Bill; Bildsten, Lars; Dotter, Aaron; Herwig, Falk; Lesaffre, Pierre; Timmes, Frank",,"Paxton, Bill (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara); Dotter, Aaron (University of Victoria); Herwig, Falk (University of Victoria); Lesaffre, Pierre (); Timmes, Frank (Arizona State University)",1208,483,,269.84,http://iopscience.iop.org/article/10.1088/0067-0049/192/1/3/pdf,https://app.dimensions.ai/details/publication/pub.1031671824,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
126,100,pub.1040074337,10.1088/2041-8205/725/2/l200,,,A GROUND-BASED MEASUREMENT OF THE RELATIVISTIC BEAMING EFFECT IN A DETACHED DOUBLE WHITE DWARF BINARY,The Astrophysical Journal Letters,,,12/20/10,2010,725,2,l200,All OA; Gold,Article,"Shporer, Avi; Kaplan, David L.; Steinfadt, Justin D. R.; Bildsten, Lars; Howell, Steve B.; Mazeh, Tsevi",,"Shporer, Avi (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Kaplan, David L. (University of California, Santa Barbara; University of Wisconsin–Milwaukee); Steinfadt, Justin D. R. (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara); Howell, Steve B. (National Optical Astronomy Observatory); Mazeh, Tsevi (Tel Aviv University)",45,4,,9.62,http://iopscience.iop.org/article/10.1088/2041-8205/725/2/L200/pdf,https://app.dimensions.ai/details/publication/pub.1040074337,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
127,100,pub.1027657135,10.1088/0004-637x/724/2/1396,,,Supernova PTF 09UJ: A Possible Shock Breakout from a Dense Circumstellar Wind,The Astrophysical Journal,,,12/1/10,2010,724,2,1396,All OA; Gold,Article,"Ofek, E. O.; Rabinak, I.; Neill, J. D.; Arcavi, I.; Cenko, S. B.; Waxman, E.; Kulkarni, S. R.; Gal-Yam, A.; Nugent, P. E.; Bildsten, L.; Bloom, J. S.; Filippenko, A. V.; Forster, K.; Howell, D. A.; Jacobsen, J.; Kasliwal, M. M.; Law, N.; Martin, C.; Poznanski, D.; Quimby, R. M.; Shen, K. J.; Sullivan, M.; Dekany, R.; Rahmer, G.; Hale, D.; Smith, R.; Zolkower, J.; Velur, V.; Walters, R.; Henning, J.; Bui, K.; McKenna, D.",,"Ofek, E. O. (California Institute of Technology); Rabinak, I. (Weizmann Institute of Science); Neill, J. D. (California Institute of Technology); Arcavi, I. (Weizmann Institute of Science); Cenko, S. B. (University of California, Berkeley); Waxman, E. (Weizmann Institute of Science); Kulkarni, S. R. (California Institute of Technology); Gal-Yam, A. (Weizmann Institute of Science); Nugent, P. E. (Lawrence Berkeley National Laboratory); Bildsten, L. (University of California, Santa Barbara); Bloom, J. S. (University of California, Berkeley); Filippenko, A. V. (University of California, Berkeley); Forster, K. (California Institute of Technology); Howell, D. A. (University of California, Santa Barbara; Las Cumbres Observatory Global Telescope Network); Jacobsen, J. (Lawrence Berkeley National Laboratory); Kasliwal, M. M. (California Institute of Technology); Law, N. (California Institute of Technology; University of Toronto); Martin, C. (California Institute of Technology); Poznanski, D. (University of California, Berkeley; Lawrence Berkeley National Laboratory); Quimby, R. M. (California Institute of Technology); Shen, K. J. (University of California, Santa Barbara); Sullivan, M. (University of Oxford); Dekany, R. (California Institute of Technology); Rahmer, G. (California Institute of Technology); Hale, D. (California Institute of Technology); Smith, R. (California Institute of Technology); Zolkower, J. (California Institute of Technology); Velur, V. (California Institute of Technology); Walters, R. (California Institute of Technology); Henning, J. (California Institute of Technology); Bui, K. (California Institute of Technology); McKenna, D. (California Institute of Technology)",110,24,,23.53,http://iopscience.iop.org/article/10.1088/0004-637X/724/2/1396/pdf,https://app.dimensions.ai/details/publication/pub.1027657135,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
128,100,pub.1044599711,10.1088/0004-637x/723/2/1188,,,EVIDENCE FOR THE WHITE DWARF NATURE OF MIRA B,The Astrophysical Journal,,,11/10/10,2010,723,2,1188,"All OA; Green, Accepted & Submitted",Article,"Sokoloski, J. L.; Bildsten, Lars",,"Sokoloski, J. L. (Columbia University); Bildsten, Lars (University of California, Santa Barbara)",30,7,,8.18,http://arxiv.org/pdf/1009.2509,https://app.dimensions.ai/details/publication/pub.1044599711,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
129,100,pub.1036418719,10.1088/2041-8205/723/1/l98,,,RAPIDLY DECAYING SUPERNOVA 2010X: A CANDIDATE “.Ia” EXPLOSION,The Astrophysical Journal Letters,,,11/1/10,2010,723,1,l98,All OA; Gold,Article,"Kasliwal, Mansi M.; Kulkarni, S. R.; Gal-Yam, Avishay; Yaron, Ofer; Quimby, Robert M.; Ofek, Eran O.; Nugent, Peter; Poznanski, Dovi; Jacobsen, Janet; Sternberg, Assaf; Arcavi, Iair; Howell, D. Andrew; Sullivan, Mark; Rich, Douglas J.; Burke, Paul F.; Brimacombe, Joseph; Milisavljevic, Dan; Fesen, Robert; Bildsten, Lars; Shen, Ken; Cenko, S. Bradley; Bloom, Joshua S.; Hsiao, Eric; Law, Nicholas M.; Gehrels, Neil; Immler, Stefan; Dekany, Richard; Rahmer, Gustavo; Hale, David; Smith, Roger; Zolkower, Jeff; Velur, Viswa; Walters, Richard; Henning, John; Bui, Kahnh; McKenna, Dan",,"Kasliwal, Mansi M. (California Institute of Technology); Kulkarni, S. R. (California Institute of Technology); Gal-Yam, Avishay (Weizmann Institute of Science); Yaron, Ofer (Weizmann Institute of Science); Quimby, Robert M. (California Institute of Technology); Ofek, Eran O. (California Institute of Technology); Nugent, Peter (Lawrence Berkeley National Laboratory); Poznanski, Dovi (Lawrence Berkeley National Laboratory; University of California, Berkeley); Jacobsen, Janet (Lawrence Berkeley National Laboratory); Sternberg, Assaf (Weizmann Institute of Science); Arcavi, Iair (Weizmann Institute of Science); Howell, D. Andrew (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Sullivan, Mark (University of Oxford); Rich, Douglas J. (); Burke, Paul F. (); Brimacombe, Joseph (James Cook University); Milisavljevic, Dan (Dartmouth College); Fesen, Robert (Dartmouth College); Bildsten, Lars (University of California, Santa Barbara); Shen, Ken (University of California, Berkeley); Cenko, S. Bradley (University of California, Berkeley); Bloom, Joshua S. (University of California, Berkeley); Hsiao, Eric (Lawrence Berkeley National Laboratory); Law, Nicholas M. (University of Toronto); Gehrels, Neil (Goddard Space Flight Center); Immler, Stefan (Goddard Space Flight Center); Dekany, Richard (California Institute of Technology); Rahmer, Gustavo (California Institute of Technology); Hale, David (California Institute of Technology); Smith, Roger (California Institute of Technology); Zolkower, Jeff (California Institute of Technology); Velur, Viswa (California Institute of Technology); Walters, Richard (California Institute of Technology); Henning, John (California Institute of Technology); Bui, Kahnh (California Institute of Technology); McKenna, Dan (California Institute of Technology)",90,17,,19.25,http://iopscience.iop.org/article/10.1088/2041-8205/723/1/L98/pdf,https://app.dimensions.ai/details/publication/pub.1036418719,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
130,100,pub.1011359519,10.1088/0004-637x/723/1/719,,,DIFFUSIVE NUCLEAR BURNING OF HELIUM ON NEUTRON STARS,The Astrophysical Journal,,,11/1/10,2010,723,1,719,All OA; Gold,Article,"Chang, Philip; Bildsten, Lars; Arras, Phil",,"Chang, Philip (Canadian Institute for Theoretical Astrophysics); Bildsten, Lars (University of California, Santa Barbara); Arras, Phil (University of Virginia)",34,7,,9.28,http://iopscience.iop.org/article/10.1088/0004-637X/723/1/719/pdf,https://app.dimensions.ai/details/publication/pub.1011359519,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
131,100,pub.1118289269,,,,"A ground-based measurement of the relativistic beaming effect in a
  detached double WD binary",arXiv,,,10/11/10,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Shporer, Avi; Kaplan, David L.; Steinfadt, Justin D. R.; Bildsten, Lars; Howell, Steve B.; Mazeh, Tsevi",,"Shporer, Avi (); Kaplan, David L. (); Steinfadt, Justin D. R. (); Bildsten, Lars (); Howell, Steve B. (); Mazeh, Tsevi ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118289269,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
132,100,pub.1118293825,,,,Modules for Experiments in Stellar Astrophysics (MESA),arXiv,,,9/8/10,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Paxton, Bill; Bildsten, Lars; Dotter, Aaron; Herwig, Falk; Lesaffre, Pierre; Timmes, Frank",,"Paxton, Bill (); Bildsten, Lars (); Dotter, Aaron (); Herwig, Falk (); Lesaffre, Pierre (); Timmes, Frank ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118293825,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
133,100,pub.1118333787,,,,Diffusive Nuclear Burning of Helium on Neutron Stars,arXiv,,,8/11/10,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Chang, Philip; Bildsten, Lars; Arras, Phil",,"Chang, Philip (); Bildsten, Lars (); Arras, Phil ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118333787,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
134,100,pub.1041085918,10.1088/0004-637x/718/1/441,,,PULSATIONS IN HYDROGEN BURNING LOW-MASS HELIUM WHITE DWARFS,The Astrophysical Journal,,,7/20/10,2010,718,1,441,All OA; Gold,Article,"Steinfadt, Justin D. R.; Bildsten, Lars; Arras, Phil",,"Steinfadt, Justin D. R. (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara); Arras, Phil (University of Virginia)",32,5,,6.24,http://iopscience.iop.org/article/10.1088/0004-637X/718/1/441/pdf,https://app.dimensions.ai/details/publication/pub.1041085918,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
135,100,pub.1044900947,10.1088/0004-637x/717/1/245,,,Supernova Light Curves Powered by Young Magnetars,The Astrophysical Journal,,,7/1/10,2010,717,1,245,All OA; Gold,Article,"Kasen, Daniel; Bildsten, Lars",,"Kasen, Daniel (University of California, Santa Cruz); Bildsten, Lars (University of California, Santa Barbara)",393,111,,76.59,http://iopscience.iop.org/article/10.1088/0004-637X/717/1/245/pdf,https://app.dimensions.ai/details/publication/pub.1044900947,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
136,100,pub.1037456644,10.1088/2041-8205/716/2/l146,,,DISCOVERY OF THE ECLIPSING DETACHED DOUBLE WHITE DWARF BINARY NLTT 11748,The Astrophysical Journal Letters,,,6/20/10,2010,716,2,l146,All OA; Gold,Article,"Steinfadt, Justin D. R.; Kaplan, David L.; Shporer, Avi; Bildsten, Lars; Howell, Steve B.",,"Steinfadt, Justin D. R. (University of California, Santa Barbara); Kaplan, David L. (University of California, Santa Barbara); Shporer, Avi (University of California, Santa Barbara; Las Cumbres Observatory Global Telescope Network); Bildsten, Lars (University of California, Santa Barbara); Howell, Steve B. (National Optical Astronomy Observatory)",60,3,,12.83,http://iopscience.iop.org/article/10.1088/2041-8205/716/2/L146/pdf,https://app.dimensions.ai/details/publication/pub.1037456644,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
137,100,pub.1050535771,10.1088/0004-637x/715/2/767,,,Thermonuclear .Ia Supernovae from Helium Shell Detonations: Explosion Models and Observables,The Astrophysical Journal,,,6/1/10,2010,715,2,767,All OA; Gold,Article,"Shen, Ken J.; Kasen, Dan; Weinberg, Nevin N.; Bildsten, Lars; Scannapieco, Evan",,"Shen, Ken J. (University of California, Santa Barbara); Kasen, Dan (University of California, Santa Cruz); Weinberg, Nevin N. (University of California, Berkeley); Bildsten, Lars (University of California, Santa Barbara); Scannapieco, Evan (Arizona State University)",109,22,,21.24,http://iopscience.iop.org/article/10.1088/0004-637X/715/2/767/pdf,https://app.dimensions.ai/details/publication/pub.1050535771,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
138,100,pub.1118281423,,,,Pulsations in Hydrogen Burning Low Mass Helium White Dwarfs,arXiv,,,5/28/10,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Steinfadt, Justin D. R.; Bildsten, Lars; Arras, Phil",,"Steinfadt, Justin D. R. (); Bildsten, Lars (); Arras, Phil ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118281423,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
139,100,pub.1118327504,,,,Discovery of the Eclipsing Detached Double White Dwarf Binary NLTT 11748,arXiv,,,5/11/10,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Steinfadt, Justin D. R.; Kaplan, David L.; Shporer, Avi; Bildsten, Lars; Howell, Steve B.",,"Steinfadt, Justin D. R. (); Kaplan, David L. (); Shporer, Avi (); Bildsten, Lars (); Howell, Steve B. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118327504,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
140,100,pub.1019441517,10.1088/0004-637x/714/2/1702,,,MULTI-SITE OBSERVATIONS OF PULSATION IN THE ACCRETING WHITE DWARF SDSS J161033.64–010223.3 (V386 Ser),The Astrophysical Journal,,,5/10/10,2010,714,2,1702,All OA; Gold,Article,"Mukadam, Anjum S.; Townsley, D. M.; Gänsicke, B. T.; Szkody, P.; Marsh, T. R.; Robinson, E. L.; Bildsten, L.; Aungwerojwit, A.; Schreiber, M. R.; Southworth, J.; Schwope, A.; For, B.-Q.; Tovmassian, G.; Zharikov, S. V.; Hidas, M. G.; Baliber, N.; Brown, T.; Woudt, P. A.; Warner, B.; O'Donoghue, D.; Buckley, D. A. H.; Sefako, R.; Sion, E. M.",,"Mukadam, Anjum S. (University of Washington; New Mexico State University); Townsley, D. M. (University of Arizona); Gänsicke, B. T. (University of Warwick); Szkody, P. (University of Washington; New Mexico State University); Marsh, T. R. (University of Warwick); Robinson, E. L. (The University of Texas at Austin); Bildsten, L. (University of California, Santa Barbara); Aungwerojwit, A. (University of Warwick; Naresuan University); Schreiber, M. R. (University of Valparaíso); Southworth, J. (University of Warwick); Schwope, A. (Leibniz Institute for Astrophysics Potsdam); For, B.-Q. (The University of Texas at Austin); Tovmassian, G. (National Autonomous University of Mexico); Zharikov, S. V. (National Autonomous University of Mexico); Hidas, M. G. (University of California, Santa Barbara; Las Cumbres Observatory Global Telescope Network; University of Sydney); Baliber, N. (University of California, Santa Barbara; Las Cumbres Observatory Global Telescope Network); Brown, T. (University of California, Santa Barbara; Las Cumbres Observatory Global Telescope Network); Woudt, P. A. (University of Cape Town); Warner, B. (University of Cape Town); O'Donoghue, D. (National Research Foundation); Buckley, D. A. H. (National Research Foundation); Sefako, R. (National Research Foundation); Sion, E. M. (Villanova University)",14,1,,2.99,http://iopscience.iop.org/article/10.1088/0004-637X/714/2/1702/pdf,https://app.dimensions.ai/details/publication/pub.1019441517,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
141,400,pub.1033251237,10.1038/nature09056,20485429,,A faint type of supernova from a white dwarf with a helium-rich companion,Nature,,,2010-05,2010,465,7296,322-325,"All OA; Green, Accepted & Submitted",Article,"Perets, H. B.; Gal-Yam, A.; Mazzali, P. A.; Arnett, D.; Kagan, D.; Filippenko, A. V.; Li, W.; Arcavi, I.; Cenko, S. B.; Fox, D. B.; Leonard, D. C.; Moon, D.-S.; Sand, D. J.; Soderberg, A. M.; Anderson, J. P.; James, P. A.; Foley, R. J.; Ganeshalingam, M.; Ofek, E. O.; Bildsten, L.; Nelemans, G.; Shen, K. J.; Weinberg, N. N.; Metzger, B. D.; Piro, A. L.; Quataert, E.; Kiewe, M.; Poznanski, D.","Perets, H. B.","Perets, H. B. (Weizmann Institute of Science; Harvard–Smithsonian Center for Astrophysics); Gal-Yam, A. (Weizmann Institute of Science); Mazzali, P. A. (Scuola Normale Superiore di Pisa); Arnett, D. (University of Arizona); Kagan, D. (The University of Texas at Austin); Filippenko, A. V. (University of California, Berkeley); Li, W. (University of California, Berkeley); Arcavi, I. (Weizmann Institute of Science); Cenko, S. B. (University of California, Berkeley); Fox, D. B. (Pennsylvania State University); Leonard, D. C. (San Diego State University); Moon, D.-S. (University of Toronto); Sand, D. J. (Harvard–Smithsonian Center for Astrophysics; Las Cumbres Observatory Global Telescope Network); Soderberg, A. M. (Harvard–Smithsonian Center for Astrophysics); Anderson, J. P. (University of Chile; Liverpool John Moores University); James, P. A. (Liverpool John Moores University); Foley, R. J. (Harvard–Smithsonian Center for Astrophysics); Ganeshalingam, M. (University of California, Berkeley); Ofek, E. O. (California Institute of Technology); Bildsten, L. (University of California, Santa Barbara); Nelemans, G. (Radboud University Nijmegen); Shen, K. J. (University of California, Santa Barbara); Weinberg, N. N. (University of California, Berkeley); Metzger, B. D. (University of California, Berkeley); Piro, A. L. (University of California, Berkeley); Quataert, E. (University of California, Berkeley); Kiewe, M. (Weizmann Institute of Science); Poznanski, D. (University of California, Berkeley; Lawrence Berkeley National Laboratory)",195,39,0.09,41.71,https://authors.library.caltech.edu/18525/2/nature09056-s1.pdf,https://app.dimensions.ai/details/publication/pub.1033251237,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
142,100,pub.1013199527,10.1088/2041-8205/713/2/l176,,,Solar-like Oscillations in Low-luminosity Red Giants: First Results from Kepler,The Astrophysical Journal Letters,,,4/20/10,2010,713,2,l176,All OA; Gold,Article,"Bedding, T. R.; Huber, D.; Stello, D.; Elsworth, Y. P.; Hekker, S.; Kallinger, T.; Mathur, S.; Mosser, B.; Preston, H. L.; Ballot, J.; Barban, C.; Broomhall, A. M.; Buzasi, D. L.; Chaplin, W. J.; García, R. A.; Gruberbauer, M.; Hale, S. J.; De Ridder, J.; Frandsen, S.; Borucki, W. J.; Brown, T.; Christensen-Dalsgaard, J.; Gilliland, R. L.; Jenkins, J. M.; Kjeldsen, H.; Koch, D.; Belkacem, K.; Bildsten, L.; Bruntt, H.; Campante, T. L.; Deheuvels, S.; Derekas, A.; Dupret, M.-A.; Goupil, M.-J.; Hatzes, A.; Houdek, G.; Ireland, M. J.; Jiang, C.; Karoff, C.; Kiss, L. L.; Lebreton, Y.; Miglio, A.; Montalbán, J.; Noels, A.; Roxburgh, I. W.; Sangaralingam, V.; Stevens, I. R.; Suran, M. D.; Tarrant, N. J.; Weiss, A.",,"Bedding, T. R. (University of Sydney); Huber, D. (University of Sydney); Stello, D. (University of Sydney); Elsworth, Y. P. (University of Birmingham); Hekker, S. (University of Birmingham); Kallinger, T. (University of British Columbia; University of Vienna); Mathur, S. (Indian Institute of Astrophysics); Mosser, B. (French National Centre for Scientific Research); Preston, H. L. (Eureka Scientific; University of South Africa); Ballot, J. (University of Toulouse); Barban, C. (French National Centre for Scientific Research); Broomhall, A. M. (University of Birmingham); Buzasi, D. L. (Eureka Scientific); Chaplin, W. J. (University of Birmingham); García, R. A. (Paris Diderot University); Gruberbauer, M. (Saint Mary's University); Hale, S. J. (University of Birmingham); De Ridder, J. (KU Leuven); Frandsen, S. (Aarhus University); Borucki, W. J. (Ames Research Center); Brown, T. (Las Cumbres Observatory Global Telescope Network); Christensen-Dalsgaard, J. (Aarhus University); Gilliland, R. L. (Space Telescope Science Institute); Jenkins, J. M. (); Kjeldsen, H. (Aarhus University); Koch, D. (Ames Research Center); Belkacem, K. (University of Liège); Bildsten, L. (University of California, Santa Barbara); Bruntt, H. (French National Centre for Scientific Research; Aarhus University); Campante, T. L. (Aarhus University; University of Porto); Deheuvels, S. (French National Centre for Scientific Research); Derekas, A. (University of Sydney; Konkoly Thege Miklós Astronomical Institute); Dupret, M.-A. (University of Liège); Goupil, M.-J. (French National Centre for Scientific Research); Hatzes, A. (); Houdek, G. (University of Vienna); Ireland, M. J. (University of Sydney); Jiang, C. (Beijing Normal University); Karoff, C. (University of Birmingham); Kiss, L. L. (University of Sydney; Konkoly Thege Miklós Astronomical Institute); Lebreton, Y. (French National Centre for Scientific Research); Miglio, A. (University of Liège); Montalbán, J. (University of Liège); Noels, A. (University of Liège); Roxburgh, I. W. (Queen Mary University of London); Sangaralingam, V. (University of Birmingham); Stevens, I. R. (University of Birmingham); Suran, M. D. (Romanian Academy); Tarrant, N. J. (University of Birmingham); Weiss, A. ()",172,18,,36.79,http://iopscience.iop.org/article/10.1088/2041-8205/713/2/L176/pdf,https://app.dimensions.ai/details/publication/pub.1013199527,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
143,100,pub.1118336138,,,,"Multi-site Observations of Pulsation in the Accreting White Dwarf SDSS
  J161033.64-010223.3 (V386 Ser)",arXiv,,,3/29/10,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Mukadam, Anjum S.; Townsley, D. M.; Gaensicke, B. T.; Szkody, P.; Marsh, T. R.; Robinson, E. L.; Bildsten, L.; Aungwerojwit, A.; Schreiber, M. R.; Southworth, J.; Schwope, A.; For, B. -Q.; Tovmassian, G.; Zharikov, S. V.; Hidas, M. G.; Baliber, N.; Brown, T.; Woudt, P. A.; Warner, B.; O'Donoghue, D.; Buckley, D. A. H.; Sefako, R.; Sion, E. M.",,"Mukadam, Anjum S. (); Townsley, D. M. (); Gaensicke, B. T. (); Szkody, P. (); Marsh, T. R. (); Robinson, E. L. (); Bildsten, L. (); Aungwerojwit, A. (); Schreiber, M. R. (); Southworth, J. (); Schwope, A. (); For, B. -Q. (); Tovmassian, G. (); Zharikov, S. V. (); Hidas, M. G. (); Baliber, N. (); Brown, T. (); Woudt, P. A. (); Warner, B. (); O'Donoghue, D. (); Buckley, D. A. H. (); Sefako, R. (); Sion, E. M. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118336138,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
144,100,pub.1118338604,,,,"Thermonuclear .Ia Supernovae from Helium Shell Detonations: Explosion
  Models and Observables",arXiv,,,2/10/10,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Shen, Ken J.; Kasen, Daniel; Weinberg, Nevin N.; Bildsten, Lars; Scannapieco, Evan",,"Shen, Ken J. (); Kasen, Daniel (); Weinberg, Nevin N. (); Bildsten, Lars (); Scannapieco, Evan ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118338604,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
145,100,pub.1018519220,10.1086/605911,,,Exploring the Optical Transient Sky with the Palomar Transient Factory,Publications of the Astronomical Society of the Pacific,,,2009-12,2009,121,886,1334-1351,All OA; Gold,Article,"Rau, Arne; Kulkarni, Shrinivas R.; Law, Nicholas M.; Bloom, Joshua S.; Ciardi, David; Djorgovski, George S.; Fox, Derek B.; Gal-Yam, Avishay; Grillmair, Carl C.; Kasliwal, Mansi M.; Nugent, Peter E.; Ofek, Eran O.; Quimby, Robert M.; Reach, William T.; Shara, Michael; Bildsten, Lars; Cenko, S. Bradley; Drake, Andrew J.; Filippenko, Alexei V.; Helfand, David J.; Helou, George; Howell, D. Andrew; Poznanski, Dovi; Sullivan, Mark",,"Rau, Arne (); Kulkarni, Shrinivas R. (); Law, Nicholas M. (); Bloom, Joshua S. (); Ciardi, David (); Djorgovski, George S. (); Fox, Derek B. (); Gal-Yam, Avishay (); Grillmair, Carl C. (); Kasliwal, Mansi M. (); Nugent, Peter E. (); Ofek, Eran O. (); Quimby, Robert M. (); Reach, William T. (); Shara, Michael (); Bildsten, Lars (); Cenko, S. Bradley (); Drake, Andrew J. (); Filippenko, Alexei V. (); Helfand, David J. (); Helou, George (); Howell, D. Andrew (); Poznanski, Dovi (); Sullivan, Mark ()",487,80,,104.35,http://iopscience.iop.org/article/10.1086/605911/pdf,https://app.dimensions.ai/details/publication/pub.1018519220,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
146,100,pub.1009863074,10.1088/0004-637x/705/1/693,,,HELIUM CORE WHITE DWARFS IN CATACLYSMIC VARIABLES,The Astrophysical Journal,,,11/1/09,2009,705,1,693,All OA; Gold,Article,"Shen, Ken J.; Idan, Irit; Bildsten, Lars",,"Shen, Ken J. (University of California, Santa Barbara); Idan, Irit (Rafael Advanced Defense Systems (Israel); Technion – Israel Institute of Technology); Bildsten, Lars (University of California, Santa Barbara)",12,1,,2.57,http://iopscience.iop.org/article/10.1088/0004-637X/705/1/693/pdf,https://app.dimensions.ai/details/publication/pub.1009863074,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
147,100,pub.1050978023,10.1088/0004-637x/699/2/1365,,,UNSTABLE HELIUM SHELL BURNING ON ACCRETING WHITE DWARFS,The Astrophysical Journal,,,7/10/09,2009,699,2,1365,All OA; Gold,Article,"Shen, Ken J.; Bildsten, Lars",,"Shen, Ken J. (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara)",92,14,,25.84,http://iopscience.iop.org/article/10.1088/0004-637X/699/2/1365/pdf,https://app.dimensions.ai/details/publication/pub.1050978023,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
