,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Marina Lévy. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,100,pub.1000037157,10.1029/2008jc005161,,,Impact of the subtropical mode water biogeochemical properties on primary production in the North Atlantic: New insights from an idealized model study,Journal of Geophysical Research,,,2009,2009,114,C7,,"All OA; Green, Accepted & Submitted",Article,"Krémeur, A.‐S.; Lévy, M.; Aumont, O.; Reverdin, G.",,"Krémeur, A.‐S. (Institut Pierre-Simon Laplace); Lévy, M. (Institut Pierre-Simon Laplace); Aumont, O. (); Reverdin, G. (Institut Pierre-Simon Laplace)",21,4,,2.05,https://hal.archives-ouvertes.fr/hal-00413625,https://app.dimensions.ai/details/publication/pub.1000037157,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
70,100,pub.1048014065,10.1007/978-3-540-75215-8_9,,,The Modulation of Biological Production by Oceanic Mesoscale Turbulence,Lecture Notes in Physics,Transport and Mixing in Geophysical Flows,,2008,2008,744,,219-261,Closed,Chapter,"Lévy, Marina",,"Lévy, Marina (French National Centre for Scientific Research)",93,13,,7.23,,https://app.dimensions.ai/details/publication/pub.1048014065,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
71,100,pub.1041154753,10.1007/978-3-540-74384-2_3,,,OPA9 — French Experiments on the Earth Simulator and Teraflop Workbench Tunings,,High Performance Computing on Vector Systems 2007,,2008,2008,,,25-34,Closed,Chapter,"Masson, S.; Foujols, M. -A.; Klein, P.; Madec, G.; Hua, L.; Levy, M.; Sasaki, H.; Takahashi, K.; Svensson, F.",,"Masson, S. (Institut Pierre-Simon Laplace); Foujols, M. -A. (Institut Pierre-Simon Laplace); Klein, P. (French Research Institute for Exploitation of the Sea); Madec, G. (Institut Pierre-Simon Laplace); Hua, L. (French Research Institute for Exploitation of the Sea); Levy, M. (Institut Pierre-Simon Laplace); Sasaki, H. (); Takahashi, K. (); Svensson, F. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1041154753,2103 Historical Studies; 21 History and Archaeology,2103 Historical Studies,21 History and Archaeology,,,
72,100,pub.1005945562,10.1029/2007jc004433,,,Seasonal and intraseasonal surface chlorophyll‐a variability along the northwest African coast,Journal of Geophysical Research,,,2008,2008,113,C5,,All OA; Gold,Article,"Lathuilière, C.; Echevin, V.; Lévy, M.",,"Lathuilière, C. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Echevin, V. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques)",65,16,,5.06,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007JC004433,https://app.dimensions.ai/details/publication/pub.1005945562,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
73,100,pub.1036659730,10.1029/2006jc003927,,,Stirring of the northeast Atlantic spring bloom: A Lagrangian analysis based on multisatellite data,Journal of Geophysical Research,,,2007,2007,112,C8,,"All OA; Green, Accepted & Submitted",Article,"Lehahn, Y.; d'Ovidio, F.; Lévy, M.; Heifetz, E.",,"Lehahn, Y. (French National Centre for Scientific Research; Tel Aviv University); d'Ovidio, F. (École Normale Supérieure); Lévy, M. (French National Centre for Scientific Research); Heifetz, E. (Tel Aviv University)",125,23,,22.65,https://hal.archives-ouvertes.fr/hal-00770691,https://app.dimensions.ai/details/publication/pub.1036659730,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
74,100,pub.1007074019,10.1029/2007jc004090,,,Basin‐wide seasonal evolution of the Indian Ocean's phytoplankton blooms,Journal of Geophysical Research,,,2007,2007,112,C12,,All OA; Gold,Article,"Lévy, M.; Shankar, D.; André, J.‐M.; Shenoi, S. S. C.; Durand, F.; de Boyer Montégut, C.",,"Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques; National Institute of Oceanography); Shankar, D. (National Institute of Oceanography); André, J.‐M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques; National Institute of Oceanography); Shenoi, S. S. C. (National Institute of Oceanography); Durand, F. (National Institute of Oceanography; Laboratoire d’Etudes en Géophysique et Océanographie Spatiales); de Boyer Montégut, C. ()",98,16,,7.94,http://onlinelibrary.wiley.com/doi/10.1029/2007JC004090/pdf,https://app.dimensions.ai/details/publication/pub.1007074019,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
75,100,pub.1001702151,10.1029/2005jc003389,,,A high‐resolution simulation of the ocean during the POMME experiment: Mesoscale variability and near surface processes,Journal of Geophysical Research,,,2007,2007,112,C4,,All OA; Gold,Article,"Paci, A.; Caniaux, G.; Giordani, H.; Lévy, M.; Prieur, L.; Reverdin, G.",,"Paci, A. (); Caniaux, G. (); Giordani, H. (); Lévy, M. (Sorbonne University); Prieur, L. (); Reverdin, G. (Sorbonne University)",11,0,,0.89,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005JC003389,https://app.dimensions.ai/details/publication/pub.1001702151,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
76,200,pub.1039141692,10.1117/12.693587,,,A quantitative method for describing the seasonal cycles of surface chlorophyll in the Indian Ocean,Proceedings of SPIE,Remote Sensing of the Marine Environment,,12/1/06,2006,6406,,640611-640611-8,Closed,Proceeding,"Lévy, M.; André, J.-M.; Shankar, D.; Durand, F.; Shenoi, S. S. C.",,"Lévy, M. (); André, J.-M. (); Shankar, D. (); Durand, F. (); Shenoi, S. S. C. ()",5,2,,,,https://app.dimensions.ai/details/publication/pub.1039141692,,,,,,
77,300,pub.1047494164,10.1038/437628a,16193029,,Nutrients in remote mode,Nature,,Atlantic Ocean; Chlorophyll; Food Chain; Phytoplankton; Seasons; Seawater; Temperature; Tropical Climate; Water Movements,2005-09,2005,437,7059,629-631,Closed,Article,"Lévy, Marina",,"Lévy, Marina (Institut Pierre-Simon Laplace)",10,1,0,,,https://app.dimensions.ai/details/publication/pub.1047494164,,,,,,
78,100,pub.1025658705,10.1029/2004jc002588,,,A four‐dimensional mesoscale map of the spring bloom in the northeast Atlantic (POMME experiment): Results of a prognostic model,Journal of Geophysical Research,,,2005,2005,110,C7,,All OA; Gold,Article,"Lévy, M.; Gavart, M.; Mémery, L.; Caniaux, G.; Paci, A.",,"Lévy, M. (French National Centre for Scientific Research); Gavart, M. (Naval Hydrographic and Oceanographic Service); Mémery, L. (French National Centre for Scientific Research); Caniaux, G. (); Paci, A. ()",44,1,,11.39,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004JC002588,https://app.dimensions.ai/details/publication/pub.1025658705,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
79,100,pub.1005766058,10.1029/2004jc002771,,,Production regimes in the northeast Atlantic: A study based on Sea‐viewing Wide Field‐of‐view Sensor (SeaWiFS) chlorophyll and ocean general circulation model mixed layer depth,Journal of Geophysical Research,,,2005,2005,110,C7,,All OA; Gold,Article,"Lévy, Marina; Lehahn, Yoav; André, Jean‐Michel; Mémery, Laurent; Loisel, Hubert; Heifetz, Eyal",,"Lévy, Marina (French National Centre for Scientific Research); Lehahn, Yoav (French National Centre for Scientific Research; Tel Aviv University); André, Jean‐Michel (); Mémery, Laurent (French National Centre for Scientific Research); Loisel, Hubert (University of Lille); Heifetz, Eyal (Tel Aviv University)",58,3,,3.86,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004JC002771,https://app.dimensions.ai/details/publication/pub.1005766058,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
80,100,pub.1003455592,10.1029/2004jc002712,,,A high‐resolution simulation of the ocean during the POMME experiment: Simulation results and comparison with observations,Journal of Geophysical Research,,,2005,2005,110,C7,,All OA; Gold,Article,"Paci, A.; Caniaux, G.; Gavart, M.; Giordani, H.; Lévy, M.; Prieur, L.; Reverdin, G.",,"Paci, A. (); Caniaux, G. (); Gavart, M. (Observatoire Midi-Pyrénées); Giordani, H. (); Lévy, M. (Sorbonne University); Prieur, L. (); Reverdin, G. (Sorbonne University)",31,0,,2.06,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004JC002712,https://app.dimensions.ai/details/publication/pub.1003455592,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
81,100,pub.1020120219,10.5194/npg-11-515-2004,,,A mechanistic modelling and data assimilation approach to estimate the carbon/chlorophyll and carbon/nitrogen ratios in a coupled hydrodynamical-biological model,Nonlinear Processes in Geophysics,,,11/12/04,2004,11,4,515-533,All OA; Gold,Article,"Faugeras, B.; Bernard, O.; Sciandra, A.; Lévy, M.",,"Faugeras, B. (Institute of Research for Development); Bernard, O. (); Sciandra, A. (Villefranche Oceanographic Laboratory); Lévy, M. (French National Centre for Scientific Research)",31,2,,,https://www.nonlin-processes-geophys.net/11/515/2004/npg-11-515-2004.pdf,https://app.dimensions.ai/details/publication/pub.1020120219,04 Earth Sciences,04 Earth Sciences,,,,
82,100,pub.1034390515,10.1098/rspa.2003.1219,,,Does the low frequency variability of mesoscale dynamics explain a part of the phytoplankton and zooplankton spectral variability?,Proceedings of the Royal Society A,,,6/8/04,2004,460,2046,1673-1687,Closed,Article,"Lévy, Marina; Klein, Patrice",,"Lévy, Marina (); Klein, Patrice (French Research Institute for Exploitation of the Sea)",36,0,,,,https://app.dimensions.ai/details/publication/pub.1034390515,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
83,100,pub.1022862007,10.1029/2003gb002102,,,Mesoscale variability of sea surface pCO2: What does it respond to?,Global Biogeochemical Cycles,,,2004-03,2004,18,1,n/a-n/a,All OA; Gold,Article,"Mahadevan, A.; Lévy, M.; Mémery, L.",,"Mahadevan, A. (Boston University); Lévy, M. (French National Centre for Scientific Research); Mémery, L. (French National Centre for Scientific Research; European Institute for Marine Studies)",26,0,,1.65,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2003GB002102,https://app.dimensions.ai/details/publication/pub.1022862007,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
84,100,pub.1016673871,10.1016/s0924-7963(03)00015-0,,,Can biogeochemical fluxes be recovered from nitrate and chlorophyll data? A case study assimilating data in the Northwestern Mediterranean Sea at the JGOFS-DYFAMED station,Journal of Marine Systems,,,2003-04,2003,40,,99-125,Closed,Article,"Faugeras, Blaise; Lévy, Marina; Mémery, Laurent; Verron, Jacques; Blum, Jacques; Charpentier, Isabelle","Faugeras, Blaise","Faugeras, Blaise (); Lévy, Marina (); Mémery, Laurent (); Verron, Jacques (Laboratory of Geophysical and Industrial Flows); Blum, Jacques (Laboratoire Jean-Alexandre Dieudonné); Charpentier, Isabelle ()",40,4,,3.71,,https://app.dimensions.ai/details/publication/pub.1016673871,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
85,100,pub.1035991776,10.1029/2002jc001577,,,Mesoscale variability of phytoplankton and of new production: Impact of the large‐scale nutrient distribution,Journal of Geophysical Research,,,2003,2003,108,C11,,All OA; Gold,Article,"Lévy, Marina",,"Lévy, Marina (Sorbonne University)",53,10,,6.09,http://onlinelibrary.wiley.com/doi/10.1029/2002JC001577/pdf,https://app.dimensions.ai/details/publication/pub.1035991776,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
86,100,pub.1027979864,10.1016/s0967-0645(02)00028-0,,,The relevant time scales in estimating the air–sea CO2 exchange in a mid-latitude region,Deep Sea Research Part II Topical Studies in Oceanography,,,2002-01,2002,49,11,2067-2092,Closed,Article,"Mémery, Laurent; Lévy, Marina; Vérant, Sylvie; Merlivat, Liliane","Mémery, Laurent","Mémery, Laurent (Sorbonne University); Lévy, Marina (Sorbonne University); Vérant, Sylvie (Sorbonne University); Merlivat, Liliane (Sorbonne University)",16,0,,1.07,,https://app.dimensions.ai/details/publication/pub.1027979864,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
87,100,pub.1020339745,10.1029/2001gl012947,,,Choice of an advection scheme for biogeochemical models,Geophysical Research Letters,,,10/1/01,2001,28,19,3725-3728,All OA; Gold,Article,"Lévy, Marina; Estublier, Audrey; Madec, Gurvan",,"Lévy, Marina (); Estublier, Audrey (); Madec, Gurvan ()",83,12,,24.7,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001GL012947,https://app.dimensions.ai/details/publication/pub.1020339745,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
88,100,pub.1020280955,10.1357/002224001762842181,,,Impact of sub-mesoscale physics on production and subduction of phytoplankton in an oligotrophic regime,Journal of Marine Research,,,7/1/01,2001,59,4,535-565,"All OA; Green, Accepted & Submitted",Article,"Lévy, Marina; Klein, Patrice; Treguier, Anne-Marie",,"Lévy, Marina (); Klein, Patrice (); Treguier, Anne-Marie ()",284,47,,28.15,https://archimer.ifremer.fr/doc/2001/publication-800.pdf,https://app.dimensions.ai/details/publication/pub.1020280955,04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,04 Earth Sciences,0404 Geophysics,0405 Oceanography,,
89,100,pub.1016636852,10.1016/s0967-0637(99)00051-5,,,Combined effects of mesoscale processes and atmospheric high-frequency variability on the spring bloom in the MEDOC area,Deep Sea Research Part I Oceanographic Research Papers,,,2000-01,2000,47,1,27-53,Closed,Article,"Lévy, Marina; Mémery, Laurent; Madec, Gurvan","Lévy, Marina","Lévy, Marina (Sorbonne University); Mémery, Laurent (Sorbonne University); Madec, Gurvan (Sorbonne University)",31,2,,2.28,,https://app.dimensions.ai/details/publication/pub.1016636852,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
90,100,pub.1010296253,10.1016/s0967-0637(98)00105-8,,,The onset of the Spring Bloom in the MEDOC area: mesoscale spatial variability,Deep Sea Research Part I Oceanographic Research Papers,,,1999-07,1999,46,7,1137-1160,Closed,Article,"Lévy, Marina; Mémery, Laurent; Madec, Gurvan","Lévy, Marina","Lévy, Marina (Sorbonne University); Mémery, Laurent (Sorbonne University); Madec, Gurvan (Sorbonne University)",40,3,,,,https://app.dimensions.ai/details/publication/pub.1010296253,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
91,100,pub.1050356336,10.1357/002224099764805147,,,Sensitivity of primary production to different eddy parameterizations: A case study of the spring bloom development in the northwestern Mediterranean Sea,Journal of Marine Research,,,5/1/99,1999,57,3,427-448,"All OA; Green, Accepted & Submitted",Article,"Lévy, Marina; Visbeck, Martin; Naik, Naomi",,"Lévy, Marina (); Visbeck, Martin (); Naik, Naomi ()",9,0,,,http://oceanrep.geomar.de/5381/1/s2.pdf,https://app.dimensions.ai/details/publication/pub.1050356336,04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,04 Earth Sciences,0404 Geophysics,0405 Oceanography,,
92,100,pub.1014074380,10.1016/s0924-7963(97)00097-3,,,The onset of a bloom after deep winter convection in the northwestern Mediterranean sea: mesoscale process study with a primitive equation model,Journal of Marine Systems,,,1998-09,1998,16,2-Jan,21-Jul,Closed,Article,"Lévy, Marina; Mémery, Laurent; Madec, Gurvan","Lévy, Marina","Lévy, Marina (); Mémery, Laurent (); Madec, Gurvan ()",73,6,,,,https://app.dimensions.ai/details/publication/pub.1014074380,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
93,100,pub.1001236264,10.1357/002224098321836163,,,Simulation of primary production and export fluxes in the Northwestern Mediterranean Sea,Journal of Marine Research,,,1/1/98,1998,56,1,197-238,Closed,Article,"Lévy, Marina; Mémery, Laurent; André, Jean-Michel",,"Lévy, Marina (); Mémery, Laurent (); André, Jean-Michel ()",75,0,,,,https://app.dimensions.ai/details/publication/pub.1001236264,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
