,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jacob N Israelachvili. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,100,pub.1027376001,10.1016/b978-0-12-375182-9.10003-x,,,3 Strong Intermolecular Forces: Covalent and Coulomb Interactions,,Intermolecular and Surface Forces,,2011,2011,,,53-70,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",3,1,,0.43,,https://app.dimensions.ai/details/publication/pub.1027376001,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
185,100,pub.1023227193,10.1016/b978-0-12-375182-9.10013-2,,,Chapter 13 Van der Waals Forces between Particles and Surfaces,,Intermolecular and Surface Forces,,2011,2011,,,253-289,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",17,5,,2.28,,https://app.dimensions.ai/details/publication/pub.1023227193,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
186,100,pub.1023033027,10.1016/b978-0-12-375182-9.10016-8,,,Chapter 16 Steric (Polymer-Mediated) and Thermal Fluctuation Forces,,Intermolecular and Surface Forces,,2011,2011,,,381-413,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",2,1,,0.29,,https://app.dimensions.ai/details/publication/pub.1023033027,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0912 Materials Engineering; 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
187,100,pub.1015964942,10.1016/b978-0-12-375182-9.10011-9,,,"11 Contrasts between Intermolecular, Interparticle, and Intersurface Forces",,Intermolecular and Surface Forces,,2011,2011,,,205-222,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",3,0,,0.4,,https://app.dimensions.ai/details/publication/pub.1015964942,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
188,100,pub.1015454631,10.1016/b978-0-12-375182-9.10012-0,,,Chapter 12 Force-Measuring Techniques,,Intermolecular and Surface Forces,,2011,2011,,,223-252,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",2,1,,0.41,,https://app.dimensions.ai/details/publication/pub.1015454631,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
189,100,pub.1010343983,10.1016/b978-0-12-375182-9.10005-3,,,5 Interactions Involving the Polarization of Molecules,,Intermolecular and Surface Forces,,2011,2011,,,91-106,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1010343983,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
190,100,pub.1007568646,10.1016/b978-0-12-375182-9.10004-1,,,4 Interactions Involving Polar Molecules,,Intermolecular and Surface Forces,,2011,2011,,,71-90,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1007568646,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
191,100,pub.1001659271,10.1016/b978-0-12-375182-9.10006-5,,,6 Van der Waals Forces,,Intermolecular and Surface Forces,,2011,2011,,,107-132,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",6,1,,0.81,,https://app.dimensions.ai/details/publication/pub.1001659271,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
192,100,pub.1000871441,10.1016/b978-0-12-375182-9.10017-x,,,17 Adhesion and Wetting Phenomena,,Intermolecular and Surface Forces,,2011,2011,,,415-467,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",4,1,,0.54,,https://app.dimensions.ai/details/publication/pub.1000871441,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
193,400,pub.1009360841,10.1002/adfm.201000932,21603098,PMC3098815,The Contribution of DOPA to Substrate–Peptide Adhesion and Internal Cohesion of Mussel‐Inspired Synthetic Peptide Films,Advanced Functional Materials,,,12/8/10,2010,20,23,4196-4205,"All OA; Green, Accepted & Submitted",Article,"Anderson, Travers H.; Yu, Jing; Estrada, Abril; Hammer, Malte U.; Waite, J. Herbert; Israelachvili, Jacob N.",,"Anderson, Travers H. (University of California, Santa Barbara); Yu, Jing (University of California, Santa Barbara); Estrada, Abril (University of California, Santa Barbara); Hammer, Malte U. (University of California, Santa Barbara); Waite, J. Herbert (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara)",180,41,5.27,34.59,http://europepmc.org/articles/pmc3098815?pdf=render,https://app.dimensions.ai/details/publication/pub.1009360841,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
194,400,pub.1056152667,10.1021/la1020687,20735021,,"Direct measurement of double-layer, van der Waals, and polymer depletion attraction forces between supported cationic bilayers.",Langmuir,,Calcium Chloride; Electrolytes; Kinetics; Polymers; Quaternary Ammonium Compounds; Static Electricity; Surface Properties; Surface-Active Agents; Water,9/21/10,2010,26,18,14458-65,Closed,Article,"Anderson, Travers H; Donaldson, Stephen H; Zeng, Hongbo; Israelachvili, Jacob N",,"Anderson, Travers H (University of California, Santa Barbara); Donaldson, Stephen H (); Zeng, Hongbo (); Israelachvili, Jacob N ()",17,1,0.36,2.18,,https://app.dimensions.ai/details/publication/pub.1056152667,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
195,100,pub.1118357303,,,,"Reversible shear thickening at low shear rates of electrorheological
  fluids under electric fields",arXiv,,,8/24/10,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Tian, Yu; Zhang, Minliang; Jiang, Jile; Pesika, Noshir; Zeng, Hongbo; Israelachvili, Jacob; Meng, Yonggang; Wen, Shizhu",,"Tian, Yu (); Zhang, Minliang (); Jiang, Jile (); Pesika, Noshir (); Zeng, Hongbo (); Israelachvili, Jacob (); Meng, Yonggang (); Wen, Shizhu ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118357303,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
196,400,pub.1014220127,10.1074/jbc.m110.133157,20566644,PMC2919147,Protein- and Metal-dependent Interactions of a Prominent Protein in Mussel Adhesive Plaques,Journal of Biological Chemistry,,"Amino Acid Sequence; Animals; Bivalvia; Calcium; Focal Adhesions; Iron; Models, Biological; Molecular Sequence Data; Proteins; Sequence Homology, Amino Acid; Spectrum Analysis, Raman",8/13/10,2010,285,33,25850-25858,All OA; Gold,Article,"Hwang, Dong Soo; Zeng, Hongbo; Masic, Admir; Harrington, Matthew J.; Israelachvili, Jacob N.; Waite, J. Herbert",,"Hwang, Dong Soo (University of California, Santa Barbara); Zeng, Hongbo (University of Alberta); Masic, Admir (Max Planck Institute of Colloids and Interfaces); Harrington, Matthew J. (Max Planck Institute of Colloids and Interfaces); Israelachvili, Jacob N. (); Waite, J. Herbert (University of California, Santa Barbara)",127,26,3.31,13.38,http://www.jbc.org/content/285/33/25850.full.pdf,https://app.dimensions.ai/details/publication/pub.1014220127,03 Chemical Sciences; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,0306 Physical Chemistry (incl. Structural),
197,400,pub.1039857488,10.1073/pnas.1007416107,20615994,PMC2919964,Strong reversible Fe3+-mediated bridging between dopa-containing protein films in water,Proceedings of the National Academy of Sciences,,"Adhesiveness; Aluminum Silicates; Animals; Biomechanical Phenomena; Dihydroxyphenylalanine; Iron; Microscopy, Atomic Force; Mytilus; Proteins; Recombinant Proteins; Water",7/20/10,2010,107,29,12850-12853,All OA; Gold,Article,"Zeng, Hongbo; Hwang, Dong Soo; Israelachvili, Jacob N.; Waite, J. Herbert",,"Zeng, Hongbo (University of Alberta); Hwang, Dong Soo (); Israelachvili, Jacob N. (); Waite, J. Herbert (University of California, Santa Barbara)",221,59,6.11,28.29,http://www.pnas.org/content/107/29/12850.full.pdf,https://app.dimensions.ai/details/publication/pub.1039857488,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
198,400,pub.1056166551,10.1021/la904842v,20180570,PMC2877143,Studies of bilayers and vesicle adsorption to solid substrates: development of a miniature streaming potential apparatus (SPA).,Langmuir,,Adsorption; Lipid Bilayers,2010-06,2010,26,11,8684-9,"All OA; Green, Accepted & Submitted",Article,"Min, Younjin; Pesika, Noshir; Zasadzinski, Joe; Israelachvili, Jacob",,"Min, Younjin (University of California, Santa Barbara); Pesika, Noshir (); Zasadzinski, Joe (); Israelachvili, Jacob ()",14,3,0.66,2.59,http://europepmc.org/articles/pmc2877143?pdf=render,https://app.dimensions.ai/details/publication/pub.1056166551,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
199,400,pub.1004724036,10.1016/j.biomaterials.2010.01.102,20144846,,"Anisotropic dynamic changes in the pore network structure, fluid diffusion and fluid flow in articular cartilage under compression",Biomaterials,,"Biomechanical Phenomena; Cartilage, Articular; Diffusion; Humans; Hydrostatic Pressure; Magnetic Resonance Spectroscopy",2010-04,2010,31,12,3117-3128,Closed,Article,"Greene, George W.; Zappone, Bruno; Söderman, Olle; Topgaard, Daniel; Rata, Gabriel; Zeng, Hongbo; Israelachvili, Jacob N.","Israelachvili, Jacob N.","Greene, George W. (University of California, Santa Barbara); Zappone, Bruno (University of Calabria; University of California, Santa Barbara); Söderman, Olle (Lund University); Topgaard, Daniel (Lund University); Rata, Gabriel (Lund University); Zeng, Hongbo (University of California, Santa Barbara; University of Alberta); Israelachvili, Jacob N. (University of California, Santa Barbara)",30,6,0.81,7.19,,https://app.dimensions.ai/details/publication/pub.1004724036,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
200,100,pub.1038096773,10.1088/0034-4885/73/3/036601,,,Recent advances in the surface forces apparatus (SFA) technique,Reports on Progress in Physics,,,3/1/10,2010,73,3,36601,Closed,Article,"Israelachvili, J; Min, Y; Akbulut, M; Alig, A; Carver, G; Greene, W; Kristiansen, K; Meyer, E; Pesika, N; Rosenberg, K; Zeng, H",,"Israelachvili, J (University of California, Santa Barbara); Min, Y (University of California, Santa Barbara); Akbulut, M (Texas A&M University); Alig, A (University of California, Santa Barbara); Carver, G (University of California, Santa Barbara); Greene, W (University of California, Santa Barbara); Kristiansen, K (University of California, Santa Barbara); Meyer, E (University of California, Santa Barbara); Pesika, N (Tulane University); Rosenberg, K (Swiss Federal Institute of Technology in Zurich); Zeng, H (University of California, Santa Barbara; University of Alberta)",232,46,,63.29,,https://app.dimensions.ai/details/publication/pub.1038096773,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
201,200,pub.1056204468,10.1021/ma901845z,,,Liquid- to Solid-Like Failure Mechanism of Thin Polymer Films at Micro- and Nanoscales,Macromolecules,,,1/12/10,2010,43,1,538-542,Closed,Article,"Zeng, Hongbo; Zhao, Boxin; Israelachvili, Jacob N.; Tirrell, Matthew",,"Zeng, Hongbo (); Zhao, Boxin (); Israelachvili, Jacob N. (); Tirrell, Matthew ()",15,2,,,,https://app.dimensions.ai/details/publication/pub.1056204468,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
202,400,pub.1004019133,10.1016/j.bpj.2009.09.050,20085721,PMC2800963,Bilayer Edges Catalyze Supported Lipid Bilayer Formation,Biophysical Journal,,"Catalysis; Computer Simulation; Lipid Bilayers; Models, Chemical; Unilamellar Liposomes",2010-01,2010,98,1,85-92,All OA; Gold,Article,"Weirich, Kimberly L.; Israelachvili, Jacob N.; Fygenson, D. Kuchnir","Fygenson, D. Kuchnir","Weirich, Kimberly L. (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Fygenson, D. Kuchnir (University of California, Santa Barbara)",41,4,1.41,3.57,https://doi.org/10.1016/j.bpj.2009.09.050,https://app.dimensions.ai/details/publication/pub.1004019133,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
203,200,pub.1046992860,10.1016/j.bpj.2009.12.3232,,,Adhesion Mechanisms of the Mussel Foot Proteins mfp-1 and mfp-3,Biophysical Journal,,,2010-01,2010,98,3,594a,All OA; Gold,Article,"Anderson, Travers; Israelachvili, Jacob",,"Anderson, Travers (University of California, Santa Barbara); Israelachvili, Jacob (University of California, Santa Barbara)",1,0,,,https://doi.org/10.1016/j.bpj.2009.12.3232,https://app.dimensions.ai/details/publication/pub.1046992860,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
204,400,pub.1050285070,10.1039/c002632h,21544267,PMC3085400,Viscosity and interfacial properties in a mussel-inspired adhesive coacervate,Soft Matter,,,2010,2010,6,14,3232-3236,"All OA; Green, Accepted & Submitted",Article,"Hwang, Dong Soo; Zeng, Hongbo; Srivastava, Aasheesh; Krogstad, Daniel V.; Tirrell, Matthew; Israelachvili, Jacob N.; Waite, J. Herbert",,"Hwang, Dong Soo (University of California, Santa Barbara); Zeng, Hongbo (University of California, Santa Barbara; University of Alberta); Srivastava, Aasheesh (University of California, Santa Barbara); Krogstad, Daniel V. (University of California, Santa Barbara); Tirrell, Matthew (University of California, Santa Barbara; University of California, Berkeley); Israelachvili, Jacob N. (University of California, Santa Barbara); Waite, J. Herbert (University of California, Santa Barbara)",106,20,3.16,20.38,http://europepmc.org/articles/pmc3085400?pdf=render,https://app.dimensions.ai/details/publication/pub.1050285070,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
205,400,pub.1048492634,10.1039/b926184b,21043428,PMC3058852,The search for the hydrophobic force law,Faraday Discussions,,Computer Simulation; Hydrophobic and Hydrophilic Interactions; Water,2010,2010,146,0,299-308,"All OA; Green, Accepted & Submitted",Article,"Hammer, Malte U.; Anderson, Travers H.; Chaimovich, Aviel; Shell, M. Scott; Israelachvili, Jacob",,"Hammer, Malte U. (); Anderson, Travers H. (); Chaimovich, Aviel (); Shell, M. Scott (); Israelachvili, Jacob (University of California, Santa Barbara)",103,17,2.86,13.19,http://europepmc.org/articles/pmc3058852?pdf=render,https://app.dimensions.ai/details/publication/pub.1048492634,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
206,100,pub.1035690348,10.1007/978-3-642-02525-9_29,,,Surface Forces and Nanorheology of Molecularly Thin Films,,Springer Handbook of Nanotechnology,,2010,2010,,,857-922,Closed,Chapter,"Ruths, Marina; Israelachvili, Jacob N.","Ruths, Marina","Ruths, Marina (University of Massachusetts Lowell); Israelachvili, Jacob N. (University of California, Santa Barbara)",13,4,,1.66,,https://app.dimensions.ai/details/publication/pub.1035690348,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
207,400,pub.1043581073,10.1088/0953-8984/21/46/464132,21715896,,Gecko adhesion pad: a smart surface?,Journal of Physics Condensed Matter,,,11/18/09,2009,21,46,464132,Closed,Article,"Pesika, Noshir S; Zeng, Hongbo; Kristiansen, Kai; Zhao, Boxin; Tian, Yu; Autumn, Kellar; Israelachvili, Jacob",,"Pesika, Noshir S (Tulane University); Zeng, Hongbo (University of Alberta); Kristiansen, Kai (University of California, Santa Barbara); Zhao, Boxin (University of Waterloo); Tian, Yu (Tsinghua University); Autumn, Kellar (Lewis & Clark College); Israelachvili, Jacob (University of California, Santa Barbara)",58,10,1.35,10.73,,https://app.dimensions.ai/details/publication/pub.1043581073,0204 Condensed Matter Physics; 10 Technology; 09 Engineering; 0912 Materials Engineering; 1007 Nanotechnology; 02 Physical Sciences,0204 Condensed Matter Physics,10 Technology,09 Engineering,0912 Materials Engineering,1007 Nanotechnology
208,200,pub.1056115776,10.1021/jp904629b,,,Measurement of Forces across Room Temperature Ionic Liquids between Mica Surfaces,The Journal of Physical Chemistry C,,,9/17/09,2009,113,37,16445-16449,Closed,Article,"Min, Younjin; Akbulut, Mustafa; Sangoro, Joshua R.; Kremer, Friedrich; Prud’homme, Robert K.; Israelachvili, Jacob",,"Min, Younjin (); Akbulut, Mustafa (); Sangoro, Joshua R. (); Kremer, Friedrich (); Prud’homme, Robert K. (); Israelachvili, Jacob ()",32,3,,,,https://app.dimensions.ai/details/publication/pub.1056115776,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
209,100,pub.1003146153,10.1080/00218460902996390,,,The Crowding Model as a Tool to Understand and Fabricate Gecko-Inspired Dry Adhesives,The Journal of Adhesion,,,8/7/09,2009,85,8,512-525,"All OA; Green, Accepted & Submitted",Article,"Pesika, Noshir S.; Gravish, Nick; Wilkinson, Matt; Zhao, Boxin; Zeng, Hongbo; Tian, Yu; Israelachvili, Jacob; Autumn, Kellar",,"Pesika, Noshir S. (); Gravish, Nick (); Wilkinson, Matt (); Zhao, Boxin (); Zeng, Hongbo (); Tian, Yu (); Israelachvili, Jacob (); Autumn, Kellar ()",14,0,,2.28,http://people.seas.harvard.edu/%7Egravish/assets/PDF/CrowdingModel.pdf,https://app.dimensions.ai/details/publication/pub.1003146153,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
210,200,pub.1088709861,10.1142/9789814287005_0005,,,The role of interparticle and external forces in nanoparticle assembly,,Nanoscience and Technology,,2009-08,2009,,,38-49,Closed,Chapter,"MIN, YOUNJIN; AKBULUT, MUSTAFA; KRISTIANSEN, KAI; GOLAN, YUVAL; ISRAELACHVILI, JACOB",,"MIN, YOUNJIN (University of California, Santa Barbara); AKBULUT, MUSTAFA (Princeton University); KRISTIANSEN, KAI (University of California, Santa Barbara); GOLAN, YUVAL (Ben-Gurion University of the Negev); ISRAELACHVILI, JACOB (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1088709861,,,,,,
211,400,pub.1056164798,10.1021/la900877h,19522483,,Frictional adhesion of patterned surfaces and implications for gecko and biomimetic systems.,Langmuir,,"Adhesiveness; Animals; Biomechanical Phenomena; Biomimetics; Diptera; Friction; Humans; Lizards; Locomotion; Microscopy, Electron, Scanning; Models, Theoretical; Surface Properties",7/7/09,2009,25,13,7486-95,Closed,Article,"Zeng, Hongbo; Pesika, Noshir; Tian, Yu; Zhao, Boxin; Chen, Yunfei; Tirrell, Matthew; Turner, Kimberly L; Israelachvili, Jacob N",,"Zeng, Hongbo (University of California, Santa Barbara); Pesika, Noshir (); Tian, Yu (); Zhao, Boxin (); Chen, Yunfei (); Tirrell, Matthew (); Turner, Kimberly L (); Israelachvili, Jacob N ()",54,9,0.63,6.02,,https://app.dimensions.ai/details/publication/pub.1056164798,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
212,400,pub.1055861286,10.1021/ja902944t,19462995,,The temperature-dependent structure of alkylamines and their corresponding alkylammonium-alkylcarbamates.,Journal of the American Chemical Society,,Absorption; Alkylation; Amines; Carbamates; Carbon Dioxide; Molecular Structure; Powder Diffraction; Quaternary Ammonium Compounds; Structure-Activity Relationship; Surface-Active Agents; Temperature; Transition Temperature; X-Ray Diffraction,2009-07,2009,131,25,9107-13,Closed,Article,"Belman, Nataly; Israelachvili, Jacob N; Li, Youli; Safinya, Cyrus R; Bernstein, Joel; Golan, Yuval",,"Belman, Nataly (Ben-Gurion University of the Negev); Israelachvili, Jacob N (); Li, Youli (); Safinya, Cyrus R (); Bernstein, Joel (); Golan, Yuval ()",17,2,0.57,1.9,,https://app.dimensions.ai/details/publication/pub.1055861286,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
213,400,pub.1056164478,10.1021/la900181c,19354208,,Formation of supported bilayers on silica substrates.,Langmuir,,"Lipid Bilayers; Microscopy, Fluorescence; Phospholipids; Silicon Dioxide",6/16/09,2009,25,12,6997-7005,Closed,Article,"Anderson, Travers H; Min, Younjin; Weirich, Kim L; Zeng, Hongbo; Fygenson, Deborah; Israelachvili, Jacob N",,"Anderson, Travers H (University of California, Santa Barbara); Min, Younjin (); Weirich, Kim L (); Zeng, Hongbo (); Fygenson, Deborah (); Israelachvili, Jacob N ()",118,20,4.29,20.55,,https://app.dimensions.ai/details/publication/pub.1056164478,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
214,400,pub.1056221867,10.1021/nl900534m,19374385,,Reaction of alkylamine surfactants with carbon dioxide: relevance to nanocrystal synthesis.,Nano Letters,,,5/13/09,2009,9,5,2088-93,Closed,Article,"Belman, Nataly; Israelachvili, Jacob N; Li, Youli; Safinya, Cyrus R; Bernstein, Joel; Golan, Yuval",,"Belman, Nataly (Ben-Gurion University of the Negev); Israelachvili, Jacob N (); Li, Youli (); Safinya, Cyrus R (); Bernstein, Joel (); Golan, Yuval ()",17,2,0.46,1.9,,https://app.dimensions.ai/details/publication/pub.1056221867,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
215,400,pub.1056164216,10.1021/la804020k,19397350,,Friction at the liquid/liquid interface of two immiscible polymer films.,Langmuir,,,5/5/09,2009,25,9,4954-64,Closed,Article,"Zeng, Hongbo; Tian, Yu; Zhao, Boxin; Tirrell, Matthew; Israelachvili, Jacob",,"Zeng, Hongbo (University of California, Santa Barbara); Tian, Yu (); Zhao, Boxin (); Tirrell, Matthew (); Israelachvili, Jacob ()",19,1,0.24,3.1,,https://app.dimensions.ai/details/publication/pub.1056164216,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
216,100,pub.1045044619,10.1016/j.gca.2009.02.012,,,Role of electrochemical reactions in pressure solution,Geochimica et Cosmochimica Acta,,,2009-05,2009,73,10,2862-2874,Closed,Article,"Greene, George W.; Kristiansen, Kai; Meyer, Emily E.; Boles, James R.; Israelachvili, Jacob N.","Israelachvili, Jacob N.","Greene, George W. (University of California, Santa Barbara); Kristiansen, Kai (University of California, Santa Barbara); Meyer, Emily E. (University of California, Santa Barbara); Boles, James R. (University of California System); Israelachvili, Jacob N. (University of California, Santa Barbara)",39,11,,4.73,,https://app.dimensions.ai/details/publication/pub.1045044619,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
217,400,pub.1056109938,10.1021/jp806079d,19673126,,Role of tilted adhesion fibrils (setae) in the adhesion and locomotion of gecko-like systems.,The Journal of Physical Chemistry B,,"Adhesiveness; Animals; Lizards; Locomotion; Microscopy; Models, Biological; Surface Properties; Toes",3/26/09,2009,113,12,3615-21,Closed,Article,"Zhao, Boxin; Pesika, Noshir; Zeng, Hongbo; Wei, Zhensong; Chen, Yunfei; Autumn, Kellar; Turner, Kimberly; Israelachvili, Jacob",,"Zhao, Boxin (); Pesika, Noshir (); Zeng, Hongbo (); Wei, Zhensong (); Chen, Yunfei (); Autumn, Kellar (); Turner, Kimberly (); Israelachvili, Jacob ()",49,4,0.88,7.99,,https://app.dimensions.ai/details/publication/pub.1056109938,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
218,400,pub.1026206584,10.1073/pnas.0813110106,19218452,PMC2651331,Interaction forces and adhesion of supported myelin lipid bilayers modulated by myelin basic protein,Proceedings of the National Academy of Sciences,,Adhesiveness; Lipid Bilayers; Molecular Structure; Myelin Basic Protein; Myelin Sheath; Surface Properties,3/3/09,2009,106,9,3154-3159,All OA; Gold,Article,"Min, Younjin; Kristiansen, Kai; Boggs, Joan M.; Husted, Cynthia; Zasadzinski, Joseph A.; Israelachvili, Jacob",,"Min, Younjin (University of California, Santa Barbara); Kristiansen, Kai (University of California, Santa Barbara); Boggs, Joan M. (Hospital for Sick Children; University of Toronto); Husted, Cynthia (University of California, Santa Barbara); Zasadzinski, Joseph A. (University of California, Santa Barbara); Israelachvili, Jacob (University of California, Santa Barbara)",71,19,2.03,9.5,http://www.pnas.org/content/106/9/3154.full.pdf,https://app.dimensions.ai/details/publication/pub.1026206584,0306 Physical Chemistry (incl. Structural); 0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,0306 Physical Chemistry (incl. Structural),0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,02 Physical Sciences,03 Chemical Sciences
219,200,pub.1050526281,10.1016/j.bpj.2008.12.1754,,,The Role of Bilayer Edges in Supported Lipid Bilayer Formation at Low Lipid Concentrations,Biophysical Journal,,,2009-02,2009,96,3,349a,All OA; Gold,Article,"Weirich, Kimberly L.; Israelachvili, Jacob N.; Fygenson, D. Kuchnir",,"Weirich, Kimberly L. (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Fygenson, D. Kuchnir (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2008.12.1754,https://app.dimensions.ai/details/publication/pub.1050526281,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
220,200,pub.1033445597,10.1016/j.bpj.2008.12.3234,,,Phase Transition Behaviors And Interactions And Adhesion Of Myelin Lipid Membranes Modulated By Myelin Basic Protein,Biophysical Journal,,,2009-02,2009,96,3,611a-612a,All OA; Gold,Article,"Min, Younjin; Kristiansen, Kai; Boggs, Joan M.; Husted, Cynthia; Zasadzinski, Joseph A.; Israelachvili, Jacob",,"Min, Younjin (University of California, Santa Barbara); Kristiansen, Kai (University of California, Santa Barbara); Boggs, Joan M. (Hospital for Sick Children); Husted, Cynthia (University of California, Santa Barbara); Zasadzinski, Joseph A. (University of California, Santa Barbara); Israelachvili, Jacob (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2008.12.3234,https://app.dimensions.ai/details/publication/pub.1033445597,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
