,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bradley J Cardinale. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,400,pub.1042293604,10.1890/12-0295.1,23495644,,Consistency and sensitivity of stream periphyton community structural and functional responses to nutrient enrichment,Ecological Applications,,Bacteria; Biofilms; Biomass; California; Ecosystem; Fertilizers; Nitrogen Fixation; Phytoplankton; Plants; Rivers; Species Specificity,2013-01,2013,23,1,159-173,"All OA; Green, Accepted & Submitted",Article,"Nelson, Craig E.; Bennett, Danuta M.; Cardinale, Bradley J.",,"Nelson, Craig E. (University of California, Santa Barbara); Bennett, Danuta M. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan)",12,4,0.43,1.93,https://deepblue.lib.umich.edu/bitstream/2027.42/117222/1/eap2013231159.pdf,https://app.dimensions.ai/details/publication/pub.1042293604,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
60,100,pub.1026933688,10.1080/02705060.2012.674684,,,"Abundance, size structure, and growth rates of Sacramento pikeminnow (Ptychocheilus grandis) following a large-scale stream channel restoration in California",Journal of Freshwater Ecology,,,2012-12,2012,27,4,495-505,All OA; Gold,Article,"Romanov, Alexander M.; Hardy, Josie; Zeug, Steven C.; Cardinale, Bradley J.",,"Romanov, Alexander M. (); Hardy, Josie (); Zeug, Steven C. (); Cardinale, Bradley J. ()",4,1,,0.47,https://www.tandfonline.com/doi/pdf/10.1080/02705060.2012.674684?needAccess=true,https://app.dimensions.ai/details/publication/pub.1026933688,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
61,400,pub.1048849103,10.1371/journal.pone.0047130,23071735,PMC3468504,Effects of Nano-Titanium Dioxide on Freshwater Algal Population Dynamics,PLoS ONE,,Biomass; Fresh Water; Nanostructures; Phytoplankton; Titanium,10/10/12,2012,7,10,e47130,All OA; Gold,Article,"Kulacki, Konrad J.; Cardinale, Bradley J.",,"Kulacki, Konrad J. (University of California, Santa Barbara; University of Michigan); Cardinale, Bradley J. (University of Michigan)",22,8,0.86,3.24,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0047130&type=printable,https://app.dimensions.ai/details/publication/pub.1048849103,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
62,400,pub.1002443027,10.1002/etc.1962,22847763,,"How do stream organisms respond to, and influence, the concentration of titanium dioxide nanoparticles? A mesocosm study with algae and herbivores",Environmental Toxicology and Chemistry,,"Animals; Biofilms; Biomass; Chlorophyta; Ecosystem; Food Chain; Herbivory; Metal Nanoparticles; Rivers; Snails; Titanium; Water Pollutants, Chemical",2012-10,2012,31,10,2414-2422,"All OA; Green, Accepted & Submitted",Article,"Kulacki, Konrad J.; Cardinale, Bradley J.; Keller, Arturo A.; Bier, Raven; Dickson, Helen",,"Kulacki, Konrad J. (University of California, Santa Barbara; University of Michigan); Cardinale, Bradley J. (University of Michigan); Keller, Arturo A. (University of California, Santa Barbara); Bier, Raven (University of California, Santa Barbara; Duke University); Dickson, Helen (University of California, Santa Barbara)",33,10,1.5,3.9,https://deepblue.lib.umich.edu/bitstream/2027.42/93650/1/1962_ftp.pdf,https://app.dimensions.ai/details/publication/pub.1002443027,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
63,100,pub.1043000527,10.1111/j.1365-2400.2012.00849.x,,,"Juvenile Chinook salmon, Oncorhynchus tshawytscha, growth and diet in riverine habitat engineered to improve conditions for spawning",Fisheries Management and Ecology,,,2012-10,2012,19,5,375-388,Closed,Article,"Utz, R. M.; Zeug, S. C.; Cardinale, B. J.",,"Utz, R. M. (University of California, Santa Barbara); Zeug, S. C. (University of California, Santa Barbara); Cardinale, B. J. (University of California, Santa Barbara)",7,1,,0.83,,https://app.dimensions.ai/details/publication/pub.1043000527,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
64,100,pub.1001433909,10.1038/nature11373,,,Correction: Corrigendum: Biodiversity loss and its impact on humanity,Nature,,,2012-09,2012,489,7415,326-326,All OA; Gold,Article,"Cardinale, Bradley J.; Duffy, J. Emmett; Gonzalez, Andrew; Hooper, David U.; Perrings, Charles; Venail, Patrick; Narwani, Anita; Mace, Georgina M.; Tilman, David; A.Wardle, David; Kinzig, Ann P.; Daily, Gretchen C.; Loreau, Michel; Grace, James B.; Larigauderie, Anne; Srivastava, Diane S.; Naeem, Shahid",,"Cardinale, Bradley J. (); Duffy, J. Emmett (); Gonzalez, Andrew (); Hooper, David U. (); Perrings, Charles (); Venail, Patrick (); Narwani, Anita (); Mace, Georgina M. (); Tilman, David (); A.Wardle, David (); Kinzig, Ann P. (); Daily, Gretchen C. (); Loreau, Michel (); Grace, James B. (); Larigauderie, Anne (); Srivastava, Diane S. (); Naeem, Shahid ()",95,59,,16.03,https://www.nature.com/articles/nature11373.pdf,https://app.dimensions.ai/details/publication/pub.1001433909,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
65,100,pub.1032127415,10.1007/s11051-012-0913-6,,,Effects of TiO2 nanoparticles on the growth and metabolism of three species of freshwater algae,Journal of Nanoparticle Research,,,2012-08,2012,14,8,913,Closed,Article,"Cardinale, Bradley J.; Bier, Raven; Kwan, Courtney","Cardinale, Bradley J.","Cardinale, Bradley J. (University of Michigan); Bier, Raven (Duke University; University of California, Santa Barbara); Kwan, Courtney (University of California, Santa Barbara)",29,11,,6.43,,https://app.dimensions.ai/details/publication/pub.1032127415,"09 Engineering; 10 Technology; 0912 Materials Engineering; 1007 Nanotechnology; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences",09 Engineering,10 Technology,0912 Materials Engineering,1007 Nanotechnology,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics"
66,400,pub.1042379076,10.1038/nature11148,22678280,,Biodiversity loss and its impact on humanity,Nature,,"Animals; Biodiversity; Climate Change; Consensus; Ecology; Extinction, Biological; Human Activities; Humans",2012-06,2012,486,7401,59-67,"All OA; Green, Accepted & Submitted",Article,"Cardinale, Bradley J.; Duffy, J. Emmett; Gonzalez, Andrew; Hooper, David U.; Perrings, Charles; Venail, Patrick; Narwani, Anita; Mace, Georgina M.; Tilman, David; Wardle, David A.; Kinzig, Ann P.; Daily, Gretchen C.; Loreau, Michel; Grace, James B.; Larigauderie, Anne; Srivastava, Diane S.; Naeem, Shahid","Cardinale, Bradley J.","Cardinale, Bradley J. (University of Michigan); Duffy, J. Emmett (William & Mary); Gonzalez, Andrew (McGill University); Hooper, David U. (Western Washington University); Perrings, Charles (Arizona State University); Venail, Patrick (University of Michigan); Narwani, Anita (University of Michigan); Mace, Georgina M. (Imperial College London); Tilman, David (University of Minnesota); Wardle, David A. (Swedish University of Agricultural Sciences); Kinzig, Ann P. (Arizona State University); Daily, Gretchen C. (Stanford University); Loreau, Michel (French National Centre for Scientific Research); Grace, James B. (); Larigauderie, Anne (National Museum of Natural History); Srivastava, Diane S. (University of British Columbia); Naeem, Shahid (Columbia University)",2367,901,43.65,333.61,https://pub.epsilon.slu.se/10240/7/wardle_d_etal_130415.pdf,https://app.dimensions.ai/details/publication/pub.1042379076,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
67,400,pub.1005810593,10.1038/nature11118,22678289,,A global synthesis reveals biodiversity loss as a major driver of ecosystem change,Nature,,"Animals; Biodiversity; Ecology; Ecosystem; Extinction, Biological; Models, Biological",2012-06,2012,486,7401,105-108,Closed,Article,"Hooper, David U.; Adair, E. Carol; Cardinale, Bradley J.; Byrnes, Jarrett E. K.; Hungate, Bruce A.; Matulich, Kristin L.; Gonzalez, Andrew; Duffy, J. Emmett; Gamfeldt, Lars; O’Connor, Mary I.","Hooper, David U.","Hooper, David U. (Western Washington University); Adair, E. Carol (University of California, Santa Barbara; University of Vermont); Cardinale, Bradley J. (University of Michigan); Byrnes, Jarrett E. K. (University of California, Santa Barbara); Hungate, Bruce A. (Northern Arizona University); Matulich, Kristin L. (University of California, Irvine); Gonzalez, Andrew (McGill University); Duffy, J. Emmett (William & Mary); Gamfeldt, Lars (University of Gothenburg); O’Connor, Mary I. (University of California, Santa Barbara; University of British Columbia)",920,307,18.42,115.62,,https://app.dimensions.ai/details/publication/pub.1005810593,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,05 Environmental Sciences,06 Biological Sciences
68,100,pub.1006902100,10.1890/11-0792.1a,,,Niche and fitness differences relate the maintenance of diversity to ecosystem function: reply,Ecology,,,2012-06,2012,93,6,1487-1491,Closed,Article,"Carroll, Ian T.; Cardinale, Bradley J.; Nisbet, Roger M.",,"Carroll, Ian T. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan); Nisbet, Roger M. (University of California, Santa Barbara)",2,0,,0.32,,https://app.dimensions.ai/details/publication/pub.1006902100,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
69,200,pub.1062466684,10.1126/science.1222102,22556243,,Impacts of Biodiversity Loss,Science,,Biodiversity; Ecosystem; Plants; Poaceae,5/4/12,2012,336,6081,552-553,Closed,Article,"Cardinale, Bradley",,"Cardinale, Bradley (University of Michigan)",23,3,0.35,,,https://app.dimensions.ai/details/publication/pub.1062466684,,,,,,
70,100,pub.1014938981,10.1111/j.1600-0706.2011.19465.x,,,Ecological factors associated with the strength of trophic cascades in streams,Oikos,,,2011-12,2011,120,12,1897-1908,"All OA; Green, Published",Article,"Kurle, Carolyn M.; Cardinale, Bradley J.",,"Kurle, Carolyn M. (University of California, San Diego); Cardinale, Bradley J. (University of California, San Diego)",22,4,,2.29,http://www.carolynkurle.com/papers/Kurle and Cardinale 2011.pdf,https://app.dimensions.ai/details/publication/pub.1014938981,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
71,100,pub.1048776769,10.1038/nature10419,,,Cardinale reply,Nature,,,2011-09,2011,477,7366,e3-e4,Closed,Article,"Cardinale, Bradley J.","Cardinale, Bradley J.","Cardinale, Bradley J. (University of Michigan)",3,0,,0.39,,https://app.dimensions.ai/details/publication/pub.1048776769,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
72,100,pub.1021177222,10.1111/j.1526-100x.2010.00672.x,,,Impacts of Channel Reconstruction on Invertebrate Assemblages in a Restored River,Restoration Ecology,,,2011-09,2011,19,5,627-638,Closed,Article,"Albertson, Lindsey K.; Cardinale, Bradley J.; Zeug, Steven C.; Harrison, Lee R.; Lenihan, Hunter S.; Wydzga, M. Aleksandra",,"Albertson, Lindsey K. (University of California, Santa Barbara); Cardinale, Bradley J. (University of California, Santa Barbara); Zeug, Steven C. (University of California, Santa Barbara); Harrison, Lee R. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Wydzga, M. Aleksandra (California Polytechnic State University)",14,2,,1.83,,https://app.dimensions.ai/details/publication/pub.1021177222,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
73,100,pub.1013042577,10.1111/j.1365-2486.2011.02409.x,,,Climate‐driven increases in storm frequency simplify kelp forest food webs,Global Change Biology,,,2011-08,2011,17,8,2513-2524,"All OA; Green, Accepted & Submitted",Article,"BYRNES, JARRETT E.; REED, DANIEL C.; CARDINALE, BRADLEY J.; CAVANAUGH, KYLE C.; HOLBROOK, SALLY J.; SCHMITT, RUSSELL J.",,"BYRNES, JARRETT E. (University of California, Santa Barbara); REED, DANIEL C. (University of California, Santa Barbara); CARDINALE, BRADLEY J. (University of Michigan); CAVANAUGH, KYLE C. (University of California, Santa Barbara); HOLBROOK, SALLY J. (University of California, Santa Barbara); SCHMITT, RUSSELL J. (University of California, Santa Barbara)",90,29,,9.73,https://deepblue.lib.umich.edu/bitstream/2027.42/86837/1/j.1365-2486.2011.02409.x.pdf,https://app.dimensions.ai/details/publication/pub.1013042577,0501 Ecological Applications; 05 Environmental Sciences; 0602 Ecology; 06 Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,0602 Ecology,06 Biological Sciences,
74,400,pub.1018344424,10.1890/10-0302.1,21661576,,Niche and fitness differences relate the maintenance of diversity to ecosystem function,Ecology,,"Animals; Biomass; Computer Simulation; Ecosystem; Feeding Behavior; Models, Biological",2011-05,2011,92,5,1157-1165,Closed,Article,"Carroll, Ian T.; Cardinale, Bradley J.; Nisbet, Roger M.",,"Carroll, Ian T. (University of California, Santa Barbara); Cardinale, Bradley J. (University of California, Santa Barbara; University of Michigan); Nisbet, Roger M. (University of California, Santa Barbara)",80,30,1.34,10.46,,https://app.dimensions.ai/details/publication/pub.1018344424,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
75,400,pub.1011460811,10.1038/nature09904,21475199,,Biodiversity improves water quality through niche partitioning,Nature,,"Biodiversity; Biofilms; Biomass; Chlorophyta; Diatoms; Environmental Policy; Models, Biological; Nitrogen; Population Density; Rivers; Species Specificity",2011-04,2011,472,7341,86-89,Closed,Article,"Cardinale, Bradley J.","Cardinale, Bradley J.","Cardinale, Bradley J. (University of Michigan)",334,74,6.27,47.06,,https://app.dimensions.ai/details/publication/pub.1011460811,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
76,400,pub.1027409964,10.3732/ajb.1000364,21613148,,The functional role of producer diversity in ecosystems,American Journal of Botany,,Biodiversity; Databases as Topic; Food Chain; Species Specificity,2011-03,2011,98,3,572-592,All OA; Gold,Article,"Cardinale, Bradley J.; Matulich, Kristin L.; Hooper, David U.; Byrnes, Jarrett E.; Duffy, Emmett; Gamfeldt, Lars; Balvanera, Patricia; O'Connor, Mary I.; Gonzalez, Andrew",,"Cardinale, Bradley J. (University of Michigan); Matulich, Kristin L. (University of California, Irvine); Hooper, David U. (Western Washington University); Byrnes, Jarrett E. (); Duffy, Emmett (William & Mary); Gamfeldt, Lars (Swedish University of Agricultural Sciences); Balvanera, Patricia (National Autonomous University of Mexico); O'Connor, Mary I. (University of British Columbia); Gonzalez, Andrew (McGill University)",592,159,10.99,55.98,https://onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.1000364,https://app.dimensions.ai/details/publication/pub.1027409964,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
77,100,pub.1033528892,10.1111/j.1365-2400.2010.00769.x,,,Predictors of Chinook salmon extirpation in California’s Central Valley,Fisheries Management and Ecology,,,2011-02,2011,18,1,61-71,Closed,Article,"ZEUG, S. C.; ALBERTSON, L. K.; LENIHAN, H.; HARDY, J.; CARDINALE, B.",,"ZEUG, S. C. (University of California, Santa Barbara); ALBERTSON, L. K. (); LENIHAN, H. (); HARDY, J. (); CARDINALE, B. ()",11,3,,1.14,,https://app.dimensions.ai/details/publication/pub.1033528892,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
78,400,pub.1001356377,10.1073/pnas.1007745107,20855605,PMC2951440,Competition–defense tradeoffs and the maintenance of plant diversity,Proceedings of the National Academy of Sciences,,"Biodiversity; Ecosystem; Models, Biological; Plants; Population Dynamics",10/5/10,2010,107,40,17217-17222,All OA; Gold,Article,"Viola, David V.; Mordecai, Erin A.; Jaramillo, Alejandra G.; Sistla, Seeta A.; Albertson, Lindsey K.; Gosnell, J. Stephen; Cardinale, Bradley J.; Levine, Jonathan M.",,"Viola, David V. (University of California, Santa Barbara); Mordecai, Erin A. (University of California, Santa Barbara); Jaramillo, Alejandra G. (University of California, Santa Barbara); Sistla, Seeta A. (University of California, Santa Barbara); Albertson, Lindsey K. (University of California, Santa Barbara); Gosnell, J. Stephen (University of California, Santa Barbara); Cardinale, Bradley J. (University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara)",43,12,0.95,3.98,http://www.pnas.org/content/107/40/17217.full.pdf,https://app.dimensions.ai/details/publication/pub.1001356377,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
79,200,pub.1004780208,10.1890/09-0070.1,20957946,,A critique for meta‐analyses and the productivity– diversity relationship,Ecology,,Biodiversity; Ecology; Meta-Analysis as Topic; Population Dynamics; Research; Research Design,2010-09,2010,91,9,2545-2549,Closed,Article,"Hillebrand, Helmut; Cardinale, Bradley J.",,"Hillebrand, Helmut (Carl von Ossietzky University of Oldenburg); Cardinale, Bradley J. (University of California, Santa Barbara)",29,5,0.45,3.21,,https://app.dimensions.ai/details/publication/pub.1004780208,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
80,400,pub.1055517116,10.1021/es902987d,20151631,,Stability and aggregation of metal oxide nanoparticles in natural aqueous matrices.,Environmental Science & Technology,,"Cerium; Fresh Water; Geologic Sediments; Metal Nanoparticles; Particle Size; Seawater; Titanium; Water Pollutants, Chemical; Zinc Oxide",3/15/10,2010,44,6,1962-7,Closed,Article,"Keller, Arturo A; Wang, Hongtao; Zhou, Dongxu; Lenihan, Hunter S; Cherr, Gary; Cardinale, Bradley J; Miller, Robert; Ji, Zhaoxia",,"Keller, Arturo A (University of California, Santa Barbara); Wang, Hongtao (); Zhou, Dongxu (); Lenihan, Hunter S (); Cherr, Gary (); Cardinale, Bradley J (); Miller, Robert (); Ji, Zhaoxia ()",784,188,27.4,100.36,,https://app.dimensions.ai/details/publication/pub.1055517116,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
81,400,pub.1069010271,10.2134/jeq2009.0479,21284292,,An ecological perspective on nanomaterial impacts in the environment.,Journal of Environmental Quality,,Ecosystem; Environment; Environmental Monitoring; Nanostructures; Research,2010,2010,39,6,1954-65,"All OA; Green, Published",Article,"Bernhardt, Emily S; Colman, Benjamin P; Hochella, Michael F; Cardinale, Bradley J; Nisbet, Roger M; Richardson, Curtis J; Yin, Liyan",,"Bernhardt, Emily S (); Colman, Benjamin P (); Hochella, Michael F (); Cardinale, Bradley J (); Nisbet, Roger M (); Richardson, Curtis J (); Yin, Liyan ()",108,34,2.52,12.56,https://dukespace.lib.duke.edu/dspace/bitstream/10161/15724/1/Bernhardt%20et%20al%202010%20nanosilver.pdf,https://app.dimensions.ai/details/publication/pub.1069010271,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
82,100,pub.1044951690,10.1111/j.1600-0706.2009.17585.x,,,Species richness enhances both algal biomass and rates of oxygen production in aquatic microcosms,Oikos,,,2009-11,2009,118,11,1703-1711,Closed,Article,"Power, Lillian D.; Cardinale, Bradley J.",,"Power, Lillian D. (); Cardinale, Bradley J. ()",22,4,,2.49,,https://app.dimensions.ai/details/publication/pub.1044951690,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
83,400,pub.1050008646,10.1111/j.1461-0248.2009.01317.x,19490011,,Separating the influence of resource ‘availability’ from resource ‘imbalance’ on productivity–diversity relationships,Ecology Letters,,"Animals; Biodiversity; Biomass; Chlorophyll; Chlorophyll A; Ecology; Eukaryota; Food Chain; Fresh Water; Models, Biological; Nitrogen; Phosphorus; Photosynthesis",2009-06,2009,12,6,475-487,Closed,Article,"Cardinale, Bradley J.; Hillebrand, Helmut; Harpole, W. S.; Gross, Kevin; Ptacnik, Robert",,"Cardinale, Bradley J. (University of California, Santa Barbara); Hillebrand, Helmut (Carl von Ossietzky University of Oldenburg); Harpole, W. S. (Iowa State University); Gross, Kevin (North Carolina State University); Ptacnik, Robert (Norwegian Institute for Water Research)",126,29,2.41,13.62,,https://app.dimensions.ai/details/publication/pub.1050008646,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
84,400,pub.1028301789,10.1111/j.1461-0248.2009.01304.x,19392711,,Herbivore metabolism and stoichiometry each constrain herbivory at different organizational scales across ecosystems,Ecology Letters,,"Animals; Body Size; Body Temperature; Eating; Ecosystem; Energy Metabolism; Feeding Behavior; Food Chain; Invertebrates; Models, Biological; Photosynthesis; Plant Development; Plants; Population Density; Population Dynamics; Zooplankton",2009-06,2009,12,6,516-527,"All OA; Green, Accepted & Submitted",Article,"Hillebrand, Helmut; Borer, Elizabeth T.; Bracken, Matthew E. S.; Cardinale, Bradley J.; Cebrian, Just; Cleland, Elsa E.; Elser, James J.; Gruner, Daniel S.; Harpole, W. Stanley; Ngai, Jacqueline T.; Sandin, Stuart; Seabloom, Eric W.; Shurin, Jonathan B.; Smith, Jennifer E.; Smith, Melinda D.",,"Hillebrand, Helmut (Carl von Ossietzky University of Oldenburg); Borer, Elizabeth T. (Oregon State University); Bracken, Matthew E. S. (Northeastern University); Cardinale, Bradley J. (University of California, Santa Barbara); Cebrian, Just (Dauphin Island Sea Lab; University of South Alabama); Cleland, Elsa E. (University of California, San Diego); Elser, James J. (Arizona State University); Gruner, Daniel S. (University of Maryland, College Park); Harpole, W. Stanley (Iowa State University); Ngai, Jacqueline T. (University of British Columbia); Sandin, Stuart (University of California, San Diego); Seabloom, Eric W. (Oregon State University); Shurin, Jonathan B. (University of British Columbia); Smith, Jennifer E. (University of California, San Diego); Smith, Melinda D. (Yale University)",102,19,1.64,8.95,http://drum.lib.umd.edu/bitstream/1903/9414/1/Hillebrand%26%262009_ELE.pdf,https://app.dimensions.ai/details/publication/pub.1028301789,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
85,400,pub.1024487272,10.1890/08-1038.1,19537544,,Does productivity drive diversity or vice versa? A test of the multivariate productivity–diversity hypothesis in streams,Ecology,,"Animals; Bacteria; Biodiversity; Biomass; California; Diatoms; Eukaryota; Fertilizers; Models, Biological; Multivariate Analysis; Nitrates; Phosphates; Population Dynamics; Rivers",2009-05,2009,90,5,1227-1241,Closed,Article,"Cardinale, Bradley J.; Bennett, Danuta M.; Nelson, Craig E.; Gross, Kevin",,"Cardinale, Bradley J. (University of California, Santa Barbara); Bennett, Danuta M. (University of California, Santa Barbara); Nelson, Craig E. (University of California, Santa Barbara); Gross, Kevin (North Carolina State University)",77,14,1.06,6.75,,https://app.dimensions.ai/details/publication/pub.1024487272,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
86,400,pub.1027170653,10.1890/08-0439.1,19449701,,Diversity has stronger top‐down than bottom‐up effects on decomposition,Ecology,,"Biodegradation, Environmental; Biodiversity; Energy Metabolism; Food Chain",2009-04,2009,90,4,1073-1083,Closed,Article,"Srivastava, Diane S.; Cardinale, Bradley J.; Downing, Amy L.; Duffy, J. Emmett; Jouseau, Claire; Sankaran, Mahesh; Wright, Justin P.",,"Srivastava, Diane S. (University of British Columbia); Cardinale, Bradley J. (University of California, Santa Barbara); Downing, Amy L. (Ohio Wesleyan University); Duffy, J. Emmett (William & Mary); Jouseau, Claire (Columbia University); Sankaran, Mahesh (University of Leeds); Wright, Justin P. (Duke University)",121,18,1.51,10.61,,https://app.dimensions.ai/details/publication/pub.1027170653,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
87,400,pub.1028972472,10.1371/journal.pone.0004929,19300514,PMC2654170,Producer Nutritional Quality Controls Ecosystem Trophic Structure,PLoS ONE,,Animals; Biomass; Conservation of Natural Resources; Ecosystem; Energy Metabolism; Food; Humans,3/20/09,2009,4,3,e4929,All OA; Gold,Article,"Cebrian, Just; Shurin, Jonathan B.; Borer, Elizabeth T.; Cardinale, Bradley J.; Ngai, Jacqueline T.; Smith, Melinda D.; Fagan, William F.",,"Cebrian, Just (University of South Alabama); Shurin, Jonathan B. (University of British Columbia); Borer, Elizabeth T. (Oregon State University); Cardinale, Bradley J. (University of California, Santa Barbara); Ngai, Jacqueline T. (University of British Columbia); Smith, Melinda D. (Yale University); Fagan, William F. (University of Maryland, College Park)",88,18,1.41,9.24,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0004929&type=printable,https://app.dimensions.ai/details/publication/pub.1028972472,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
88,100,pub.1015053994,10.1890/08-1584.1,,,Effects of biodiversity on the functioning of ecosystems: a summary of 164 experimental manipulations of species richness,Ecology,,,2009-03,2009,90,3,854-854,All OA; Gold,Article,"Cardinale, Bradley J.; Srivastava, Diane S.; Duffy, J. Emmett; Wright, Justin P.; Downing, Amy L.; Sankaran, Mahesh; Jouseau, Claire; Cadotte, Marc W.; Carroll, Ian T.; Weis, Jerome J.; Hector, Andy; Loreau, Michel",,"Cardinale, Bradley J. (University of California, Santa Barbara); Srivastava, Diane S. (University of British Columbia); Duffy, J. Emmett (William & Mary); Wright, Justin P. (Duke University); Downing, Amy L. (Ohio Wesleyan University); Sankaran, Mahesh (University of Leeds); Jouseau, Claire (Columbia University); Cadotte, Marc W. (University of California, Santa Barbara); Carroll, Ian T. (University of California, Santa Barbara); Weis, Jerome J. (Yale University); Hector, Andy (University of Zurich); Loreau, Michel (McGill University)",26,3,,2.81,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/08-1584.1,https://app.dimensions.ai/details/publication/pub.1015053994,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
89,100,pub.1034510311,10.1890/070136,,,Cascading effects of predator richness,Frontiers in Ecology and the Environment,,,2008-12,2008,6,10,539-546,Closed,Article,"Bruno, John F; Cardinale, Bradley J",,"Bruno, John F (University of North Carolina at Chapel Hill); Cardinale, Bradley J (University of California, Santa Barbara)",114,13,,12.17,,https://app.dimensions.ai/details/publication/pub.1034510311,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
