,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bruce P Luyendyk. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,100,pub.1039192853,10.1130/0091-7613(1975)3<211:ngsotm>2.0.co;2,,,Near-bottom geophysical study of the Mid-Atlantic Ridge median valley near lat 37° N: Preliminary observations,Geology,,,1975,1975,3,4,211-215,Closed,Article,"Macdonald, Ken; Luyendyk, Bruce P.; Mudie, John D.; Spiess, F. N.",,"Macdonald, Ken (Massachusetts Institute of Technology); Luyendyk, Bruce P. (University of California, Santa Barbara); Mudie, John D. (Scripps Institution of Oceanography); Spiess, F. N. (Scripps Institution of Oceanography)",46,0,,,,https://app.dimensions.ai/details/publication/pub.1039192853,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
83,100,pub.1005783967,10.1130/0016-7606(1974)85<1287:ssotnh>2.0.co;2,,,Shallow Structure of the New Hebrides Island Arc,Geological Society of America Bulletin,,,1974,1974,85,8,1287-1300,Closed,Article,"LUYENDYK, BRUCE P.; BRYAN, W. B.; JEZEK, P. A.",,"LUYENDYK, BRUCE P. (Woods Hole Oceanographic Institution); BRYAN, W. B. (Woods Hole Oceanographic Institution); JEZEK, P. A. (University of Massachusetts Amherst)",53,0,,,,https://app.dimensions.ai/details/publication/pub.1005783967,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
84,100,pub.1051174275,10.1038/physci246059a0,,,Near-bottom Observations of an Active Transform Fault (Mid-Atlantic Ridge at 37° N),Nature,,,1973-11,1973,246,152,59-61,Closed,Article,"DETRICK, ROBERT S.; MUDIE, JOHN D.; LUYENDYK, BRUCE P.; MACDONALD, KEN C.",,"DETRICK, ROBERT S. (Scripps Institution of Oceanography); MUDIE, JOHN D. (Scripps Institution of Oceanography); LUYENDYK, BRUCE P. (Woods Hole Oceanographic Institution; University of California, Santa Barbara); MACDONALD, KEN C. (Woods Hole Oceanographic Institution)",51,1,,,,https://app.dimensions.ai/details/publication/pub.1051174275,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
85,100,pub.1038935327,10.1029/jb078i029p06985,,,Magnetic smooth zones in the World's oceans,Journal of Geophysical Research,,,10/10/73,1973,78,29,6985-6997,Closed,Article,"Poehls, Kenneth A.; Luyendyk, Bruce P.; Heirtzler, James R.",,"Poehls, Kenneth A. (); Luyendyk, Bruce P. (); Heirtzler, James R. ()",25,0,,,,https://app.dimensions.ai/details/publication/pub.1038935327,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
86,100,pub.1001679529,10.1016/0011-7471(73)90077-6,,,Geophysical study of the northwest African margin off Morocco,Deep Sea Research and Oceanographic Abstracts,,,1973-06,1973,20,6,537-549,Closed,Article,"Luyendyk, Bruce P.; Bunce, Elizabeth T.",,"Luyendyk, Bruce P. (Woods Hole Oceanographic Institution); Bunce, Elizabeth T. (Woods Hole Oceanographic Institution)",28,1,,,,https://app.dimensions.ai/details/publication/pub.1001679529,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
87,100,pub.1013891512,10.1029/jb078i014p02537,,,Heat flow and plate boundaries in Melanesia,Journal of Geophysical Research,,,5/10/73,1973,78,14,2537-2546,Closed,Article,"Macdonald, Ken C.; Luyendyk, Bruce P.; Von Herzen, Richard P.",,"Macdonald, Ken C. (); Luyendyk, Bruce P. (); Von Herzen, Richard P. ()",69,0,,,,https://app.dimensions.ai/details/publication/pub.1013891512,0915 Interdisciplinary Engineering; 09 Engineering; 04 Earth Sciences; 0403 Geology,0915 Interdisciplinary Engineering,09 Engineering,04 Earth Sciences,0403 Geology,
88,100,pub.1046228953,10.1130/0016-7606(1973)84<1125:rhotwb>2.0.co;2,,,Rifting History of the Woodlark Basin in the Southwest Pacific,Geological Society of America Bulletin,,,1973,1973,84,4,1125-1134,Closed,Article,"LUYENDYK, B. P.; MacDONALD, K. C.; BRYAN, W. B.",,"LUYENDYK, B. P. (Woods Hole Oceanographic Institution); MacDONALD, K. C. (Woods Hole Oceanographic Institution); BRYAN, W. B. (Woods Hole Oceanographic Institution)",95,0,,,,https://app.dimensions.ai/details/publication/pub.1046228953,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
89,100,pub.1011996617,10.1130/0016-7606(1972)83[2649:eattpo]2.0.co;2,,,Experimental Approach to the Paleocirculation of the Oceanic Surface Waters,Geological Society of America Bulletin,,,1972,1972,83,9,2649-2664,Closed,Article,"LUYENDYK, BRUCE P; FORSYTH, DONALD; PHILLIPS, J. D",,"LUYENDYK, BRUCE P (Woods Hole Oceanographic Institution); FORSYTH, DONALD (Woods Hole Oceanographic Institution); PHILLIPS, J. D (Woods Hole Oceanographic Institution)",125,1,,,,https://app.dimensions.ai/details/publication/pub.1011996617,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
90,200,pub.1062502721,10.1126/science.172.3982.503,,,A Route to Late Cenozoic Temperature History?,Science,,,4/30/71,1971,172,3982,503-503,All OA; Gold,Article,"McKenna, Malcolm C.; Bada, Jeffrey L.; Luyendyk, Bruce P.",,"McKenna, Malcolm C. (); Bada, Jeffrey L. (); Luyendyk, Bruce P. ()",3,0,,,http://science.sciencemag.org/content/172/3982/503.1.full.pdf,https://app.dimensions.ai/details/publication/pub.1062502721,,,,,,
91,200,pub.1019555433,10.1029/jb076i002p00605,,,"Comments [on paper by John W. Minear and M. Nafi Toksöz, “Thermal regime of a downgoing slab and new global tectonics”]",Journal of Geophysical Research,,,1/10/71,1971,76,2,605-606,Closed,Article,"Luyendyk, Bruce P.",,"Luyendyk, Bruce P. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1019555433,,,,,,
92,400,pub.1062501668,10.1126/science.170.3959.730,5479627,,Marine Sediments: Dating by the Racemization of Amino Acids,Science,,Geological Phenomena; Geology; Isoleucine; Marine Biology; Paleontology; Stereoisomerism; Time Factors,11/13/70,1970,170,3959,730-732,Closed,Article,"Bada, Jeffrey L.; Luyendyk, Bruce P.; Maynard, J. Barry",,"Bada, Jeffrey L. (Harvard University); Luyendyk, Bruce P. (Woods Hole Oceanographic Institution); Maynard, J. Barry ()",97,4,0,,,https://app.dimensions.ai/details/publication/pub.1062501668,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
93,400,pub.1062501667,10.1126/science.170.3959.727,17776338,,Central North Atlantic Plate Motions over the Last 40 Million Years,Science,,,11/13/70,1970,170,3959,727-729,Closed,Article,"Phillips, J. D.; Luyendyk, Bruce P.",,"Phillips, J. D. (Woods Hole Oceanographic Institution); Luyendyk, Bruce P. (Woods Hole Oceanographic Institution)",26,0,0,,,https://app.dimensions.ai/details/publication/pub.1062501667,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
94,200,pub.1042163404,10.1029/jb075i032p06721,,,"Reply [to “Discussion of paper by B. P. Luyendyk, ‘Origin of short‐wavelength magnetic lineations observed near the ocean bottom’”]",Journal of Geophysical Research,,,11/10/70,1970,75,32,6721-6722,Closed,Article,"Luyendyk, Bruce P.",,"Luyendyk, Bruce P. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1042163404,,,,,,
95,100,pub.1039806585,10.1130/0016-7606(1970)81[2237:oahoah]2.0.co;2,,,Origin and History of Abyssal Hills in the Northeast Pacific Ocean,Geological Society of America Bulletin,,,1970,1970,81,8,2237-2260,Closed,Article,"LUYENDYK, BRUCE P",,"LUYENDYK, BRUCE P ()",43,2,,,,https://app.dimensions.ai/details/publication/pub.1039806585,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
96,100,pub.1011288075,10.1130/0016-7606(1970)81[3411:dodlpb]2.0.co;2,,,Dips of Downgoing Lithospheric Plates Beneath Island Arcs,Geological Society of America Bulletin,,,1970,1970,81,11,3411-3416,Closed,Article,"LUYENDYK, BRUCE P",,"LUYENDYK, BRUCE P (Woods Hole Oceanographic Institution)",78,0,,,,https://app.dimensions.ai/details/publication/pub.1011288075,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
97,100,pub.1048804077,10.1016/0025-3227(69)90021-8,,,Detailed geophysical studies on the northern Hawaiian Arch using a deeply towed instrument package,Marine Geology,,,1969-12,1969,7,6,501-527,Closed,Article,"Spiess, Fred N.; Luyendyk, Bruce P.; Larson, Roger L.; Normark, William R.; Mudie, John D.",,"Spiess, Fred N. (University of California, San Diego); Luyendyk, Bruce P. (University of California, San Diego); Larson, Roger L. (University of California, San Diego); Normark, William R. (University of California, San Diego); Mudie, John D. (University of California, San Diego)",13,0,,,,https://app.dimensions.ai/details/publication/pub.1048804077,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
98,100,pub.1008473599,10.1029/jb074i020p04869,,,Origin of short‐wavelength magnetic lineations observed near the ocean bottom,Journal of Geophysical Research,,,9/15/69,1969,74,20,4869-4881,Closed,Article,"Luyendyk, Bruce P.",,"Luyendyk, Bruce P. ()",18,0,,,,https://app.dimensions.ai/details/publication/pub.1008473599,0404 Geophysics; 04 Earth Sciences; 0403 Geology; 0405 Oceanography,0404 Geophysics,04 Earth Sciences,0403 Geology,0405 Oceanography,
99,100,pub.1051348146,10.1038/2231049a0,,,"Petrological, Magnetic and Chemical Properties of Basalt dredged from an Abyssal Hill in the North-east Pacific",Nature,,,1969-09,1969,223,5210,1049-1050,Closed,Article,"LUYENDYK, BRUCE P.; ENGEL, CELESTE G.",,"LUYENDYK, BRUCE P. (Scripps Institution of Oceanography); ENGEL, CELESTE G. ()",6,0,,,,https://app.dimensions.ai/details/publication/pub.1051348146,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
100,400,pub.1062497343,10.1126/science.164.3887.1516,17748531,,Fission Track Age of Magnetic Anomaly 10: A New Point on the Sea-Floor Spreading Curve,Science,,,6/27/69,1969,164,3887,1516-1517,Closed,Article,"Luyendyk, Bruce P.; Fisher, David E.",,"Luyendyk, Bruce P. (University of California, San Diego); Fisher, David E. (University of Miami)",13,0,0,,,https://app.dimensions.ai/details/publication/pub.1062497343,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
101,100,pub.1016898295,10.1029/jb073i018p05951,,,Lineations of magnetic anomalies in the northeast Pacafic observed near the ocean floor,Journal of Geophysical Research,,,9/15/68,1968,73,18,5951-5957,Closed,Article,"Luyendyk, Bruce P.; Mudie, John D.; Harrison, C. G. A.",,"Luyendyk, Bruce P. (); Mudie, John D. (); Harrison, C. G. A. ()",21,0,,,,https://app.dimensions.ai/details/publication/pub.1016898295,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
102,100,pub.1051489467,10.1038/215147a0,,,Magnetic Properties and Petrology of Rocks near the Crest of the Mid-Atlantic Ridge,Nature,,,1967-07,1967,215,5097,147-149,Closed,Article,"LUYENDYK, BRUCE P.; MELSON, WILLIAM G.",,"LUYENDYK, BRUCE P. (Scripps Institution of Oceanography); MELSON, WILLIAM G. (Smithsonian Institution)",37,0,,,,https://app.dimensions.ai/details/publication/pub.1051489467,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
