,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Sadie Jane Ryan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,500,pub.1101513324,10.3390/ijerph15030486,29534431,PMC5877031,Spatiotemporal Variation in Environmental Vibrio cholerae in an Estuary in Southern Coastal Ecuador,International Journal of Environmental Research and Public Health,,Cholera; Ecuador; Estuaries; Humans; Polymerase Chain Reaction; Vibrio cholerae; Water Microbiology,3/10/18,2018,15,3,486,All OA; Gold,Article,"Ryan, Sadie J; Stewart-Ibarra, Anna M; Ordóñez-Enireb, Eunice; Chu, Winnie; Finkelstein, Julia L; King, Christine A; Escobar, Luis E; Lupone, Christina; Heras, Froilan; Tauzer, Erica; Waggoner, Egan; James, Tyler G; Cárdenas, Washington B; Polhemus, Mark",,"Ryan, Sadie J (University of Florida); Stewart-Ibarra, Anna M (SUNY Upstate Medical University); Ordóñez-Enireb, Eunice (Escuela Superior Politecnica del Litoral); Chu, Winnie (Cornell University); Finkelstein, Julia L (Cornell University); King, Christine A (SUNY Upstate Medical University); Escobar, Luis E (SUNY Upstate Medical University; Virginia Tech); Lupone, Christina (SUNY Upstate Medical University); Heras, Froilan (SUNY Upstate Medical University); Tauzer, Erica (SUNY Upstate Medical University); Waggoner, Egan (SUNY Upstate Medical University); James, Tyler G (University of Florida); Cárdenas, Washington B (Escuela Superior Politecnica del Litoral); Polhemus, Mark (SUNY Upstate Medical University)",0,0,,,https://www.mdpi.com/1660-4601/15/3/486/pdf,https://app.dimensions.ai/details/publication/pub.1101513324,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
52,100,pub.1101403450,10.1101/279182,,,"Zika Virus Outbreak, Barbados, 2015 - 2016",bioRxiv,,,3/9/18,2018,,,279182,"All OA; Green, Published",Preprint,"Ryan, Sadie J.; Lippi, Catherine A; Carlson, Colin J; Stewart-Ibarra, Anna M.; Cordova, Mercy J. Borbor; Romero, Moory M.; Cox, Shelly-Ann; Mahon, Roche; Trotman, Adrian; Rollock, Leslie; Hilaire, Marquita Gittens-St.; King, Desmond; Daniel, Stephen",,"Ryan, Sadie J. (University of Florida); Lippi, Catherine A (University of Florida); Carlson, Colin J (); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University); Cordova, Mercy J. Borbor (); Romero, Moory M. (SUNY Upstate Medical University); Cox, Shelly-Ann (); Mahon, Roche (); Trotman, Adrian (); Rollock, Leslie (Ministry of Health); Hilaire, Marquita Gittens-St. (); King, Desmond (Ministry of Health); Daniel, Stephen (Ministry of Health)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/03/09/279182.full.pdf,https://app.dimensions.ai/details/publication/pub.1101403450,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
53,100,pub.1101483738,10.1214/17-aoas1090,,,Phenomenological forecasting of disease incidence using heteroskedastic Gaussian processes: A dengue case study,The Annals of Applied Statistics,,,2018-03,2018,12,1,27-66,All OA; Gold,Article,"Johnson, Leah R.; Gramacy, Robert B.; Cohen, Jeremy; Mordecai, Erin; Murdock, Courtney; Rohr, Jason; Ryan, Sadie J.; Stewart-Ibarra, Anna M.; Weikel, Daniel",,"Johnson, Leah R. (); Gramacy, Robert B. (); Cohen, Jeremy (); Mordecai, Erin (); Murdock, Courtney (); Rohr, Jason (); Ryan, Sadie J. (); Stewart-Ibarra, Anna M. (); Weikel, Daniel ()",7,7,,,https://doi.org/10.1214/17-aoas1090,https://app.dimensions.ai/details/publication/pub.1101483738,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
54,100,pub.1092666576,10.1007/s11111-017-0287-x,,,"The impact of industrial oil development on a protected area landscape: demographic and social change at Murchison Falls Conservation Area, Uganda",Population and Environment,,,2018-03,2018,39,3,197-218,Closed,Article,"Dowhaniuk, Nicholas; Hartter, Joel; Ryan, Sadie J.; Palace, Michael W.; Congalton, Russell G.","Dowhaniuk, Nicholas","Dowhaniuk, Nicholas (University of Florida; University of New Hampshire); Hartter, Joel (University of Colorado Boulder); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Palace, Michael W. (University of New Hampshire); Congalton, Russell G. (University of New Hampshire)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1092666576,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
55,100,pub.1092666439,10.1007/s10113-017-1250-1,,,Park isolation in anthropogenic landscapes: land change and livelihoods at park boundaries in the African Albertine Rift,Regional Environmental Change,,,2018-03,2018,18,3,913-928,All OA; Gold,Article,"Salerno, Jonathan; Chapman, Colin A.; Diem, Jeremy E.; Dowhaniuk, Nicholas; Goldman, Abraham; MacKenzie, Catrina A.; Omeja, Patrick Aria; Palace, Michael W.; Reyna-Hurtado, Rafael; Ryan, Sadie J.; Hartter, Joel","Hartter, Joel","Salerno, Jonathan (University of Colorado Boulder); Chapman, Colin A. (McGill University); Diem, Jeremy E. (Georgia State University); Dowhaniuk, Nicholas (University of Florida); Goldman, Abraham (University of Florida); MacKenzie, Catrina A. (McGill University; University of Vermont); Omeja, Patrick Aria (Makerere University); Palace, Michael W. (University of New Hampshire); Reyna-Hurtado, Rafael (El Colegio de la Frontera Sur); Ryan, Sadie J. (University of Florida); Hartter, Joel (University of Colorado Boulder)",8,7,,,https://link.springer.com/content/pdf/10.1007%2Fs10113-017-1250-1.pdf,https://app.dimensions.ai/details/publication/pub.1092666439,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
56,100,pub.1100914849,10.1101/259531,,,Temperature drives Zika virus transmission: evidence from empirical and mathematical models,bioRxiv,,,2/4/18,2018,,,259531,"All OA; Green, Published",Preprint,"Tesla, Blanka; Demakovsky, Leah R.; Mordecai, Erin A; Ryan, Sadie J.; Bonds, Matthew H.; Ngonghala, Calistus N.; Brindley, Melinda A.; Murdock, Courtney C.",,"Tesla, Blanka (University of Georgia); Demakovsky, Leah R. (University of Georgia); Mordecai, Erin A (Stanford University); Ryan, Sadie J. (University of Florida); Bonds, Matthew H. (Harvard University); Ngonghala, Calistus N. (University of Florida); Brindley, Melinda A. (University of Georgia); Murdock, Courtney C. (University of Georgia)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/04/27/259531.full.pdf,https://app.dimensions.ai/details/publication/pub.1100914849,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
57,500,pub.1100074909,10.1111/ele.12893,29280332,,Making ecological models adequate,Ecology Letters,,"Ecology; Ecosystem; Forecasting; Models, Theoretical; Research Design",2018-02,2018,21,2,153-166,"All OA; Green, Published",Article,"Getz, Wayne M.; Marshall, Charles R.; Carlson, Colin J.; Giuggioli, Luca; Ryan, Sadie J.; Romañach, Stephanie S.; Boettiger, Carl; Chamberlain, Samuel D.; Larsen, Laurel; D’Odorico, Paolo; O’Sullivan, David",,"Getz, Wayne M. (University of California, Berkeley; University of KwaZulu-Natal); Marshall, Charles R. (University of California Museum of Paleontology); Carlson, Colin J. (University of California, Berkeley); Giuggioli, Luca (University of Bristol); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Romañach, Stephanie S. (United States Geological Survey); Boettiger, Carl (University of California, Berkeley); Chamberlain, Samuel D. (University of California, Berkeley); Larsen, Laurel (University of California, Berkeley); D’Odorico, Paolo (University of California, Berkeley); O’Sullivan, David (University of California, Berkeley)",27,25,,,https://escholarship.org/content/qt7zq9k0q0/qt7zq9k0q0.pdf?t=p9hu7p,https://app.dimensions.ai/details/publication/pub.1100074909,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
58,100,pub.1019561847,10.1016/b978-0-12-409548-9.10432-4,,,"Protected Areas, Climate Change, and Ecosystem Sustainability",,Comprehensive Remote Sensing,,2018,2018,,,202-219,Closed,Chapter,"Southworth, J.; Ryan, S.J.; Bunting, E.; Herrero, H.V.; Nagendra, H.; Gibbes, C.; Agarwal, S.",,"Southworth, J. (University of Florida); Ryan, S.J. (University of Florida); Bunting, E. (University of Florida); Herrero, H.V. (University of Florida); Nagendra, H. (Azim Premji University); Gibbes, C. (University of Colorado Colorado Springs); Agarwal, S. (Ashoka Trust for Research in Ecology and the Environment)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1019561847,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
59,500,pub.1099707549,10.1371/journal.pntd.0006150,29253873,PMC5771672,"Social-ecological factors and preventive actions decrease the risk of dengue infection at the household-level: Results from a prospective dengue surveillance study in Machala, Ecuador",PLoS Neglected Tropical Diseases,,Adult; Aedes; Animals; Dengue; Dengue Virus; Disease Outbreaks; Ecuador; Epidemiological Monitoring; Family Characteristics; Female; Housing; Humans; Insect Vectors; Logistic Models; Male; Middle Aged; Mosquito Control; Prospective Studies; Risk Factors; Social Environment,12/18/17,2017,11,12,e0006150,All OA; Gold,Article,"Kenneson, Aileen; Beltrán-Ayala, Efraín; Borbor-Cordova, Mercy J.; Polhemus, Mark E.; Ryan, Sadie J.; Endy, Timothy P.; Stewart-Ibarra, Anna M.",,"Kenneson, Aileen (SUNY Upstate Medical University); Beltrán-Ayala, Efraín (Universidad Tecnica de Machala); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral); Polhemus, Mark E. (SUNY Upstate Medical University); Ryan, Sadie J. (SUNY Upstate Medical University; University of Florida; University of KwaZulu-Natal); Endy, Timothy P. (SUNY Upstate Medical University); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University)",7,7,0.91,3.72,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0006150&type=printable,https://app.dimensions.ai/details/publication/pub.1099707549,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
60,500,pub.1099597315,10.1186/s40249-017-0375-2,29228986,PMC5725972,"Addressing vulnerability, building resilience: community-based adaptation to vector-borne diseases in the context of global change",Infectious Diseases of Poverty,,Animals; Climate Change; Communicable Disease Control; Communicable Diseases; Disease Vectors; Humans; Sociological Factors,2017-12,2017,6,1,166,All OA; Gold,Article,"Bardosh, Kevin Louis; Ryan, Sadie J.; Ebi, Kris; Welburn, Susan; Singer, Burton","Bardosh, Kevin Louis","Bardosh, Kevin Louis (University of Florida); Ryan, Sadie J. (University of Florida); Ebi, Kris (University of Washington); Welburn, Susan (University of Edinburgh); Singer, Burton (University of Florida)",17,16,2.94,18.35,https://idpjournal.biomedcentral.com/track/pdf/10.1186/s40249-017-0375-2,https://app.dimensions.ai/details/publication/pub.1099597315,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
61,500,pub.1092908507,10.1186/s12936-017-2121-4,29166907,PMC5700746,Quantifying seasonal and diel variation in Anopheline and Culex human biting rates in Southern Ecuador,Malaria Journal,,"Animals; Anopheles; Circadian Rhythm; Culex; Ecuador; Feeding Behavior; Insect Bites and Stings; Models, Biological; Mosquito Vectors; Seasons; Species Specificity; Urban Population",2017-12,2017,16,1,479,All OA; Gold,Article,"Ryan, Sadie J.; Lippi, Catherine A.; Boersch-Supan, Philipp H.; Heydari, Naveed; Silva, Mercy; Adrian, Jefferson; Noblecilla, Leonardo F.; Ayala, Efraín B.; Encalada, Mayling D.; Larsen, David A.; Krisher, Jesse T.; Krisher, Lyndsay; Fregosi, Lauren; Stewart-Ibarra, Anna M.","Ryan, Sadie J.","Ryan, Sadie J. (University of Florida; SUNY Upstate Medical University; University of KwaZulu-Natal); Lippi, Catherine A. (University of Florida); Boersch-Supan, Philipp H. (University of Florida; University of South Florida); Heydari, Naveed (SUNY Upstate Medical University); Silva, Mercy (); Adrian, Jefferson (SUNY Upstate Medical University); Noblecilla, Leonardo F. (); Ayala, Efraín B. (Universidad Tecnica de Machala); Encalada, Mayling D. (); Larsen, David A. (Syracuse University); Krisher, Jesse T. (Cornell University); Krisher, Lyndsay (University of Colorado Anschutz Medical Campus); Fregosi, Lauren (University of Florida; Syracuse University); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University)",6,6,1.93,3.19,https://malariajournal.biomedcentral.com/track/pdf/10.1186/s12936-017-2121-4,https://app.dimensions.ai/details/publication/pub.1092908507,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
62,200,pub.1100339667,10.17125/fci2017.ch04,,,Climate Change Impacts on Human Health,,"Florida’s Climate: Changes, Variations, & Impacts",,11/29/17,2017,,,,All OA; Gold,Chapter,"Liang, Song; Kintziger, Kristina; Reaves, Phyllis; Ryan, Sadie",,"Liang, Song (); Kintziger, Kristina (); Reaves, Phyllis (); Ryan, Sadie ()",0,0,,,http://fsu.digital.flvc.org/islandora/object/fsu%3A539155/datastream/PDF/view,https://app.dimensions.ai/details/publication/pub.1100339667,,,,,,
63,500,pub.1092177002,10.3201/eid2311.171140,29048289,PMC5652428,"Outbreak of Zika Virus Infections, Dominica, 2016",Emerging Infectious Diseases,,"Adolescent; Adult; Aged; Aged, 80 and over; Child; Child, Preschool; Disease Outbreaks; Dominica; Female; Humans; Infant; Male; Middle Aged; Public Health; Young Adult; Zika Virus; Zika Virus Infection",2017-11,2017,23,11,1926-1927,All OA; Gold,Article,"Ryan, Sadie J.; Carlson, Colin J.; Stewart-Ibarra, Anna M.; Borbor-Cordova, Mercy J.; Romero, Moory M.; Cox, Shelly-Ann; Mahon, Roché; Trotman, Adrian; St. Ville, Sylvester; Ahmed, Shalauddin",,"Ryan, Sadie J. (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); Carlson, Colin J. (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); Stewart-Ibarra, Anna M. (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); Borbor-Cordova, Mercy J. (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); Romero, Moory M. (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); Cox, Shelly-Ann (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); Mahon, Roché (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); Trotman, Adrian (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); St. Ville, Sylvester (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology); Ahmed, Shalauddin (University of Florida; University of California, Berkeley; SUNY Upstate Medical University; Escuela Superior Politecnica del Litoral; Caribbean Institute for Meteorology and Hydrology)",9,9,0.61,3.11,https://doi.org/10.3201/eid2311.171140,https://app.dimensions.ai/details/publication/pub.1092177002,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
64,500,pub.1092131060,10.1016/j.vaccine.2017.09.081,28988866,,"Changing livestock vaccination policy alters the epidemiology of human anthrax, Georgia, 2000–2013",Vaccine,,"Adolescent; Adult; Aged; Aged, 80 and over; Animals; Anthrax; Anthrax Vaccines; Child; Child, Preschool; Epidemiological Monitoring; Ethnic Groups; Female; Georgia (Republic); Health Policy; Humans; Incidence; Infant; Male; Middle Aged; Spatial Analysis; Topography, Medical; Young Adult; Zoonoses",2017-11,2017,35,46,6283-6289,Closed,Article,"Kracalik, Ian; Malania, Lile; Broladze, Mariam; Navdarashvili, Archil; Imnadze, Paata; Ryan, Sadie J.; Blackburn, Jason K.","Blackburn, Jason K.","Kracalik, Ian (University of Florida); Malania, Lile (National Center for Disease Control and Public Health); Broladze, Mariam (National Center for Disease Control and Public Health); Navdarashvili, Archil (National Center for Disease Control and Public Health); Imnadze, Paata (National Center for Disease Control and Public Health); Ryan, Sadie J. (University of Florida); Blackburn, Jason K. (University of Florida)",5,5,1.06,2.66,,https://app.dimensions.ai/details/publication/pub.1092131060,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
65,500,pub.1092059285,10.1002/ece3.3461,29187966,PMC5696428,Changing measurements or changing movements? Sampling scale and movement model identifiability across generations of biologging technology,Ecology and Evolution,,,2017-11,2017,7,22,9257-9266,All OA; Gold,Article,"Johnson, Leah R.; Boersch‐Supan, Philipp H.; Phillips, Richard A.; Ryan, Sadie J.",,"Johnson, Leah R. (Virginia Tech; University of South Florida); Boersch‐Supan, Philipp H. (University of South Florida; University of Florida); Phillips, Richard A. (British Antarctic Survey); Ryan, Sadie J. (University of Florida)",3,3,0.47,1.21,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.3461,https://app.dimensions.ai/details/publication/pub.1092059285,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
66,100,pub.1091911078,10.1101/192773,,,Quantifying Seasonal and Diel Variation in Anopheline and Culex Human Biting Rates in Southern Ecuador,bioRxiv,,,9/22/17,2017,,,192773,"All OA; Green, Published",Preprint,"Ryan, Sadie J.; Lippi, Catherine A.; Boersch-Supan, Philipp H.; Heydari, Naveed; Silva, Mercy; Adrian, Jefferson; Noblecilla, Leonardo F; Ayala, Efrain B; Encalada, Mayling D; Larsen, David A; Krisher, Jesse T; Krisher, Lyndsay; Fregosi, Lauren; Stewart-Ibarra, Anna M",,"Ryan, Sadie J. (University of Florida); Lippi, Catherine A. (University of Florida); Boersch-Supan, Philipp H. (University of Florida); Heydari, Naveed (SUNY Upstate Medical University); Silva, Mercy (); Adrian, Jefferson (SUNY Upstate Medical University); Noblecilla, Leonardo F (); Ayala, Efrain B (Universidad Tecnica de Machala); Encalada, Mayling D (); Larsen, David A (Syracuse University); Krisher, Jesse T (Cornell University); Krisher, Lyndsay (University of Colorado Denver); Fregosi, Lauren (Syracuse University); Stewart-Ibarra, Anna M (SUNY Upstate Medical University)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/09/22/192773.full.pdf,https://app.dimensions.ai/details/publication/pub.1091911078,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
67,500,pub.1091232071,10.3390/tropicalmed2030039,30270896,PMC6082096,Polisye Kont Moustik: A Culturally Competent Approach to Larval Source Reduction in the Context of Lymphatic Filariasis and Malaria Elimination in Haiti,Tropical Medicine and Infectious Disease,,,8/18/17,2017,2,3,39,All OA; Gold,Article,"Bardosh, Kevin Louis; Jean, Lorence; Beau De Rochars, Valery Madsen; Lemoine, Jean Frantz; Okech, Bernard; Ryan, Sadie Jane; Welburn, Sue; Morris, J Glenn",,"Bardosh, Kevin Louis (University of Florida); Jean, Lorence (University of Florida); Beau De Rochars, Valery Madsen (University of Florida); Lemoine, Jean Frantz (); Okech, Bernard (University of Florida); Ryan, Sadie Jane (University of Florida); Welburn, Sue (University of Edinburgh); Morris, J Glenn (University of Florida)",3,3,0.68,1.59,https://www.mdpi.com/2414-6366/2/3/39/pdf,https://app.dimensions.ai/details/publication/pub.1091232071,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
68,100,pub.1091066258,10.1101/172221,,,Global expansion and redistribution of Aedes-borne virus transmission risk with climate change,bioRxiv,,,8/4/17,2017,,,172221,"All OA; Green, Published",Preprint,"Ryan, Sadie J.; Carlson, Colin J.; Mordecai, Erin A.; Johnson, Leah R.",,"Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Carlson, Colin J. (); Mordecai, Erin A. (Stanford University); Johnson, Leah R. ()",4,4,,2.13,https://www.biorxiv.org/content/biorxiv/early/2018/09/10/172221.full.pdf,https://app.dimensions.ai/details/publication/pub.1091066258,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
69,100,pub.1091919128,10.1101/147652,,,"Competition in the savanna: Models of species assemblages in Kruger National Park, South Africa",bioRxiv,,,6/8/17,2017,,,147652,"All OA; Green, Published",Preprint,"Ryan, Sadie J.; Ladau, Joshua",,"Ryan, Sadie J. (University of Florida); Ladau, Joshua (Gladstone Institutes)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/06/08/147652.full.pdf,https://app.dimensions.ai/details/publication/pub.1091919128,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
70,200,pub.1090287673,10.1002/rse2.53,,,Remote Sensing in Ecology and Conservation: three years on,Remote Sensing in Ecology and Conservation,,,2017-06,2017,3,2,53-56,All OA; Gold,Article,"Pettorelli, Nathalie; Nagendra, Harini; Rocchini, Duccio; Rowcliffe, Marcus; Williams, Rob; Ahumada, Jorge; De Angelo, Carlos; Atzberger, Clement; Boyd, Doreen; Buchanan, Graeme; Chauvenet, Alienor; Disney, Mathias; Duncan, Clare; Fatoyinbo, Temilola; Fernandez, Nestor; Haklay, Muki; He, Kate; Horning, Ned; Kelly, Natalie; Klerk, Helen; Liu, Xuehua; Merchant, Nathan; Paruelo, José; Roy, Helen; Roy, Shovonlal; Ryan, Sadie; Sollmann, Rahel; Swenson, Jennifer; Wegmann, Martin",,"Pettorelli, Nathalie (Zoological Society of London); Nagendra, Harini (Azim Premji University); Rocchini, Duccio (University of Trento); Rowcliffe, Marcus (Zoological Society of London); Williams, Rob (); Ahumada, Jorge (Conservation International); De Angelo, Carlos (National University of Misiones); Atzberger, Clement (University of Natural Resources and Life Sciences); Boyd, Doreen (University of Nottingham); Buchanan, Graeme (); Chauvenet, Alienor (University of Queensland); Disney, Mathias (University College London); Duncan, Clare (Deakin University); Fatoyinbo, Temilola (Goddard Space Flight Center); Fernandez, Nestor (); Haklay, Muki (University College London); He, Kate (Murray State University); Horning, Ned (American Museum of Natural History); Kelly, Natalie (); Klerk, Helen (Stellenbosch University); Liu, Xuehua (Tsinghua University); Merchant, Nathan (Centre for Environment, Fisheries and Aquaculture Science); Paruelo, José (National Scientific and Technical Research Council); Roy, Helen (Centre for Ecology and Hydrology); Roy, Shovonlal (University of Reading); Ryan, Sadie (University of Florida); Sollmann, Rahel (University of California, Davis); Swenson, Jennifer (Duke University); Wegmann, Martin (University of Würzburg)",5,5,,,https://doi.org/10.1002/rse2.53,https://app.dimensions.ai/details/publication/pub.1090287673,,,,,,
71,100,pub.1091916636,10.1101/138396,,,Consensus and conflict among ecological forecasts of Zika virus outbreaks in the United States,bioRxiv,,,5/16/17,2017,,,138396,"All OA; Green, Published",Preprint,"Carlson, Colin J; Dougherty, Eric; Boots, Mike; Getz, Wayne; Ryan, Sadie",,"Carlson, Colin J (University of California, Berkeley); Dougherty, Eric (University of California, Berkeley); Boots, Mike (University of California, Berkeley); Getz, Wayne (University of California, Berkeley); Ryan, Sadie (University of Florida)",0,0,,0,http://europepmc.org/articles/pmc5862882?pdf=render,https://app.dimensions.ai/details/publication/pub.1091916636,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
72,100,pub.1085429635,10.1101/136382,,,"Social-Ecological Factors And Preventive Actions Decrease The Risk Of Dengue Infection At The Household-Level: Results From A Prospective Dengue Surveillance Study In Machala, Ecuador",bioRxiv,,,5/15/17,2017,,,136382,"All OA; Green, Published",Preprint,"Kenneson, Aileen; Beltran-Ayala, Efrain; Borbor-Cordova, Mercy J.; Polhemus, Mark E.; Ryan, Sadie; Endy, Timothy P.; Stewart-Ibarra, Anna",,"Kenneson, Aileen (SUNY Upstate Medical University); Beltran-Ayala, Efrain (Universidad Tecnica de Machala); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral); Polhemus, Mark E. (SUNY Upstate Medical University); Ryan, Sadie (University of Florida); Endy, Timothy P. (SUNY Upstate Medical University); Stewart-Ibarra, Anna (SUNY Upstate Medical University)",3,2,,1.59,https://www.biorxiv.org/content/biorxiv/early/2017/09/22/136382.full.pdf,https://app.dimensions.ai/details/publication/pub.1085429635,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
73,500,pub.1085082474,10.1371/journal.pntd.0005568,28448507,PMC5423694,"Detecting the impact of temperature on transmission of Zika, dengue, and chikungunya using mechanistic models",PLoS Neglected Tropical Diseases,,"Aedes; Animals; Chikungunya Fever; Dengue; Disease Transmission, Infectious; Female; Humans; Models, Statistical; Mosquito Vectors; Seasons; Temperature; Topography, Medical; Zika Virus Infection",4/27/17,2017,11,4,e0005568,All OA; Gold,Article,"Mordecai, Erin A.; Cohen, Jeremy M.; Evans, Michelle V.; Gudapati, Prithvi; Johnson, Leah R.; Lippi, Catherine A.; Miazgowicz, Kerri; Murdock, Courtney C.; Rohr, Jason R.; Ryan, Sadie J.; Savage, Van; Shocket, Marta S.; Ibarra, Anna Stewart; Thomas, Matthew B.; Weikel, Daniel P.",,"Mordecai, Erin A. (Stanford University); Cohen, Jeremy M. (University of South Florida); Evans, Michelle V. (Virginia Tech); Gudapati, Prithvi (Stanford University); Johnson, Leah R. (University of South Florida; Virginia Tech); Lippi, Catherine A. (University of Florida); Miazgowicz, Kerri (University of Georgia); Murdock, Courtney C. (University of Georgia); Rohr, Jason R. (University of South Florida); Ryan, Sadie J. (University of Florida; SUNY Upstate Medical University; University of KwaZulu-Natal); Savage, Van (University of California Los Angeles; Santa Fe Institute); Shocket, Marta S. (Stanford University; Indiana University Bloomington); Ibarra, Anna Stewart (SUNY Upstate Medical University); Thomas, Matthew B. (Pennsylvania State University); Weikel, Daniel P. (University of Michigan)",126,106,15.61,66.97,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0005568&type=printable,https://app.dimensions.ai/details/publication/pub.1085082474,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
74,200,pub.1012370630,10.1111/2041-210x.12679,,,deBInfer: Bayesian inference for dynamical models of biological systems in R,Methods in Ecology and Evolution,,,2017-04,2017,8,4,511-518,"All OA; Green, Accepted & Submitted",Article,"Boersch‐Supan, Philipp H.; Ryan, Sadie J.; Johnson, Leah R.",,"Boersch‐Supan, Philipp H. (University of South Florida; University of Florida); Ryan, Sadie J. (University of Florida); Johnson, Leah R. (University of South Florida; Virginia Tech)",7,7,,2.87,http://arxiv.org/pdf/1605.00021,https://app.dimensions.ai/details/publication/pub.1012370630,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
