,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Robert R Warner. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,100,pub.1029845705,10.1890/1540-9295(2003)001[0073:nwhttt]2.0.co;2,,,New wave: high‐tech tools to help marine reserve research,Frontiers in Ecology and the Environment,,,2003-03,2003,1,2,73-79,Closed,Article,"Palumbi, Stephen R.; Gaines, Steven D.; Leslie, Heather; Warner, Robert R.",,"Palumbi, Stephen R. (Stanford University); Gaines, Steven D. (University of California, Santa Barbara); Leslie, Heather (Oregon State University); Warner, Robert R. (University of California, Santa Barbara)",49,4,,5.28,,https://app.dimensions.ai/details/publication/pub.1029845705,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
70,100,pub.1037149741,10.1890/1051-0761(2003)013[0215:aoecis]2.0.co;2,,,APPLICATION OF ECOLOGICAL CRITERIA IN SELECTING MARINE RESERVES AND DEVELOPING RESERVE NETWORKS,Ecological Applications,,,2003-02,2003,13,sp1,215-228,All OA; Gold,Article,"Roberts, Callum M.; Branch, George; Bustamante, Rodrigo H.; Castilla, Juan Carlos; Dugan, Jenifer; Halpern, Benjamin S.; Lafferty, Kevin D.; Leslie, Heather; Lubchenco, Jane; McArdle, Deborah; Ruckelshaus, Mary; Warner, Robert R.",,"Roberts, Callum M. (University of York); Branch, George (University of Cape Town); Bustamante, Rodrigo H. (Charles Darwin Foundation); Castilla, Juan Carlos (Pontifical Catholic University of Chile); Dugan, Jenifer (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Leslie, Heather (Oregon State University); Lubchenco, Jane (Oregon State University); McArdle, Deborah (University of California, Santa Barbara); Ruckelshaus, Mary (Northwest Fisheries Science Center); Warner, Robert R. (University of California, Santa Barbara)",191,17,,18.44,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/1051-0761%282003%29013%5B0215%3AAOECIS%5D2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1037149741,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
71,100,pub.1016549788,10.1890/1051-0761(2003)013[0090:cmatei]2.0.co;2,,,COMPARING MARINE AND TERRESTRIAL ECOSYSTEMS: IMPLICATIONS FOR THE DESIGN OF COASTAL MARINE RESERVES,Ecological Applications,,,2003-02,2003,13,sp1,90-107,All OA; Gold,Article,"Carr, Mark H.; Neigel, Joseph E.; Estes, James A.; Andelman, Sandy; Warner, Robert R.; Largier, John L.",,"Carr, Mark H. (University of California, Santa Cruz); Neigel, Joseph E. (University of Louisiana at Lafayette); Estes, James A. (University of California, Santa Cruz); Andelman, Sandy (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara); Largier, John L. (University of California, San Diego)",243,34,,23.46,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/1051-0761%282003%29013%5B0090%3ACMATEI%5D2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1016549788,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
72,100,pub.1016146650,10.1890/1051-0761(2003)013[0199:ecfecs]2.0.co;2,,,ECOLOGICAL CRITERIA FOR EVALUATING CANDIDATE SITES FOR MARINE RESERVES,Ecological Applications,,,2003-02,2003,13,sp1,199-214,All OA; Gold,Article,"Roberts, Callum M.; Andelman, Sandy; Branch, George; Bustamante, Rodrigo H.; Castilla, Juan Carlos; Dugan, Jenifer; Halpern, Benjamin S.; Lafferty, Kevin D.; Leslie, Heather; Lubchenco, Jane; McArdle, Deborah; Possingham, Hugh P.; Ruckelshaus, Mary; Warner, Robert R.",,"Roberts, Callum M. (University of York); Andelman, Sandy (University of California, Santa Barbara); Branch, George (University of Cape Town); Bustamante, Rodrigo H. (Charles Darwin Foundation); Castilla, Juan Carlos (Pontifical Catholic University of Chile); Dugan, Jenifer (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Leslie, Heather (Oregon State University); Lubchenco, Jane (Oregon State University); McArdle, Deborah (University of California, Santa Barbara); Possingham, Hugh P. (University of Adelaide); Ruckelshaus, Mary (Northwest Fisheries Science Center); Warner, Robert R. (University of California, Santa Barbara)",273,27,,26.35,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/1051-0761%282003%29013%5B0199%3AECFECS%5D2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1016146650,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
73,100,pub.1008532485,10.1890/1051-0761(2003)013[0170:aectmr]2.0.co;2,,,APPLYING ECOLOGICAL CRITERIA TO MARINE RESERVE DESIGN: A CASE STUDY FROM THE CALIFORNIA CHANNEL ISLANDS,Ecological Applications,,,2003-02,2003,13,sp1,170-184,All OA; Gold,Article,"Airamé, Satie; Dugan, Jenifer E.; Lafferty, Kevin D.; Leslie, Heather; McArdle, Deborah A.; Warner, Robert R.",,"Airamé, Satie (); Dugan, Jenifer E. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Leslie, Heather (Oregon State University); McArdle, Deborah A. (); Warner, Robert R. (University of California, Santa Barbara)",218,25,,23.51,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/1051-0761%282003%29013%5B0170%3AAECTMR%5D2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1008532485,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
74,200,pub.1062447778,10.1126/science.1080775,12511632,,Why Gobies Are Like Hobbits,Science,,"Animals; Anthozoa; Atlantic Ocean; Bahamas; Caribbean Region; Color; Ecosystem; Genetic Drift; Genetic Variation; Genetics, Population; Geography; Haplotypes; Larva; Mitochondria; Otolithic Membrane; Perciformes; Phylogeny; Polymerase Chain Reaction",1/3/03,2003,299,5603,51-52,Closed,Article,"Palumbi, Stephen R.; Warner, Robert R.",,"Palumbi, Stephen R. (Stanford University); Warner, Robert R. (University of California, Santa Barbara)",42,3,0.46,,,https://app.dimensions.ai/details/publication/pub.1062447778,,,,,,
75,200,pub.1071176763,10.3354/meps248297,,,Trace elemental fingerprinting of gastropod statoliths to study larval dispersal trajectories,Marine Ecology Progress Series,,,2003,2003,248,,297-303,All OA; Gold,Article,"Zacherl, DC; Manríquez, PH; Paradis, G; Day, RW; Castilla, JC; Warner, RR; Lea, DW; Gaines, SD",,"Zacherl, DC (); Manríquez, PH (); Paradis, G (); Day, RW (); Castilla, JC (); Warner, RR (); Lea, DW (); Gaines, SD ()",53,3,,4.67,https://www.int-res.com/articles/meps2003/248/m248p297.pdf,https://app.dimensions.ai/details/publication/pub.1071176763,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
76,100,pub.1010262310,10.1046/j.1461-0248.2002.00326.x,,,Marine reserves have rapid and lasting effects,Ecology Letters,,,2002-05,2002,5,3,361-366,Closed,Article,"Halpern, Benjamin S.; Warner, Robert R.",,"Halpern, Benjamin S. (); Warner, Robert R. (University of California, Santa Barbara)",397,38,,35.11,,https://app.dimensions.ai/details/publication/pub.1010262310,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
77,400,pub.1006839889,10.1126/science.1059199,11474098,,Historical Overfishing and the Recent Collapse of Coastal Ecosystems,Science,,Animals; Archaeology; Bacteria; Cnidaria; Conservation of Natural Resources; Ecosystem; Eutrophication; Fishes; Geologic Sediments; Humans; Marine Biology; Seaweed; Shellfish; Time Factors,7/27/01,2001,293,5530,629-637,"All OA; Green, Accepted & Submitted",Article,"Jackson, Jeremy B. C.; Kirby, Michael X.; Berger, Wolfgang H.; Bjorndal, Karen A.; Botsford, Louis W.; Bourque, Bruce J.; Bradbury, Roger H.; Cooke, Richard; Erlandson, Jon; Estes, James A.; Hughes, Terence P.; Kidwell, Susan; Lange, Carina B.; Lenihan, Hunter S.; Pandolfi, John M.; Peterson, Charles H.; Steneck, Robert S.; Tegner, Mia J.; Warner, Robert R.",,"Jackson, Jeremy B. C. (University of California, San Diego; Smithsonian Tropical Research Institute); Kirby, Michael X. (University of California, Santa Barbara); Berger, Wolfgang H. (University of California, San Diego); Bjorndal, Karen A. (University of Florida); Botsford, Louis W. (University of California, Davis); Bourque, Bruce J. (Bates College); Bradbury, Roger H. (Australian National University); Cooke, Richard (Smithsonian Tropical Research Institute); Erlandson, Jon (University of Oregon); Estes, James A. (University of California, Santa Cruz); Hughes, Terence P. (James Cook University); Kidwell, Susan (); Lange, Carina B. (University of California, San Diego); Lenihan, Hunter S. (University of North Carolina at Chapel Hill); Pandolfi, John M. (National Museum of Natural History); Peterson, Charles H. (University of North Carolina at Chapel Hill); Steneck, Robert S. (University of Maine); Tegner, Mia J. (University of California, San Diego); Warner, Robert R. (University of California, Santa Barbara)",3450,513,23.76,352.17,https://repository.si.edu/bitstream/handle/10088/1463/jacksonsciencepaper.pdf,https://app.dimensions.ai/details/publication/pub.1006839889,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
78,200,pub.1027671339,10.1111/j.1526-4629.2001.tb00012.x,,,"Designing Marine Reserve Networks Why Small, Isolated Protected Areas Are Not Enough",Conservation,,,2001-07,2001,2,3,17-Oct,Closed,Article,"Roberts, Callum M.; Halpern, Benjamin; Palumbi, Stephen R.; Warner, Robert R.",,"Roberts, Callum M. (); Halpern, Benjamin (); Palumbi, Stephen R. (); Warner, Robert R. ()",64,6,,,,https://app.dimensions.ai/details/publication/pub.1027671339,,,,,,
79,100,pub.1017407312,10.1093/beheco/12.2.237,,,"Components of fertilization success in the bluehead wrasse, Thalassoma bifasciatum",Behavioral Ecology,,,3/1/01,2001,12,2,237-245,All OA; Gold,Article,"Petersen, Christopher W.; Warner, Robert R.; Shapiro, Douglas Y.; Marconato, Andrea",,"Petersen, Christopher W. (); Warner, Robert R. (); Shapiro, Douglas Y. (); Marconato, Andrea ()",37,5,,2.96,https://academic.oup.com/beheco/article-pdf/12/2/237/9742073/120237.pdf,https://app.dimensions.ai/details/publication/pub.1017407312,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
80,400,pub.1058610924,10.1086/303391,29587505,,Allocation to Mate Guarding or Increased Sperm Production in a Mediterranean Wrasse.,The American Naturalist,,,2000-09,2000,156,3,266-275,Closed,Article,"Alonzo, Suzanne H; Warner, Robert R",,"Alonzo, Suzanne H (); Warner, Robert R ()",76,11,0.98,,,https://app.dimensions.ai/details/publication/pub.1058610924,06 Biological Sciences,06 Biological Sciences,,,,
81,400,pub.1039493963,10.1046/j.1365-294x.2000.00984.x,10972779,,Relative fitness components measured with competitive PCR,Molecular Ecology,,Animals; Female; Larva; Male; Microsatellite Repeats; Paternity; Perciformes; Polymerase Chain Reaction; Spermatozoa,2000-09,2000,9,9,1409-1414,Closed,Article,"Wooninck, L. M.; Warner, R. R.; Fleischer, R. C.",,"Wooninck, L. M. (); Warner, R. R. (); Fleischer, R. C. (National Zoological Park)",10,0,0.22,0.74,,https://app.dimensions.ai/details/publication/pub.1039493963,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
82,100,pub.1001237420,10.1093/beheco/11.4.444,,,Courtship displays and coloration as indicators of safety rather than of male quality : the safety assurance hyposthesis,Behavioral Ecology,,,2000-07,2000,11,4,444-451,All OA; Gold,Article,"Warner, Robert R.; Dill, and Lawrence M.",,"Warner, Robert R. (); Dill, and Lawrence M. ()",20,1,,1.49,https://academic.oup.com/beheco/article-pdf/11/4/444/13132160/bhec-11-04-0444.pdf,https://app.dimensions.ai/details/publication/pub.1001237420,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
83,100,pub.1024118621,10.1093/beheco/11.1.56,,,"Dynamic games and field experiments examining intra- and intersexual conflict: explaining counterintuitive mating behavior in a Mediterranean wrasse, Symphodus ocellatus",Behavioral Ecology,,,1/1/00,2000,11,1,56-70,All OA; Gold,Article,"Alonzo, Suzanne H.; Warner, Robert R.",,"Alonzo, Suzanne H. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",55,6,,6.54,https://academic.oup.com/beheco/article-pdf/11/1/56/9742024/110056.pdf,https://app.dimensions.ai/details/publication/pub.1024118621,0602 Ecology; 0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,
84,400,pub.1008862110,10.1159/000006643,10838478,,Hypothalamic Arginine Vasotocin mRNA Abundance Variation Across Sexes and with Sex Change in a Coral Reef Fish,Brain Behavior and Evolution,,"Animals; Female; Fishes; Gonads; Hermaphroditic Organisms; Hypothalamus; Male; Phenotype; Preoptic Area; RNA, Messenger; Sex Determination Processes; Vasotocin",2000,2000,55,2,77-84,Closed,Article,"Godwin, John; Sawby, Ryan; Warner, Robert R.; Crews, David; Grober, Matthew S.",,"Godwin, John (The University of Texas at Austin); Sawby, Ryan (The University of Texas at Austin); Warner, Robert R. (The University of Texas at Austin); Crews, David (The University of Texas at Austin); Grober, Matthew S. (The University of Texas at Austin)",113,9,2.68,7.21,,https://app.dimensions.ai/details/publication/pub.1008862110,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
85,100,pub.1017065043,10.1038/45533,,,Larval retention and recruitment in an island population of a coral-reef fish,Nature,,,1999-12,1999,402,6763,799-802,Closed,Article,"Swearer, Stephen E.; Caselle, Jennifer E.; Lea, David W.; Warner, Robert R.","Swearer, Stephen E.","Swearer, Stephen E. (); Caselle, Jennifer E. (); Lea, David W. (University of California, Santa Barbara); Warner, Robert R. ()",490,27,,,,https://app.dimensions.ai/details/publication/pub.1017065043,0602 Ecology; 0405 Oceanography; 0704 Fisheries Sciences; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0704 Fisheries Sciences,06 Biological Sciences,04 Earth Sciences
86,100,pub.1025805810,10.1093/beheco/10.6.666,,,Reproductive decision-making by female peacock wrasses: flexible versus fixed behavioral rules in variable environments,Behavioral Ecology,,,11/1/99,1999,10,6,666-674,All OA; Gold,Article,"Luttbeg, Barney; Warner, Robert R.",,"Luttbeg, Barney (); Warner, Robert R. ()",23,0,,,https://academic.oup.com/beheco/article-pdf/10/6/666/9742008/100666.pdf,https://app.dimensions.ai/details/publication/pub.1025805810,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
87,100,pub.1046999863,10.1093/beheco/10.1.105,,,A trade-off generated by sexual conflict: Mediterranean wrasse males refuse present mates to increase future success,Behavioral Ecology,,,1/1/99,1999,10,1,105-111,All OA; Gold,Article,"Alonzo, Suzanne Henson; Warner, Robert R.",,"Alonzo, Suzanne Henson (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",41,5,,,https://academic.oup.com/beheco/article-pdf/10/1/105/9741918/100105.pdf,https://app.dimensions.ai/details/publication/pub.1046999863,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
88,100,pub.1011838668,10.1111/j.1095-8649.1998.tb01019.x,,,The role of extreme iteroparity and risk avoidance in the evolution of mating systems,Journal of Fish Biology,,,1998-12,1998,53,sA,82-93,Closed,Article,"Warner, R. R.",,"Warner, R. R. (University of California, Santa Barbara)",26,2,,,,https://app.dimensions.ai/details/publication/pub.1011838668,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
89,100,pub.1083349293,,9819911,,"Characterization of microsatellite loci in a pelagic spawner: the bluehead wrasse, Thalassoma bifasciatum.",Molecular Ecology,,"Alleles; Animals; Base Sequence; DNA Primers; Female; Fishes; Genetics, Population; Male; Microsatellite Repeats; Molecular Sequence Data; Reproduction; United States Virgin Islands",1998-11,1998,7,11,1613-4,Closed,Article,"Wooninck, L; Strassmann, J E; Fleischer, R C; Warner, R R",,"Wooninck, L (University of California, Santa Barbara); Strassmann, J E (); Fleischer, R C (); Warner, R R ()",14,0,0.14,,,https://app.dimensions.ai/details/publication/pub.1083349293,06 Biological Sciences,06 Biological Sciences,,,,
90,100,pub.1017737060,10.1016/b978-012100543-6/50036-2,,,11 Sperm Competition in Fishes,,Sperm Competition and Sexual Selection,,1998,1998,,Environ. Biol. Fish.221988,435-463,Closed,Chapter,"Petersen, C.W.; Warner, R.R.",,"Petersen, C.W. (College of the Atlantic); Warner, R.R. (University of California, Santa Barbara)",91,5,,,,https://app.dimensions.ai/details/publication/pub.1017737060,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
91,100,pub.1034259086,10.1146/annurev.ecolsys.28.1.571,,,MALE AND FEMALE ALTERNATIVE REPRODUCTIVE BEHAVIORS IN FISHES:A New Approach Using Intersexual Dynamics,Annual Review of Ecology Evolution and Systematics,,,1997-11,1997,28,1,571-592,Closed,Article,"Henson and, S. A.; Warner, R. R.",,"Henson and, S. A. (University of California, Santa Barbara); Warner, R. R. (University of California, Santa Barbara)",101,11,,,,https://app.dimensions.ai/details/publication/pub.1034259086,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
92,200,pub.1069435288,10.2307/1313162,,,Sperm Allocation in Coral Reef FishesStrategies for coping with demands on sperm production,BioScience,,,1997-10,1997,47,9,561-564,All OA; Gold,Article,"Warner, Robert R.",,"Warner, Robert R. ()",34,0,,,https://academic.oup.com/bioscience/article-pdf/47/9/561/594654/47-9-561.pdf,https://app.dimensions.ai/details/publication/pub.1069435288,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
93,100,pub.1013122395,10.1007/s003380050247,,,Evolutionary ecology: how to reconcile pelagic dispersal with local adaptation,Coral Reefs,,,1997-06,1997,16,Suppl 1,s115-s120,Closed,Article,"Warner, R. R.",,"Warner, R. R. (University of California, Santa Barbara)",56,3,,,,https://app.dimensions.ai/details/publication/pub.1013122395,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
94,200,pub.1071174400,10.3354/meps161061,,,Methodological analysis of fertilization rate in the bluehead wrasse Thalassoma bifasciatum:pair versus group spawns,Marine Ecology Progress Series,,,1997,1997,161,,61-70,All OA; Gold,Article,"Marconato, A; Shapiro, DY; Petersen, CW; Warner, RR; Yoshikawa, T",,"Marconato, A (); Shapiro, DY (); Petersen, CW (); Warner, RR (); Yoshikawa, T ()",19,0,,,https://www.int-res.com/articles/meps/161/m161p061.pdf,https://app.dimensions.ai/details/publication/pub.1071174400,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
95,400,pub.1012887807,10.1098/rspb.1996.0246,9025314,,Behavioural Sex Change in the Absence of Gonads in a Coral Reef Fish,Proceedings of The Royal Society B Biological Sciences,,"Animals; Female; Fishes; Hermaphroditic Organisms; Male; Orchiectomy; Ovariectomy; Ovary; Phenotype; Sex Determination Processes; Sexual Behavior, Animal; Testis",12/22/96,1996,263,1377,1683-1688,Closed,Article,"Godwin, J; Crews, D; Warner, R R",,"Godwin, J (The University of Texas at Austin); Crews, D (); Warner, R R ()",78,7,1.73,,,https://app.dimensions.ai/details/publication/pub.1012887807,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
96,200,pub.1069855009,10.2307/2265748,,,Variability in Recruitment of Coral Reef Fishes: The Importance of Habitat at Two Spatial Scales,Ecology,,,1996-12,1996,77,8,2488-2504,Closed,Article,"Caselle, Jennifer E.; Warner, Robert R.",,"Caselle, Jennifer E. (); Warner, Robert R. ()",94,7,,,,https://app.dimensions.ai/details/publication/pub.1069855009,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
97,100,pub.1030315930,10.1016/0022-0981(96)02582-8,,,"Social control of sex change in the shelf limpet, Crepidula norrisiarum: size-specific responses to local group composition",Journal of Experimental Marine Biology and Ecology,,,1996-10,1996,204,2-Jan,155-167,Closed,Article,"Warner, Robert R.; Fitch, David L.; Standish, Julie D.","Warner, Robert R.","Warner, Robert R. (); Fitch, David L. (); Standish, Julie D. ()",52,9,,,,https://app.dimensions.ai/details/publication/pub.1030315930,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
98,100,pub.1025480214,10.1007/bf00008248,,,"Large mating aggregations and daily long-distance spawning migrations in the bluehead wrasse,Thalassoma bifasciatum",Environmental Biology of Fishes,,,1995-12,1995,44,4,337-345,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. (University of California, Santa Barbara)",36,2,,,,https://app.dimensions.ai/details/publication/pub.1025480214,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
99,400,pub.1049986283,10.1098/rspb.1995.0187,8524908,,Sexual Conflict: Males with Highest Mating Success Convey the Lowest Fertilization Benefits to Females,Proceedings of The Royal Society B Biological Sciences,,"Animals; Female; Fishes; Male; Sexual Behavior, Animal",11/22/95,1995,262,1364,135-139,Closed,Article,"Warner, R R; Shapiro, D Y; Marcanato, A; Petersen, C W",,"Warner, R R (University of California, Santa Barbara); Shapiro, D Y (); Marcanato, A (); Petersen, C W ()",191,14,3.09,,,https://app.dimensions.ai/details/publication/pub.1049986283,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
100,100,pub.1043193990,10.1006/tpbi.1995.1016,,,The Dynamics of Territory Acquisition: A Model of Two Coexisting Strategies,Theoretical Population Biology,,,1995-06,1995,47,3,347-364,Closed,Article,"Dunham, M.L.; Warner, R.R.; Lawson, J.W.",,"Dunham, M.L. (); Warner, R.R. (); Lawson, J.W. ()",8,2,,,,https://app.dimensions.ai/details/publication/pub.1043193990,0602 Ecology; 0501 Ecological Applications; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0501 Ecological Applications,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
101,200,pub.1059407087,10.1093/beheco/6.1.73,,,Dynamics of female choice for parental care in a fish species where care is facultative,Behavioral Ecology,,,1995,1995,6,1,73-81,Closed,Article,"Warner, Robert R.; Wernerus, François; Lejeune, Pierre; van den Berghe, Eric",,"Warner, Robert R. (); Wernerus, François (); Lejeune, Pierre (); van den Berghe, Eric ()",23,1,,,,https://app.dimensions.ai/details/publication/pub.1059407087,0602 Ecology; 0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,
102,400,pub.1085734584,10.1111/j.1558-5646.1992.tb01134.x,28569004,,"SEXUAL SELECTION AND MALE CHARACTERISTICS IN THE BLUEHEAD WRASSE, THALASSOMA BIFASCIATUM: MATING SITE ACQUISITION, MATING SITE DEFENSE, AND FEMALE CHOICE",Evolution,,,1992-10,1992,46,5,1421-1442,All OA; Gold,Article,"Warner, Robert R; Schultz, Eric T",,"Warner, Robert R (University of California, Santa Barbara); Schultz, Eric T (University of California, Santa Barbara)",72,4,0.61,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.1992.tb01134.x,https://app.dimensions.ai/details/publication/pub.1085734584,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
103,200,pub.1069918834,10.2307/2409947,,,"Sexual Selection and Male Characteristics in the Bluehead Wrasse, Thalassoma bifasciatum: Mating Site Acquisition, Mating Site Defense, and Female Choice",Evolution,,,1992-10,1992,46,5,1421,Closed,Article,"Warner, Robert R.; Schultz, Eric T.",,"Warner, Robert R. (); Schultz, Eric T. ()",56,1,,,,https://app.dimensions.ai/details/publication/pub.1069918834,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
104,100,pub.1007199713,10.2307/1940747,,,Variable Pelagic Fertilization Success: Implications for Mate Choice and Spatial Patterns of Mating,Ecology,,,1992-04,1992,73,2,391-401,Closed,Article,"Petersen, Christopher W.; Warner, Robert R.; Cohen, Sarah; Hess, Helen C.; Sewell, Amy T.",,"Petersen, Christopher W. (); Warner, Robert R. (); Cohen, Sarah (); Hess, Helen C. (); Sewell, Amy T. ()",60,1,,,,https://app.dimensions.ai/details/publication/pub.1007199713,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
105,200,pub.1058595417,10.1086/285294,,,Energetic Constraints and Size-Based Tactics: The Adaptive Significance of Breeding-Schedule Variation in a Marine Fish (Embiotocidae: Micrometrus minimus),The American Naturalist,,,1991-12,1991,138,6,1408-1430,Closed,Article,"Schultz, Eric T.; Clifton, Lisa M.; Warner, Robert R.",,"Schultz, Eric T. (); Clifton, Lisa M. (); Warner, Robert R. ()",48,1,,,,https://app.dimensions.ai/details/publication/pub.1058595417,06 Biological Sciences,06 Biological Sciences,,,,
106,400,pub.1069532310,10.2307/1542090,29304633,,"Social Control of Sex Change in the Bluehead Wrasse, Thalassoma bifasciatum (Pisces: Labridae).",Biological Bulletin,,,1991-10,1991,181,2,199-204,Closed,Article,"Warner, R R; Swearer, S E",,"Warner, R R (); Swearer, S E ()",140,19,2.2,,,https://app.dimensions.ai/details/publication/pub.1069532310,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
107,100,pub.1014267758,10.1016/s0003-3472(05)80341-0,,,"Male parental care and female choice in the bicolor damselfish, Stegastes partitus: bigger is not always better",Animal Behaviour,,,1991-05,1991,41,5,747-756,Closed,Article,"Knapp, Roland A.; Warner, Robert R.",,"Knapp, Roland A. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",58,5,,,,https://app.dimensions.ai/details/publication/pub.1014267758,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
108,100,pub.1024124398,10.1007/bf02028849,,,Phenotypic plasticity in life-history traits of femaleThalassoma bifasciatum (Pisces: Labridae): 2. Correlation of fecundity and growth rate in comparative studies,Environmental Biology of Fishes,,,1991-02,1991,30,3,333-344,Closed,Article,"Schultz, Eric T.; Warner, Robert R.",,"Schultz, Eric T. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",30,1,,,,https://app.dimensions.ai/details/publication/pub.1024124398,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
