,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Trevor W Hayton. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,200,pub.1030332335,10.1002/anie.201301041,,,Inside Cover: A Rare Uranyl(VI)–Alkyl Ate Complex [Li(DME)1.5]2[UO2(CH2SiMe3)4] and Its Comparison with a Homoleptic Uranium(VI)–Hexaalkyl (Angew. Chem. Int. Ed. 11/2013),Angewandte Chemie International Edition,,,3/11/13,2013,52,11,3038-3038,All OA; Gold,Article,"Seaman, Lani A.; Hrobárik, Peter; Schettini, Michael F.; Fortier, Skye; Kaupp, Martin; Hayton, Trevor W.",,"Seaman, Lani A. (University of California, Santa Barbara); Hrobárik, Peter (Technical University of Berlin; Institute of Inorganic Chemistry); Schettini, Michael F. (University of California, Santa Barbara); Fortier, Skye (University of California, Santa Barbara); Kaupp, Martin (Technical University of Berlin); Hayton, Trevor W. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201301041,https://app.dimensions.ai/details/publication/pub.1030332335,03 Chemical Sciences,03 Chemical Sciences,,,,
66,200,pub.1011012184,10.1002/ange.201301041,,,Innentitelbild: A Rare Uranyl(VI)–Alkyl Ate Complex [Li(DME)1.5]2[UO2(CH2SiMe3)4] and Its Comparison with a Homoleptic Uranium(VI)–Hexaalkyl (Angew. Chem. 11/2013),Angewandte Chemie,,,3/11/13,2013,125,11,3116-3116,All OA; Gold,Article,"Seaman, Lani A.; Hrobárik, Peter; Schettini, Michael F.; Fortier, Skye; Kaupp, Martin; Hayton, Trevor W.",,"Seaman, Lani A. (University of California, Santa Barbara); Hrobárik, Peter (Technical University of Berlin; Institute of Inorganic Chemistry); Schettini, Michael F. (University of California, Santa Barbara); Fortier, Skye (University of California, Santa Barbara); Kaupp, Martin (Technical University of Berlin); Hayton, Trevor W. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ange.201301041,https://app.dimensions.ai/details/publication/pub.1011012184,,,,,,
67,100,pub.1020050605,10.1002/ange.201209611,,,A Rare Uranyl(VI)–Alkyl Ate Complex [Li(DME)1.5]2[UO2(CH2SiMe3)4] and Its Comparison with a Homoleptic Uranium(VI)–Hexaalkyl,Angewandte Chemie,,,3/11/13,2013,125,11,3341-3345,Closed,Article,"Seaman, Lani A.; Hrobárik, Peter; Schettini, Michael F.; Fortier, Skye; Kaupp, Martin; Hayton, Trevor W.",,"Seaman, Lani A. (University of California, Santa Barbara); Hrobárik, Peter (Technical University of Berlin; Institute of Inorganic Chemistry); Schettini, Michael F. (University of California, Santa Barbara); Fortier, Skye (University of California, Santa Barbara); Kaupp, Martin (Technical University of Berlin); Hayton, Trevor W. (University of California, Santa Barbara)",10,0,,,,https://app.dimensions.ai/details/publication/pub.1020050605,,,,,,
68,400,pub.1055853707,10.1021/ja310575j,23320417,,"Tetrahalide complexes of the [U(NR)2]2+ ion: synthesis, theory, and chlorine K-edge X-ray absorption spectroscopy.",Journal of the American Chemical Society,,"Chlorine; Imides; Models, Molecular; Organometallic Compounds; Quantum Theory; Uranium; X-Ray Absorption Spectroscopy",2/13/13,2013,135,6,2279-90,Closed,Article,"Spencer, Liam P.; Yang, Ping; Minasian, Stefan G.; Jilek, Robert E.; Batista, Enrique R.; Boland, Kevin S.; Boncella, James M.; Conradson, Steven D.; Clark, David L.; Hayton, Trevor W.; Kozimor, Stosh A.; Martin, Richard L.; MacInnes, Molly M.; Olson, Angela C.; Scott, Brian L.; Shuh, David K.; Wilkerson, Marianne P.",,"Spencer, Liam P. (Los Alamos National Laboratory); Yang, Ping (Pacific Northwest National Laboratory); Minasian, Stefan G. (Los Alamos National Laboratory; Lawrence Berkeley National Laboratory); Jilek, Robert E. (Los Alamos National Laboratory); Batista, Enrique R. (Los Alamos National Laboratory); Boland, Kevin S. (Los Alamos National Laboratory); Boncella, James M. (Los Alamos National Laboratory); Conradson, Steven D. (Los Alamos National Laboratory); Clark, David L. (Los Alamos National Laboratory); Hayton, Trevor W. (University of California, Santa Barbara); Kozimor, Stosh A. (Los Alamos National Laboratory); Martin, Richard L. (Los Alamos National Laboratory); MacInnes, Molly M. (Los Alamos National Laboratory); Olson, Angela C. (Los Alamos National Laboratory); Scott, Brian L. (Los Alamos National Laboratory); Shuh, David K. (Lawrence Berkeley National Laboratory); Wilkerson, Marianne P. (Los Alamos National Laboratory)",55,12,3.07,7.66,,https://app.dimensions.ai/details/publication/pub.1055853707,03 Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),,
69,400,pub.1043162501,10.1039/c3cc40461g,23450127,,Synthesis of a cobalt( iv ) ketimide with a squashed tetrahedral geometry,Chemical Communications,,,2013,2013,49,28,2888-2890,Closed,Article,"Lewis, Richard A.; George, Stephen P.; Chapovetsky, Alon; Wu, Guang; Figueroa, Joshua S.; Hayton, Trevor W.",,"Lewis, Richard A. (University of California, Santa Barbara); George, Stephen P. (University of California, San Diego); Chapovetsky, Alon (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Figueroa, Joshua S. (University of California, San Diego); Hayton, Trevor W. (University of California, Santa Barbara)",19,2,0.96,2.71,,https://app.dimensions.ai/details/publication/pub.1043162501,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
70,400,pub.1031972320,10.1039/c3cc39053e,23396581,,Recent developments in actinide– ligand multiple bonding,Chemical Communications,,,2013,2013,49,29,2956-2973,Closed,Article,"Hayton, Trevor W.",,"Hayton, Trevor W. (University of California, Santa Barbara)",133,46,7.41,18.09,,https://app.dimensions.ai/details/publication/pub.1031972320,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
71,300,pub.1017343530,10.1002/anie.201206790,23135958,,"Synthesis and Characterization of [M2(NCtBu2)5]− (M=Mn, Fe, Co): Metal Ketimide Complexes with Strong Metal–Metal Interactions ",Angewandte Chemie International Edition,,,12/14/12,2012,51,51,12772-12775,Closed,Article,"Lewis, Richard A.; Morochnik, Simona; Chapovetsky, Alon; Wu, Guang; Hayton, Trevor W.",,"Lewis, Richard A. (University of California, Santa Barbara); Morochnik, Simona (University of California, Santa Barbara); Chapovetsky, Alon (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",12,0,0.39,1.55,,https://app.dimensions.ai/details/publication/pub.1017343530,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
72,100,pub.1021737845,10.1002/ange.201206790,,,"Synthesis and Characterization of [M2(NCtBu2)5]− (M=Mn, Fe, Co): Metal Ketimide Complexes with Strong Metal–Metal Interactions ",Angewandte Chemie,,,12/14/12,2012,124,51,12944-12947,Closed,Article,"Lewis, Richard A.; Morochnik, Simona; Chapovetsky, Alon; Wu, Guang; Hayton, Trevor W.",,"Lewis, Richard A. (University of California, Santa Barbara); Morochnik, Simona (University of California, Santa Barbara); Chapovetsky, Alon (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1021737845,,,,,,
73,400,pub.1055853536,10.1021/ja309499h,23134421,,"Tuning the reactivity of TEMPO by coordination to a Lewis acid: isolation and reactivity of MCl3(η1-TEMPO) (M = Fe, Al).",Journal of the American Chemical Society,,"Alcohols; Aldehydes; Aluminum Chloride; Aluminum Compounds; Chlorides; Crystallography, X-Ray; Cyclic N-Oxides; Ferric Compounds; Ketones; Lewis Acids; Models, Molecular; Molecular Structure; Oxidation-Reduction",11/28/12,2012,134,47,19350-3,Closed,Article,"Scepaniak, Jeremiah J.; Wright, Ashley M.; Lewis, Richard A.; Wu, Guang; Hayton, Trevor W.",,"Scepaniak, Jeremiah J. (University of California, Santa Barbara); Wright, Ashley M. (University of California, Santa Barbara); Lewis, Richard A. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",48,4,1.7,6.18,,https://app.dimensions.ai/details/publication/pub.1055853536,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
74,400,pub.1055852879,10.1021/ja305712m,22920602,,"A complete family of terminal uranium chalcogenides, [U(E)(N{SiMe3}2)3]- (E = O, S, Se, Te).",Journal of the American Chemical Society,,,9/19/12,2012,134,37,15468-75,Closed,Article,"Brown, Jessie L.; Fortier, Skye; Lewis, Richard A.; Wu, Guang; Hayton, Trevor W.",,"Brown, Jessie L. (University of California, Santa Barbara); Fortier, Skye (University of California, Santa Barbara); Lewis, Richard A. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",76,19,3.44,9.79,,https://app.dimensions.ai/details/publication/pub.1055852879,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
75,100,pub.1050372872,10.1080/02603594.2013.847828,,,Recent Developments in Late Metal Nitrosyl Chemistry,Comments on Inorganic Chemistry,,,9/2/12,2012,33,6-May,207-248,Closed,Article,"Wright, Ashley M.; Hayton, Trevor W.",,"Wright, Ashley M. (); Hayton, Trevor W. ()",14,3,,1.8,,https://app.dimensions.ai/details/publication/pub.1050372872,03 Chemical Sciences; 0399 Other Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0399 Other Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),
76,400,pub.1055564002,10.1021/ic301109f,22835030,,"Bonding trends traversing the tetravalent actinide series: synthesis, structural, and computational analysis of An(IV)((Ar)acnac)4 complexes (An = Th, U, Np, Pu; (Ar)acnac = ArNC(Ph)CHC(Ph)O; Ar = 3,5-(t)Bu2C6H3).",Inorganic Chemistry,,,8/6/12,2012,51,15,8557-66,Closed,Article,"Schnaars, David D.; Gaunt, Andrew J.; Hayton, Trevor W.; Jones, Matthew B.; Kirker, Ian; Kaltsoyannis, Nikolas; May, Iain; Reilly, Sean D.; Scott, Brian L.; Wu, Guang",,"Schnaars, David D. (University of California, Santa Barbara); Gaunt, Andrew J. (); Hayton, Trevor W. (University of California, Santa Barbara); Jones, Matthew B. (); Kirker, Ian (University College London); Kaltsoyannis, Nikolas (University College London); May, Iain (); Reilly, Sean D. (); Scott, Brian L. (); Wu, Guang (University of California, Santa Barbara)",32,5,1.76,4.33,,https://app.dimensions.ai/details/publication/pub.1055564002,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
77,400,pub.1055852603,10.1021/ja304204q,22676289,,Formation of N2O from a nickel nitrosyl: isolation of the cis-[N2O2]2- intermediate.,Journal of the American Chemical Society,,,6/20/12,2012,134,24,9930-3,Closed,Article,"Wright, Ashley M.; Wu, Guang; Hayton, Trevor W.",,"Wright, Ashley M. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",28,9,1.09,3.61,,https://app.dimensions.ai/details/publication/pub.1055852603,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
78,400,pub.1055851566,10.1021/ja2108432,22670799,,A direct route to bis(imido)uranium(V) halides via metathesis of uranium tetrachloride.,Journal of the American Chemical Society,,,6/20/12,2012,134,24,9876-8,Closed,Article,"Jilek, Robert E.; Spencer, Liam P.; Lewis, Richard A.; Scott, Brian L.; Hayton, Trevor W.; Boncella, James M.",,"Jilek, Robert E. (Los Alamos National Laboratory); Spencer, Liam P. (Los Alamos National Laboratory); Lewis, Richard A. (University of California, Santa Barbara); Scott, Brian L. (Los Alamos National Laboratory); Hayton, Trevor W. (University of California, Santa Barbara); Boncella, James M. (Los Alamos National Laboratory)",34,9,1.7,4.38,,https://app.dimensions.ai/details/publication/pub.1055851566,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
79,400,pub.1055851774,10.1021/ja211875s,22324788,,Probing the 5f orbital contribution to the bonding in a U(V) ketimide complex.,Journal of the American Chemical Society,,,3/14/12,2012,134,10,4931-40,Closed,Article,"Seaman, Lani A.; Wu, Guang; Edelstein, Norman; Lukens, Wayne W.; Magnani, Nicola; Hayton, Trevor W.",,"Seaman, Lani A. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Edelstein, Norman (Lawrence Berkeley National Laboratory); Lukens, Wayne W. (Lawrence Berkeley National Laboratory); Magnani, Nicola (Lawrence Berkeley National Laboratory); Hayton, Trevor W. (University of California, Santa Barbara)",43,8,1.92,5.81,,https://app.dimensions.ai/details/publication/pub.1055851774,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
80,400,pub.1055562972,10.1021/ic201936j,22242904,,"Synthesis, molecular and electronic structure of U(V)(O)[N(SiMe3)2]3.",Inorganic Chemistry,,,2/6/12,2012,51,3,1625-33,Closed,Article,"Fortier, Skye; Brown, Jessie L.; Kaltsoyannis, Nikolas; Wu, Guang; Hayton, Trevor W.",,"Fortier, Skye (University of California, Santa Barbara); Brown, Jessie L. (University of California, Santa Barbara); Kaltsoyannis, Nikolas (University College London); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",76,14,3.34,10.27,,https://app.dimensions.ai/details/publication/pub.1055562972,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
81,400,pub.1017098790,10.1039/c2dt30101f,22499273,,Complexes of Cu( i ) supported by a tris(ketimine) tripod,Dalton Transactions,,,2012,2012,41,26,7859-7861,Closed,Article,"Scepaniak, Jeremiah J.; Wu, Guang; Hayton, Trevor W.",,"Scepaniak, Jeremiah J. (); Wu, Guang (); Hayton, Trevor W. (University of California, Santa Barbara)",3,1,0.12,0.41,,https://app.dimensions.ai/details/publication/pub.1017098790,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
82,400,pub.1013068314,10.1039/c1cc13192c,21858329,,Synthesis and reactivity of a uranyl-imidazolyl complex,Chemical Communications,,"Imidazoles; Lithium; Models, Molecular; Molecular Structure; Organometallic Compounds; Uranium Compounds",2012,2012,48,10,1484-1486,Closed,Article,"Schettini, Michael F.; Wu, Guang; Hayton, Trevor W.",,"Schettini, Michael F. (); Wu, Guang (); Hayton, Trevor W. (University of California, Santa Barbara)",21,3,0.69,2.71,,https://app.dimensions.ai/details/publication/pub.1013068314,0305 Organic Chemistry; 03 Chemical Sciences,0305 Organic Chemistry,03 Chemical Sciences,,,
83,100,pub.1013629033,10.1002/9781119951438.eibc0233,,,"Tungsten: Organometallic Chemistry Based in part on the article Tungsten: Organometallic Chemistry by Andreas Mayr which appeared in the Encyclopedia of Inorganic Chemistry, First Edition.",,Encyclopedia of Inorganic and Bioinorganic Chemistry,,12/15/11,2011,,,,Closed,Chapter,"Pamplin, Craig B.; Hayton, Trevor W.; Legzdins, Peter",,"Pamplin, Craig B. (University of British Columbia); Hayton, Trevor W. (University of British Columbia); Legzdins, Peter (University of British Columbia)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1013629033,0305 Organic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences; 0302 Inorganic Chemistry,0305 Organic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,0302 Inorganic Chemistry,
84,400,pub.1055562909,10.1021/ic201821t,22032412,,Late-metal nitrosyl cations: synthesis and reactivity of [Ni(NO)(MeNO2)3][PF6].,Inorganic Chemistry,,,11/21/11,2011,50,22,11746-53,Closed,Article,"Wright, Ashley M; Wu, Guang; Hayton, Trevor W",,"Wright, Ashley M (University of California, Santa Barbara); Wu, Guang (); Hayton, Trevor W ()",10,1,0.36,1.26,,https://app.dimensions.ai/details/publication/pub.1055562909,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
85,400,pub.1055562655,10.1021/ic201385h,21842897,,Silylation of the uranyl ion using B(C6F5)3-activated Et3SiH.,Inorganic Chemistry,,,10/3/11,2011,50,19,9642-9,Closed,Article,"Schnaars, David D; Wu, Guang; Hayton, Trevor W",,"Schnaars, David D (University of California, Santa Barbara); Wu, Guang (); Hayton, Trevor W ()",25,4,1.24,3.39,,https://app.dimensions.ai/details/publication/pub.1055562655,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
86,400,pub.1055850596,10.1021/ja206083p,21851079,,Probing the reactivity and electronic structure of a uranium(V) terminal oxo complex.,Journal of the American Chemical Society,,,9/14/11,2011,133,36,14224-7,Closed,Article,"Fortier, Skye; Kaltsoyannis, Nikolas; Wu, Guang; Hayton, Trevor W",,"Fortier, Skye (University of California, Santa Barbara); Kaltsoyannis, Nikolas (); Wu, Guang (); Hayton, Trevor W ()",72,6,2.9,9.08,,https://app.dimensions.ai/details/publication/pub.1055850596,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
87,400,pub.1055850166,10.1021/ja204151v,21696157,,High-valent uranium alkyls: evidence for the formation of U(VI)(CH2SiMe3)6.,Journal of the American Chemical Society,,,8/3/11,2011,133,30,11732-43,Closed,Article,"Fortier, Skye; Walensky, Justin R; Wu, Guang; Hayton, Trevor W",,"Fortier, Skye (University of California, Santa Barbara); Walensky, Justin R (); Wu, Guang (); Hayton, Trevor W ()",56,10,2.19,7.06,,https://app.dimensions.ai/details/publication/pub.1055850166,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
88,400,pub.1055562361,10.1021/ic2008649,21553868,,Borane-mediated silylation of a metal-oxo ligand.,Inorganic Chemistry,,,6/6/11,2011,50,11,4695-7,Closed,Article,"Schnaars, David D; Wu, Guang; Hayton, Trevor W",,"Schnaars, David D (University of California, Santa Barbara); Wu, Guang (); Hayton, Trevor W ()",35,5,1.6,4.41,,https://app.dimensions.ai/details/publication/pub.1055562361,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
89,400,pub.1055562089,10.1021/ic200387n,21545129,,Facile reduction of a uranyl(VI) β-ketoiminate complex to U(IV) upon oxo silylation.,Inorganic Chemistry,,,6/6/11,2011,50,11,5105-12,Closed,Article,"Brown, Jessie L; Mokhtarzadeh, Charles C; Lever, Jeremie M; Wu, Guang; Hayton, Trevor W",,"Brown, Jessie L (University of California, Santa Barbara); Mokhtarzadeh, Charles C (); Lever, Jeremie M (); Wu, Guang (); Hayton, Trevor W ()",33,5,1.42,4.16,,https://app.dimensions.ai/details/publication/pub.1055562089,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
90,400,pub.1055562143,10.1021/ic200490v,21486021,,Stabilizing high-valent metal ions with a ketimide ligand set: synthesis of Mn(N=C(t)Bu2)4.,Inorganic Chemistry,,"Chromium; Coordination Complexes; Crystallography, X-Ray; Electrochemistry; Ions; Ligands; Manganese; Models, Molecular; Molecular Structure; Nitriles; Oxidation-Reduction",5/16/11,2011,50,10,4660-8,Closed,Article,"Lewis, Richard A; Wu, Guang; Hayton, Trevor W",,"Lewis, Richard A (University of California, Santa Barbara); Wu, Guang (); Hayton, Trevor W ()",26,2,0.87,3.38,,https://app.dimensions.ai/details/publication/pub.1055562143,03 Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),,
91,400,pub.1055849343,10.1021/ja2001133,21488697,,Synthesis of a phosphorano-stabilized U(IV)-carbene via one-electron oxidation of a U(III)-ylide adduct.,Journal of the American Chemical Society,,,5/11/11,2011,133,18,6894-7,Closed,Article,"Fortier, Skye; Walensky, Justin R; Wu, Guang; Hayton, Trevor W",,"Fortier, Skye (University of California, Santa Barbara); Walensky, Justin R (); Wu, Guang (); Hayton, Trevor W ()",66,13,1.93,9.72,,https://app.dimensions.ai/details/publication/pub.1055849343,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
92,400,pub.1005371753,10.1021/ic101847b,21142116,,Comparison of the redox chemistry of primary and secondary amides of U(IV): isolation of a U(VI) bis(imido) complex or a homoleptic U(VI) amido complex.,Inorganic Chemistry,,,1/17/11,2011,50,2,636-46,Closed,Article,"Seaman, Lani A; Fortier, Skye; Wu, Guang; Hayton, Trevor W",,"Seaman, Lani A (University of California, Santa Barbara); Fortier, Skye (); Wu, Guang (); Hayton, Trevor W ()",34,6,1.15,4.42,,https://app.dimensions.ai/details/publication/pub.1005371753,03 Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),,
93,400,pub.1017735251,10.1039/c1cc12409a,21655591,,"Differences in actinide metal– ligand orbital interactions: comparison of U( iv ) and Pu( iv ) β-ketoiminate N,O donor complexes",Chemical Communications,,,2011,2011,47,27,7647-7649,Closed,Article,"Schnaars, David D.; Batista, Enrique R.; Gaunt, Andrew J.; Hayton, Trevor W.; May, Iain; Reilly, Sean D.; Scott, Brian L.; Wu, Guang",,"Schnaars, David D. (University of California, Santa Barbara; Los Alamos National Laboratory); Batista, Enrique R. (Los Alamos National Laboratory); Gaunt, Andrew J. (Los Alamos National Laboratory); Hayton, Trevor W. (University of California, Santa Barbara); May, Iain (Los Alamos National Laboratory); Reilly, Sean D. (Los Alamos National Laboratory); Scott, Brian L. (Los Alamos National Laboratory); Wu, Guang (University of California, Santa Barbara)",18,1,0.98,2.27,,https://app.dimensions.ai/details/publication/pub.1017735251,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
94,400,pub.1055848087,10.1021/ja105930b,20879729,,Structural characterization of a copper nitrosyl complex with a {CuNO}10 configuration.,Journal of the American Chemical Society,,"Copper; Models, Molecular; Molecular Structure; Nitroso Compounds; Powders",10/20/10,2010,132,41,14336-7,Closed,Article,"Wright, Ashley M; Wu, Guang; Hayton, Trevor W",,"Wright, Ashley M (University of California, Santa Barbara); Wu, Guang (); Hayton, Trevor W ()",43,6,1.14,5.06,,https://app.dimensions.ai/details/publication/pub.1055848087,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
95,400,pub.1055847832,10.1021/ja104934n,20735123,,Synthesis and characterization of an iron(IV) ketimide complex.,Journal of the American Chemical Society,,"Imines; Iron; Models, Molecular; Molecular Conformation; Nitriles; Organometallic Compounds; Oxidation-Reduction",9/22/10,2010,132,37,12814-6,Closed,Article,"Lewis, Richard A; Wu, Guang; Hayton, Trevor W",,"Lewis, Richard A (University of California, Santa Barbara); Wu, Guang (); Hayton, Trevor W ()",33,1,1.14,3.88,,https://app.dimensions.ai/details/publication/pub.1055847832,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
96,400,pub.1055847008,10.1021/ja1013739,20459093,,Oxo ligand silylation in a uranyl beta-ketoiminate complex.,Journal of the American Chemical Society,,Ligands; Organometallic Compounds; Silanes; Silicon Compounds; Uranium,6/2/10,2010,132,21,7248-9,Closed,Article,"Brown, Jessie L; Wu, Guang; Hayton, Trevor W",,"Brown, Jessie L (University of California, Santa Barbara); Wu, Guang (); Hayton, Trevor W ()",55,5,1.82,,,https://app.dimensions.ai/details/publication/pub.1055847008,03 Chemical Sciences,03 Chemical Sciences,,,,
97,200,pub.1025106750,10.1002/chin.201022196,,,ChemInform Abstract: Metal—Ligand Multiple Bonding in Uranium: Structure and Reactivity,ChemInform,,,6/1/10,2010,41,22,no-no,Closed,Article,"Hayton, Trevor W.",,"Hayton, Trevor W. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1025106750,,,,,,
98,400,pub.1055847053,10.1021/ja101567h,20441216,,"Synthesis of a nitrido-substituted analogue of the uranyl ion, [N=U=O]+.",Journal of the American Chemical Society,,,5/26/10,2010,132,20,6888-9,Closed,Article,"Fortier, Skye; Wu, Guang; Hayton, Trevor W",,"Fortier, Skye (University of California, Santa Barbara); Wu, Guang (); Hayton, Trevor W ()",88,15,2.95,11.26,,https://app.dimensions.ai/details/publication/pub.1055847053,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
99,100,pub.1036537074,10.1016/j.ccr.2009.06.003,,,Oxo ligand functionalization in the uranyl ion (UO22+),Coordination Chemistry Reviews,,,2010-02,2010,254,4-Mar,197-214,Closed,Article,"Fortier, Skye; Hayton, Trevor W.","Hayton, Trevor W.","Fortier, Skye (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",175,26,,22.4,,https://app.dimensions.ai/details/publication/pub.1036537074,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
100,400,pub.1043910099,10.1039/c001976c,20631946,,Isolation of a uranyl amide by “ ate ” complex formation,Dalton Transactions,,,2010,2010,39,29,6635-6637,Closed,Article,"Seaman, Lani A.; Schnaars, David D.; Wu, Guang; Hayton, Trevor W.",,"Seaman, Lani A. (); Schnaars, David D. (); Wu, Guang (); Hayton, Trevor W. (University of California, Santa Barbara)",5,1,0.24,0.74,,https://app.dimensions.ai/details/publication/pub.1043910099,0307 Theoretical and Computational Chemistry; 0302 Inorganic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences,0307 Theoretical and Computational Chemistry,0302 Inorganic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,
101,400,pub.1043741275,10.1039/b909238b,20104334,,Metal–ligand multiple bonding in uranium : structure and reactivity,Dalton Transactions,,,2010,2010,39,5,1145-1158,Closed,Article,"Hayton, Trevor W.",,"Hayton, Trevor W. (University of California, Santa Barbara)",143,33,4.6,16.17,,https://app.dimensions.ai/details/publication/pub.1043741275,0305 Organic Chemistry; 03 Chemical Sciences; 0302 Inorganic Chemistry,0305 Organic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,
102,400,pub.1011757973,10.1039/b909879h,20023966,,U(iv) and U(v) azide complexes supported by amide or aryloxide ligands,Dalton Transactions,,,2010,2010,39,2,352-354,Closed,Article,"Fortier, Skye; Wu, Guang; Hayton, Trevor W.",,"Fortier, Skye (); Wu, Guang (); Hayton, Trevor W. (University of California, Santa Barbara)",33,4,0.87,3.88,,https://app.dimensions.ai/details/publication/pub.1011757973,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
