,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,400,pub.1021094431,10.1529/biophysj.107.127415,18583309,PMC2440473,Interplay between Liquid Crystalline and Isotropic Gels in Self-Assembled Neurofilament Networks,Biophysical Journal,,"Anisotropy; Gels; Liquid Crystals; Multiprotein Complexes; Neurofilament Proteins; Scattering, Small Angle; X-Ray Diffraction",2008-07,2008,95,2,823-835,All OA; Gold,Article,"Jones, Jayna B.; Safinya, Cyrus R.","Safinya, Cyrus R.","Jones, Jayna B. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",33,3,0.84,3.69,https://doi.org/10.1529/biophysj.107.127415,https://app.dimensions.ai/details/publication/pub.1021094431,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
111,100,pub.1034113157,10.1002/9780470286364.ch16,,,Lipid–DNA Interactions: Structure–Function Studies of Nanomaterials for Gene Delivery,,DNA Interactions with Polymers and Surfactants,,4/18/08,2008,,,377-404,Closed,Chapter,"Ewert, Kai K.; Samuel, Charles E.; Safinya, Cyrus R.",,"Ewert, Kai K. (University of California, Santa Barbara); Samuel, Charles E. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",6,1,,0.47,,https://app.dimensions.ai/details/publication/pub.1034113157,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
112,100,pub.1118218038,,,,"Transitions between distinct compaction regimes in complexes of
  multivalent cationic lipids and DNA",arXiv,,,3/6/08,2008,,,,"All OA; Green, Accepted & Submitted",Preprint,"Farago, Oded; Ewert, Kai; Ahmad, Ayesha; Evans, Heather M.; Grønbech-Jensen, Niels; Safinya, Cyrus R.",,"Farago, Oded (); Ewert, Kai (); Ahmad, Ayesha (); Evans, Heather M. (); Grønbech-Jensen, Niels (); Safinya, Cyrus R. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118218038,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
113,400,pub.1037215519,10.1007/978-1-59745-237-3_10,18679623,,Non-Viral Gene Delivery with Cationic Liposome–DNA Complexes,Methods in Molecular Biology,Gene Therapy Protocols,Cations; DNA; Liposomes; Transfection,2008,2008,433,,159-175,Closed,Chapter,"Ewert, Kai K.; Ahmad, Ayesha; Bouxsein, Nathan F.; Evans, Heather M.; Safinya, Cyrus R.",,"Ewert, Kai K. (University of California, Santa Barbara); Ahmad, Ayesha (University of California, Santa Barbara); Bouxsein, Nathan F. (University of California, Santa Barbara); Evans, Heather M. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",45,0,1.5,3.93,,https://app.dimensions.ai/details/publication/pub.1037215519,06 Biological Sciences; 03 Chemical Sciences; 0601 Biochemistry and Cell Biology; 0399 Other Chemical Sciences,06 Biological Sciences,03 Chemical Sciences,0601 Biochemistry and Cell Biology,0399 Other Chemical Sciences,
114,400,pub.1055202857,10.1021/bi062138l,17391006,,Structure and gene silencing activities of monovalent and pentavalent cationic lipid vectors complexed with siRNA.,Biochemistry,,"Animals; Cell Survival; Fatty Acids, Monounsaturated; Gene Silencing; L Cells (Cell Line); Liposomes; Mice; Phosphatidylethanolamines; Quaternary Ammonium Compounds; RNA, Small Interfering; X-Ray Diffraction",2007-04,2007,46,16,4785-92,"All OA; Green, Accepted & Submitted",Article,"Bouxsein, Nathan F; McAllister, Christopher S; Ewert, Kai K; Samuel, Charles E; Safinya, Cyrus R",,"Bouxsein, Nathan F (University of California, Santa Barbara); McAllister, Christopher S (); Ewert, Kai K (); Samuel, Charles E (); Safinya, Cyrus R ()",108,16,2.64,7.95,http://www.mrl.ucsb.edu/~safinyaweb/PDFs/publications_PDF/2007_biochem_2007_46_4785_safinya_struct_silencing_CL-siRNA.pdf,https://app.dimensions.ai/details/publication/pub.1055202857,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
115,100,pub.1044089012,10.1107/s0021889806051995,,,Hierarchical bionanotubes formed by the self assembly of microtubules with cationic membranes or polypeptides,Journal of Applied Crystallography,,,2/10/07,2007,40,s1,s83-s87,All OA; Gold,Article,"Raviv, U.; Needleman, D.J.; Ewert, K.K.; Safinya, C.R.",,"Raviv, U. (University of California, Santa Barbara); Needleman, D.J. (University of California, Santa Barbara); Ewert, K.K. (University of California, Santa Barbara); Safinya, C.R. (University of California, Santa Barbara)",7,0,,1.92,http://journals.iucr.org/j/issues/2007/s1/00/sy6014/sy6014.pdf,https://app.dimensions.ai/details/publication/pub.1044089012,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
116,400,pub.1060833361,10.1103/physrevlett.98.018101,17358507,,Molecular Scale Imaging of F-Actin Assemblies Immobilized on a Photopolymer Surface,Physical Review Letters,,"Actin Cytoskeleton; Actins; Animals; Biophysics; Cations; Light; Magnesium; Microscopy, Atomic Force; Muscle, Skeletal; Polymers; Rabbits; Surface Properties; X-Ray Diffraction; X-Rays",2007-01,2007,98,1,18101,Closed,Article,"Ikawa, Taiji; Hoshino, Fumihiko; Watanabe, Osamu; Li, Youli; Pincus, Philip; Safinya, Cyrus R.",,"Ikawa, Taiji (University of California, Santa Barbara); Hoshino, Fumihiko (); Watanabe, Osamu (); Li, Youli (University of California, Santa Barbara); Pincus, Philip (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",29,1,0.69,7.97,,https://app.dimensions.ai/details/publication/pub.1060833361,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
117,400,pub.1014536315,10.1529/biophysj.106.087478,17028134,PMC1697852,Microtubule Protofilament Number Is Modulated in a Stepwise Fashion by the Charge Density of an Enveloping Layer,Biophysical Journal,,"Animals; Biophysics; Brain; Cattle; Ions; Lipids; Microscopy, Electron, Transmission; Microtubules; Nanotubes; Paclitaxel; Scattering, Radiation; Static Electricity; Synchrotrons; Tubulin; X-Rays",2007-01,2007,92,1,278-287,All OA; Gold,Article,"Raviv, Uri; Nguyen, Toan; Ghafouri, Rouzbeh; Needleman, Daniel J.; Li, Youli; Miller, Herbert P.; Wilson, Leslie; Bruinsma, Robijn F.; Safinya, Cyrus R.","Raviv, Uri","Raviv, Uri (University of California, Santa Barbara); Nguyen, Toan (University of California Los Angeles); Ghafouri, Rouzbeh (University of California Los Angeles); Needleman, Daniel J. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Bruinsma, Robijn F. (University of California Los Angeles); Safinya, Cyrus R. (University of California, Santa Barbara)",24,4,0.43,6.6,https://doi.org/10.1529/biophysj.106.087478,https://app.dimensions.ai/details/publication/pub.1014536315,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
118,400,pub.1020034535,10.1098/rsta.2006.1841,16973477,,Cationic liposome–DNA complexes: from liquid crystal science to gene delivery applications,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences,,"Cations; DNA; Drug Delivery Systems; Genetic Therapy; Humans; In Vitro Techniques; Liposomes; Liquid Crystals; Macromolecular Substances; Microscopy, Confocal; Models, Biological; Models, Molecular; Nanotubes; Synchrotrons; Transfection; X-Ray Diffraction",10/15/06,2006,364,1847,2573-2596,Closed,Article,"Safinya, Cyrus R; Ewert, Kai; Ahmad, Ayesha; Evans, Heather M; Raviv, Uri; Needleman, Daniel J; Lin, Alison J; Slack, Nelle L; George, Cyril; Samuel, Charles E",,"Safinya, Cyrus R (University of California, Santa Barbara); Ewert, Kai (University of California, Santa Barbara); Ahmad, Ayesha (University of California, Santa Barbara); Evans, Heather M (University of California, Santa Barbara); Raviv, Uri (University of California, Santa Barbara); Needleman, Daniel J (University of California, Santa Barbara); Lin, Alison J (University of California, Santa Barbara); Slack, Nelle L (University of California, Santa Barbara); George, Cyril (University of California, Santa Barbara); Samuel, Charles E (University of California, Santa Barbara)",49,1,1.22,3.18,,https://app.dimensions.ai/details/publication/pub.1020034535,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
119,400,pub.1019343779,10.1088/0953-8984/18/28/s10,21690840,,Cationic membranes complexed with oppositely charged microtubules: hierarchical self-assembly leading to bio-nanotubes,Journal of Physics Condensed Matter,,,7/19/06,2006,18,28,s1271,Closed,Article,"Raviv, Uri; Needleman, Daniel J; Safinya, Cyrus R",,"Raviv, Uri (University of California, Santa Barbara; Hebrew University of Jerusalem); Needleman, Daniel J (University of California, Santa Barbara; Harvard University); Safinya, Cyrus R (University of California, Santa Barbara)",6,0,0.07,1.54,,https://app.dimensions.ai/details/publication/pub.1019343779,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
120,400,pub.1055153973,10.1021/bc050310c,16848393,,Dendritic cationic lipids with highly charged headgroups for efficient gene delivery.,Bioconjugate Chemistry,,"Animals; Cations; Cell Line; DNA; Dendrimers; Gene Transfer Techniques; Lipids; Magnetic Resonance Spectroscopy; Mice; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",2006-07,2006,17,4,877-88,Closed,Article,"Ewert, Kai K; Evans, Heather M; Bouxsein, Nathan F; Safinya, Cyrus R",,"Ewert, Kai K (University of California, Santa Barbara); Evans, Heather M (); Bouxsein, Nathan F (); Safinya, Cyrus R ()",44,3,1.25,2.85,,https://app.dimensions.ai/details/publication/pub.1055153973,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
121,400,pub.1055840292,10.1021/ja055907h,16551108,,A columnar phase of dendritic lipid-based cationic liposome-DNA complexes for gene delivery: hexagonally ordered cylindrical micelles embedded in a DNA honeycomb lattice.,Journal of the American Chemical Society,,"Animals; Cations; DNA; Dendrimers; Ethidium; Gene Transfer Techniques; Hydrophobic and Hydrophilic Interactions; Lipids; Liposomes; Mice; Micelles; Models, Molecular; Phosphatidylcholines; Phosphatidylethanolamines; Transfection; X-Ray Diffraction",2006-03,2006,128,12,3998-4006,Closed,Article,"Ewert, Kai K; Evans, Heather M; Zidovska, Alexandra; Bouxsein, Nathan F; Ahmad, Ayesha; Safinya, Cyrus R",,"Ewert, Kai K (University of California, Santa Barbara); Evans, Heather M (); Zidovska, Alexandra (); Bouxsein, Nathan F (); Ahmad, Ayesha (); Safinya, Cyrus R ()",170,15,3.53,,,https://app.dimensions.ai/details/publication/pub.1055840292,03 Chemical Sciences,03 Chemical Sciences,,,,
122,100,pub.1026879816,10.1088/0957-4484/17/2/032,,,Nanostructured TiO2 thin films as porous cellular interfaces,Nanotechnology,,,1/28/06,2006,17,2,531,Closed,Article,"Abu Samah Zuruzi; Butler, Blaine C; MacDonald, Noel C; Safinya, Cyrus R",,"Abu Samah Zuruzi (University of California, Santa Barbara); Butler, Blaine C (University of California, Santa Barbara); MacDonald, Noel C (University of California, Santa Barbara); Safinya, Cyrus R (University of California, Santa Barbara)",10,0,,1.74,,https://app.dimensions.ai/details/publication/pub.1026879816,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
123,200,pub.1033683660,10.1016/j.ymthe.2006.08.208,,,184. Novel Cationic Multivalent Lipids Show Improved Delivery of siRNA and DNA,Molecular Therapy,,,2006,2006,13,,s72,All OA; Gold,Article,"Bouxsein, Nathan F.; Ewert, Kai K.; McAllister, Christopher S.; Evans, Heather M.; Samuel, Charles E.; Safinya, Cyrus R.",,"Bouxsein, Nathan F. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); McAllister, Christopher S. (University of California, Santa Barbara); Evans, Heather M. (University of California, Santa Barbara); Samuel, Charles E. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.ymthe.2006.08.208,https://app.dimensions.ai/details/publication/pub.1033683660,10 Technology; 11 Medical and Health Sciences; 06 Biological Sciences,10 Technology,11 Medical and Health Sciences,06 Biological Sciences,,
124,100,pub.1035205211,10.1017/cbo9781139644228.022,,,Biophysics and biomolecular materials,,The New Physics,,2006,2006,,,405-443,Closed,Chapter,"Safinya, Cyrus R.",,"Safinya, Cyrus R. ()",1,0,,0.11,,https://app.dimensions.ai/details/publication/pub.1035205211,0306 Physical Chemistry (incl. Structural); 0303 Macromolecular and Materials Chemistry; 0299 Other Physical Sciences; 0601 Biochemistry and Cell Biology; 02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,0299 Other Physical Sciences,0601 Biochemistry and Cell Biology,02 Physical Sciences
125,100,pub.1013022081,10.1088/0953-8984/17/45/005,,,Supramolecular assembly of biological molecules purified from bovine nerve cells: from microtubule bundles and necklaces to neurofilament networks,Journal of Physics Condensed Matter,,,11/16/05,2005,17,45,s3225,Closed,Article,"Needleman, Daniel J; Jones, Jayna B; Raviv, Uri; Ojeda-Lopez, Miguel A; Miller, H P; Li, Y; Wilson, L; Safinya, C R",,"Needleman, Daniel J (University of California, Santa Barbara); Jones, Jayna B (University of California, Santa Barbara); Raviv, Uri (University of California, Santa Barbara); Ojeda-Lopez, Miguel A (University of California, Santa Barbara); Miller, H P (University of California, Santa Barbara); Li, Y (University of California, Santa Barbara); Wilson, L (University of California, Santa Barbara); Safinya, C R (University of California, Santa Barbara)",8,0,,2.17,,https://app.dimensions.ai/details/publication/pub.1013022081,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
126,400,pub.1043058331,10.1529/biophysj.104.057679,16100275,PMC1366837,Radial Compression of Microtubules and the Mechanism of Action of Taxol and Associated Proteins,Biophysical Journal,,"Animals; Antineoplastic Agents, Phytogenic; Cattle; Dimerization; Microscopy, Electron, Transmission; Microtubule Proteins; Microtubule-Associated Proteins; Microtubules; Osmosis; Paclitaxel; Polymers; Pressure; Protein Binding; Scattering, Radiation; Synchrotrons; Time Factors; Tubulin; X-Ray Diffraction; X-Rays",2005-11,2005,89,5,3410-3423,All OA; Gold,Article,"Needleman, Daniel J.; Ojeda-Lopez, Miguel A.; Raviv, Uri; Ewert, Kai; Miller, Herbert P.; Wilson, Leslie; Safinya, Cyrus R.","Safinya, Cyrus R.","Needleman, Daniel J. (University of California, Santa Barbara); Ojeda-Lopez, Miguel A. (University of California, Santa Barbara); Raviv, Uri (University of California, Santa Barbara); Ewert, Kai (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",53,6,0.87,4.85,https://doi.org/10.1529/biophysj.104.057679,https://app.dimensions.ai/details/publication/pub.1043058331,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
127,200,pub.1056191107,10.1021/ma051348n,,,Direct Observation of Biaxial Confinement of a Semiflexible Filament in a Channel,Macromolecules,,,2005-11,2005,38,23,9882-9884,Closed,Article,"Choi, M. C.; Santangelo, C. D.; Pelletier, O.; Kim, J. H.; Kwon, S. Y.; Wen, Z.; Li, Y.; Pincus, P. A.; Safinya, C. R.; Kim, M. W.",,"Choi, M. C. (); Santangelo, C. D. (); Pelletier, O. (); Kim, J. H. (); Kwon, S. Y. (); Wen, Z. (); Li, Y. (); Pincus, P. A. (); Safinya, C. R. (); Kim, M. W. ()",30,5,,,,https://app.dimensions.ai/details/publication/pub.1056191107,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
128,400,pub.1057834076,10.1063/1.1961229,16178619,,Hierarchical self-assembly of actin bundle networks: gels with surface protein skin layers.,The Journal of Chemical Physics,,"Actin Cytoskeleton; Actinin; Actins; Anisotropy; Gels; Microscopy, Confocal; Microscopy, Fluorescence; Phase Transition; Polylysine; Protein Binding; Water",9/8/05,2005,123,10,104902,Closed,Article,"Hirst, Linda S; Pynn, Roger; Bruinsma, Robijn F; Safinya, Cyrus R",,"Hirst, Linda S (University of California, Santa Barbara); Pynn, Roger (); Bruinsma, Robijn F (); Safinya, Cyrus R ()",16,0,0.16,4.33,,https://app.dimensions.ai/details/publication/pub.1057834076,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
129,200,pub.1019035750,10.1107/s0108767305089762,,,Nanotubular structures of microtubule complexes with spermine and lipid membrane,Acta Crystallographica Section A: Foundations and advances,,,8/23/05,2005,61,a1,c240-c240,All OA; Gold,Article,"Li, Y.; Needleman, D.J.; Raviv, U.; Ojeda-Lopez, M.A.; Miller, H.P.; Wilson, L.; Safinya, C.R.",,"Li, Y. (); Needleman, D.J. (); Raviv, U. (); Ojeda-Lopez, M.A. (); Miller, H.P. (); Wilson, L. (); Safinya, C.R. ()",0,0,,0,http://journals.iucr.org/a/issues/2005/a1/00/a32923/a32923.pdf,https://app.dimensions.ai/details/publication/pub.1019035750,0204 Condensed Matter Physics; 0306 Physical Chemistry (incl. Structural); 02 Physical Sciences; 03 Chemical Sciences; 0301 Analytical Chemistry,0204 Condensed Matter Physics,0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0301 Analytical Chemistry
130,400,pub.1048075649,10.1073/pnas.0502183102,16055561,PMC1183551,Cationic liposome–microtubule complexes: Pathways to the formation of two-state lipid–protein nanotubes with open or closed ends,Proceedings of the National Academy of Sciences,,"Cytoplasmic Vesicles; Drug Delivery Systems; Electrolytes; Liposomes; Microscopy, Electron; Microtubules; Models, Molecular; Nanotubes; Polymers; Synchrotrons; Tubulin",8/9/05,2005,102,32,11167-11172,All OA; Gold,Article,"Raviv, Uri; Needleman, Daniel J.; Li, Youli; Miller, Herbert P.; Wilson, Leslie; Safinya, Cyrus R.",,"Raviv, Uri (University of California, Santa Barbara); Needleman, Daniel J. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",83,4,1.27,9.71,http://www.pnas.org/content/102/32/11167.full.pdf,https://app.dimensions.ai/details/publication/pub.1048075649,0306 Physical Chemistry (incl. Structural); 0299 Other Physical Sciences; 0601 Biochemistry and Cell Biology; 02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,0306 Physical Chemistry (incl. Structural),0299 Other Physical Sciences,0601 Biochemistry and Cell Biology,02 Physical Sciences,03 Chemical Sciences
131,400,pub.1012939736,10.1002/jgm.717,15685706,,New multivalent cationic lipids reveal bell curve for transfection efficiency versus membrane charge density: lipid–DNA complexes for gene delivery,The Journal of Gene Medicine,,"Animals; Cations; DNA; Fatty Acids, Monounsaturated; Gene Transfer Techniques; Genes, Reporter; Genetic Therapy; L Cells (Cell Line); Lipid Bilayers; Liposomes; Luciferases; Mice; Models, Biological; Models, Chemical; Normal Distribution; Phosphatidylethanolamines; Quaternary Ammonium Compounds; Transfection; X-Ray Diffraction",2005-06,2005,7,6,739-748,Closed,Article,"Ahmad, Ayesha; Evans, Heather M.; Ewert, Kai; George, Cyril X.; Samuel, Charles E.; Safinya, Cyrus R.",,"Ahmad, Ayesha (University of California, Santa Barbara); Evans, Heather M. (University of California, Santa Barbara); Ewert, Kai (University of California, Santa Barbara); George, Cyril X. (University of California, Santa Barbara); Samuel, Charles E. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",122,11,3.16,22.23,,https://app.dimensions.ai/details/publication/pub.1012939736,11 Medical and Health Sciences; 1103 Clinical Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,,,
132,400,pub.1056147172,10.1021/la0476175,15835954,,Microchannel systems in titanium and silicon for structural and mechanical studies of aligned protein self-assemblies.,Langmuir,,"Actins; Biocompatible Materials; Materials Testing; Microchemistry; Microscopy, Electron, Scanning; Microtubule-Associated Proteins; Microtubules; Proteins; Silicon; Stress, Mechanical; Titanium",2005-04,2005,21,9,3910-4,Closed,Article,"Hirst, L S; Parker, E R; Abu-Samah, Z; Li, Y; Pynn, R; MacDonald, N C; Safinya, C R",,"Hirst, L S (University of California, Santa Barbara); Parker, E R (); Abu-Samah, Z (); Li, Y (); Pynn, R (); MacDonald, N C (); Safinya, C R ()",15,0,0.16,1.45,,https://app.dimensions.ai/details/publication/pub.1056147172,0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
133,400,pub.1067589545,10.1517/14712598.5.1.33,15709908,,Cationic lipid-DNA complexes for non-viral gene therapy: relating supramolecular structures to cellular pathways.,Expert Opinion on Biological Therapy,,Cations; Cell Membrane; Clinical Trials as Topic; DNA; Genetic Therapy; Humans; Lipids; Macromolecular Substances; Signal Transduction,2005-01,2005,5,1,33-53,Closed,Article,"Ewert, Kai K; Ahmad, Ayesha; Evans, Heather M; Safinya, Cyrus R",,"Ewert, Kai K (University of California, Santa Barbara); Ahmad, Ayesha (); Evans, Heather M (); Safinya, Cyrus R ()",101,8,2.38,,,https://app.dimensions.ai/details/publication/pub.1067589545,11 Medical and Health Sciences,11 Medical and Health Sciences,,,,
134,400,pub.1077130784,,16243062,,Lipoplex Structures and Their Distinct Cellular Pathways.,,,,2005,2005,53PA,,119-155,Closed,Article,"Ewert, Kai; Evans, Heather M; Ahmad, Ayesha; Slack, Nelle L; Lin, Alison J; Martin-Herranz, Ana; Safinya, Cyrus R",,"Ewert, Kai (); Evans, Heather M (); Ahmad, Ayesha (); Slack, Nelle L (); Lin, Alison J (); Martin-Herranz, Ana (); Safinya, Cyrus R ()",0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1077130784,03 Chemical Sciences; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,0306 Physical Chemistry (incl. Structural),
135,400,pub.1036284168,10.1016/s0065-2660(05)53005-0,16240992,,Lipoplex Structures and Their Distinct Cellular Pathways,Advances in Genetics,"Non-Viral Vectors for Gene Therapy, Second Edition: Part 1","Biogenic Polyamines; Cell Membrane; DNA; Gene Expression; Gene Targeting; Gene Transfer Techniques; Genetic Therapy; Genetic Vectors; Liposomes; Luciferases; Microscopy, Confocal; X-Ray Diffraction",2005,2005,53,,119-155,Closed,Chapter,"Ewert, Kai; Evans, Heather M.; Ahmad, Ayesha; Slack, Nelle L.; Lin, Alison J.; Martin‐Herranz, Ana; Safinya, Cyrus R.",,"Ewert, Kai (University of California, Santa Barbara); Evans, Heather M. (University of California, Santa Barbara); Ahmad, Ayesha (University of California, Santa Barbara); Slack, Nelle L. (University of California, Santa Barbara); Lin, Alison J. (University of California, Santa Barbara); Martin‐Herranz, Ana (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",39,3,0.71,3.09,,https://app.dimensions.ai/details/publication/pub.1036284168,03 Chemical Sciences; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,0306 Physical Chemistry (incl. Structural),
136,400,pub.1006708192,10.1073/pnas.0407925101,15572446,PMC536040,Ordered patterns of liquid crystal toroidal defects by microchannel confinement,Proceedings of the National Academy of Sciences,,"Biphenyl Compounds; Crystallization; Microscopy, Atomic Force; Microscopy, Polarization; Nitriles",12/14/04,2004,101,50,17340-17344,All OA; Gold,Article,"Choi, Myung Chul; Pfohl, Thomas; Wen, Zhiyu; Li, Youli; Kim, Mahn Won; Israelachvili, Jacob N.; Safinya, Cyrus R.",,"Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Pfohl, Thomas (University of Ulm); Wen, Zhiyu (Chongqing University); Li, Youli (Chongqing University); Kim, Mahn Won (Chongqing University); Israelachvili, Jacob N. (Chongqing University); Safinya, Cyrus R. (Chongqing University)",66,7,0.81,8.15,http://www.pnas.org/content/101/50/17340.full.pdf,https://app.dimensions.ai/details/publication/pub.1006708192,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
137,200,pub.1057825463,10.1063/1.1830682,,,Alignment of filamentous proteins and associated molecules through confinement in microchannels,Applied Physics Letters,,,12/6/04,2004,85,23,5775-5777,Closed,Article,"Bouxsein, Nathan F.; Hirst, Linda S.; Li, Youli; Safinya, Cyrus R.; Abu Samah, Zuruzi; MacDonald, Noel C.; Pynn, Roger",,"Bouxsein, Nathan F. (); Hirst, Linda S. (); Li, Youli (); Safinya, Cyrus R. (); Abu Samah, Zuruzi (); MacDonald, Noel C. (); Pynn, Roger ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1057825463,09 Engineering; 02 Physical Sciences,09 Engineering,02 Physical Sciences,,,
138,400,pub.1030984018,10.1073/pnas.0406076101,15534220,PMC528963,Higher-order assembly of microtubules by counterions: From hexagonal bundles to living necklaces,Proceedings of the National Academy of Sciences,,"Animals; Biophysical Phenomena; Biophysics; Cations; Cattle; In Vitro Techniques; Macromolecular Substances; Microscopy, Electron; Microtubule-Associated Proteins; Microtubules; Models, Biological; Nanostructures; Scattering, Radiation; Static Electricity; Tubulin; X-Ray Diffraction",11/16/04,2004,101,46,16099-16103,All OA; Gold,Article,"Needleman, Daniel J.; Ojeda-Lopez, Miguel A.; Raviv, Uri; Miller, Herbert P.; Wilson, Leslie; Safinya, Cyrus R.",,"Needleman, Daniel J. (University of California, Santa Barbara); Ojeda-Lopez, Miguel A. (University of California, Santa Barbara); Raviv, Uri (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",122,19,2.23,18.11,http://www.pnas.org/content/101/46/16099.full.pdf,https://app.dimensions.ai/details/publication/pub.1030984018,0306 Physical Chemistry (incl. Structural); 0303 Macromolecular and Materials Chemistry; 0299 Other Physical Sciences; 02 Physical Sciences; 03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,0299 Other Physical Sciences,02 Physical Sciences,03 Chemical Sciences
139,400,pub.1060829338,10.1103/physrevlett.93.198104,15600887,,Synchrotron X-ray Diffraction Study of Microtubules Buckling and Bundling under Osmotic Stress: A Probe of Interprotofilament Interactions,Physical Review Letters,,Guanosine Triphosphate; Microtubule-Associated Proteins; Microtubules; Osmotic Pressure; Paclitaxel; Polyethylene Glycols; Synchrotrons; Tubulin; X-Ray Diffraction,2004-11,2004,93,19,198104,Closed,Article,"Needleman, Daniel J.; Ojeda-Lopez, Miguel A.; Raviv, Uri; Ewert, Kai; Jones, Jayna B.; Miller, Herbert P.; Wilson, Leslie; Safinya, Cyrus R.",,"Needleman, Daniel J. (University of California, Santa Barbara); Ojeda-Lopez, Miguel A. (University of California, Santa Barbara); Raviv, Uri (University of California, Santa Barbara); Ewert, Kai (University of California, Santa Barbara); Jones, Jayna B. (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",83,8,1.3,,,https://app.dimensions.ai/details/publication/pub.1060829338,02 Physical Sciences,02 Physical Sciences,,,,
