,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Michael F Goodchild. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,100,pub.1026853770,10.1002/9780470021699.ch11,,,Epilogue: Intelligent Systems for GIScience: Where Next? A GIScience Perspective,,Self-Organising Maps,,2/29/08,2008,,,195-198,Closed,Chapter,"Goodchild, Michael",,"Goodchild, Michael (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1026853770,,,,,,
91,100,pub.1019578647,10.1111/j.1467-9671.2008.01090.x,,,Defining a Digital Earth System,Transactions in GIS,,,2008-02,2008,12,1,145-160,All OA; Gold,Article,"Grossner, Karl E.; Goodchild, Michael F; Clarke, Keith C.",,"Grossner, Karl E. (University of California, Santa Barbara); Goodchild, Michael F (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara)",68,11,,20.63,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-9671.2008.01090.x,https://app.dimensions.ai/details/publication/pub.1019578647,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
92,200,pub.1035383352,10.1007/978-0-387-35973-1_592,,,Imprecision and Spatial Uncertainty,,Encyclopedia of GIS,,2008,2008,,,480-483,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",7,3,,,,https://app.dimensions.ai/details/publication/pub.1035383352,,,,,,
93,200,pub.1031309947,10.1007/978-0-387-35973-1_236,,,"Data Analysis, Spatial",,Encyclopedia of GIS,,2008,2008,,,200-203,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1031309947,,,,,,
94,100,pub.1043933849,10.1145/1463434.1463519,,,GEDMWA: geospatial exploratory data mining web agent,,Proceedings of the 16th ACM SIGSPATIAL international conference on Advances in geographic information systems - GIS '08,,2008,2008,,,74,Closed,Proceeding,"Pultar, Edward; Raubal, Martin; Goodchild, Michael F.",,"Pultar, Edward (University of California, Santa Barbara); Raubal, Martin (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",9,0,,2.24,,https://app.dimensions.ai/details/publication/pub.1043933849,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0801 Artificial Intelligence and Image Processing
95,100,pub.1004608804,10.1007/978-1-4020-8507-9_18,,,Geospatial Technologies and Homeland Security: Challenges and Opportunities,The GeoJournal Library,Geospatial Technologies and Homeland Security,,2008,2008,94,,345-353,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",2,0,,0.32,,https://app.dimensions.ai/details/publication/pub.1004608804,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
96,200,pub.1040094920,10.1117/12.751171,,,Discriminant models for scaling area-class maps,Proceedings of SPIE,MIPPR 2007: Remote Sensing and GIS Data Processing and Applications; and Innovative Multispectral Technology and Applications,,11/15/07,2007,6790,,67903b-67903b-8,Closed,Proceeding,"Zhang, Jingxiong; Goodchild, Michael F.; Steele, Brian M.",,"Zhang, Jingxiong (Wuhan University); Goodchild, Michael F. (University of California, Santa Barbara); Steele, Brian M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1040094920,,,,,,
97,100,pub.1014006987,10.1007/s10708-007-9111-y,,,Citizens as sensors: the world of volunteered geography,GeoJournal,,,2007-08,2007,69,4,211-221,"All OA; Green, Accepted & Submitted",Article,"Goodchild, Michael F.","Goodchild, Michael F.","Goodchild, Michael F. (University of California, Santa Barbara)",2000,571,,471.89,http://www.ncgia.ucsb.edu/projects/vgi/docs/position/Goodchild_VGI2007.pdf,https://app.dimensions.ai/details/publication/pub.1014006987,"15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 1506 Tourism; 1604 Human Geography; 1601 Anthropology","15 Commerce, Management, Tourism and Services",16 Studies in Human Society,1506 Tourism,1604 Human Geography,1601 Anthropology
98,200,pub.1038374611,10.1117/12.759523,,,A discriminant space-based framework for scalable area-class mapping,Proceedings of SPIE,Geoinformatics 2007: Cartographic Theory and Models,,6/10/07,2007,6751,,67510k-67510k-12,Closed,Proceeding,"Zhang, Jingxiong; Goodchild, Michael F.; Steele, Brian M.; Redmond, Roland",,"Zhang, Jingxiong (Wuhan University); Goodchild, Michael F. (University of California, Santa Barbara); Steele, Brian M. (); Redmond, Roland ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1038374611,,,,,,
99,100,pub.1042070645,10.1111/j.1467-8306.2007.00534.x,,,Sharing Geographic Information: An Assessment of the Geospatial One‐Stop,Annals of the American Association of Geographers,,,2007-06,2007,97,2,250-266,Closed,Article,"Goodchild, Michael F.; Fu, Pinde; Rich, Paul",,"Goodchild, Michael F. (University of California, Santa Barbara); Fu, Pinde (); Rich, Paul ()",97,13,,14.71,,https://app.dimensions.ai/details/publication/pub.1042070645,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
100,100,pub.1051749460,10.1080/13658810600965271,,,Towards a general theory of geographic representation in GIS,International Journal of Geographical Information Science,,,2007-03,2007,21,3,239-260,All OA; Gold,Article,"Goodchild, Michael F.; Yuan, May; Cova, Thomas J.",,"Goodchild, Michael F. (); Yuan, May (); Cova, Thomas J. ()",258,51,,75.54,https://www.tandfonline.com/doi/pdf/10.1080/13658810600965271?needAccess=true,https://app.dimensions.ai/details/publication/pub.1051749460,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
101,100,pub.1014339103,10.1111/j.1467-9671.2006.01022.x,,,GIScience Ten Years After Ground Truth,Transactions in GIS,,,2006-11,2006,10,5,687-692,Closed,Article,"Goodchild, Michael F",,"Goodchild, Michael F (University of California, Santa Barbara)",29,7,,6.07,,https://app.dimensions.ai/details/publication/pub.1014339103,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
102,200,pub.1013336898,10.1117/12.713283,,,Categorical mapping and error modeling based on the discriminant space,Proceedings of SPIE,Geoinformatics 2006: Geospatial Information Science,,10/28/06,2006,6420,,64201h-64201h-8,Closed,Proceeding,"Zhang, Jingxiong; Goodchild, Michael; Kyriakidis, Phaedon; Rao, Xiong",,"Zhang, Jingxiong (Wuhan University); Goodchild, Michael (University of California, Santa Barbara); Kyriakidis, Phaedon (University of California, Santa Barbara); Rao, Xiong (Wuhan University)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1013336898,,,,,,
103,100,pub.1033867946,10.1080/13658810600711279,,,On the prediction error variance of three common spatial interpolation schemes,International Journal of Geographical Information Science,,,2006-09,2006,20,8,823-855,Closed,Article,"Kyriakidis, Phaedon C.; Goodchild, Michael F.",,"Kyriakidis, Phaedon C. (); Goodchild, Michael F. ()",22,2,,3.72,,https://app.dimensions.ai/details/publication/pub.1033867946,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
104,200,pub.1040801950,10.1016/j.compenvurbsys.2005.10.004,,,GIS and disasters: Planning for catastrophe,Computers Environment and Urban Systems,,,2006-05,2006,30,3,227-229,"All OA; Green, Accepted & Submitted",Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",30,5,,5.63,http://www.geog.ucsb.edu/~good/papers/419.pdf,https://app.dimensions.ai/details/publication/pub.1040801950,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
105,200,pub.1018144864,10.1016/b0-12-369398-5/00335-2,,,Geographic Information Systems,,Encyclopedia of Social Measurement,,2005,2005,,Ann. Assoc. Am. Geogr.902000,107-113,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",4,2,,,,https://app.dimensions.ai/details/publication/pub.1018144864,,,,,,
106,200,pub.1002418362,10.1007/s10109-004-0140-5,,,A general framework for error analysis in measurement-based GIS,Journal of Geographical Systems,,,2004-12,2004,6,4,323-324,"All OA; Green, Accepted & Submitted",Article,"Goodchild, Michael F.","Goodchild, Michael F.","Goodchild, Michael F. (University of California, Santa Barbara)",21,1,,3.13,http://www.geog.ucsb.edu/~good/papers/408.pdf,https://app.dimensions.ai/details/publication/pub.1002418362,09 Engineering; 16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 0909 Geomatic Engineering; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,0909 Geomatic Engineering,1604 Human Geography
107,100,pub.1018032812,10.1111/j.1467-8306.2004.00424.x,,,"GIScience, Geography, Form, and Process",Annals of the American Association of Geographers,,,2004-12,2004,94,4,709-714,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",76,17,,11.59,,https://app.dimensions.ai/details/publication/pub.1018032812,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
108,200,pub.1029048404,10.1201/9780203497586.ch11,,,Geostatistical Mapping of Thematic Classification Uncertainty,,Remote Sensing and GIS Accuracy Assessment,,7/27/04,2004,,,145-162,Closed,Chapter,"Kyriakidis, Phaedon; Liu, Xiaohang; Goodchild, Michael",,"Kyriakidis, Phaedon (); Liu, Xiaohang (); Goodchild, Michael ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1029048404,,,,,,
109,200,pub.1030301866,10.1111/j.1467-8306.2004.09402008.x,,,The Validity and Usefulness of Laws in Geographic Information Science and Geography,Annals of the American Association of Geographers,,,2004-06,2004,94,2,300-303,"All OA; Green, Accepted & Submitted",Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",92,27,,14.03,http://www.geog.ucsb.edu/~good/papers/393.pdf,https://app.dimensions.ai/details/publication/pub.1030301866,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
110,100,pub.1021658528,10.1007/978-3-662-07223-3_16,,,GIS and spatial data analysis: Converging perspectives,Advances in Spatial Science,Fifty Years of Regional Science,,2004,2004,,,363-385,"All OA; Green, Accepted & Submitted",Chapter,"Goodchild, Michael F.; Haining, Robert P.",,"Goodchild, Michael F. (University of California, Santa Barbara); Haining, Robert P. (University of Cambridge)",34,10,,4.84,http://www.geog.ucsb.edu/~good/papers/387.pdf,https://app.dimensions.ai/details/publication/pub.1021658528,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
111,100,pub.1022129254,10.1146/annurev.energy.28.050302.105521,,,GEOGRAPHIC INFORMATION SCIENCE AND SYSTEMS FOR ENVIRONMENTAL MANAGEMENT,Annual Review of Environment and Resources,,,2003-11,2003,28,1,493-519,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",38,2,,7.92,,https://app.dimensions.ai/details/publication/pub.1022129254,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0803 Computer Software,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0803 Computer Software
112,100,pub.1029078175,10.1007/s10110-003-0190-y,,,GIS and spatial data analysis: Converging perspectives,Papers in Regional Science,,,2003-10,2003,83,1,363-385,Closed,Article,"Goodchild, Michael F.; Haining, Robert P.","Goodchild, Michael F.","Goodchild, Michael F. (University of California, Santa Barbara); Haining, Robert P. (University of Cambridge)",81,20,,20.33,,https://app.dimensions.ai/details/publication/pub.1029078175,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
113,200,pub.1064219091,10.1207/s15427633scc032&3_06,,,Where's Downtown?: Behavioral Methods for Determining Referents of Vague Spatial Queries,Spatial Cognition and Computation,,,9/1/03,2003,3,2,185-204,"All OA; Green, Accepted & Submitted",Article,"Montello, Daniel; Goodchild, Michael; Gottsegen, Jonathon; Fohl, Peter",,"Montello, Daniel (); Goodchild, Michael (); Gottsegen, Jonathon (); Fohl, Peter ()",42,10,,6.27,http://cogs200.pbwiki.com/f/montello_03_wheres.pdf,https://app.dimensions.ai/details/publication/pub.1064219091,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
114,100,pub.1035562344,10.1080/13875868.2003.9683761,,,Where's Downtown?: Behavioral Methods for Determining Referents of Vague Spatial Queries,Spatial Cognition and Computation,,,2003-09,2003,3,3-Feb,185-204,"All OA; Green, Accepted & Submitted",Article,"Montello, Daniel R.; Goodchild, Michael F.; Gottsegen, Jonathon; Fohl, Peter",,"Montello, Daniel R. (); Goodchild, Michael F. (); Gottsegen, Jonathon (); Fohl, Peter ()",109,26,,16.27,http://cogs200.pbwiki.com/f/montello_03_wheres.pdf,https://app.dimensions.ai/details/publication/pub.1035562344,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
115,100,pub.1058156128,10.1068/b12831,,,Developing an Infrastructure for Sharing Environmental Models,Environment and Planning B Urban Analytics and City Science,,,2003-08,2003,30,4,487-501,Closed,Article,"Crosier, Scott J; Goodchild, Michael F; Hill, Linda L; Smith, Terence R",,"Crosier, Scott J (Environmental Systems Research Institute (United States)); Goodchild, Michael F (University of California, Santa Barbara); Hill, Linda L (University of California, Santa Barbara); Smith, Terence R (University of California, Santa Barbara)",13,1,,3.49,,https://app.dimensions.ai/details/publication/pub.1058156128,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
116,200,pub.1058156977,10.1068/b3003rvw,,,"Reviews: Time-Integrative Geographic Information Systems: Management and Analysis of Spatio-Temporal Data, Time-Integrative Geographic Information Systems: Management and Analysis of Spatio-Temporal Data, Environmental Modelling with GIS and Remote Sensing, Local Strategic Partnerships: Lessons from New Commitment to Regeneration, Inclusive Design: Designing and Developing Accessible Environments, the European Dimension of British Planning, Cities for the New Millennium, Valuing Environmental and Natural Resources: The Econometrics of Non-Market Valuation, Uncertainty and the Environment: Implications for Decision Making and Environmental Policy, Spatial Data Quality, Innovations in GIS 8. Spatial Information and the Environment, Planning for Crime Prevention: A Transatlantic Perspective, Java Programming for Spatial Sciences, Geographical Data: Characteristics and Sources, a New Kind of Science",Environment and Planning B Urban Analytics and City Science,,,2003-06,2003,30,3,465-482,All OA; Gold,Article,"Dragicevic, Suzana; de Smith, Mike; Goodchild, Michael F; de Magalhães, Claudio; Thomas, Huw; Walton, William; Hall, Peter; Moffatt, Ian; Sui, Daniel; Halls, Peter; Mesev, Victor; Ashby, D I; Rana, Sanjay; Williamson, Paul; Harris, Britton",,"Dragicevic, Suzana (Simon Fraser University); de Smith, Mike (University College London); Goodchild, Michael F (University of California, Santa Barbara); de Magalhães, Claudio (University College London); Thomas, Huw (Cardiff University); Walton, William (University of Aberdeen); Hall, Peter (); Moffatt, Ian (University of Stirling); Sui, Daniel (Texas A&M University); Halls, Peter (University of York); Mesev, Victor (University of Ulster); Ashby, D I (University College London); Rana, Sanjay (University College London); Williamson, Paul (University of Liverpool); Harris, Britton (University of Pennsylvania)",0,0,,0,http://journals.sagepub.com/doi/pdf/10.1068/b3003rvw,https://app.dimensions.ai/details/publication/pub.1058156977,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
117,100,pub.1043875064,10.1023/a:1023451824100,,,Finding Geographic Information: Collection-Level Metadata,GeoInformatica,,,2003-06,2003,7,2,95-112,Closed,Article,"Goodchild, Michael F.; Zhou, Jianyu",,"Goodchild, Michael F. (inTACT (United States); University of California, Santa Barbara); Zhou, Jianyu (University of California, Santa Barbara)",17,0,,2,,https://app.dimensions.ai/details/publication/pub.1043875064,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0499 Other Earth Sciences; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0499 Other Earth Sciences,04 Earth Sciences
118,200,pub.1021836696,10.1007/s101090300100,,,Accessibility in space and time: A theme in spatially integrated social science,Journal of Geographical Systems,,,2003-05,2003,5,1,3-Jan,"All OA; Green, Accepted & Submitted",Article,"Kwan, Mei-Po; Janelle, Donald G.; Goodchild, Michael F.",,"Kwan, Mei-Po (The Ohio State University); Janelle, Donald G. (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",46,7,,7,http://www.geog.ucsb.edu/~good/papers/382.pdf,https://app.dimensions.ai/details/publication/pub.1021836696,09 Engineering; 16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 0909 Geomatic Engineering; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,0909 Geomatic Engineering,1604 Human Geography
119,100,pub.1039610064,10.1111/1541-0064.02e08,,,A tetradic analysis of GIS and society using McLuhan's law of the media,Canadian Geographer / Le Géographe canadien,,,2003-03,2003,47,1,17-May,"All OA; Green, Accepted & Submitted",Article,"Sui, Daniel Z.; Goodchild, Michael F.",,"Sui, Daniel Z. (Texas A&M University); Goodchild, Michael F. (University of California, Santa Barbara)",28,2,,4.3,http://www.geog.ucsb.edu/~good/papers/385.pdf,https://app.dimensions.ai/details/publication/pub.1039610064,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
120,100,pub.1033431235,10.1111/1467-9671.00141,,,Accounting for Spatial Uncertainty in Optimization with Spatial Decision Support Systems,Transactions in GIS,,,2003-03,2003,7,2,211-230,"All OA; Green, Published",Article,"Aerts, Jeroen C. J. H.; Goodchild, Michael F.; Heuvelink, Gerard B. M.",,"Aerts, Jeroen C. J. H. (); Goodchild, Michael F. (University of California, Santa Barbara); Heuvelink, Gerard B. M. (University of Amsterdam)",57,7,,11.49,https://research.vu.nl/ws/files/1882197/153346.pdf,https://app.dimensions.ai/details/publication/pub.1033431235,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
121,100,pub.1014077435,10.1145/602421.602446,,,Geospatial IT for mobile field data collection,Communications of the ACM,,,1/1/03,2003,46,1,45-46,Closed,Article,"Nusser, Sarah; Miller, Leslie; Clarke, Keith; Goodchild, Michael",,"Nusser, Sarah (Iowa State University); Miller, Leslie (Iowa State University); Clarke, Keith (University of California, Santa Barbara); Goodchild, Michael (University of California, Santa Barbara)",17,1,,4.12,,https://app.dimensions.ai/details/publication/pub.1014077435,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
122,100,pub.1038555571,10.1080/13658810210137040,,,Extending geographical representation to include fields of spatial objects,International Journal of Geographical Information Science,,,2002-09,2002,16,6,509-532,Closed,Article,"Cova, Thomas J.; Goodchild, Michael F.",,"Cova, Thomas J. (); Goodchild, Michael F. ()",124,17,,19.26,,https://app.dimensions.ai/details/publication/pub.1038555571,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
123,100,pub.1005980489,10.1080/13658810110099099,,,Geometric probability and GIS: some applications for the statistics of intersections,International Journal of Geographical Information Science,,,2002-05,2002,16,3,227-243,Closed,Article,"Shortridge, Ashton M.; Goodchild, Michael F.",,"Shortridge, Ashton M. (); Goodchild, Michael F. ()",10,2,,1.56,,https://app.dimensions.ai/details/publication/pub.1005980489,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
124,100,pub.1000028604,10.1007/978-1-4615-0005-6_18,,,Data Quality in Massive Data Sets,Massive Computing,Handbook of Massive Data Sets,,2002,2002,4,,643-659,Closed,Chapter,"Goodchild, Michael F.; Clarke, Keith C.",,"Goodchild, Michael F. (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara)",8,4,,1.56,,https://app.dimensions.ai/details/publication/pub.1000028604,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
125,200,pub.1009161895,10.1080/13658810110038924,,,GIS as media?,International Journal of Geographical Information Science,,,2001-07,2001,15,5,387-390,Closed,Article,"Sui, Daniel Z.; Goodchild, Michael F.",,"Sui, Daniel Z. (); Goodchild, Michael F. ()",44,8,,7.16,,https://app.dimensions.ai/details/publication/pub.1009161895,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
126,100,pub.1046721670,10.1016/s0303-2434(01)85002-9,,,Metrics of scale in remote sensing and GIS,International Journal of Applied Earth Observation and Geoinformation,,,2001-01,2001,3,2,114-120,Closed,Article,"Goodchild, Michael F",,"Goodchild, Michael F (University of California, Santa Barbara)",35,12,,5.65,,https://app.dimensions.ai/details/publication/pub.1046721670,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
127,100,pub.1035293790,10.1007/3-540-45424-1_1,,,A Geographer Looks at Spatial Information Theory,Lecture Notes in Computer Science,Spatial Information Theory,,2001,2001,2205,,13-Jan,"All OA; Green, Accepted & Submitted",Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",30,4,,4.84,http://www.yorku.ca/gis/es6189/docs/goodchild_01.pdf,https://app.dimensions.ai/details/publication/pub.1035293790,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
128,100,pub.1012882308,10.1016/b0-08-043076-7/02523-7,,,Geographic Information Systems,,International Encyclopedia of the Social & Behavioral Sciences,,2001,2001,,,6175-6182,Closed,Chapter,"Goodchild, M.F.",,"Goodchild, M.F. (University of California, Santa Barbara)",2,0,,0.4,,https://app.dimensions.ai/details/publication/pub.1012882308,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
129,200,pub.1046592623,10.1111/0004-5608.00198,,,Communicating Geographic Information in a Digital Age,Annals of the American Association of Geographers,,,2000-06,2000,90,2,344-355,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",52,3,,9.4,,https://app.dimensions.ai/details/publication/pub.1046592623,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
130,100,pub.1036175523,10.1023/a:1009867905167,,,GIS and Transportation: Status and Challenges,GeoInformatica,,,2000-06,2000,4,2,127-139,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",66,6,,8.76,,https://app.dimensions.ai/details/publication/pub.1036175523,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0499 Other Earth Sciences; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0499 Other Earth Sciences,04 Earth Sciences
131,200,pub.1063746716,10.1177/016001700761012701,,,Toward Spatially Integrated Social Science,International Regional Science Review,,,4/1/00,2000,23,2,139-159,Closed,Article,"Goodchild, M.F.; Anselin, L.; Appelbaum, R.P.; Harthorn, B.H.",,"Goodchild, M.F. (); Anselin, L. (); Appelbaum, R.P. (); Harthorn, B.H. ()",95,1,,27.79,,https://app.dimensions.ai/details/publication/pub.1063746716,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
132,100,pub.1017284836,10.1177/016001760002300201,,,Toward Spatially Integrated Social Science,International Regional Science Review,,,2000-04,2000,23,2,139-159,Closed,Article,"Goodchild, Michael F.; Anselin, Luc; Appelbaum, Richard P.; Harthorn, Barbara Herr",,"Goodchild, Michael F. (University of California, Santa Barbara); Anselin, Luc (University of Illinois at Urbana Champaign); Appelbaum, Richard P. (University of California, Santa Barbara); Harthorn, Barbara Herr (University of California, Santa Barbara)",132,14,,40.55,,https://app.dimensions.ai/details/publication/pub.1017284836,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
133,100,pub.1046517205,10.1007/s101090050022,,,Part 1 Spatial analysts and GIS practitioners,Journal of Geographical Systems,,,2000-03,2000,2,1,10-May,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",30,4,,4.79,,https://app.dimensions.ai/details/publication/pub.1046517205,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
134,100,pub.1034509114,10.1016/s0968-090x(00)00020-6,,,Map accuracy and location expression in transportation – reality and prospects,Transportation Research Part C Emerging Technologies,,,2000-02,2000,8,6-Jan,53-69,Closed,Article,"Noronha, Val; Goodchild, Michael F","Noronha, Val","Noronha, Val (University of California, Santa Barbara); Goodchild, Michael F (University of California, Santa Barbara)",21,1,,5.5,,https://app.dimensions.ai/details/publication/pub.1034509114,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
135,100,pub.1001872563,10.1080/136588199240996,,,Introduction to the Varenius project,International Journal of Geographical Information Science,,,1999-12,1999,13,8,731-745,Closed,Article,"Goodchild, Michael F.; Egenhofer, Max J.; Kemp, Karen K.; Mark, David M.; Sheppard, Eric",,"Goodchild, Michael F. (); Egenhofer, Max J. (); Kemp, Karen K. (); Mark, David M. (); Sheppard, Eric ()",68,4,,,,https://app.dimensions.ai/details/publication/pub.1001872563,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
