,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Oliver A Chadwick. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
61,100,pub.1028426993,10.1016/j.ecolmodel.2012.06.027,,,"Reprint: Building and testing models of long-term agricultural intensification and population dynamics: A case study from the Leeward Kohala Field System, Hawai’i",Ecological Modelling,,,2012-08,2012,241,,54-64,Closed,Article,"Kirch, P.V.; Asner, G.; Chadwick, O.A.; Field, J.; Ladefoged, T.; Lee, C.; Puleston, C.; Tuljapurkar, S.; Vitousek, P.M.","Kirch, P.V.","Kirch, P.V. (University of California, Berkeley); Asner, G. (Department of Plant Biology); Chadwick, O.A. (University of California, Santa Barbara); Field, J. (The Ohio State University); Ladefoged, T. (University of Auckland); Lee, C. (Florida State University); Puleston, C. (University of California, Davis); Tuljapurkar, S. (Stanford University); Vitousek, P.M. (Stanford University)",3,1,,1.83,,https://app.dimensions.ai/details/publication/pub.1028426993,2101 Archaeology; 21 History and Archaeology,2101 Archaeology,21 History and Archaeology,,,
62,100,pub.1015224034,10.1111/j.1365-2486.2012.02681.x,,,Long‐term carbon storage through retention of dissolved aromatic acids by reactive particles in soil,Global Change Biology,,,2012-08,2012,18,8,2594-2605,Closed,Article,"Kramer, Marc G.; Sanderman, Jonathan; Chadwick, Oliver A.; Chorover, Jon; Vitousek, Peter M.",,"Kramer, Marc G. (University of California, Santa Cruz); Sanderman, Jonathan (Commonwealth Scientific and Industrial Research Organisation); Chadwick, Oliver A. (University of California, Santa Barbara); Chorover, Jon (University of Arizona); Vitousek, Peter M. (Stanford University)",98,38,,15.79,,https://app.dimensions.ai/details/publication/pub.1015224034,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
63,100,pub.1029271501,10.1029/2011gb004109,,,Mineralogical controls on soil black carbon preservation,Global Biogeochemical Cycles,,,2012-06,2012,26,2,n/a-n/a,All OA; Gold,Article,"Cusack, Daniela F.; Chadwick, Oliver A.; Hockaday, William C.; Vitousek, Peter M.",,"Cusack, Daniela F. (University of California, Santa Barbara; University of California Los Angeles); Chadwick, Oliver A. (University of California, Santa Barbara); Hockaday, William C. (Baylor University); Vitousek, Peter M. (Stanford University)",38,8,,4.13,http://onlinelibrary.wiley.com/doi/10.1029/2011GB004109/pdf,https://app.dimensions.ai/details/publication/pub.1029271501,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,
64,100,pub.1014139803,10.5194/bg-9-1809-2012,,,Topo-edaphic controls over woody plant biomass in South African savannas,Biogeosciences,,,2012-05-23,2012,9,5,1809-1821,All OA; Gold,Article,"Colgan, M. S.; Asner, G. P.; Levick, S. R.; Martin, R. E.; Chadwick, O. A.",,"Colgan, M. S. (Department of Plant Biology; Stanford University); Asner, G. P. (Department of Plant Biology); Levick, S. R. (Department of Plant Biology); Martin, R. E. (Department of Plant Biology); Chadwick, O. A. (University of California, Santa Barbara)",43,14,,5.97,https://www.biogeosciences.net/9/1809/2012/bg-9-1809-2012.pdf,https://app.dimensions.ai/details/publication/pub.1014139803,05 Environmental Sciences; 0503 Soil Sciences; 0602 Ecology; 06 Biological Sciences,05 Environmental Sciences,0503 Soil Sciences,0602 Ecology,06 Biological Sciences,
65,100,pub.1012119228,10.1007/s10533-011-9602-2,,,Lithologic controls on biogenic silica cycling in South African savanna ecosystems,Biogeochemistry,,,2012-04,2012,108,1-3,317-334,Closed,Article,"Melzer, Susan E.; Chadwick, Oliver A.; Hartshorn, Anthony S.; Khomo, Lesego M.; Knapp, Alan K.; Kelly, Eugene F.","Melzer, Susan E.","Melzer, Susan E. (Colorado State University); Chadwick, Oliver A. (University of California, Santa Barbara); Hartshorn, Anthony S. (James Madison University); Khomo, Lesego M. (University of the Witwatersrand); Knapp, Alan K. (Colorado State University); Kelly, Eugene F. (Colorado State University)",17,3,,2.74,,https://app.dimensions.ai/details/publication/pub.1012119228,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
66,100,pub.1051186082,10.1016/j.ecolmodel.2011.11.032,,,"Building and testing models of long-term agricultural intensification and population dynamics: A case study from the Leeward Kohala Field System, Hawai’i",Ecological Modelling,,,2012-02,2012,227,,18-28,Closed,Article,"Kirch, P.V.; Asner, G.; Chadwick, O.A.; Field, J.; Ladefoged, T.; Lee, C.; Puleston, C.; Tuljapurkar, S.; Vitousek, P.M.","Kirch, P.V.","Kirch, P.V. (University of California, Berkeley); Asner, G. (Department of Plant Biology); Chadwick, O.A. (University of California, Santa Barbara); Field, J. (The Ohio State University); Ladefoged, T. (University of Auckland); Lee, C. (Florida State University); Puleston, C. (University of California, Davis); Tuljapurkar, S. (Stanford University); Vitousek, P.M. (Stanford University)",23,8,,14.04,,https://app.dimensions.ai/details/publication/pub.1051186082,2101 Archaeology; 21 History and Archaeology,2101 Archaeology,21 History and Archaeology,,,
67,100,pub.1025766147,10.5194/bgd-9-957-2012,,,Topo-edaphic controls over woody plant biomass in South African savannas,Biogeosciences Discussions,,,2012-01-23,2012,9,1,957-987,All OA; Gold,Article,"Colgan, M. S.; Asner, G. P.; Levick, S. R.; Martin, R. E.; Chadwick, O. A.",,"Colgan, M. S. (Stanford University; Department of Plant Biology); Asner, G. P. (Department of Plant Biology); Levick, S. R. (Department of Plant Biology); Martin, R. E. (Department of Plant Biology); Chadwick, O. A. (University of California, Santa Barbara)",9,0,,1.08,https://doi.org/10.5194/bgd-9-957-2012,https://app.dimensions.ai/details/publication/pub.1025766147,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
68,100,pub.1022922560,10.1016/j.jas.2011.08.031,,,Agricultural potential and actualized development in Hawai’i: an airborne LiDAR survey of the leeward Kohala field system (Hawai’i Island),Journal of Archaeological Science,,,2011-12,2011,38,12,3605-3619,Closed,Article,"Ladefoged, Thegn N.; McCoy, Mark D.; Asner, Gregory P.; Kirch, Patrick V.; Puleston, Cedric O.; Chadwick, Oliver A.; Vitousek, Peter M.","Ladefoged, Thegn N.","Ladefoged, Thegn N. (University of Auckland); McCoy, Mark D. (University of Otago); Asner, Gregory P. (Department of Plant Biology); Kirch, Patrick V. (University of California, Berkeley); Puleston, Cedric O. (University of California, Davis); Chadwick, Oliver A. (University of California, Santa Barbara); Vitousek, Peter M. (Stanford University)",31,14,,4.96,,https://app.dimensions.ai/details/publication/pub.1022922560,0402 Geochemistry; 2101 Archaeology; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,0402 Geochemistry,2101 Archaeology,0403 Geology,21 History and Archaeology,04 Earth Sciences
69,100,pub.1048725272,10.1007/s10021-011-9472-4,,,Dependence of Forest Structure and Dynamics on Substrate Age and Ecosystem Development,Ecosystems,,,2011-11,2011,14,7,1156-1167,Closed,Article,"Kellner, James R.; Asner, Gregory P.; Vitousek, Peter M.; Tweiten, Michael A.; Hotchkiss, Sara; Chadwick, Oliver A.","Kellner, James R.","Kellner, James R. (Department of Plant Biology; University of Maryland, College Park); Asner, Gregory P. (Department of Plant Biology); Vitousek, Peter M. (Stanford University); Tweiten, Michael A. (University of Wisconsin–Madison); Hotchkiss, Sara (University of Wisconsin–Madison); Chadwick, Oliver A. (University of California, Santa Barbara)",23,1,,2.62,,https://app.dimensions.ai/details/publication/pub.1048725272,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
70,100,pub.1029245342,10.1016/j.catena.2011.05.017,,,Impact of rainfall and topography on the distribution of clays and major cations in granitic catenas of southern Africa,Catena,,,2011-10,2011,87,1,119-128,Closed,Article,"Khomo, Lesego; Hartshorn, Anthony S.; Rogers, Kevin H.; Chadwick, Oliver A.","Khomo, Lesego","Khomo, Lesego (Max Planck Institute for Biogeochemistry); Hartshorn, Anthony S. (James Madison University); Rogers, Kevin H. (University of the Witwatersrand); Chadwick, Oliver A. (University of California, Santa Barbara)",29,7,,4.27,,https://app.dimensions.ai/details/publication/pub.1029245342,0503 Soil Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0406 Physical Geography and Environmental Geoscience,0503 Soil Sciences,04 Earth Sciences,05 Environmental Sciences,0406 Physical Geography and Environmental Geoscience,
71,100,pub.1051362200,10.1016/j.aeolia.2011.03.004,,,Accumulation of salt-rich dust from Owens Lake playa in nearby alluvial soils,Aeolian Research,,,2011-06,2011,3,1,23-29,Closed,Article,"Quick, Dayna J.; Chadwick, Oliver A.","Quick, Dayna J.","Quick, Dayna J. (University of California, Santa Barbara); Chadwick, Oliver A. (University of California, Santa Barbara)",2,0,,0.26,,https://app.dimensions.ai/details/publication/pub.1051362200,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
72,100,pub.1040618658,10.1016/j.chemgeo.2011.01.014,,,A mass-balance model to separate and quantify colloidal and solute redistributions in soil,Chemical Geology,,,2011-03-23,2011,282,3-4,113-119,Closed,Article,"Bern, Carleton R.; Chadwick, Oliver A.; Hartshorn, Anthony S.; Khomo, Lesego M.; Chorover, Jon","Bern, Carleton R.","Bern, Carleton R. (United States Geological Survey); Chadwick, Oliver A. (University of California, Santa Barbara); Hartshorn, Anthony S. (James Madison University); Khomo, Lesego M. (University of the Witwatersrand); Chorover, Jon (University of Arizona)",28,7,,3.31,,https://app.dimensions.ai/details/publication/pub.1040618658,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
73,100,pub.1045255355,10.1016/j.gca.2010.10.005,,,Iron solid-phase differentiation along a redox gradient in basaltic soils,Geochimica et Cosmochimica Acta,,,2011-01,2011,75,1,119-133,Closed,Article,"Thompson, Aaron; Rancourt, Denis G.; Chadwick, Oliver A.; Chorover, Jon","Thompson, Aaron","Thompson, Aaron (University of Georgia); Rancourt, Denis G. (University of Ottawa); Chadwick, Oliver A. (University of California, Santa Barbara); Chorover, Jon (University of Arizona)",60,23,,7.09,,https://app.dimensions.ai/details/publication/pub.1045255355,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
74,100,pub.1036644453,10.1155/2011/839028,,,"Relationships between GPP, Satellite Measures of Greenness and Canopy Water Content with Soil Moisture in Mediterranean-Climate Grassland and Oak Savanna",Applied and Environmental Soil Science,,,2011,2011,2011,,1-14,All OA; Gold,Article,"Liu, Shishi; Chadwick, Oliver A.; Roberts, Dar A.; Still, Chris J.",,"Liu, Shishi (University of California, Santa Barbara); Chadwick, Oliver A. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Still, Chris J. (University of California, Santa Barbara)",9,4,,1.5,http://downloads.hindawi.com/journals/aess/2011/839028.pdf,https://app.dimensions.ai/details/publication/pub.1036644453,09 Engineering; 0503 Soil Sciences; 05 Environmental Sciences; 0907 Environmental Engineering,09 Engineering,0503 Soil Sciences,05 Environmental Sciences,0907 Environmental Engineering,
75,100,pub.1009171855,10.1029/2010jg001587,,,Carbon delivery to deep mineral horizons in Hawaiian rain forest soils,Journal of Geophysical Research,,,2011,2011,116,G3,,All OA; Gold,Article,"Marin‐Spiotta, Erika; Chadwick, Oliver A.; Kramer, Marc; Carbone, Mariah S.",,"Marin‐Spiotta, Erika (University of Wisconsin–Madison); Chadwick, Oliver A. (University of California, Santa Barbara); Kramer, Marc (University of California, Santa Cruz); Carbone, Mariah S. (University of California, Santa Barbara)",29,7,,4.88,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JG001587,https://app.dimensions.ai/details/publication/pub.1009171855,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
76,400,pub.1020515307,10.1038/ncomms1066,20842197,,Regional insight into savanna hydrogeomorphology from termite mounds,Nature Communications,,Animals; Climate; Ecosystem; Isoptera; Soil,2010-12,2010,1,1,65,All OA; Gold,Article,"Levick, Shaun R.; Asner, Gregory P.; Chadwick, Oliver A.; Khomo, Lesego M.; Rogers, Kevin H.; Hartshorn, Anthony S.; Kennedy-Bowdoin, Ty; Knapp, David E.","Levick, Shaun R.","Levick, Shaun R. (Department of Plant Biology); Asner, Gregory P. (Department of Plant Biology); Chadwick, Oliver A. (University of California, Santa Barbara); Khomo, Lesego M. (University of the Witwatersrand); Rogers, Kevin H. (University of the Witwatersrand); Hartshorn, Anthony S. (James Madison University); Kennedy-Bowdoin, Ty (Department of Plant Biology); Knapp, David E. (Department of Plant Biology)",52,15,0.41,4.87,https://www.nature.com/articles/ncomms1066.pdf,https://app.dimensions.ai/details/publication/pub.1020515307,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
77,100,pub.1016249406,10.1890/09-1552.1,,,Understanding ecosystem retrogression,Ecological Monographs,,,2010-11,2010,80,4,509-529,"All OA; Green, Accepted & Submitted",Article,"Peltzer, Duane A.; Wardle, David A.; Allison, Victoria J.; Baisden, W. Troy; Bardgett, Richard D.; Chadwick, Oliver A.; Condron, Leo M.; Parfitt, Roger L.; Porder, Stephen; Richardson, Sarah J.; Turner, Benjamin L.; Vitousek, Peter M.; Walker, Joe; Walker, Lawrence R.",,"Peltzer, Duane A. (Landcare Research); Wardle, David A. (Landcare Research; Swedish University of Agricultural Sciences); Allison, Victoria J. (); Baisden, W. Troy (); Bardgett, Richard D. (Lancaster University); Chadwick, Oliver A. (University of California, Santa Barbara); Condron, Leo M. (Lincoln University); Parfitt, Roger L. (Landcare Research); Porder, Stephen (Brown University); Richardson, Sarah J. (Landcare Research); Turner, Benjamin L. (Smithsonian Tropical Research Institute); Vitousek, Peter M. (Stanford University); Walker, Joe (Land and Water); Walker, Lawrence R. (University of Nevada, Las Vegas)",212,51,,19.86,https://repository.si.edu/bitstream/handle/10088/11877/stri_Ecol_Monogr_80_509-529.pdf,https://app.dimensions.ai/details/publication/pub.1016249406,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
78,100,pub.1048209970,10.1007/s10021-010-9354-1,,,"Erosion, Geological History, and Indigenous Agriculture: A Tale of Two Valleys",Ecosystems,,,2010-08,2010,13,5,782-793,All OA; Gold,Article,"Vitousek, Peter M.; Chadwick, Oliver A.; Hilley, George; Kirch, Patrick V.; Ladefoged, Thegn N.","Vitousek, Peter M.","Vitousek, Peter M. (Stanford University); Chadwick, Oliver A. (University of California, Santa Barbara); Hilley, George (Stanford University); Kirch, Patrick V. (University of California, Berkeley); Ladefoged, Thegn N. (University of Auckland)",14,7,,1.84,https://link.springer.com/content/pdf/10.1007%2Fs10021-010-9354-1.pdf,https://app.dimensions.ai/details/publication/pub.1048209970,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
79,100,pub.1036955025,10.1002/j.1834-4453.2010.tb00082.x,,,Soil nutrient analysis of Rapa Nui gardening,Archaeology in Oceania,,,2010-07,2010,45,2,80-85,Closed,Article,"LADEFOGED, THEGN N.; STEVENSON, CHRISTOPHER M.; HAOA, SONIA; MULROONEY, MARA; PULESTON, CEDRIC; VITOUSEK, PETER M.; CHADWICK, OLIVER A.",,"LADEFOGED, THEGN N. (University of Auckland); STEVENSON, CHRISTOPHER M. (); HAOA, SONIA (); MULROONEY, MARA (University of Auckland); PULESTON, CEDRIC (University of California, Davis); VITOUSEK, PETER M. (Stanford University); CHADWICK, OLIVER A. (University of California, Santa Barbara)",23,8,,10.23,,https://app.dimensions.ai/details/publication/pub.1036955025,"2004 Linguistics; 2101 Archaeology; 20 Language, Communication and Culture; 21 History and Archaeology",2004 Linguistics,2101 Archaeology,"20 Language, Communication and Culture",21 History and Archaeology,
80,100,pub.1031686094,10.2984/64.3.359,,,Top-Down Analysis of Forest Structure and Biogeochemistry Across Hawaiian Landscapes1,Pacific Science,,,2010-07,2010,64,3,359-366,"All OA; Green, Published",Article,"Vitousek, Peter M.; Tweiten, Michael A.; Kellner, James; Hotchkiss, Sara C.; Chadwick, Oliver A.; Asner, Gregory P.",,"Vitousek, Peter M. (Stanford University); Tweiten, Michael A. (University of Wisconsin–Madison); Kellner, James (Department of Plant Biology); Hotchkiss, Sara C. (University of Wisconsin–Madison); Chadwick, Oliver A. (University of California, Santa Barbara); Asner, Gregory P. (Department of Plant Biology)",6,0,,0.89,http://scholarspace.manoa.hawaii.edu/bitstream/10125/23111/1/vol64n3-359-366.pdf,https://app.dimensions.ai/details/publication/pub.1031686094,09 Engineering; 0909 Geomatic Engineering; 0705 Forestry Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,09 Engineering,0909 Geomatic Engineering,0705 Forestry Sciences,0501 Ecological Applications,05 Environmental Sciences
81,100,pub.1013979308,10.1016/j.geomorph.2010.01.009,,,"Comparison of gully erosion estimates using airborne and ground-based LiDAR on Santa Cruz Island, California",Geomorphology,,,2010-06,2010,118,3-4,288-300,Closed,Article,"Perroy, Ryan L.; Bookhagen, Bodo; Asner, Gregory P.; Chadwick, Oliver A.","Perroy, Ryan L.","Perroy, Ryan L. (University of Wisconsin–La Crosse); Bookhagen, Bodo (University of California, Santa Barbara); Asner, Gregory P. (Department of Plant Biology); Chadwick, Oliver A. (University of California, Santa Barbara)",127,33,,13.81,,https://app.dimensions.ai/details/publication/pub.1013979308,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
82,100,pub.1013449683,10.1016/j.gca.2010.01.006,,,Mineralogical impact on organic nitrogen across a long-term soil chronosequence (0.3–4100kyr),Geochimica et Cosmochimica Acta,,,2010-04,2010,74,7,2142-2164,Closed,Article,"Mikutta, Robert; Kaiser, Klaus; Dörr, Nicole; Vollmer, Antje; Chadwick, Oliver A.; Chorover, Jon; Kramer, Marc G.; Guggenberger, Georg","Mikutta, Robert","Mikutta, Robert (University of Hannover); Kaiser, Klaus (Martin Luther University Halle-Wittenberg); Dörr, Nicole (University of Hannover); Vollmer, Antje (Helmholtz-Zentrum Berlin); Chadwick, Oliver A. (University of California, Santa Barbara); Chorover, Jon (University of Arizona); Kramer, Marc G. (University of California, Santa Cruz); Guggenberger, Georg (University of Hannover)",35,9,,3.65,,https://app.dimensions.ai/details/publication/pub.1013449683,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
83,100,pub.1008183176,10.1016/j.gca.2009.10.046,,,"Weathering, dust, and biocycling effects on soil silicon isotope ratios",Geochimica et Cosmochimica Acta,,,2010-02,2010,74,3,876-889,Closed,Article,"Bern, Carleton R.; Brzezinski, Mark A.; Beucher, Charlotte; Ziegler, Karen; Chadwick, Oliver A.","Bern, Carleton R.","Bern, Carleton R. (United States Geological Survey; University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Beucher, Charlotte (University of California, Santa Barbara); Ziegler, Karen (University of California Los Angeles); Chadwick, Oliver A. (University of California, Santa Barbara)",44,9,,4.58,,https://app.dimensions.ai/details/publication/pub.1008183176,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
84,400,pub.1009965065,10.1890/08-0127.1,20349827,,"Terrestrial phosphorus limitation: mechanisms, implications, and nitrogen–phosphorus interactions",Ecological Applications,,Climate Change; Ecosystem; Nitrogen; Nitrogen Fixation; Phosphorus,2010-01,2010,20,1,5-15,Closed,Article,"Vitousek, Peter M.; Porder, Stephen; Houlton, Benjamin Z.; Chadwick, Oliver A.",,"Vitousek, Peter M. (Stanford University); Porder, Stephen (Brown University); Houlton, Benjamin Z. (University of California, Davis); Chadwick, Oliver A. (University of California, Santa Barbara)",888,280,10.92,116.49,,https://app.dimensions.ai/details/publication/pub.1009965065,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
85,400,pub.1005126277,10.1890/08-0813.1,19967863,,Landscape‐level variation in forest structure and biogeochemistry across a substrate age gradient in Hawaii,Ecology,,Ecosystem; Ferns; Hawaii; Nitrogen; Time Factors; Trees,2009-11,2009,90,11,3074-3086,Closed,Article,"Vitousek, Peter; Asner, Gregory P.; Chadwick, Oliver A.; Hotchkiss, Sara",,"Vitousek, Peter (Stanford University); Asner, Gregory P. (Department of Plant Biology); Chadwick, Oliver A. (University of California, Santa Barbara); Hotchkiss, Sara (University of Wisconsin–Madison)",37,3,0.48,3.71,,https://app.dimensions.ai/details/publication/pub.1005126277,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
86,100,pub.1046729903,10.1016/j.jas.2009.06.030,,,Opportunities and constraints for intensive agriculture in the Hawaiian archipelago prior to European contact,Journal of Archaeological Science,,,2009-10,2009,36,10,2374-2383,Closed,Article,"Ladefoged, Thegn N.; Kirch, Patrick V.; Gon, Samuel M.; Chadwick, Oliver A.; Hartshorn, Anthony S.; Vitousek, Peter M.","Ladefoged, Thegn N.","Ladefoged, Thegn N. (University of Auckland); Kirch, Patrick V. (University of California, Berkeley); Gon, Samuel M. (The Nature Conservancy); Chadwick, Oliver A. (University of California, Santa Barbara); Hartshorn, Anthony S. (Arizona State University); Vitousek, Peter M. (Stanford University)",59,16,,10.48,,https://app.dimensions.ai/details/publication/pub.1046729903,0402 Geochemistry; 2101 Archaeology; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,0402 Geochemistry,2101 Archaeology,0403 Geology,21 History and Archaeology,04 Earth Sciences
87,400,pub.1027446952,10.1890/08-0983.1,19769093,,Sources of nutrients to windward agricultural systems in pre‐contact Hawai‘i,Ecological Applications,,"Agriculture; Hawaii; History, 15th Century; History, 16th Century; History, 17th Century; History, 18th Century; History, Medieval; Rain; Soil; Water Movements; Wind",2009-09,2009,19,6,1444-1453,Closed,Article,"Palmer, Molly A.; Graves, Michael; Ladefoged, Thegn N.; Chadwick, Oliver A.; Duarte, T. Ka‘eo; Porder, Stephen; Vitousek, Peter M.",,"Palmer, Molly A. (Stanford University); Graves, Michael (University of New Mexico); Ladefoged, Thegn N. (University of Auckland); Chadwick, Oliver A. (University of California, Santa Barbara); Duarte, T. Ka‘eo (Kamehameha Schools); Porder, Stephen (Brown University); Vitousek, Peter M. (Stanford University)",19,5,0.04,2.07,,https://app.dimensions.ai/details/publication/pub.1027446952,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
88,100,pub.1042811868,10.1016/j.chemgeo.2009.03.021,,,Pyromineralization of soil phosphorus in a South African savanna,Chemical Geology,,,2009-09,2009,267,1-2,24-31,Closed,Article,"Hartshorn, Anthony S.; Coetsee, Corli; Chadwick, Oliver A.","Hartshorn, Anthony S.","Hartshorn, Anthony S. (Arizona State University); Coetsee, Corli (University of Cape Town); Chadwick, Oliver A. (University of California, Santa Barbara)",18,4,,2.21,,https://app.dimensions.ai/details/publication/pub.1042811868,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
89,100,pub.1040640978,10.1016/j.chemgeo.2009.01.009,,,Changing sources of strontium to soils and ecosystems across the Hawaiian Islands,Chemical Geology,,,2009-09,2009,267,1-2,64-76,Closed,Article,"Chadwick, O.A.; Derry, L.A.; Bern, C.R.; Vitousek, P.M.","Chadwick, O.A.","Chadwick, O.A. (University of California, Santa Barbara); Derry, L.A. (Cornell University); Bern, C.R. (United States Geological Survey); Vitousek, P.M. (Stanford University)",38,5,,5.09,,https://app.dimensions.ai/details/publication/pub.1040640978,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
90,200,pub.1011012241,10.1029/2008jg000803,,,Measurement of soil carbon oxidation state and oxidative ratio by 13C nuclear magnetic resonance,Journal of Geophysical Research,,,2009-06,2009,114,G2,n/a-n/a,All OA; Gold,Article,"Hockaday, W. C.; Masiello, C. A.; Randerson, J. T.; Smernik, R. J.; Baldock, J. A.; Chadwick, O. A.; Harden, J. W.",,"Hockaday, W. C. (Rice University); Masiello, C. A. (Rice University); Randerson, J. T. (University of California, Irvine); Smernik, R. J. (University of Adelaide); Baldock, J. A. (Land and Water); Chadwick, O. A. (University of California, Santa Barbara); Harden, J. W. (United States Geological Survey)",36,9,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008JG000803,https://app.dimensions.ai/details/publication/pub.1011012241,,,,,,
91,100,pub.1034825127,10.1016/j.gca.2008.12.028,,,"Biogeochemistry of mineral–organic associations across a long-term mineralogical soil gradient (0.3–4100kyr), Hawaiian Islands",Geochimica et Cosmochimica Acta,,,2009-04,2009,73,7,2034-2060,Closed,Article,"Mikutta, Robert; Schaumann, Gabriele E.; Gildemeister, Daniela; Bonneville, Steeve; Kramer, Marc G.; Chorover, Jon; Chadwick, Oliver A.; Guggenberger, Georg","Mikutta, Robert","Mikutta, Robert (Martin Luther University Halle-Wittenberg; University of Hannover); Schaumann, Gabriele E. (University of Koblenz and Landau); Gildemeister, Daniela (University of Koblenz and Landau); Bonneville, Steeve (University of Leeds); Kramer, Marc G. (); Chorover, Jon (University of Arizona); Chadwick, Oliver A. (); Guggenberger, Georg (Martin Luther University Halle-Wittenberg; University of Hannover)",121,32,,14.84,,https://app.dimensions.ai/details/publication/pub.1034825127,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
92,400,pub.1000759115,10.1890/07-1739.1,19341134,,Climate and soil‐age constraints on nutrient uplift and retention by plants,Ecology,,Biomass; Climate; Ecosystem; Hawaii; Nitrogen; Phosphorus; Plant Development; Plant Physiological Phenomena; Plants; Potassium; Rain; Soil; Volcanic Eruptions,2009-03,2009,90,3,623-636,Closed,Article,"Porder, Stephen; Chadwick, Oliver A.",,"Porder, Stephen (Brown University); Chadwick, Oliver A. (University of California, Santa Barbara)",64,8,0.35,7.19,,https://app.dimensions.ai/details/publication/pub.1000759115,0602 Ecology; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
