,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Hallie C Eakin. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,100,pub.1050128768,10.1016/j.gloenvcha.2009.08.005,,,"Adaptive capacity in evolving peri-urban spaces: Responses to flood risk in the Upper Lerma River Valley, Mexico",Global Environmental Change,,,2010-02,2010,20,1,14-22,Closed,Article,"Eakin, Hallie; Lerner, Amy M.; Murtinho, Felipe","Eakin, Hallie","Eakin, Hallie (Arizona State University); Lerner, Amy M. (University of California, Santa Barbara); Murtinho, Felipe (University of California, Santa Barbara)",66,10,,14.66,,https://app.dimensions.ai/details/publication/pub.1050128768,1608 Sociology; 16 Studies in Human Society; 05 Environmental Sciences; 0502 Environmental Science and Management,1608 Sociology,16 Studies in Human Society,05 Environmental Sciences,0502 Environmental Science and Management,
73,100,pub.1045804406,10.1016/j.gloenvcha.2009.07.006,,,"Perceptions of risk and adaptation: Coffee producers, market shocks, and extreme weather in Central America and Mexico",Global Environmental Change,,,2010-02,2010,20,1,23-32,Closed,Article,"Tucker, Catherine M.; Eakin, Hallie; Castellanos, Edwin J.","Tucker, Catherine M.","Tucker, Catherine M. (Indiana University Bloomington); Eakin, Hallie (Arizona State University); Castellanos, Edwin J. (University of the Valley of Guatemala)",117,38,,20.04,,https://app.dimensions.ai/details/publication/pub.1045804406,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
74,100,pub.1006991041,10.1007/s11027-009-9186-5,,,"Towards a climate change adaptation strategy for coffee communities and ecosystems in the Sierra Madre de Chiapas, Mexico",Mitigation and Adaptation Strategies for Global Change,,,2009-10,2009,14,7,605-625,"All OA; Green, Accepted & Submitted",Article,"Schroth, Götz; Laderach, Peter; Dempewolf, Jan; Philpott, Stacy; Haggar, Jeremy; Eakin, Hallie; Castillejos, Teresa; Garcia Moreno, Jaime; Soto Pinto, Lorena; Hernandez, Ricardo; Eitzinger, Anton; Ramirez-Villegas, Julian","Schroth, Götz","Schroth, Götz (Conservation International); Laderach, Peter (); Dempewolf, Jan (Conservation International); Philpott, Stacy (University of Toledo); Haggar, Jeremy (); Eakin, Hallie (Arizona State University); Castillejos, Teresa (); Garcia Moreno, Jaime (Conservation International); Soto Pinto, Lorena (El Colegio de la Frontera Sur); Hernandez, Ricardo (); Eitzinger, Anton (International Center for Tropical Agriculture); Ramirez-Villegas, Julian (International Center for Tropical Agriculture)",87,24,,11.63,https://cgspace.cgiar.org/bitstream/10568/72444/1/MITI1031.pdf,https://app.dimensions.ai/details/publication/pub.1006991041,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
75,100,pub.1020468437,10.1016/j.envsci.2008.09.003,,,Nested vulnerability: exploring cross-scale linkages and vulnerability teleconnections in Mexican and Vietnamese coffee systems,Environmental Science & Policy,,,2009-06,2009,12,4,398-412,Closed,Article,"Eakin, Hallie; Winkels, Alexandra; Sendzimir, Jan","Eakin, Hallie","Eakin, Hallie (Arizona State University); Winkels, Alexandra (University of East Anglia); Sendzimir, Jan (International Institute for Applied Systems Analysis)",85,31,,23.93,,https://app.dimensions.ai/details/publication/pub.1020468437,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
76,100,pub.1026316849,10.1007/s10584-008-9514-x,,,Linking local vulnerability to system sustainability in a resilience framework: two cases from Latin America,Climatic Change,,,2009-04,2009,93,4-Mar,355-377,Closed,Article,"Eakin, Hallie C.; Wehbe, Mónica B.","Eakin, Hallie C.","Eakin, Hallie C. (Arizona State University); Wehbe, Mónica B. (National University of Río Cuarto)",62,12,,14.9,,https://app.dimensions.ai/details/publication/pub.1026316849,14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics,05 Environmental Sciences
77,100,pub.1020316085,10.1890/070148,,,Nested and teleconnected vulnerabilities to environmental change,Frontiers in Ecology and the Environment,,,2009-04,2009,7,3,150-157,"All OA; Green, Accepted & Submitted",Article,"Adger, W Neil; Eakin, Hallie; Winkels, Alexandra",,"Adger, W Neil (University of East Anglia); Eakin, Hallie (University of California, Santa Barbara); Winkels, Alexandra (University of East Anglia)",168,41,,65.56,https://ore.exeter.ac.uk/repository/bitstream/10871/9254/2/adger.pdf,https://app.dimensions.ai/details/publication/pub.1020316085,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
78,100,pub.1017374488,10.1017/cbo9780511596667.014,,,Hidden costs and disparate uncertainties: trade-offs in approaches to climate policy,,Adapting to Climate Change,,2009,2009,,,212-226,Closed,Chapter,"Eakin, Hallie; Tompkins, Emma L.; Nelson, Donald R.; Anderies, John M.",,"Eakin, Hallie (); Tompkins, Emma L. (); Nelson, Donald R. (); Anderies, John M. ()",45,5,,15.91,,https://app.dimensions.ai/details/publication/pub.1017374488,1608 Sociology; 14 Economics; 16 Studies in Human Society; 1605 Policy and Administration; 1402 Applied Economics,1608 Sociology,14 Economics,16 Studies in Human Society,1605 Policy and Administration,1402 Applied Economics
79,100,pub.1012371306,10.1007/s10460-008-9140-2,,,"Livelihood change, farming, and managing flood risk in the Lerma Valley, Mexico",Agriculture and Human Values,,,2008-12,2008,25,4,555,Closed,Article,"Eakin, Hallie; Appendini, Kirsten","Eakin, Hallie","Eakin, Hallie (University of California, Santa Barbara); Appendini, Kirsten (College of Mexico)",29,6,,9.92,,https://app.dimensions.ai/details/publication/pub.1012371306,1608 Sociology; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1608 Sociology,1402 Applied Economics,16 Studies in Human Society,14 Economics,
80,100,pub.1029521131,10.1016/j.gloenvcha.2007.09.001,,,Insights into the composition of household vulnerability from multicriteria decision analysis,Global Environmental Change,,,2008-02,2008,18,1,112-127,Closed,Article,"Eakin, Hallie; Bojórquez-Tapia, Luis A.","Eakin, Hallie","Eakin, Hallie (University of California, Santa Barbara); Bojórquez-Tapia, Luis A. (University of California, Santa Barbara)",144,39,,53.79,,https://app.dimensions.ai/details/publication/pub.1029521131,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
81,100,pub.1002929016,10.1353/lag.2008.0001,,,"Producing “Viable” Landscapes and Livelihoods in Central Veracruz, Mexico: Institutional and Producer Responses to the Coffee Commodity Crisis",Journal of Latin American Geography,,,2008,2008,7,1,109-131,Closed,Article,"Hausermann, Heidi; Eakin, Hallie",,"Hausermann, Heidi (); Eakin, Hallie ()",12,1,,4.03,,https://app.dimensions.ai/details/publication/pub.1002929016,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
82,100,pub.1001600521,10.1007/s11027-007-9107-4,,,"A stakeholder driven process to reduce vulnerability to climate change in Hermosillo, Sonora, Mexico",Mitigation and Adaptation Strategies for Global Change,,,2007-06,2007,12,5,935-955,Closed,Article,"Eakin, Hallie; Magaña, Victor; Smith, Joel; Moreno, José Luis; Martínez, José Maria; Landavazo, Osvaldo","Eakin, Hallie","Eakin, Hallie (University of California, Santa Barbara); Magaña, Victor (National Autonomous University of Mexico); Smith, Joel (Abt Associates (United States)); Moreno, José Luis (El Colegio de Sonora); Martínez, José Maria (El Colegio de Sonora); Landavazo, Osvaldo (University of Sonora)",14,1,,1.72,,https://app.dimensions.ai/details/publication/pub.1001600521,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
83,100,pub.1039911246,10.1007/s10584-006-9066-x,,,"Potential Impacts of Climate Change on Agriculture: A Case of Study of Coffee Production in Veracruz, Mexico",Climatic Change,,,2006-12,2006,79,4-Mar,259-288,Closed,Article,"Gay, C.; Estrada, F.; Conde, C.; Eakin, H.; Villers, L.","Gay, C.","Gay, C. (National Autonomous University of Mexico); Estrada, F. (National Autonomous University of Mexico); Conde, C. (National Autonomous University of Mexico); Eakin, H. (National Autonomous University of Mexico); Villers, L. (National Autonomous University of Mexico)",78,25,,20.21,,https://app.dimensions.ai/details/publication/pub.1039911246,1403 Econometrics; 1402 Applied Economics; 14 Economics,1403 Econometrics,1402 Applied Economics,14 Economics,,
84,100,pub.1045608139,10.1146/annurev.energy.30.050504.144352,,,Assessing the Vulnerability of Social-Environmental Systems,Annual Review of Environment and Resources,,,2006-11,2006,31,1,365-394,Closed,Article,"Eakin, Hallie; Luers, Amy Lynd",,"Eakin, Hallie (University of California, Santa Barbara); Luers, Amy Lynd ()",526,116,,140.41,,https://app.dimensions.ai/details/publication/pub.1045608139,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
85,100,pub.1013282424,10.1111/j.1475-4959.2006.00195.x,,,"Responding to the coffee crisis: a pilot study of farmers’ adaptations in Mexico, Guatemala and Honduras",Geographical Journal,,,2006-06,2006,172,2,156-171,Closed,Article,"EAKIN, HALLIE; TUCKER, CATHERINE; CASTELLANOS, EDWIN",,"EAKIN, HALLIE (University of California, Santa Barbara); TUCKER, CATHERINE (); CASTELLANOS, EDWIN (University of the Valley of Guatemala)",69,9,,11.33,,https://app.dimensions.ai/details/publication/pub.1013282424,"16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 0701 Agriculture, Land and Farm Management; 1604 Human Geography; 04 Earth Sciences; 07 Agricultural and Veterinary Sciences",16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,"0701 Agriculture, Land and Farm Management",1604 Human Geography,04 Earth Sciences
86,100,pub.1010487595,10.1016/j.gloenvcha.2005.10.004,,,Adaptation and the state: Latin America and the challenge of capacity-building under globalization,Global Environmental Change,,,2006-02,2006,16,1,18-Jul,Closed,Article,"Eakin, Hallie; Lemos, Maria Carmen","Eakin, Hallie","Eakin, Hallie (University of California, Santa Barbara); Lemos, Maria Carmen (University of Michigan)",156,33,,48.58,,https://app.dimensions.ai/details/publication/pub.1010487595,1605 Policy and Administration; 1608 Sociology; 1606 Political Science; 16 Studies in Human Society,1605 Policy and Administration,1608 Sociology,1606 Political Science,16 Studies in Human Society,
87,100,pub.1028904794,10.1659/0276-4741(2005)025[0304:msacvt]2.0.co;2,,,"Market Shocks and Climate Variability: The Coffee Crisis in Mexico, Guatemala, and Honduras",Mountain Research and Development,,,2005-11,2005,25,4,304-309,All OA; Gold,Article,"Eakin, Hallie; Tucker, Catherine M.; Castellanos, Edwin",,"Eakin, Hallie (); Tucker, Catherine M. (); Castellanos, Edwin ()",12,0,,3.64,https://doi.org/10.1659/0276-4741(2005)025[0304:msacvt]2.0.co;2,https://app.dimensions.ai/details/publication/pub.1028904794,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
88,100,pub.1009899551,10.1016/j.worlddev.2005.06.005,,,"Institutional change, climate risk, and rural vulnerability: Cases from Central Mexico",World Development,,,2005-11,2005,33,11,1923-1938,Closed,Article,"Eakin, Hallie",,"Eakin, Hallie (University of California, Santa Barbara)",218,48,,53.41,,https://app.dimensions.ai/details/publication/pub.1009899551,1608 Sociology; 1604 Human Geography; 16 Studies in Human Society,1608 Sociology,1604 Human Geography,16 Studies in Human Society,,
89,200,pub.1006629099,10.1201/9781420028614.ch12,,,Climate Change and Tropical Agriculture,"Books in Soils, Plants, and the Environment",Climate Change and Global Food Security,,5/26/05,2005,20050981,,293-320,Closed,Chapter,"Eakin, Hallie",,"Eakin, Hallie ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1006629099,,,,,,
90,100,pub.1053750662,10.1177/1070496503257733,,,The Social Vulnerability of Irrigated Vegetable Farming Households in Central Puebla,The Journal of Environment & Development,,,2003-12,2003,12,4,414-429,Closed,Article,"Eakin, Hallie",,"Eakin, Hallie ()",25,3,,2.32,,https://app.dimensions.ai/details/publication/pub.1053750662,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
91,200,pub.1088717046,10.1142/9781860945816_0011,,,"Adaptation to Climatic Variability and Change in Tlaxcala, Mexico",,"Climate Change, Adaptive Capacity and Development",,2003-08,2003,,,241-259,Closed,Chapter,"Conde, Cecilia; Eakin, Hallie",,"Conde, Cecilia (National Autonomous University of Mexico); Eakin, Hallie (University of Arizona)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1088717046,,,,,,
92,100,pub.1022100144,10.1023/a:1005628631627,,,Smallholder Maize Production and Climatic Risk: A Case Study from Mexico,Climatic Change,,,2000-04,2000,45,1,19-36,Closed,Article,"Eakin, Hallie",,"Eakin, Hallie (University of Arizona)",72,6,,19.96,,https://app.dimensions.ai/details/publication/pub.1022100144,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
93,100,pub.1018343947,10.1007/978-94-017-3010-5_3,,,Smallholder Maize Production and Climatic Risk: A Case Study from Mexico,,Societal Adaptation to Climate Variability and Change,,2000,2000,,,19-36,Closed,Chapter,"Eakin, Hallie",,"Eakin, Hallie (University of Arizona)",24,5,,6.65,,https://app.dimensions.ai/details/publication/pub.1018343947,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
94,100,pub.1106957566,10.1080/02723646.1999.10642689,,,SEASONAL CLIMATE FORECASTING AND THE RELEVANCE OF LOCAL KNOWLEDGE,Physical Geography,,,1999-11,1999,20,6,447-460,Closed,Article,"Eakin, Hallie",,"Eakin, Hallie (University of Arizona)",11,3,,,,https://app.dimensions.ai/details/publication/pub.1106957566,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
