,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bernard Kirtman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,400,pub.1057853871,10.1063/1.2388262,17129096,,Density functional theory investigation of the polarizability and second hyperpolarizability of polydiacetylene and polybutatriene chains: treatment of exact exchange and role of correlation.,The Journal of Chemical Physics,,,11/21/06,2006,125,19,194114,Closed,Article,"Champagne, Benoît; Bulat, Felipe A; Yang, Weitao; Bonness, Sean; Kirtman, Bernard",,"Champagne, Benoît (); Bulat, Felipe A (); Yang, Weitao (); Bonness, Sean (); Kirtman, Bernard ()",52,1,1.26,,,https://app.dimensions.ai/details/publication/pub.1057853871,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
79,400,pub.1057852551,10.1063/1.2360944,17059246,,A variational approach for calculating Franck-Condon factors including mode-mode anharmonic coupling.,The Journal of Chemical Physics,,,10/21/06,2006,125,15,154114,"All OA; Green, Published",Article,"Luis, Josep M; Kirtman, Bernard; Christiansen, Ove",,"Luis, Josep M (University of Girona); Kirtman, Bernard (); Christiansen, Ove ()",26,2,0.8,,https://dugi-doc.udg.edu/bitstream/10256/3229/1/529.pdf,https://app.dimensions.ai/details/publication/pub.1057852551,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
80,400,pub.1057846814,10.1063/1.2206181,16848571,,Evaluation of alternative sum-over-states expressions for the first hyperpolarizability of push-pull pi-conjugated systems.,The Journal of Chemical Physics,,,7/14/06,2006,125,2,24101,Closed,Article,"Champagne, Benoît; Kirtman, Bernard",,"Champagne, Benoît (); Kirtman, Bernard ()",51,6,0.85,12.71,,https://app.dimensions.ai/details/publication/pub.1057846814,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
81,400,pub.1057847445,10.1063/1.2210479,16863302,,Simulation of photoelectron spectra with anharmonicity fully included: Application to the X 2A2<--X 1A1 band of furan.,The Journal of Chemical Physics,,,7/7/06,2006,125,1,14311,Closed,Article,"Bonness, Sean; Kirtman, Bernard; Huix, Miquel; Sanchez, Angel J; Luis, Josep M",,"Bonness, Sean (University of California, Santa Barbara); Kirtman, Bernard (); Huix, Miquel (); Sanchez, Angel J (); Luis, Josep M ()",16,2,0.63,,,https://app.dimensions.ai/details/publication/pub.1057847445,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
82,200,pub.1088707120,10.1142/9781860948862_0002,,,First-order ZPVA correction to first hyperpolarizabilities of mono-substituted benzene molecules,,"Atoms, Molecules and Clusters in Electric Fields",,2006-07,2006,,,33-53,Closed,Chapter,"Quinet, Olivier; Champagne, Benoît; Kirtman, Bernard",,"Quinet, Olivier (University of Namur); Champagne, Benoît (University of Namur); Kirtman, Bernard (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1088707120,,,,,,
83,400,pub.1057847131,10.1063/1.2208363,16821992,,Periodic Hartree-Fock and density functional theory calculations for Li-doped polyacetylene chains.,The Journal of Chemical Physics,,,6/28/06,2006,124,24,244703,Closed,Article,"Ramírez-Solís, A; Zicovich-Wilson, C M; Kirtman, B",,"Ramírez-Solís, A (Universidad Autónoma del Estado de Morelos); Zicovich-Wilson, C M (); Kirtman, B ()",12,0,0.39,,,https://app.dimensions.ai/details/publication/pub.1057847131,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
84,100,pub.1017028773,10.1007/1-4020-4850-5_3,,,Determination of Vibrational Contributions to Linear and Nonlinear Optical Properties,Challenges and Advances in Computational Chemistry and Physics,Non-Linear Optical Properties of Matter,,2006,2006,1,,101-128,Closed,Chapter,"Kirtman, B.; Luis, J.M.",,"Kirtman, B. (University of California, Santa Barbara); Luis, J.M. (University of Girona)",3,0,,0.31,,https://app.dimensions.ai/details/publication/pub.1017028773,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
85,100,pub.1012251542,10.1016/s1570-7946(06)80003-9,,,Chapter 1 Calculation of hartree-fock energy derivatives in polymers,Computer Aided Chemical Engineering,Multiscale Modelling of Polymer Properties,,2006,2006,22,,30-Mar,Closed,Chapter,"Jacquemin, Denis; Perpète, Eric A.; Kirtman, Bernard",,"Jacquemin, Denis (); Perpète, Eric A. (); Kirtman, Bernard (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1012251542,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0904 Chemical Engineering; 0907 Environmental Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0904 Chemical Engineering,0907 Environmental Engineering,
86,300,pub.1060830858,10.1103/physrevlett.95.109401,16196977,,Comment on “Physical Limits on Electronic Nonlinear Molecular Susceptibilities”,Physical Review Letters,,,2005-09,2005,95,10,109401,Closed,Article,"Champagne, Benoît; Kirtman, Bernard",,"Champagne, Benoît (University of Namur); Kirtman, Bernard (University of California, Santa Barbara)",24,0,0.54,,,https://app.dimensions.ai/details/publication/pub.1060830858,02 Physical Sciences,02 Physical Sciences,,,,
87,100,pub.1035234965,10.1016/j.cplett.2005.06.106,,,Large effect of dopant level on second hyperpolarizability of alkali-doped polyacetylene chains,Chemical Physics Letters,,,2005-08,2005,412,3-Jan,217-222,Closed,Article,"Spassova, Milena; Champagne, Benoît; Kirtman, Bernard","Spassova, Milena","Spassova, Milena (Institute of Organic Chemistry with Centre of Phytochemistry); Champagne, Benoît (); Kirtman, Bernard (University of California, Santa Barbara)",26,1,,,,https://app.dimensions.ai/details/publication/pub.1035234965,10 Technology; 03 Chemical Sciences; 02 Physical Sciences,10 Technology,03 Chemical Sciences,02 Physical Sciences,,
88,400,pub.1057832398,10.1063/1.1926275,16035847,,Density-functional theory (hyper)polarizabilities of push-pull pi-conjugated systems: treatment of exact exchange and role of correlation.,The Journal of Chemical Physics,,,2005-07,2005,123,1,14319,Closed,Article,"Bulat, Felipe A; Toro-Labbé, Alejandro; Champagne, Benoît; Kirtman, Bernard; Yang, Weitao",,"Bulat, Felipe A (Pontifical Catholic University of Chile); Toro-Labbé, Alejandro (); Champagne, Benoît (); Kirtman, Bernard (); Yang, Weitao ()",83,8,2.12,14.03,,https://app.dimensions.ai/details/publication/pub.1057832398,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
89,400,pub.1057831783,10.1063/1.1909031,15945714,,Variational calculation of vibrational linear and nonlinear optical properties.,The Journal of Chemical Physics,,"Algorithms; Computer Simulation; Isomerism; Linear Models; Models, Chemical; Models, Molecular; Nonlinear Dynamics; Optics and Photonics; Vibration",5/22/05,2005,122,20,204108,"All OA; Green, Published",Article,"Torrent-Sucarrat, Miquel; Luis, Josep M; Kirtman, Bernard",,"Torrent-Sucarrat, Miquel (University of California, Santa Barbara); Luis, Josep M (); Kirtman, Bernard ()",46,4,1.29,4.71,https://dugi-doc.udg.edu/bitstream/10256/3275/1/539.pdf,https://app.dimensions.ai/details/publication/pub.1057831783,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
90,400,pub.1057830972,10.1063/1.1896362,15918691,,Calculation of Franck-Condon factors including anharmonicity: simulation of the C2H4+X2B3u<--C2H4X1A(g) band in the photoelectron spectrum of ethylene.,The Journal of Chemical Physics,,,5/8/05,2005,122,18,184104,"All OA; Green, Published",Article,"Luis, Josep M; Torrent-Sucarrat, Miquel; Solà, Miquel; Bishop, David M; Kirtman, Bernard",,"Luis, Josep M (University of Girona); Torrent-Sucarrat, Miquel (); Solà, Miquel (); Bishop, David M (); Kirtman, Bernard ()",17,1,0.61,,https://dugi-doc.udg.edu/bitstream/10256/3277/1/542.pdf,https://app.dimensions.ai/details/publication/pub.1057830972,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
91,100,pub.1030524270,10.1002/qua.20448,,,Elongation method with cutoff technique for linear SCF scaling,International Journal of Quantum Chemistry,,,2005,2005,102,5,785-794,Closed,Article,"Korchowiec, Jacek; Gu, Feng Long; Imamura, Akira; Kirtman, Bernard; Aoki, Yuriko",,"Korchowiec, Jacek (Japan Science and Technology Agency; Jagiellonian University); Gu, Feng Long (Japan Science and Technology Agency); Imamura, Akira (Hiroshima Kokusai Gakuin University); Kirtman, Bernard (University of California, Santa Barbara); Aoki, Yuriko (Japan Science and Technology Agency; Kyushu University)",36,0,,4.23,,https://app.dimensions.ai/details/publication/pub.1030524270,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
92,400,pub.1057824198,10.1063/1.1812736,15549918,,A new localization scheme for the elongation method.,The Journal of Chemical Physics,,,2004-12,2004,121,21,10385-91,Closed,Article,"Gu, Feng Long; Aoki, Yuriko; Korchowiec, Jacek; Imamura, Akira; Kirtman, Bernard",,"Gu, Feng Long (); Aoki, Yuriko (); Korchowiec, Jacek (); Imamura, Akira (); Kirtman, Bernard ()",70,2,1.54,8.61,,https://app.dimensions.ai/details/publication/pub.1057824198,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
93,100,pub.1015194709,10.1016/j.cplett.2004.08.067,,,Electronic polarization in quasilinear chains,Chemical Physics Letters,,,2004-10,2004,396,6-Apr,404-409,"All OA; Green, Accepted & Submitted",Article,"Springborg, Michael; Kirtman, Bernard; Dong, Yi","Springborg, Michael","Springborg, Michael (Saarland University); Kirtman, Bernard (University of California, Santa Barbara); Dong, Yi (Saarland University)",22,2,,,http://arxiv.org/pdf/cond-mat/0410191v1.pdf,https://app.dimensions.ai/details/publication/pub.1015194709,10 Technology; 03 Chemical Sciences; 02 Physical Sciences,10 Technology,03 Chemical Sciences,02 Physical Sciences,,
94,400,pub.1057745032,10.1063/1.1667465,15267523,,Basis set and electron correlation effects on initial convergence for vibrational nonlinear optical properties of conjugated organic molecules.,The Journal of Chemical Physics,,Electrons; Nonlinear Dynamics; Optics and Photonics; Organic Chemicals; Polyenes; Spectrum Analysis; Vibration,4/8/04,2004,120,14,6346-55,"All OA; Green, Published",Article,"Torrent-Sucarrat, Miquel; Solà, Miquel; Duran, Miquel; Luis, Josep M; Kirtman, Bernard",,"Torrent-Sucarrat, Miquel (University of Girona); Solà, Miquel (); Duran, Miquel (); Luis, Josep M (); Kirtman, Bernard ()",45,5,1.13,5.53,https://dugi-doc.udg.edu/bitstream/10256/3280/1/546.pdf,https://app.dimensions.ai/details/publication/pub.1057745032,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
95,400,pub.1057727787,10.1063/1.1630566,15267917,,A different approach for calculating Franck-Condon factors including anharmonicity.,The Journal of Chemical Physics,,,1/8/04,2004,120,2,813-22,"All OA; Green, Published",Article,"Luis, Josep M; Bishop, David M; Kirtman, Bernard",,"Luis, Josep M (University of California, Santa Barbara); Bishop, David M (); Kirtman, Bernard ()",40,1,1.24,,https://dugi-doc.udg.edu/bitstream/10256/16567/1/002885.pdf,https://app.dimensions.ai/details/publication/pub.1057727787,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
96,100,pub.1015974062,10.1016/s0166-1280(03)00274-4,,,Zero-point vibrational averaging correction for second harmonic generation in para-nitroaniline,Computational and Theoretical Chemistry,,,2003-08,2003,633,3-Feb,199-207,Closed,Article,"Quinet, Olivier; Champagne, Benoı̂t; Kirtman, Bernard","Quinet, Olivier","Quinet, Olivier (); Champagne, Benoı̂t (); Kirtman, Bernard (University of California, Santa Barbara)",16,2,,1.92,,https://app.dimensions.ai/details/publication/pub.1015974062,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
97,100,pub.1047328248,10.1016/s0009-2614(03)00631-6,,,Pseudo linear-dependence and long-range interaction effects on the polarizability and hyperpolarizabilities of stereoregular polymers,Chemical Physics Letters,,,2003-05,2003,373,6-May,539-549,Closed,Article,"Champagne, Benoı̂t; Jacquemin, Denis; Gu, Feng Long; Aoki, Yuriko; Kirtman, Bernard; Bishop, David M.","Champagne, Benoı̂t","Champagne, Benoı̂t (University of Ottawa); Jacquemin, Denis (); Gu, Feng Long (University of Ottawa; Hiroshima University); Aoki, Yuriko (Hiroshima University); Kirtman, Bernard (University of California, Santa Barbara); Bishop, David M. (University of Ottawa)",9,1,,0.96,,https://app.dimensions.ai/details/publication/pub.1047328248,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
98,200,pub.1057716226,10.1063/1.1523903,,,Analytical time-dependent Hartree-Fock evaluation of the dynamic zero-point vibrationally averaged (ZPVA) first hyperpolarizability,The Journal of Chemical Physics,,,1/8/03,2003,118,2,505-513,Closed,Article,"Quinet, Oliver; Kirtman, Bernard; Champagne, Benoı̂t",,"Quinet, Oliver (); Kirtman, Bernard (); Champagne, Benoı̂t ()",23,2,,,,https://app.dimensions.ai/details/publication/pub.1057716226,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
99,200,pub.1057715986,10.1063/1.1521725,,,"Basis set and electron correlation effects on
                    ab initio
                    electronic and vibrational nonlinear optical properties of conjugated organic molecules",The Journal of Chemical Physics,,,1/8/03,2003,118,2,711-718,Closed,Article,"Torrent-Sucarrat, Miquel; Solà, Miquel; Duran, Miquel; Luis, Josep M.; Kirtman, Bernard",,"Torrent-Sucarrat, Miquel (); Solà, Miquel (); Duran, Miquel (); Luis, Josep M. (); Kirtman, Bernard ()",85,3,,,,https://app.dimensions.ai/details/publication/pub.1057715986,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
100,100,pub.1038049606,10.1016/s0898-1221(03)80014-7,,,Extrapolation methods for improving the convergence of oligomer calculations to the infinite chain limit of quasi-one-dimensional stereoregular polymers,Computers & Mathematics with Applications,,,2003-01,2003,45,3-Jan,189-215,All OA; Gold,Article,"Weniger, E.J; Kirtman, B",,"Weniger, E.J (University of Regensburg); Kirtman, B (University of California, Santa Barbara)",22,1,,,https://doi.org/10.1016/s0898-1221(03)80014-7,https://app.dimensions.ai/details/publication/pub.1038049606,"08 Information and Computing Sciences; 01 Mathematical Sciences; 15 Commerce, Management, Tourism and Services",08 Information and Computing Sciences,01 Mathematical Sciences,"15 Commerce, Management, Tourism and Services",,
101,200,pub.1040129827,10.1002/jcc.1174,12370952,,Analytical TDHF second derivatives of dynamic electronic polarizability with respect to nuclear coordinates. Application to the dynamic ZPVA correction,Journal of Computational Chemistry,,,11/30/02,2002,23,15,1495-1496,All OA; Gold,Article,"Quinet, Olivier; Champagne, Benoît; Kirtman, Bernard",,"Quinet, Olivier (University of Namur); Champagne, Benoît (University of Namur); Kirtman, Bernard (University of California, Santa Barbara)",2,0,0.08,0.23,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcc.1174,https://app.dimensions.ai/details/publication/pub.1040129827,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
102,200,pub.1057710489,10.1063/1.1477179,,,Vibration and two-photon absorption,The Journal of Chemical Physics,,,6/8/02,2002,116,22,9729-9739,"All OA; Green, Published",Article,"Bishop, David M.; Luis, Josep M.; Kirtman, Bernard",,"Bishop, David M. (); Luis, Josep M. (); Kirtman, Bernard ()",61,2,,,https://dugi-doc.udg.edu/bitstream/10256/3193/3/vibration_two-photon.pdf,https://app.dimensions.ai/details/publication/pub.1057710489,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
103,200,pub.1057708216,10.1063/1.1453953,,,Initial convergence of the perturbation series expansion for vibrational nonlinear optical properties,The Journal of Chemical Physics,,,2002-04,2002,116,13,5363-5373,"All OA; Green, Published",Article,"Torrent-Sucarrat, Miquel; Solà, Miquel; Duran, Miquel; Luis, Josep M.; Kirtman, Bernard",,"Torrent-Sucarrat, Miquel (); Solà, Miquel (); Duran, Miquel (); Luis, Josep M. (); Kirtman, Bernard ()",32,1,,,https://dugi-doc.udg.edu/bitstream/10256/3314/1/557.pdf,https://app.dimensions.ai/details/publication/pub.1057708216,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
104,200,pub.1057706956,10.1063/1.1446046,,,"Ab initio
                    investigation of doping-enhanced electronic and vibrational second hyperpolarizability of polyacetylene chains",The Journal of Chemical Physics,,,2002-03,2002,116,9,3935-3946,Closed,Article,"Champagne, Benoı̂t; Spassova, Milena; Jadin, Jean-Benoit; Kirtman, Bernard",,"Champagne, Benoı̂t (); Spassova, Milena (); Jadin, Jean-Benoit (); Kirtman, Bernard ()",85,7,,,,https://app.dimensions.ai/details/publication/pub.1057706956,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
105,100,pub.1000988164,10.1002/qua.951,,,"Coupled‐perturbed Hartree–Fock treatment of infinite periodic systems: Application to static polarizabilities and hyperpolarizabilities of polydiacetylene, polybutatriene, and interacting pairs of polyacetylene chains",International Journal of Quantum Chemistry,,,2002,2002,90,2,709-718,Closed,Article,"Kirtman, Bernard; Champagne, Benoît; Gu, Feng Long; Bishop, David M.",,"Kirtman, Bernard (University of California, Santa Barbara); Champagne, Benoît (); Gu, Feng Long (University of Ottawa); Bishop, David M. (University of Ottawa)",17,0,,1.88,,https://app.dimensions.ai/details/publication/pub.1000988164,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
106,100,pub.1052217775,10.1002/jcc.1142,,,Analytical TDHF second derivatives of dynamic electronic polarizability with respect to nuclear coordinates. Application to the dynamic ZPVA correction,Journal of Computational Chemistry,,,2001-12,2001,22,16,1920-1932,Closed,Article,"Quinet, Olivier; Champagne, Benoît; Kirtman, Bernard",,"Quinet, Olivier (University of California, Santa Barbara; University of Namur); Champagne, Benoît (University of Namur); Kirtman, Bernard (University of California, Santa Barbara)",20,2,,2.4,,https://app.dimensions.ai/details/publication/pub.1052217775,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
107,200,pub.1056046249,10.1021/jp011318w,,,"Second-Order ab Initio Møller−Plesset Study of Optimum Chain Length for Total (Electronic Plus Vibrational) β(−ω σ ;ω 1 ,ω 2 ) of a Prototype Push-Pull Polyene",The Journal of Physical Chemistry A,,,2001-10,2001,105,42,9748-9755,Closed,Article,"Jacquemin, Denis; Champagne, Benoît; Perpète, Eric A.; Luis, Josep M.; Kirtman, Bernard",,"Jacquemin, Denis (); Champagne, Benoît (); Perpète, Eric A. (); Luis, Josep M. (); Kirtman, Bernard ()",39,1,,5.32,,https://app.dimensions.ai/details/publication/pub.1056046249,"0306 Physical Chemistry (incl. Structural); 0307 Theoretical and Computational Chemistry; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
108,200,pub.1057702183,10.1063/1.1390525,,,"Field-induced coordinates for the determination of
                    dynamic
                    vibrational nonlinear optical properties",The Journal of Chemical Physics,,,9/8/01,2001,115,10,4473-4483,"All OA; Green, Published",Article,"Luis, Josep M.; Duran, Miquel; Kirtman, Bernard",,"Luis, Josep M. (); Duran, Miquel (); Kirtman, Bernard ()",32,2,,,https://dugi-doc.udg.edu/bitstream/10256/3228/1/558.pdf,https://app.dimensions.ai/details/publication/pub.1057702183,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
109,200,pub.1057698295,10.1063/1.1356019,,,"Coupled-perturbed Hartree–Fock theory for infinite periodic systems: Calculation of static electric properties of (LiH)n, (FH)n, (H2O)n, (–CNH–)n, and (–CH=CH–)n",The Journal of Chemical Physics,,,2001-05,2001,114,17,7633-7643,Closed,Article,"Bishop, David M.; Gu, Feng Long; Kirtman, Bernard",,"Bishop, David M. (); Gu, Feng Long (); Kirtman, Bernard ()",67,2,,,,https://app.dimensions.ai/details/publication/pub.1057698295,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
110,200,pub.1057704534,10.1063/1.1416175,,,Crystal orbital calculation of coupled Hartree–Fock dynamic (hyper)polarizabilities for prototype π-conjugated polymers,The Journal of Chemical Physics,,,2001,2001,115,22,10548,Closed,Article,"Gu, Feng Long; Bishop, David M.; Kirtman, Bernard",,"Gu, Feng Long (); Bishop, David M. (); Kirtman, Bernard ()",34,2,,,,https://app.dimensions.ai/details/publication/pub.1057704534,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
111,100,pub.1024811259,10.1016/b978-012513745-4/50073-1,,,Chapter 2 Theoretical approach to the design of organic molecular and polymeric nonlinear optical materials,,Handbook of Advanced Electronic and Photonic Materials and Devices,,2001,2001,,Philos. Mag.501875,63-126,Closed,Chapter,"Champagne, Benoît; Kirtman, Bernard",,"Champagne, Benoît (University of Namur); Kirtman, Bernard (University of California, Santa Barbara)",47,2,,5.54,,https://app.dimensions.ai/details/publication/pub.1024811259,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
112,100,pub.1040945555,10.1002/1096-987x(200012)21:16<1572::aid-jcc14>3.0.co;2-8,,,"Efficient treatment of the effect of vibrations on electrical, magnetic, and spectroscopic properties",Journal of Computational Chemistry,,,2000-12,2000,21,16,1572-1588,Closed,Article,"Kirtman, Bernard; Champagne, Benoit; Luis, Josep M.",,"Kirtman, Bernard (University of California, Santa Barbara); Champagne, Benoit (); Luis, Josep M. (University of Girona)",37,3,,4.26,,https://app.dimensions.ai/details/publication/pub.1040945555,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
113,100,pub.1034901127,10.1016/s0009-2614(00)01010-1,,,"Comment on “Electronic versus vibrational optical nonlinearities of push–pull polymers” by V. Chernyak, S. Tretiak and S. Mukamel",Chemical Physics Letters,,,2000-10,2000,329,4-Mar,329-330,Closed,Article,"Bishop, David M; Champagne, Benoı̂t; Kirtman, Bernard","Bishop, David M","Bishop, David M (University of Ottawa); Champagne, Benoı̂t (); Kirtman, Bernard (University of California, Santa Barbara)",7,0,,1.46,,https://app.dimensions.ai/details/publication/pub.1034901127,0205 Optical Physics; 02 Physical Sciences,0205 Optical Physics,02 Physical Sciences,,,
114,200,pub.1055872949,10.1021/ja993226e,,,"Electric Field Simulation of Substituents in Donor−Acceptor Polyenes:  A Comparison with Ab Initio Predictions for Dipole Moments, Polarizabilities, and Hyperpolarizabilities",Journal of the American Chemical Society,,,2000-08,2000,122,33,8007-8012,Closed,Article,"Kirtman, Bernard; Champagne, Benoît; Bishop, David M.",,"Kirtman, Bernard (); Champagne, Benoît (); Bishop, David M. ()",81,7,,,,https://app.dimensions.ai/details/publication/pub.1055872949,03 Chemical Sciences,03 Chemical Sciences,,,,
115,200,pub.1058081411,10.1063/1.481907,,,Extension of the Genkin and Mednis treatment for dynamic polarizabilities and hyperpolarizabilities of infinite periodic systems. I. Coupled perturbed Hartree–Fock theory,The Journal of Chemical Physics,,,7/15/00,2000,113,3,1294-1309,Closed,Article,"Kirtman, Bernard; Gu, Feng Long; Bishop, David M.",,"Kirtman, Bernard (); Gu, Feng Long (); Bishop, David M. ()",98,4,,,,https://app.dimensions.ai/details/publication/pub.1058081411,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
116,200,pub.1056132526,10.1021/jp993839d,,,Assessment of Conventional Density Functional Schemes for Computing the Dipole Moment and (Hyper)polarizabilities of Push−Pull π-Conjugated Systems †,The Journal of Physical Chemistry A,,,2000-05,2000,104,20,4755-4763,Closed,Article,"Champagne, Benoît; Perpète, Eric A.; Jacquemin, Denis; van Gisbergen, Stan J. A.; Baerends, Evert-Jan; Soubra-Ghaoui, Chirine; Robins, Kathleen A.; Kirtman, Bernard",,"Champagne, Benoît (); Perpète, Eric A. (); Jacquemin, Denis (); van Gisbergen, Stan J. A. (); Baerends, Evert-Jan (); Soubra-Ghaoui, Chirine (); Robins, Kathleen A. (); Kirtman, Bernard ()",367,29,,51,,https://app.dimensions.ai/details/publication/pub.1056132526,"0306 Physical Chemistry (incl. Structural); 0307 Theoretical and Computational Chemistry; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
117,100,pub.1060595225,10.1103/physrevb.61.13137,,,Large vibrational nonlinear optical properties of C60: A combined Hartree-Fock/density-functional approach,Physical Review B,,,2000-05,2000,61,19,13137-13143,Closed,Article,"Perpète, Eric A.; Champagne, Benoît; Kirtman, Bernard",,"Perpète, Eric A. (); Champagne, Benoît (); Kirtman, Bernard (University of California, Santa Barbara)",12,0,,,,https://app.dimensions.ai/details/publication/pub.1060595225,02 Physical Sciences; 03 Chemical Sciences,02 Physical Sciences,03 Chemical Sciences,,,
118,100,pub.1119714329,,,,"Extrapolation Methods for Improving the Convergence of Oligomer
  Calculations to the Infinite Chain Limit of Quasi-Onedimensional
  Stereoregular Polymers",arXiv,,,4/17/00,2000,,,,"All OA; Green, Accepted & Submitted",Preprint,"Weniger, Ernst Joachim; Kirtman, Bernard",,"Weniger, Ernst Joachim (University of Regensburg); Kirtman, Bernard (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1119714329,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
119,200,pub.1058076096,10.1063/1.480651,,,Anharmonicity contributions to the vibrational second hyperpolarizability of conjugated oligomers,The Journal of Chemical Physics,,,1/8/00,2000,112,2,1011-1019,"All OA; Green, Published",Article,"Champagne, Benoı̂t; Luis, Josep M.; Duran, Miquel; Andrés, Jose Luis; Kirtman, Bernard",,"Champagne, Benoı̂t (); Luis, Josep M. (); Duran, Miquel (); Andrés, Jose Luis (); Kirtman, Bernard ()",50,1,,,https://dugi-doc.udg.edu/bitstream/10256/3236/1/564.pdf,https://app.dimensions.ai/details/publication/pub.1058076096,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
