,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Carla M D'Antonio. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
50,400,pub.1000653391,10.1890/11-1146.1,22928411,,Sinks for nitrogen inputs in terrestrial ecosystems: a meta‐analysis of 15N tracer field studies,Ecology,,Altitude; Ammonia; Chemical Hazard Release; Ecosystem; Nitrates; Nitrogen; Nitrogen Cycle; Nitrogen Isotopes; Rain; Temperature,2012-08-03,2012,93,8,1816-1829,All OA; Gold,Article,"Templer, P. H.; Mack, M. C.; Chapin, F. S.; Christenson, L. M.; Compton, J. E.; Crook, H. D.; Currie, W. S.; Curtis, C. J.; Dail, D. B.; D'Antonio, C. M.; Emmett, B. A.; Epstein, H. E.; Goodale, C. L.; Gundersen, P; Hobbie, S. E.; Holland, K; Hooper, D. U.; Hungate, B. A.; Lamontagne, S; Nadelhoffer, K. J.; Osenberg, C. W.; Perakis, S. S.; Schleppi, P; Schimel, J; Schmidt, I. K.; Sommerkorn, M; Spoelstra, J; Tietema, A; Wessel, W. W.; Zak, D. R.",,"Templer, P. H. (Boston University); Mack, M. C. (University of Florida); Chapin, F. S. (University of Alaska Fairbanks); Christenson, L. M. (Vassar College); Compton, J. E. (Environmental Protection Agency); Crook, H. D. (British Geological Survey); Currie, W. S. (University of Michigan); Curtis, C. J. (University College London); Dail, D. B. (University of Maine); D'Antonio, C. M. (University of California, Santa Barbara); Emmett, B. A. (); Epstein, H. E. (University of Virginia); Goodale, C. L. (Cornell University); Gundersen, P (University of Copenhagen); Hobbie, S. E. (University of Minnesota); Holland, K (University of Colorado Boulder); Hooper, D. U. (Western Washington University); Hungate, B. A. (Northern Arizona University); Lamontagne, S (Land and Water); Nadelhoffer, K. J. (University of Michigan); Osenberg, C. W. (University of Florida); Perakis, S. S. (United States Geological Survey); Schleppi, P (Swiss Federal Institute for Forest, Snow and Landscape Research); Schimel, J (University of California, Santa Barbara); Schmidt, I. K. (University of Copenhagen); Sommerkorn, M (James Hutton Institute); Spoelstra, J (University of Waterloo); Tietema, A (University of Amsterdam); Wessel, W. W. (University of Amsterdam); Zak, D. R. (University of Michigan)",110,29,2.22,16.35,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/11-1146.1,https://app.dimensions.ai/details/publication/pub.1000653391,0602 Ecology; 0502 Environmental Science and Management; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
51,400,pub.1050433642,10.1093/aob/mcs100,22589328,PMC3380596,A functional trait perspective on plant invasion,Annals of Botany,,Introduced Species; Plants,2012-07-01,2012,110,1,141-153,All OA; Gold,Article,"Drenovsky, Rebecca E.; Grewell, Brenda J.; D'Antonio, Carla M.; Funk, Jennifer L.; James, Jeremy J.; Molinari, Nicole; Parker, Ingrid M.; Richards, Christina L.",,"Drenovsky, Rebecca E. (John Carroll University); Grewell, Brenda J. (University of California, Davis); D'Antonio, Carla M. (University of California, Santa Barbara); Funk, Jennifer L. (Chapman University); James, Jeremy J. (Agricultural Research Service); Molinari, Nicole (University of California, Santa Barbara); Parker, Ingrid M. (University of California, Santa Cruz); Richards, Christina L. (University of South Florida)",132,42,2.71,14.61,https://academic.oup.com/aob/article-pdf/110/1/141/17004982/mcs100.pdf,https://app.dimensions.ai/details/publication/pub.1050433642,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
52,100,pub.1049651182,10.1890/110137,,,Will extreme climatic events facilitate biological invasions?,Frontiers in Ecology and the Environment,,,2012-06,2012,10,5,249-257,"All OA; Green, Accepted & Submitted",Article,"Diez, Jeffrey M; D'Antonio, Carla M; Dukes, Jeffrey S; Grosholz, Edwin D; Olden, Julian D; Sorte, Cascade JB; Blumenthal, Dana M; Bradley, Bethany A; Early, Regan; Ibáñez, Inés; Jones, Sierra J; Lawler, Joshua J; Miller, Luke P",,"Diez, Jeffrey M (); D'Antonio, Carla M (University of California, Santa Barbara); Dukes, Jeffrey S (Purdue University West Lafayette); Grosholz, Edwin D (University of California, Davis); Olden, Julian D (University of Washington); Sorte, Cascade JB (University of Massachusetts Boston); Blumenthal, Dana M (Agricultural Research Service); Bradley, Bethany A (University of Massachusetts Amherst); Early, Regan (University of Évora); Ibáñez, Inés (University of Michigan); Jones, Sierra J (University of South Carolina); Lawler, Joshua J (University of Washington); Miller, Luke P (Northeastern University)",175,63,,20.98,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1016&context=fnrpubs,https://app.dimensions.ai/details/publication/pub.1049651182,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
53,100,pub.1040544347,10.1614/ipsm-d-11-00005.1,,,Gone but Not Forgotten? Invasive Plants' Legacies on Community and Ecosystem Properties,Invasive Plant Science and Management,,,2012-03,2012,5,1,117-124,Closed,Article,"Corbin, Jeffrey D.; D'Antonio, Carla M.",,"Corbin, Jeffrey D. (Union College); D'Antonio, Carla M. (University of California, Santa Barbara)",78,27,,10.24,,https://app.dimensions.ai/details/publication/pub.1040544347,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
54,100,pub.1031164764,10.1890/110145,,,"Global change, global trade, and the next wave of plant invasions",Frontiers in Ecology and the Environment,,,2012-02,2012,10,1,20-28,"All OA; Green, Accepted & Submitted",Article,"Bradley, Bethany A; Blumenthal, Dana M; Early, Regan; Grosholz, Edwin D; Lawler, Joshua J; Miller, Luke P; Sorte, Cascade JB; D'Antonio, Carla M; Diez, Jeffrey M; Dukes, Jeffrey S; Ibanez, Ines; Olden, Julian D",,"Bradley, Bethany A (University of Massachusetts Amherst); Blumenthal, Dana M (Agricultural Research Service); Early, Regan (University of Évora); Grosholz, Edwin D (University of California, Davis); Lawler, Joshua J (University of Washington); Miller, Luke P (Northeastern University); Sorte, Cascade JB (University of Massachusetts Boston); D'Antonio, Carla M (University of California, Santa Barbara); Diez, Jeffrey M (University of Michigan); Dukes, Jeffrey S (Purdue University West Lafayette); Ibanez, Ines (University of Michigan); Olden, Julian D (University of Washington)",108,32,,16.85,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1015&context=fnrpubs,https://app.dimensions.ai/details/publication/pub.1031164764,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
55,400,pub.1000169966,10.1111/j.1365-2699.2011.02595.x,22279247,PMC3263421,The human dimension of fire regimes on Earth,Journal of Biogeography,,,2011-12,2011,38,12,2223-2236,All OA; Gold,Article,"Bowman, David M J S; Balch, Jennifer; Artaxo, Paulo; Bond, William J; Cochrane, Mark A; D'Antonio, Carla M; DeFries, Ruth; Johnston, Fay H; Keeley, Jon E; Krawchuk, Meg A; Kull, Christian A; Mack, Michelle; Moritz, Max A; Pyne, Stephen; Roos, Christopher I; Scott, Andrew C; Sodhi, Navjot S; Swetnam, Thomas W; Whittaker, Robert",,"Bowman, David M J S (University of Tasmania); Balch, Jennifer (); Artaxo, Paulo (University of Sao Paulo); Bond, William J (University of Cape Town); Cochrane, Mark A (South Dakota State University); D'Antonio, Carla M (University of California, Santa Barbara); DeFries, Ruth (Columbia University); Johnston, Fay H (University of Tasmania); Keeley, Jon E (United States Geological Survey; University of California Los Angeles); Krawchuk, Meg A (University of California, Berkeley); Kull, Christian A (Monash University); Mack, Michelle (University of Florida); Moritz, Max A (University of California, Berkeley); Pyne, Stephen (Arizona State University); Roos, Christopher I (Southern Methodist University); Scott, Andrew C (Royal Holloway University of London); Sodhi, Navjot S (National University of Singapore); Swetnam, Thomas W (University of Arizona); Whittaker, Robert (University of Arizona)",389,139,3.06,48.87,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2699.2011.02595.x,https://app.dimensions.ai/details/publication/pub.1000169966,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
56,400,pub.1003045006,10.1890/10-0638.1,21830706,,Long‐term impacts of invasive grasses and subsequent fire in seasonally dry Hawaiian woodlands,Ecological Applications,,Ecosystem; Environmental Monitoring; Fires; Hawaii; Introduced Species; Poaceae; Seasons; Time Factors; Trees; Water,2011-07,2011,21,5,1617-1628,Closed,Article,"D'Antonio, Carla M.; Hughes, R. F.; Tunison, J. T.",,"D'Antonio, Carla M. (University of California, Santa Barbara); Hughes, R. F. (); Tunison, J. T. ()",47,8,0.7,6.2,,https://app.dimensions.ai/details/publication/pub.1003045006,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
57,100,pub.1018842161,10.1007/s10530-010-9904-7,,,The importance of nitrogen-fixation for an invader of a coastal California grassland,Biological Invasions,,,2011-06,2011,13,6,1275-1282,Closed,Article,"Haubensak, Karen A.; D’Antonio, Carla M.","Haubensak, Karen A.","Haubensak, Karen A. (University of California, Berkeley; Northern Arizona University); D’Antonio, Carla M. (University of California, Berkeley; University of California, Santa Barbara)",8,0,,1.05,,https://app.dimensions.ai/details/publication/pub.1018842161,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
58,100,pub.1051065685,10.1016/j.jaridenv.2010.11.006,,,"Biological control reduces growth, and alters water relations of the saltcedar tree (Tamarix spp.) in western Nevada, USA",Journal of Arid Environments,,,2011-04,2011,75,4,346-352,Closed,Article,"Pattison, R.R.; D’Antonio, C.M.; Dudley, T.L.","Pattison, R.R.","Pattison, R.R. (Agricultural Research Service; Pacific Northwest Research Station); D’Antonio, C.M. (Agricultural Research Service); Dudley, T.L. (University of Nevada Reno; University of California, Santa Barbara)",23,3,,3.82,,https://app.dimensions.ai/details/publication/pub.1051065685,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
59,400,pub.1049813498,10.1111/j.1461-0248.2010.01584.x,21281419,,Abundance of introduced species at home predicts abundance away in herbaceous communities,Ecology Letters,,Biota; Introduced Species; Magnoliopsida; Poaceae; Population Density,2011-03,2011,14,3,274-281,"All OA; Green, Accepted & Submitted",Article,"Firn, Jennifer; Moore, Joslin L.; MacDougall, Andrew S.; Borer, Elizabeth T.; Seabloom, Eric W.; HilleRisLambers, Janneke; Harpole, W. Stanley; Cleland, Elsa E.; Brown, Cynthia S.; Knops, Johannes M. H.; Prober, Suzanne M.; Pyke, David A.; Farrell, Kelly A.; Bakker, John D.; O’Halloran, Lydia R.; Adler, Peter B.; Collins, Scott L.; D’Antonio, Carla M.; Crawley, Michael J.; Wolkovich, Elizabeth M.; La Pierre, Kimberly J.; Melbourne, Brett A.; Hautier, Yann; Morgan, John W.; Leakey, Andrew D. B.; Kay, Adam; McCulley, Rebecca; Davies, Kendi F.; Stevens, Carly J.; Chu, Cheng‐Jin; Holl, Karen D.; Klein, Julia A.; Fay, Philip A.; Hagenah, Nicole; Kirkman, Kevin P.; Buckley, Yvonne M.",,"Firn, Jennifer (Ecosystem Sciences); Moore, Joslin L. (University of Melbourne); MacDougall, Andrew S. (University of Guelph); Borer, Elizabeth T. (University of Minnesota); Seabloom, Eric W. (University of Minnesota); HilleRisLambers, Janneke (University of Washington); Harpole, W. Stanley (Iowa State University); Cleland, Elsa E. (University of California, San Diego); Brown, Cynthia S. (Colorado State University); Knops, Johannes M. H. (University of Nebraska–Lincoln); Prober, Suzanne M. (Ecosystem Sciences); Pyke, David A. (United States Geological Survey); Farrell, Kelly A. (Oregon State University); Bakker, John D. (); O’Halloran, Lydia R. (University of Minnesota); Adler, Peter B. (Utah State University); Collins, Scott L. (University of New Mexico); D’Antonio, Carla M. (University of California, Santa Barbara); Crawley, Michael J. (Imperial College London); Wolkovich, Elizabeth M. (); La Pierre, Kimberly J. (Yale University); Melbourne, Brett A. (University of Colorado Boulder); Hautier, Yann (University of Zurich); Morgan, John W. (La Trobe University); Leakey, Andrew D. B. (University of Illinois at Urbana Champaign); Kay, Adam (University of St. Thomas - Minnesota); McCulley, Rebecca (University of Kentucky); Davies, Kendi F. (University of Colorado Boulder); Stevens, Carly J. (The Open University); Chu, Cheng‐Jin (Lanzhou University); Holl, Karen D. (University of California, Santa Cruz); Klein, Julia A. (Colorado State University); Fay, Philip A. (Agricultural Research Service); Hagenah, Nicole (Yale University; University of KwaZulu-Natal); Kirkman, Kevin P. (University of KwaZulu-Natal); Buckley, Yvonne M. (Ecosystem Sciences; University of Queensland)",64,15,0.99,8.45,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=1003&context=eeob_ag_pubs,https://app.dimensions.ai/details/publication/pub.1049813498,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
60,400,pub.1005575569,10.1007/s00442-010-1859-y,21153743,,"Early impacts of biological control on canopy cover and water use of the invasive saltcedar tree (Tamarix spp.) in western Nevada, USA",Oecologia,,"Animals; Coleoptera; Ecosystem; Feeding Behavior; Introduced Species; Nevada; Pest Control, Biological; Plant Stems; Plant Transpiration; Population Density; Population Dynamics; Tamaricaceae; Water",2011-03,2011,165,3,605-616,Closed,Article,"Pattison, Robert R.; D’Antonio, Carla M.; Dudley, Tom L.; Allander, Kip K.; Rice, Benjamin","Pattison, Robert R.","Pattison, Robert R. (Agricultural Research Service); D’Antonio, Carla M. (Agricultural Research Service; University of California, Santa Barbara); Dudley, Tom L. (University of Nevada Reno; University of California, Santa Barbara); Allander, Kip K. (United States Geological Survey); Rice, Benjamin (Agricultural Research Service)",38,5,0.34,4,,https://app.dimensions.ai/details/publication/pub.1005575569,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
61,100,pub.1019632450,10.1890/es10-00113.1,,,Abundance and productivity mediate invader effects on nitrogen dynamics in a California grassland,Ecosphere,,,2011-03,2011,2,3,1-20,All OA; Gold,Article,"Corbin, Jeffrey D.; D'Antonio, Carla M.",,"Corbin, Jeffrey D. (Union College); D'Antonio, Carla M. (University of California, Santa Barbara)",7,1,,1,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES10-00113.1,https://app.dimensions.ai/details/publication/pub.1019632450,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
62,100,pub.1007786387,10.1007/978-94-007-0301-8_8,,,Fire and Invasive Plants on California Landscapes,Ecological Studies,The Landscape Ecology of Fire,,2011,2011,,,193-221,Closed,Chapter,"Keeley, Jon E.; Franklin, Janet; D’Antonio, Carla","Keeley, Jon E.","Keeley, Jon E. (United States Geological Survey; University of California Los Angeles); Franklin, Janet (); D’Antonio, Carla ()",11,0,,1.38,,https://app.dimensions.ai/details/publication/pub.1007786387,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
63,100,pub.1050805618,10.1002/9781444329988.ch21,,,Invasions and ecosystems: vulnerabilities and the contribution of new technologies,,Fifty Years of Invasion Ecology,,2010-12-23,2010,,,277-288,Closed,Chapter,"Vitousek, Peter M.; D'antonio, Carla M.; Asner, Gregory P.",,"Vitousek, Peter M. (Stanford University); D'antonio, Carla M. (University of California, Santa Barbara); Asner, Gregory P. (Department of Plant Biology)",3,0,,0.28,,https://app.dimensions.ai/details/publication/pub.1050805618,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
64,100,pub.1004893460,10.1007/s11258-010-9722-0,,,"Not novel, just better: competition between native and non-native plants in California grasslands that share species traits",Plant Ecology,,,2010-07,2010,209,1,71-81,All OA; Gold,Article,"Corbin, Jeffrey D.; D’Antonio, Carla M.","Corbin, Jeffrey D.","Corbin, Jeffrey D. (Union College); D’Antonio, Carla M. (University of California, Santa Barbara)",29,5,,2.72,https://link.springer.com/content/pdf/10.1007%2Fs11258-010-9722-0.pdf,https://app.dimensions.ai/details/publication/pub.1004893460,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
65,100,pub.1037547293,10.1111/j.1526-100x.2010.00658.x,,,Fire as a Restoration Tool: A Decision Framework for Predicting the Control or Enhancement of Plants Using Fire,Restoration Ecology,,,2010-05,2010,18,3,274-284,All OA; Gold,Article,"Pyke, David A.; Brooks, Matthew L.; D'Antonio, Carla",,"Pyke, David A. (United States Geological Survey); Brooks, Matthew L. (); D'Antonio, Carla (University of California, Santa Barbara)",82,11,,9.81,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1526-100X.2010.00658.x,https://app.dimensions.ai/details/publication/pub.1037547293,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
66,100,pub.1010351779,10.1016/j.jaridenv.2008.12.020,,,Effects of fire and environmental variables on plant structure and composition in grazed salt desert shrublands of the Great Basin (USA),Journal of Arid Environments,,,2009-06,2009,73,6-7,643-650,Closed,Article,"Haubensak, K.; D'Antonio, C.; Wixon, D.","Haubensak, K.","Haubensak, K. (); D'Antonio, C. (); Wixon, D. ()",25,6,,2.72,,https://app.dimensions.ai/details/publication/pub.1010351779,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
67,400,pub.1033866400,10.1126/science.1163886,19390038,,Fire in the Earth System,Science,,Animals; Biological Evolution; Carbon; Climate; Earth (Planet); Ecosystem; Fires; Humans; Plants,2009-04-24,2009,324,5926,481-484,Closed,Article,"Bowman, David M. J. S.; Balch, Jennifer K.; Artaxo, Paulo; Bond, William J.; Carlson, Jean M.; Cochrane, Mark A.; D’Antonio, Carla M.; DeFries, Ruth S.; Doyle, John C.; Harrison, Sandy P.; Johnston, Fay H.; Keeley, Jon E.; Krawchuk, Meg A.; Kull, Christian A.; Marston, J. Brad; Moritz, Max A.; Prentice, I. Colin; Roos, Christopher I.; Scott, Andrew C.; Swetnam, Thomas W.; van der Werf, Guido R.; Pyne, Stephen J.",,"Bowman, David M. J. S. (University of Tasmania); Balch, Jennifer K. (University of California, Santa Barbara; Yale University; Woods Hole Research Center); Artaxo, Paulo (University of Sao Paulo); Bond, William J. (University of Cape Town); Carlson, Jean M. (University of California, Santa Barbara); Cochrane, Mark A. (South Dakota State University); D’Antonio, Carla M. (University of California, Santa Barbara); DeFries, Ruth S. (Columbia University); Doyle, John C. (California Institute of Technology); Harrison, Sandy P. (University of Bristol); Johnston, Fay H. (University of Tasmania); Keeley, Jon E. (United States Geological Survey; University of California Los Angeles); Krawchuk, Meg A. (University of California, Berkeley); Kull, Christian A. (Monash University); Marston, J. Brad (Brown University); Moritz, Max A. (University of California, Berkeley); Prentice, I. Colin (University of Bristol); Roos, Christopher I. (The Ohio State University); Scott, Andrew C. (Royal Holloway University of London); Swetnam, Thomas W. (University of Arizona); van der Werf, Guido R. (VU University Amsterdam); Pyne, Stephen J. (Arizona State University)",1249,305,8.26,157.81,,https://app.dimensions.ai/details/publication/pub.1033866400,0403 Geology; 04 Earth Sciences; 0602 Ecology; 06 Biological Sciences,0403 Geology,04 Earth Sciences,0602 Ecology,06 Biological Sciences,
68,100,pub.1021984226,10.1007/s11258-008-9467-1,,,"California native and exotic perennial grasses differ in their response to soil nitrogen, exotic annual grass density, and order of emergence",Plant Ecology,,,2009-04,2009,201,2,445-456,"All OA; Green, Accepted & Submitted",Article,"Abraham, Joel K.; Corbin, Jeffrey D.; D’Antonio, Carla M.","Abraham, Joel K.","Abraham, Joel K. (University of California, Berkeley; Massachusetts Institute of Technology); Corbin, Jeffrey D. (University of California, Berkeley; Union College); D’Antonio, Carla M. (University of California, Berkeley; University of California, Santa Barbara)",69,13,,10.23,http://dspace.mit.edu/bitstream/1721.1/49479/1/Abraham_California%20native.pdf,https://app.dimensions.ai/details/publication/pub.1021984226,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
69,100,pub.1038349794,10.1007/978-1-4020-9202-2_7,,,Applying Ecological Concepts to the Management of Widespread Grass Invasions,,Management of Invasive Weeds,,2009,2009,5,,123-149,"All OA; Green, Accepted & Submitted",Chapter,"D'Antonio, Carla M.; Chambers, Jeanne C.; Loh, Rhonda; Tunison, J. Tim",,"D'Antonio, Carla M. (University of California, Santa Barbara); Chambers, Jeanne C. (University of California, Santa Barbara); Loh, Rhonda (University of California, Santa Barbara); Tunison, J. Tim (University of California, Santa Barbara)",15,1,,1.81,http://www.fs.fed.us/rm/pubs_other/rmrs_2009_dantonio_c001.pdf,https://app.dimensions.ai/details/publication/pub.1038349794,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
70,100,pub.1026985402,10.3170/2007-8-18311,,,"Effects of young Artemisia rothrockii shrubs on soil moisture, soil nitrogen cycling, and resident herbs",Journal of Vegetation Science,,,2008-02,2008,19,1,23-30,Closed,Article,"Darrouzet-Nardi, Anthony; D'Antonio, Carla M.; Berlow, Eric L.",,"Darrouzet-Nardi, Anthony (University of California, Berkeley; University of Colorado Boulder); D'Antonio, Carla M. (University of California, Berkeley; University of California, Santa Barbara); Berlow, Eric L. (University of California, Berkeley)",5,1,,0.61,,https://app.dimensions.ai/details/publication/pub.1026985402,0602 Ecology; 0705 Forestry Sciences; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0705 Forestry Sciences,0607 Plant Biology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
71,100,pub.1052324673,10.1007/978-90-481-2798-6_7,,,"California native and exotic perennial grasses differ in their response to soil nitrogen, exotic annual grass density, and order of emergence",,Herbaceous Plant Ecology,,2008,2008,,,81-92,"All OA; Green, Accepted & Submitted",Chapter,"Abraham, Joel K.; Corbin, Jeffrey D.; D’Antonio, Carla M.","Abraham, Joel K.","Abraham, Joel K. (University of California, Berkeley; Massachusetts Institute of Technology); Corbin, Jeffrey D. (University of California, Berkeley; Union College); D’Antonio, Carla M. (University of California, Berkeley; University of California, Santa Barbara)",4,0,,0.6,http://dspace.mit.edu/bitstream/1721.1/49479/1/Abraham_California%20native.pdf,https://app.dimensions.ai/details/publication/pub.1052324673,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
72,400,pub.1044718784,10.1890/06-0610,17489239,,SPATIAL AND TEMPORAL PATTERNS OF SEED DISPERSAL: AN IMPORTANT DETERMINANT OF GRASSLAND INVASION,Ecological Applications,,California; Demography; Ecosystem; Poaceae; Seeds; Species Specificity; Time Factors,2007-03,2007,17,2,311-316,Closed,Article,"DiVittorio, Christopher T.; Corbin, Jeffrey D.; D'Antonio, Carla M.",,"DiVittorio, Christopher T. (University of California, Berkeley); Corbin, Jeffrey D. (University of California, Berkeley); D'Antonio, Carla M. (University of California, Santa Barbara)",54,8,0.33,4.64,,https://app.dimensions.ai/details/publication/pub.1044718784,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
73,100,pub.1002742926,10.1111/j.2006.0030-1299.14929.x,,,"Mechanisms of resistance to invasion in a California grassland: the roles of competitor identity, resource availability, and environmental gradients",Oikos,,,2007-01,2007,116,1,17-30,Closed,Article,"Thomsen, Meredith A.; D'Antonio, Carla M.",,"Thomsen, Meredith A. (); D'Antonio, Carla M. ()",34,4,,2.84,,https://app.dimensions.ai/details/publication/pub.1002742926,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
74,100,pub.1015596263,10.1007/s11258-006-9109-4,,,The effect of soil nitrogen on competition between native and exotic perennial grasses from northern coastal California,Plant Ecology,,,2006-09,2006,186,1,23-35,Closed,Article,"Thomsen, Meredith A.; Corbin, Jeffrey D.; D’Antonio, Carla M.","Thomsen, Meredith A.","Thomsen, Meredith A. (University of California, Berkeley); Corbin, Jeffrey D. (University of California, Berkeley); D’Antonio, Carla M. (University of California, Berkeley; University of California, Santa Barbara)",54,11,,5.31,,https://app.dimensions.ai/details/publication/pub.1015596263,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
75,100,pub.1005190360,10.1111/j.1744-7429.2006.00170.x,,,"Nutrient Limitation in a Fire‐derived, Nitrogen‐rich Hawaiian Grassland1",Biotropica,,,2006-07,2006,38,4,458-467,Closed,Article,"D'Antonio, Carla M.; Mack, Michelle C.",,"D'Antonio, Carla M. (University of California, Santa Barbara); Mack, Michelle C. (University of Florida)",18,2,,2.18,,https://app.dimensions.ai/details/publication/pub.1005190360,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
76,100,pub.1005051097,10.1007/s11104-005-4453-z,,,Depth of water acquisition by invading shrubs and resident herbs in a Sierra Nevada meadow,Plant and Soil,,,2006-07,2006,285,1-2,31-43,Closed,Article,"Darrouzet-Nardi, Anthony; D’Antonio, Carla M.; Dawson, Todd E.","Darrouzet-Nardi, Anthony","Darrouzet-Nardi, Anthony (University of California, Berkeley; University of Colorado Boulder); D’Antonio, Carla M. (University of California, Berkeley; University of California, Santa Barbara); Dawson, Todd E. (University of California, Berkeley)",32,6,,3.15,,https://app.dimensions.ai/details/publication/pub.1005051097,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
77,200,pub.1071223805,10.3368/er.24.2.93,,,"Restoration of a Coastal California Grassland after Invasion by Nitrogen-Fixing Shrubs, French Broom and Scotch Broom",Ecological Restoration,,,2006-06-01,2006,24,2,93-99,Closed,Article,"Haubensak, K. A.; D'Antonio, C. M.",,"Haubensak, K. A. (); D'Antonio, C. M. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1071223805,,,,,,
